event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS015,R16,01:20:00,,F,2,R255,"6-4,7-6(7)",P. Rafter,C. Pioline,,,AUS,FRA,6-4,7-6(7),,,,01:20:00,,,279,/en/stats/leaderboard?page=serve,1,4,59,38,64,63,24,38,73,19,26,0,0,2,11,244,/en/stats/leaderboard?page=serve,3,2,60,35,58,74,26,35,39,9,23,0,0,3,11,67,43,64,40,23,58,54,66,122,60,35,58,33,21,64,46,56,122,A,7,2,,,,,P. Rafter,C. Pioline,R255,P226,AUS,FRA,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS016,R32,01:04:00,,F,2,K148,"6-3,6-3",P. Korda,W. Ferreira,,,CZE,RSA,6-3,6-3,,,,01:04:00,,,273,/en/stats/leaderboard?page=serve,3,4,47,25,53,76,19,25,61,17,28,67,2,3,9,208,/en/stats/leaderboard?page=serve,5,3,52,32,61,69,22,32,34,10,29,56,5,9,9,68,36,53,48,29,61,57,65,114,52,32,61,32,17,53,43,49,114,A,,,,,,,P. Korda,W. Ferreira,K148,F196,CZE,RSA,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS017,R32,02:16:00,,F,3,P305,"6-7(4),7-6(7),6-4",A. Portas,D. Hrbaty,,,ESP,SVK,6-7(4),7-6(7),6-4,,,02:16:00,4,7,256,/en/stats/leaderboard?page=serve,5,14,51,60,117,83,50,60,37,21,57,43,3,7,17,242,/en/stats/leaderboard?page=serve,3,8,48,57,120,68,39,57,51,32,63,62,8,13,17,61,71,117,41,49,120,51,120,237,59,71,120,39,46,117,49,117,237,A,7,1,,,,,A. Portas,D. Hrbaty,P305,H377,ESP,SVK,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS018,R32,01:08:00,,F,2,U032,"6-2,6-4",B. Ulihrach,F. Santoro,,,CZE,FRA,6-2,6-4,,,,01:08:00,,,245,/en/stats/leaderboard?page=serve,2,4,59,32,54,81,26,32,59,13,22,,0,,9,233,/en/stats/leaderboard?page=serve,1,1,48,32,66,78,25,32,41,14,34,67,6,9,9,72,39,54,41,27,66,55,66,120,59,39,66,28,15,54,45,54,120,A,,,,,,,B. Ulihrach,F. Santoro,U032,S424,CZE,FRA,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS019,R32,01:59:00,,F,3,K237,"6-7(3),6-4,6-2",K. Kucera,J. Van Herck,,,SVK,BEL,6-7(3),6-4,6-2,,,01:59:00,3,7,297,/en/stats/leaderboard?page=serve,2,8,50,44,88,84,37,44,64,28,44,67,2,3,15,245,/en/stats/leaderboard?page=serve,5,6,42,38,91,76,29,38,53,28,53,20,1,5,15,74,65,88,37,34,91,55,99,179,63,57,91,26,23,88,45,80,179,A,,,,,,,K. Kucera,J. Van Herck,K237,V167,SVK,BEL,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS020,R32,00:56:00,,F,2,J129,"6-1,6-2",T. Johansson,J. Bjorkman,,,SWE,SWE,6-1,6-2,,,,00:56:00,,,239,/en/stats/leaderboard?page=serve,2,0,46,18,39,72,13,18,52,11,21,50,2,4,7,122,/en/stats/leaderboard?page=serve,3,1,40,19,47,47,9,19,25,7,28,13,1,8,8,62,24,39,66,31,47,64,55,86,34,16,47,38,15,39,36,31,86,A,,,,,,,T. Johansson,J. Bjorkman,J129,B446,SWE,SWE,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS021,R32,01:51:00,,F,3,D214,"4-6,7-6(8),6-4",M. Damm,F. Dewulf,,,CZE,BEL,4-6,7-6(8),6-4,,,01:51:00,,,298,/en/stats/leaderboard?page=serve,3,16,52,43,83,91,39,43,55,22,40,0,0,2,16,269,/en/stats/leaderboard?page=serve,6,3,48,47,97,79,37,47,58,29,50,60,3,5,16,73,61,83,32,31,97,51,92,180,68,66,97,27,22,83,49,88,180,A,8,6,,,,,M. Damm,F. Dewulf,D214,D228,CZE,BEL,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS022,R32,02:26:00,,F,3,R186,"7-6(7),5-7,6-2",G. Raoux,F. Clavet,,,FRA,ESP,7-6(7),5-7,6-2,,,02:26:00,7,4,261,/en/stats/leaderboard?page=serve,5,3,56,59,105,85,50,59,41,19,46,73,8,11,16,263,/en/stats/leaderboard?page=serve,4,4,68,66,97,65,43,66,55,17,31,33,2,6,16,66,69,105,38,37,97,52,106,202,62,60,97,34,36,105,48,96,202,A,,,,,,,G. Raoux,F. Clavet,R186,C252,FRA,ESP,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS023,R32,01:30:00,,F,3,R237,"7-6(7),3-6,6-3",G. Rusedski,H. Arazi,,,GBR,MAR,7-6(7),3-6,6-3,,,01:30:00,7,4,310,/en/stats/leaderboard?page=serve,4,18,50,41,82,80,33,41,73,30,41,50,1,2,15,295,/en/stats/leaderboard?page=serve,,3,48,41,85,71,29,41,80,35,44,67,2,3,15,77,63,82,25,21,85,50,84,167,75,64,85,23,19,82,50,83,167,A,,,,,,False,G. Rusedski,H. Arazi,R237,A226,GBR,MAR,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS024,R32,01:16:00,,F,2,S381,"6-4,6-3",J. Siemerink,G. Ivanisevic,,,NED,CRO,6-4,6-3,,,,01:16:00,,,258,/en/stats/leaderboard?page=serve,4,7,53,32,60,75,24,32,50,14,28,50,2,4,9,195,/en/stats/leaderboard?page=serve,11,6,49,39,80,72,28,39,29,12,41,71,12,17,10,63,38,60,50,40,80,56,78,140,50,40,80,37,22,60,44,62,140,A,,,,,,,J. Siemerink,G. Ivanisevic,S381,I034,NED,CRO,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS025,R32,00:47:00,,F,2,L206,"6-2,6-1",M. Larsson,M. Goellner,,,SWE,GER,6-2,6-1,,,,00:47:00,,,288,/en/stats/leaderboard?page=serve,,9,68,28,41,86,24,28,54,7,13,,0,,7,186,/en/stats/leaderboard?page=serve,2,2,28,12,43,92,11,12,29,9,31,17,1,6,8,76,31,41,53,23,43,64,54,84,47,20,43,24,10,41,36,30,84,A,,,False,,,,M. Larsson,M. Goellner,L206,G252,SWE,GER,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS026,R32,02:34:00,,F,3,R214,"7-6(7),4-6,7-6(7)",M. Rosset,N. Kiefer,,,SUI,GER,7-6(7),4-6,7-6(7),,,02:34:00,7,3,239,/en/stats/leaderboard?page=serve,10,9,49,54,110,78,42,54,43,24,56,58,7,12,17,245,/en/stats/leaderboard?page=serve,6,4,56,76,136,67,51,76,48,29,60,67,8,12,17,60,66,110,41,56,136,50,122,246,59,80,136,40,44,110,50,124,246,A,,,,7,5,,M. Rosset,N. Kiefer,R214,K316,SUI,GER,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS027,R32,01:56:00,,F,3,K267,"7-5,5-7,6-3",Y. Kafelnikov,J. Novak,,,RUS,CZE,7-5,5-7,6-3,,,01:56:00,,,258,/en/stats/leaderboard?page=serve,7,6,48,56,116,79,44,56,50,30,60,67,6,9,17,264,/en/stats/leaderboard?page=serve,4,14,56,50,90,70,35,50,53,21,40,50,4,8,16,64,74,116,38,34,90,52,108,206,62,56,90,36,42,116,48,98,206,A,,,,,,,Y. Kafelnikov,J. Novak,K267,N254,RUS,CZE,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS028,R32,01:21:00,,F,2,N250,"7-5,6-3",M. Norman,T. Henman,,,SWE,GBR,7-5,6-3,,,,01:21:00,,,279,/en/stats/leaderboard?page=serve,2,8,40,27,67,85,23,27,58,23,40,75,3,4,11,243,/en/stats/leaderboard?page=serve,2,2,55,32,58,72,23,32,46,12,26,50,3,6,10,69,46,67,40,23,58,55,69,125,60,35,58,31,21,67,45,56,125,A,,,,,,,M. Norman,T. Henman,N250,H336,SWE,GBR,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS029,R32,01:35:00,,F,3,T136,"3-6,6-4,6-3",J. Tarango,D. Norman,,,USA,BEL,3-6,6-4,6-3,,,01:35:00,,,293,/en/stats/leaderboard?page=serve,3,3,61,49,80,69,34,49,71,22,31,0,0,1,14,277,/en/stats/leaderboard?page=serve,6,13,55,42,77,79,33,42,51,18,35,33,1,3,14,70,56,80,34,26,77,52,82,157,66,51,77,30,24,80,48,75,157,A,,,,,,,J. Tarango,D. Norman,T136,N233,USA,BEL,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS030,R32,01:52:00,,F,2,P226,"6-4,7-6(8)",C. Pioline,M. Gustafsson,,,FRA,SWE,6-4,7-6(8),,,,01:52:00,,,251,/en/stats/leaderboard?page=serve,1,4,50,43,86,63,27,43,63,27,43,67,6,9,11,224,/en/stats/leaderboard?page=serve,8,2,54,43,80,72,31,43,41,15,37,56,5,9,11,63,54,86,43,34,80,53,88,166,58,46,80,37,32,86,47,78,166,A,8,6,,,,,C. Pioline,M. Gustafsson,P226,G182,FRA,SWE,,
430,1998,Antwerp,CS,1998-02-16T00:00:00,1998-02-22T00:00:00,Hard,32,875000,$,MS031,R32,01:35:00,,F,2,R255,"6-2,7-6(10)",P. Rafter,A. Boetsch,,,AUS,FRA,6-2,7-6(10),,,,01:35:00,,,213,/en/stats/leaderboard?page=serve,2,4,65,41,63,78,32,41,68,15,22,0,0,,10,246,/en/stats/leaderboard?page=serve,9,2,43,37,87,84,31,37,46,23,50,80,8,10,10,75,47,63,38,33,87,53,80,150,62,54,87,25,16,63,47,70,150,A,10,8,,,,,P. Rafter,A. Boetsch,R255,B053,AUS,FRA,,
