event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS021,R32,01:17:00,,F,2,R280,"6-2,6-4",L. Roux,J. Viloca-Puig,,,FRA,ESP,6-2,6-4,,,,01:17:00,279,/en/stats/leaderboard?page=serve,1,3,63,36,57,69,25,36,57,12,21,67,2,3,9,204,/en/stats/leaderboard?page=serve,4,0,51,36,70,58,21,36,44,15,34,50,4,8,9,65,37,57,49,34,70,56,71,127,51,36,70,35,20,57,44,56,127,A,,,,,,,,,L. Roux,J. Viloca-Puig,R280,V161,FRA,ESP,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS022,R32,01:04:00,,F,2,S424,"6-3,6-2",F. Santoro,C. Van Garsse,,,FRA,BEL,6-3,6-2,,,,01:04:00,292,/en/stats/leaderboard?page=serve,1,10,60,30,50,80,24,30,55,11,20,50,1,2,9,208,/en/stats/leaderboard?page=serve,3,2,58,36,62,47,17,36,54,14,26,50,4,8,8,70,35,50,50,31,62,59,66,112,50,31,62,30,15,50,41,46,112,A,,,,,,,,,F. Santoro,C. Van Garsse,S424,V170,FRA,BEL,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS023,R32,00:58:00,,F,2,K214,"6-3,6-3",R. Krajicek,H. Arazi,,,NED,MAR,6-3,6-3,,,,00:58:00,290,/en/stats/leaderboard?page=serve,2,13,60,28,47,79,22,28,63,12,19,50,2,4,9,193,/en/stats/leaderboard?page=serve,5,2,52,34,66,56,19,34,44,14,32,44,4,9,9,72,34,47,50,33,66,59,67,113,50,33,66,28,13,47,41,46,113,A,,,,,,,,,R. Krajicek,H. Arazi,K214,A226,NED,MAR,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS024,R32,01:59:00,,F,3,E113,"4-6,6-3,6-3",T. Enqvist,S. Schalken,,,SWE,NED,4-6,6-3,6-3,,,01:59:00,263,/en/stats/leaderboard?page=serve,5,12,48,38,79,76,29,38,54,22,41,50,3,6,14,238,/en/stats/leaderboard?page=serve,4,6,63,69,110,55,38,69,54,22,41,76,16,21,14,65,51,79,45,50,110,53,101,189,55,60,110,35,28,79,47,88,189,A,,,,,,,,,T. Enqvist,S. Schalken,E113,S572,SWE,NED,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS026,R32,00:58:00,,F,2,H355,"6-1,6-3",T. Haas,A. Portas,,,GER,ESP,6-1,6-3,,,,00:58:00,272,/en/stats/leaderboard?page=serve,2,6,48,24,50,83,20,24,62,16,26,,0,,8,207,/en/stats/leaderboard?page=serve,2,3,64,35,55,57,20,35,35,7,20,50,4,8,8,72,36,50,51,28,55,61,64,105,49,27,55,28,14,50,39,41,105,A,,,,,,,,,T. Haas,A. Portas,H355,P305,GER,ESP,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS027,R32,01:30:00,,F,3,A272,"2-6,6-4,6-1",J. Alonso,A. Corretja,,,ESP,ESP,2-6,6-4,6-1,,,01:30:00,263,/en/stats/leaderboard?page=serve,5,13,49,45,92,76,34,45,47,22,47,67,4,6,12,253,/en/stats/leaderboard?page=serve,3,5,58,37,64,68,25,37,56,15,27,33,2,6,13,61,56,92,38,24,64,51,80,156,63,40,64,39,36,92,49,76,156,A,,,,,,,,,J. Alonso,A. Corretja,A272,C344,ESP,ESP,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS028,R32,00:33:00,,F,2,H336,"6-1,1-0",T. Henman,G. Raoux,,,GBR,FRA,6-1,1-0,,,,00:33:00,249,/en/stats/leaderboard?page=serve,,5,72,13,18,92,12,13,80,4,5,0,0,,4,171,/en/stats/leaderboard?page=serve,5,1,38,14,37,71,10,14,26,6,23,73,8,11,5,89,16,18,57,21,37,67,37,55,43,16,37,11,2,18,33,18,55,A,False,,,,,,,,T. Henman,G. Raoux,H336,R186,GBR,FRA,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS029,R32,01:13:00,,F,2,G252,"7-5,6-2",M. Goellner,A. Boetsch,,,GER,FRA,7-5,6-2,,,,01:13:00,273,/en/stats/leaderboard?page=serve,3,14,56,30,54,80,24,30,46,11,24,33,1,3,10,202,/en/stats/leaderboard?page=serve,5,2,54,39,72,62,24,39,39,13,33,50,5,10,10,65,35,54,49,35,72,56,70,126,51,37,72,35,19,54,44,56,126,A,,,,,,,,,M. Goellner,A. Boetsch,G252,B053,GER,FRA,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS030,R32,01:41:00,,F,2,W171,"7-6(8),7-6(7)",F. Wibier,R. Fromberg,,,NED,AUS,7-6(8),7-6(7),,,,01:41:00,269,/en/stats/leaderboard?page=serve,9,5,59,54,92,78,42,54,61,23,38,,0,,12,273,/en/stats/leaderboard?page=serve,8,10,60,56,93,79,44,56,49,18,37,,0,,12,71,65,92,33,31,93,52,96,185,67,62,93,29,27,92,48,89,185,A,,,,,7,4,8,6,F. Wibier,R. Fromberg,W171,F164,NED,AUS,,
7309,1997,Lyon,GP,1997-10-13T00:00:00,1997-10-19T00:00:00,Carpet,32,725000,$,MS031,R32,01:01:00,,F,2,K267,"6-1,6-2",Y. Kafelnikov,B. Steven,,,RUS,NZL,6-1,6-2,,,,01:01:00,261,/en/stats/leaderboard?page=serve,3,3,43,23,54,83,19,23,48,15,31,89,8,9,8,164,/en/stats/leaderboard?page=serve,3,1,49,22,45,59,13,22,30,7,23,38,3,8,7,63,34,54,56,25,45,60,59,99,44,20,45,37,20,54,40,40,99,A,,,,,,,,,Y. Kafelnikov,B. Steven,K267,S321,RUS,NZL,,
