event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set5_winner,tiebreak_set5_loser,settime_tot_winner,settime_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS011,R16,02:14:00,,F,3,D643,"6-2,6-3,6-2",N. Djokovic,C. Norrie,,,SRB,GBR,6-2,6-3,6-2,,,02:14:00,A,N. Djokovic,C. Norrie,SRB,GBR,,,264,/en/stats/leaderboard?page=serve,3,4,60,54,90,72,39,54,47,17,36,60,3,5,13,186,/en/stats/leaderboard?page=serve,1,2,58,40,69,45,18,40,41,12,29,36,4,11,12,62,56,90,57,39,69,60,95,159,43,30,69,38,34,90,40,64,159,,,,,,,02:14:00,02:14:00,,,,,D643,N771
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS012,R16,03:18:00,,F,4,M0EJ,"7-5,3-6,6-3,6-2",L. Musetti,H. Rune,,,ITA,DEN,7-5,3-6,6-3,6-2,,03:18:00,A,L. Musetti,H. Rune,ITA,DEN,,,274,/en/stats/leaderboard?page=serve,1,4,64,79,124,67,53,79,56,25,45,40,2,5,19,244,/en/stats/leaderboard?page=serve,3,1,62,74,120,57,42,74,59,27,46,33,3,9,19,63,78,124,43,51,120,53,129,244,58,69,120,37,46,124,47,115,244,,,,,,,03:18:00,03:18:00,,,,,M0EJ,R0DG
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS013,R16,02:18:00,,F,3,TD51,"6-3,6-4,7-6(7)",F. Tiafoe,D. Altmaier,,,USA,GER,6-3,6-4,7-6(7),,,02:18:00,A,F. Tiafoe,D. Altmaier,USA,GER,,,285,/en/stats/leaderboard?page=serve,0,6,68,65,96,72,47,65,58,18,31,0,0,3,16,234,/en/stats/leaderboard?page=serve,3,8,57,56,99,71,40,56,35,15,43,38,3,8,15,68,65,96,44,44,99,56,109,195,56,55,99,32,31,96,44,86,195,,,,,,,02:18:00,02:18:00,7,4,,,TD51,AE14
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS014,R16,01:51:00,,F,3,PL56,"6-3,6-3,6-3",T. Paul,A. Popyrin,,,USA,AUS,6-3,6-3,6-3,,,01:51:00,A,T. Paul,A. Popyrin,USA,AUS,,,296,/en/stats/leaderboard?page=serve,1,1,61,54,88,69,37,54,74,25,34,90,9,10,14,229,/en/stats/leaderboard?page=serve,3,5,58,42,72,71,30,42,37,11,30,17,1,6,13,70,62,88,43,31,72,58,93,160,57,41,72,30,26,88,42,67,160,,,,,,,01:51:00,01:51:00,,,,,PL56,P09Z
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS015,R16,03:19:00,,F,4,A0E2,"7-6(10),6-3,4-6,6-4",C. Alcaraz,B. Shelton,,,ESP,USA,7-6(10),6-3,4-6,6-4,,03:19:00,A,C. Alcaraz,B. Shelton,ESP,USA,,,298,/en/stats/leaderboard?page=serve,2,5,70,99,142,68,67,99,67,29,43,78,7,9,21,284,/en/stats/leaderboard?page=serve,3,6,68,88,129,69,61,88,59,24,41,57,4,7,20,68,96,142,34,44,129,52,140,271,66,85,129,32,46,142,48,131,271,,,,,,,03:19:00,03:19:00,,,10,8,A0E2,S0S1
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS016,R32,01:34:00,,F,3,S0AG,"6-0,6-1,6-2",J. Sinner,J. Lehecka,,,ITA,CZE,6-0,6-1,6-2,,,01:34:00,A,J. Sinner,J. Lehecka,ITA,CZE,,,335,/en/stats/leaderboard?page=serve,0,3,64,35,55,83,29,35,85,17,20,100,1,1,11,185,/en/stats/leaderboard?page=serve,1,3,63,51,81,43,22,51,47,14,30,61,11,18,10,84,46,55,56,45,81,67,91,136,44,36,81,16,9,55,33,45,136,,,,,,,01:34:00,01:34:00,,,,,S0AG,L0BV
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS018,R32,01:41:00,,F,3,BK92,"7-5,6-1,6-2",A. Bublik,H. Rocha,,,KAZ,POR,7-5,6-1,6-2,,,01:41:00,A,A. Bublik,H. Rocha,KAZ,POR,,,302,/en/stats/leaderboard?page=serve,6,9,59,47,79,87,41,47,53,17,32,100,2,2,14,227,/en/stats/leaderboard?page=serve,8,9,55,45,82,64,29,45,46,17,37,55,6,11,13,73,58,79,44,36,82,58,94,161,56,46,82,27,21,79,42,67,161,,,,,,,01:41:00,01:41:00,,,,,BK92,R0GO
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS019,R32,01:46:00,,F,3,D0CO,"6-2,6-4,6-2",J. Draper,J. Fonseca,,,GBR,BRA,6-2,6-4,6-2,,,01:46:00,A,J. Draper,J. Fonseca,GBR,BRA,,,317,/en/stats/leaderboard?page=serve,4,8,59,40,68,93,37,40,61,17,28,100,2,2,13,236,/en/stats/leaderboard?page=serve,0,6,70,59,84,63,37,59,36,9,25,55,6,11,13,79,54,68,45,38,84,61,92,152,55,46,84,21,14,68,39,60,152,,,,,,,01:46:00,01:46:00,,,,,D0CO,F0FV
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS020,R32,02:30:00,,F,3,Z355,"6-2,7-6(7),6-1",A. Zverev,F. Cobolli,,,GER,ITA,6-2,7-6(7),6-1,,,02:30:00,A,A. Zverev,F. Cobolli,GER,ITA,,,298,/en/stats/leaderboard?page=serve,1,8,78,72,92,68,49,72,60,12,20,60,3,5,14,209,/en/stats/leaderboard?page=serve,3,0,56,57,101,53,30,57,50,22,44,60,9,15,13,66,61,92,49,49,101,57,110,193,51,52,101,34,31,92,43,83,193,7,4,,,,,02:30:00,02:30:00,,,,,Z355,C0E9
520,2025,Roland Garros,GS,2025-05-25T00:00:00,2025-06-08T00:00:00,Clay,128,26334000,€,MS021,R32,03:16:00,,F,5,GJ37,"4-6,6-1,6-7(2),6-1,6-4",T. Griekspoor,E. Quinn,,,NED,USA,4-6,6-1,6-7(2),6-1,6-4,03:16:00,A,T. Griekspoor,E. Quinn,NED,USA,,,294,/en/stats/leaderboard?page=serve,4,7,72,100,139,79,79,100,49,19,39,71,5,7,24,257,/en/stats/leaderboard?page=serve,8,8,66,101,153,65,66,101,54,28,52,68,13,19,22,71,98,139,39,59,153,54,157,292,61,94,153,29,41,139,46,135,292,,,,,,,03:16:00,03:16:00,2,7,,,GJ37,Q02L
