event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS013,R16,00:58:00,,F,2,M762,"6-2,6-2",J. Melzer,D. Gimeno-Traver,,,AUT,ESP,6-2,6-2,,,,00:58:00,A,J. Melzer,D. Gimeno-Traver,AUT,ESP,,,,,299,/en/stats/leaderboard?page=serve,1,3,55,26,47,85,22,26,57,12,21,100,1,1,8,216,/en/stats/leaderboard?page=serve,2,3,62,29,47,59,17,29,44,8,18,43,3,7,8,72,34,47,47,22,47,60,56,94,53,25,47,28,13,47,40,38,94,,,M762,G676
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS014,R16,01:22:00,,F,3,A479,"2-6,6-1,6-1",N. Almagro,P. Starace,,,ESP,ITA,2-6,6-1,6-1,,,01:22:00,A,N. Almagro,P. Starace,ESP,ITA,,,,,249,/en/stats/leaderboard?page=serve,2,3,56,40,72,70,28,40,50,16,32,57,4,7,11,209,/en/stats/leaderboard?page=serve,1,1,69,43,62,53,23,43,42,8,19,33,3,9,11,61,44,72,50,31,62,56,75,134,50,31,62,39,28,72,44,59,134,,,A479,S843
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS015,R16,00:54:00,,F,2,SA49,"6-2,6-3",R. Soderling,K. Vliegen,,,SWE,BEL,6-2,6-3,,,,00:54:00,A,R. Soderling,K. Vliegen,SWE,BEL,,,,,319,/en/stats/leaderboard?page=serve,0,5,58,28,48,86,24,28,70,14,20,100,2,2,9,243,/en/stats/leaderboard?page=serve,0,2,62,23,37,74,17,23,43,6,14,0,0,3,8,79,38,48,38,14,37,61,52,85,62,23,37,21,10,48,39,33,85,,,SA49,V309
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS017,R32,01:37:00,,F,3,K551,"1-6,6-3,6-4",D. Koellerer,S. Darcis,,,AUT,BEL,1-6,6-3,6-4,,,01:37:00,A,D. Koellerer,S. Darcis,AUT,BEL,,,,,270,/en/stats/leaderboard?page=serve,2,3,62,48,77,71,34,48,52,15,29,0,0,2,13,282,/en/stats/leaderboard?page=serve,0,4,60,43,72,72,31,43,62,18,29,50,2,4,13,64,49,77,32,23,72,48,72,149,68,49,72,36,28,77,52,77,149,,,K551,D632
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS019,R32,02:19:00,,F,3,MA21,"7-6(7),3-6,6-1",J. Monaco,M. Gonzalez,,,ARG,ARG,7-6(7),3-6,6-1,,,02:19:00,A,J. Monaco,M. Gonzalez,ARG,ARG,,,,,244,/en/stats/leaderboard?page=serve,2,2,74,78,106,63,49,78,43,12,28,58,7,12,14,230,/en/stats/leaderboard?page=serve,3,1,67,54,81,67,36,54,41,11,27,25,2,8,14,58,61,106,42,34,81,51,95,187,58,47,81,42,45,106,49,92,187,7,4,MA21,G585
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS021,R32,01:05:00,,F,2,L515,"6-2,6-2",P. Luczak,A. Martin,,,AUS,ESP,6-2,6-2,,,,01:05:00,A,P. Luczak,A. Martin,AUS,ESP,,,,,300,/en/stats/leaderboard?page=serve,1,2,70,30,43,73,22,30,69,9,13,75,3,4,8,181,/en/stats/leaderboard?page=serve,4,0,55,26,47,50,13,26,43,9,21,38,3,8,8,72,31,43,53,25,47,62,56,90,47,22,47,28,12,43,38,34,90,,,L515,M590
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS022,R32,01:03:00,,F,2,P436,"6-3,6-2",B. Phau,D. Berta,,,GER,SWE,6-3,6-2,,,,01:03:00,A,B. Phau,D. Berta,GER,SWE,,,,,308,/en/stats/leaderboard?page=serve,2,3,57,27,47,85,23,27,65,13,20,0,0,0,9,223,/en/stats/leaderboard?page=serve,1,0,60,33,55,61,20,33,41,9,22,50,3,6,8,77,36,47,47,26,55,61,62,102,53,29,55,23,11,47,39,40,102,,,P436,BG16
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS024,R32,02:25:00,,F,3,V250,"6-7(5),6-3,6-4",A. Vinciguerra,F. Serra,,,SWE,FRA,6-7(5),6-3,6-4,,,02:25:00,A,A. Vinciguerra,F. Serra,SWE,FRA,,,,,286,/en/stats/leaderboard?page=serve,5,9,66,84,127,74,62,84,49,21,43,94,15,16,16,270,/en/stats/leaderboard?page=serve,2,2,69,75,109,65,49,75,56,19,34,67,6,9,15,65,83,127,38,41,109,53,124,236,62,68,109,35,44,127,47,112,236,5,7,V250,S963
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS025,R32,01:43:00,,F,2,C433,"6-3,7-6(7)",G. Canas,G. Dimitrov,,,ARG,BUL,6-3,7-6(7),,,,01:43:00,A,G. Canas,G. Dimitrov,ARG,BUL,,,7,2,267,/en/stats/leaderboard?page=serve,0,4,40,22,55,73,16,22,70,23,33,33,1,3,10,227,/en/stats/leaderboard?page=serve,3,3,63,47,75,62,29,47,39,11,28,60,6,10,11,71,39,55,47,35,75,57,74,130,53,40,75,29,16,55,43,56,130,,,C433,D875
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS026,R32,01:17:00,,F,2,G676,"6-1,6-4",D. Gimeno-Traver,F. Gil,,,ESP,POR,6-1,6-4,,,,01:17:00,A,D. Gimeno-Traver,F. Gil,ESP,POR,,,,,293,/en/stats/leaderboard?page=serve,0,3,63,42,67,71,30,42,56,14,25,100,3,3,9,230,/en/stats/leaderboard?page=serve,4,1,67,35,52,63,22,35,41,7,17,57,4,7,8,66,44,67,44,23,52,56,67,119,56,29,52,34,23,67,44,52,119,,,G676,G717
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS028,R32,01:21:00,,F,2,A479,"6-3,7-6(8)",N. Almagro,M. Safin,,,ESP,RUS,6-3,7-6(8),,,,01:21:00,A,N. Almagro,M. Safin,ESP,RUS,,,8,6,306,/en/stats/leaderboard?page=serve,2,5,60,42,70,86,36,42,57,16,28,0,0,0,11,284,/en/stats/leaderboard?page=serve,5,9,60,45,75,80,36,45,50,15,30,83,5,6,10,74,52,70,32,24,75,52,76,145,68,51,75,26,18,70,48,69,145,,,A479,S741
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS029,R32,01:57:00,,F,2,S843,"7-6(7),6-3",P. Starace,J. Benneteau,,,ITA,FRA,7-6(7),6-3,,,,01:57:00,A,P. Starace,J. Benneteau,ITA,FRA,,,,,250,/en/stats/leaderboard?page=serve,0,1,68,50,73,70,35,50,39,9,23,50,3,6,11,235,/en/stats/leaderboard?page=serve,1,2,77,54,70,59,32,54,38,6,16,0,0,4,10,60,44,73,46,32,70,53,76,143,54,38,70,40,29,73,47,67,143,7,5,S843,B747
316,2009,Bastad,250,2009-07-13T00:00:00,2009-07-19T00:00:00,Clay,28,398250,€,MS030,R32,01:29:00,,F,2,V309,"7-6(7),6-4",K. Vliegen,M. Granollers,,,BEL,ESP,7-6(7),6-4,,,,01:29:00,A,K. Vliegen,M. Granollers,BEL,ESP,,,,,258,/en/stats/leaderboard?page=serve,1,1,57,39,68,77,30,39,52,15,29,25,1,4,11,241,/en/stats/leaderboard?page=serve,2,2,67,46,69,63,29,46,48,11,23,50,4,8,11,66,45,68,42,29,69,54,74,137,58,40,69,34,23,68,46,63,137,7,3,V309,G710
