event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS011,R16,01:27:00,,F,3,S331,"6-2,7-6(7),6-2",J. Stoltenberg,J. Hlasek,,,AUS,SUI,6-2,7-6(7),6-2,,,01:27:00,287,/en/stats/leaderboard?page=serve,5,10,59,58,98,90,52,58,48,19,40,67,4,6,14,210,/en/stats/leaderboard?page=serve,4,2,53,50,94,66,33,50,36,16,44,14,1,7,14,72,71,98,48,45,94,60,116,192,52,49,94,28,27,98,40,76,192,A,,,7,2,,,,,,J. Stoltenberg,J. Hlasek,S331,H025,AUS,SUI,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS012,R16,01:59:00,,F,3,H336,"7-6(7),6-4,7-6(7)",T. Henman,M. Gustafsson,,,GBR,SWE,7-6(7),6-4,7-6(7),,,01:59:00,257,/en/stats/leaderboard?page=serve,5,6,53,65,122,74,48,65,53,30,57,60,6,10,17,246,/en/stats/leaderboard?page=serve,4,3,67,79,118,66,52,79,44,17,39,55,6,11,17,64,78,122,42,49,118,53,127,240,58,69,118,36,44,122,47,113,240,A,7,4,,,,,7,2,,T. Henman,M. Gustafsson,H336,G182,GBR,SWE,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS013,R16,02:10:00,,F,4,M442,"3-6,6-3,7-5,6-2",T. Martin,T. Johansson,,,USA,SWE,3-6,6-3,7-5,6-2,,02:10:00,300,/en/stats/leaderboard?page=serve,5,11,63,75,119,89,67,75,48,21,44,80,4,5,19,252,/en/stats/leaderboard?page=serve,4,3,61,81,133,72,58,81,42,22,52,60,6,10,19,74,88,119,40,53,133,56,141,252,60,80,133,26,31,119,44,111,252,A,,,,,,,,,,T. Martin,T. Johansson,M442,J129,USA,SWE,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS014,R16,01:43:00,,F,3,W124,"6-3,6-4,6-2",M. Washington,P. Haarhuis,,,USA,NED,6-3,6-4,6-2,,,01:43:00,281,/en/stats/leaderboard?page=serve,3,10,64,68,107,74,50,68,51,20,39,67,4,6,14,196,/en/stats/leaderboard?page=serve,7,1,58,49,84,57,28,49,34,12,35,57,8,14,13,65,70,107,52,44,84,60,114,191,48,40,84,35,37,107,40,77,191,A,,,,,,,,,,M. Washington,P. Haarhuis,W124,H223,USA,NED,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS015,R16,02:00:00,,F,3,R284,"6-3,6-0,6-4",A. Radulescu,N. Godwin,,,GER,RSA,6-3,6-0,6-4,,,02:00:00,307,/en/stats/leaderboard?page=serve,3,10,64,51,80,82,42,51,62,18,29,0,0,1,13,187,/en/stats/leaderboard?page=serve,10,4,41,36,87,69,25,36,33,17,51,40,4,10,12,75,60,80,52,45,87,63,105,167,48,42,87,25,20,80,37,62,167,A,,,,,,,,,,A. Radulescu,N. Godwin,R284,G288,GER,RSA,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS019,R32,02:32:00,,F,4,K214,"7-6(7),6-7(5),6-4,6-2",R. Krajicek,B. Steven,,,NED,NZL,7-6(7),6-7(5),6-4,6-2,,02:32:00,328,/en/stats/leaderboard?page=serve,6,29,59,65,110,80,52,65,76,34,45,60,3,5,21,263,/en/stats/leaderboard?page=serve,8,2,60,72,120,75,54,72,58,28,48,62,8,13,21,78,86,110,68,82,120,73,168,230,68,82,120,78,86,110,73,168,230,A,,,5,7,,,7,5,,R. Krajicek,B. Steven,K214,S321,NED,NZL,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS032,R64,01:46:00,,F,3,S402,"7-6(7),6-4,6-4",P. Sampras,M. Philippoussis,,,USA,AUS,7-6(7),6-4,6-4,,,01:46:00,249,/en/stats/leaderboard?page=serve,1,15,75,73,97,93,68,73,67,16,24,0,0,,16,308,/en/stats/leaderboard?page=serve,5,28,67,93,139,85,79,93,46,21,46,75,6,8,16,87,84,97,28,39,139,52,123,236,72,100,139,13,13,97,48,113,236,A,,,,,,,7,4,,P. Sampras,M. Philippoussis,S402,P338,USA,AUS,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS033,R64,02:47:00,,F,5,K237,"4-6,6-1,5-7,6-3,6-3",K. Kucera,B. Black,,,SVK,ZIM,4-6,6-1,5-7,6-3,6-3,02:47:00,268,/en/stats/leaderboard?page=serve,9,12,58,98,170,73,72,98,51,37,72,69,9,13,24,251,/en/stats/leaderboard?page=serve,5,9,63,104,165,64,67,104,51,31,61,56,9,16,23,64,109,170,41,67,165,53,176,335,59,98,165,36,61,170,47,159,335,A,,,,,,,,,,K. Kucera,B. Black,K237,B397,SVK,ZIM,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS034,R64,03:10:00,,F,5,K296,"1-6,7-5,5-7,6-4,6-3",J. Kroslak,C. Wilkinson,,,SVK,GBR,1-6,7-5,5-7,6-4,6-3,03:10:00,237,/en/stats/leaderboard?page=serve,8,6,53,92,174,66,61,92,48,39,82,59,10,17,25,249,/en/stats/leaderboard?page=serve,4,7,53,84,160,74,62,84,47,36,76,56,9,16,25,57,100,174,39,62,160,49,162,334,61,98,160,43,74,174,51,172,334,A,,,,,,,,,,J. Kroslak,C. Wilkinson,K296,W150,SVK,GBR,,
540,1996,Wimbledon,GS,1996-06-24T00:00:00,1996-07-07T00:00:00,Grass,128,4736161,$,MS035,R64,01:33:00,,F,3,P226,"6-1,6-4,6-2",C. Pioline,M. Petchey,,,FRA,GBR,6-1,6-4,6-2,,,01:33:00,252,/en/stats/leaderboard?page=serve,6,8,62,63,102,81,51,63,46,18,39,,0,,13,212,/en/stats/leaderboard?page=serve,6,5,64,52,81,67,35,52,24,7,29,50,5,10,12,68,69,102,48,39,81,59,108,183,52,42,81,32,33,102,41,75,183,A,,,,,,,,,,C. Pioline,M. Petchey,P226,P222,FRA,GBR,,
