event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_loser,player_id_winner,player_id_loser
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS001,F,03:01:00,,F,3,MA21,"7-5,4-6,6-3",J. Monaco,J. Benneteau,,,ARG,FRA,7-5,4-6,6-3,,,03:01:00,A,J. Monaco,J. Benneteau,ARG,FRA,,,253,/en/stats/leaderboard?page=serve,4,6,68,67,98,73,49,67,35,11,31,43,3,7,16,245,/en/stats/leaderboard?page=serve,4,4,74,93,125,58,54,93,47,15,32,75,15,20,15,61,60,98,45,56,125,52,116,223,55,69,125,39,38,98,48,107,223,03:01:00,03:01:00,,,,,,,MA21,B747
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS002,SF,01:37:00,,F,2,B747,"6-4,6-1",J. Benneteau,D. Ferrer,,,FRA,ESP,6-4,6-1,,,,01:37:00,A,J. Benneteau,D. Ferrer,FRA,ESP,,,244,/en/stats/leaderboard?page=serve,6,3,60,48,80,69,33,48,41,13,32,83,10,12,9,182,/en/stats/leaderboard?page=serve,3,1,61,33,54,48,16,33,38,8,21,17,1,6,8,58,46,80,56,30,54,57,76,134,44,24,54,43,34,80,43,58,134,01:37:00,01:37:00,,,,,,,B747,F401
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS003,SF,02:42:00,,F,3,MA21,"6-2,2-6,7-6(7)",J. Monaco,K. Nishikori,,,ARG,JPN,6-2,2-6,7-6(7),,,02:42:00,A,J. Monaco,K. Nishikori,ARG,JPN,,,251,/en/stats/leaderboard?page=serve,3,2,64,64,100,70,45,64,47,17,36,60,6,10,14,258,/en/stats/leaderboard?page=serve,2,3,68,62,91,66,41,62,52,15,29,64,7,11,14,62,62,100,38,35,91,51,97,191,62,56,91,38,38,100,49,94,191,02:42:00,02:42:00,7,4,,,,,MA21,N552
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS004,QF,02:04:00,,F,3,F401,"4-6,6-3,6-4",D. Ferrer,I. Sijsling,,,ESP,NED,4-6,6-3,6-4,,,02:04:00,A,D. Ferrer,I. Sijsling,ESP,NED,,,279,/en/stats/leaderboard?page=serve,3,5,59,50,85,64,32,50,74,26,35,67,6,9,15,247,/en/stats/leaderboard?page=serve,3,10,63,58,92,71,41,58,35,12,34,43,3,7,14,68,58,85,42,39,92,55,97,177,58,53,92,32,27,85,45,80,177,02:04:00,02:04:00,,,,,,,F401,SF36
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS005,QF,00:59:00,,F,2,B747,"6-2,6-2",J. Benneteau,A. Falla,,,FRA,COL,6-2,6-2,,,,00:59:00,A,J. Benneteau,A. Falla,FRA,COL,,,316,/en/stats/leaderboard?page=serve,3,1,56,22,39,86,19,22,76,13,17,0,0,0,8,191,/en/stats/leaderboard?page=serve,2,1,57,26,46,65,17,26,20,4,20,33,2,6,8,82,32,39,54,25,46,67,57,85,46,21,46,18,7,39,33,28,85,00:59:00,00:59:00,,,,,,,B747,F444
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS006,QF,00:58:00,,F,1,N552,6-4,K. Nishikori,N. Davydenko,,,JPN,RUS,6-4,,,,,00:58:00,A,K. Nishikori,N. Davydenko,JPN,RUS,,,304,/en/stats/leaderboard?page=serve,0,0,71,22,31,77,17,22,56,5,9,100,3,3,5,254,/en/stats/leaderboard?page=serve,3,2,66,31,47,65,20,31,44,7,16,75,3,4,5,71,22,31,43,20,47,54,42,78,57,27,47,29,9,31,46,36,78,00:58:00,00:58:00,,,,,,,N552,D402
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS007,QF,01:24:00,,F,2,MA21,"6-3,6-4",J. Monaco,V. Pospisil,,,ARG,CAN,6-3,6-4,,,,01:24:00,A,J. Monaco,V. Pospisil,ARG,CAN,,,318,/en/stats/leaderboard?page=serve,0,1,62,29,47,83,24,29,72,13,18,100,2,2,9,249,/en/stats/leaderboard?page=serve,3,7,59,34,58,74,25,34,42,10,24,57,4,7,10,79,37,47,40,23,58,57,60,105,60,35,58,21,10,47,43,45,105,01:24:00,01:24:00,,,,,,,MA21,PD07
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS008,R16,01:23:00,,F,2,F401,"6-4,6-2",D. Ferrer,A. Bogomolov Jr.,,,ESP,RUS,6-4,6-2,,,,01:23:00,A,D. Ferrer,A. Bogomolov Jr.,ESP,RUS,,,282,/en/stats/leaderboard?page=serve,1,1,50,25,50,68,17,25,76,19,25,67,2,3,9,207,/en/stats/leaderboard?page=serve,3,0,62,39,63,51,20,39,42,10,24,50,4,8,9,72,36,50,52,33,63,61,69,113,48,30,63,28,14,50,39,44,113,01:23:00,01:23:00,,,,,,,F401,B842
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS009,R16,01:36:00,,F,2,SF36,"7-6(7),7-6(7)",I. Sijsling,F. Lopez,,,NED,ESP,7-6(7),7-6(7),,,,01:36:00,A,I. Sijsling,F. Lopez,NED,ESP,,,319,/en/stats/leaderboard?page=serve,0,11,60,49,82,84,41,49,64,21,33,100,6,6,12,300,/en/stats/leaderboard?page=serve,2,11,59,47,80,77,36,47,55,18,33,100,3,3,12,76,62,82,33,26,80,54,88,162,68,54,80,24,20,82,46,74,162,01:36:00,01:36:00,,,7,7,2,,SF36,L397
6003,2012,Kuala Lumpur,250,2012-09-24T00:00:00,2012-09-30T00:00:00,Hard,28,850000,$,MS010,R16,01:32:00,,F,3,F444,"6-3,3-6,6-3",A. Falla,A. Dolgopolov,,,COL,UKR,6-3,3-6,6-3,,,01:32:00,A,A. Falla,A. Dolgopolov,COL,UKR,,,264,/en/stats/leaderboard?page=serve,3,3,65,60,92,65,39,60,56,18,32,63,5,8,14,246,/en/stats/leaderboard?page=serve,1,5,59,42,71,69,29,42,45,13,29,43,3,7,13,62,57,92,41,29,71,53,86,163,59,42,71,38,35,92,47,77,163,01:32:00,01:32:00,,,,,,,F444,D801
