event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS011,R16,01:31:00,,F,2,F165,"7-5,6-3",M. Filippini,A. Martin,,,URU,ESP,7-5,6-3,,,,01:31:00,277,/en/stats/leaderboard?page=serve,1,5,74,55,74,65,36,55,53,10,19,4,11,235,/en/stats/leaderboard?page=serve,,3,77,54,70,57,31,54,38,6,16,64,7,11,10,62,46,74,47,33,70,55,79,144,53,37,70,38,28,74,45,65,144,A,,67,6,,,False,,,,,M. Filippini,A. Martin,F165,M590,URU,ESP,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS012,R16,01:07:00,,F,2,P372,"6-4,6-3",M. Puerta,J. Viloca-Puig,,,ARG,ESP,6-4,6-3,,,,01:07:00,213,/en/stats/leaderboard?page=serve,,6,64,36,56,83,30,36,60,12,20,0,10,274,/en/stats/leaderboard?page=serve,,4,56,28,50,82,23,28,55,12,22,0,0,2,9,75,42,56,30,15,50,54,57,106,70,35,50,25,14,56,46,49,106,A,False,0,,,,False,,,,,M. Puerta,J. Viloca-Puig,P372,V161,ARG,ESP,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS013,R16,01:36:00,,F,3,A272,"6-4,1-6,7-5",J. Alonso,M. Craca,,,ESP,GER,6-4,1-6,7-5,,,01:36:00,257,/en/stats/leaderboard?page=serve,4,7,61,51,84,76,39,51,39,13,33,3,14,279,/en/stats/leaderboard?page=serve,,6,56,45,80,71,32,45,66,23,35,63,5,8,15,62,52,84,31,25,80,47,77,164,69,55,80,38,32,84,53,87,164,A,,50,6,,,False,,,,,J. Alonso,M. Craca,A272,C439,ESP,GER,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS014,R16,02:01:00,,F,3,G297,"5-7,6-1,6-3",O. Gross,H. Gumy,,,GER,ARG,5-7,6-1,6-3,,,02:01:00,250,/en/stats/leaderboard?page=serve,2,4,59,51,87,65,33,51,53,19,36,8,14,201,/en/stats/leaderboard?page=serve,5,5,52,44,84,59,26,44,40,16,40,30,3,10,14,60,52,87,50,42,84,55,94,171,50,42,84,40,35,87,45,77,171,A,,67,12,,,,,,,,O. Gross,H. Gumy,G297,G247,GER,ARG,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS015,R16,02:16:00,,F,3,B429,"7-6(7),3-6,6-3",J. Burillo,F. Clavet,,,ESP,ESP,7-6(7),3-6,6-3,,,02:16:00,261,/en/stats/leaderboard?page=serve,2,9,58,66,113,76,50,66,47,22,47,4,15,262,/en/stats/leaderboard?page=serve,1,6,66,67,102,69,46,67,49,17,35,64,7,11,15,64,72,113,38,39,102,52,111,215,62,63,102,36,41,113,48,104,215,A,,50,8,,,,7,5,,,J. Burillo,F. Clavet,B429,C252,ESP,ESP,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS016,R32,01:15:00,,F,2,R286,"6-2,7-5",M. Rios,D. Sanguinetti,,,CHI,ITA,6-2,7-5,,,,01:15:00,278,/en/stats/leaderboard?page=serve,6,8,64,46,72,76,35,46,46,12,26,3,10,224,/en/stats/leaderboard?page=serve,2,2,58,41,71,66,27,41,40,12,30,76,13,17,10,65,47,72,45,32,71,55,79,143,55,39,71,35,25,72,45,64,143,A,,75,4,,,,,,,,M. Rios,D. Sanguinetti,R286,S480,CHI,ITA,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS017,R32,01:27:00,,F,2,P324,"6-4,6-4",S. Prieto,N. Lapentti,,,ARG,ECU,6-4,6-4,,,,01:27:00,272,/en/stats/leaderboard?page=serve,1,2,57,43,75,74,32,43,50,16,32,10,10,265,/en/stats/leaderboard?page=serve,3,3,64,32,50,81,26,32,50,9,18,0,0,3,10,64,48,75,30,15,50,50,63,125,70,35,50,36,27,75,50,62,125,A,,91,11,,,,,,,,S. Prieto,N. Lapentti,P324,L290,ARG,ECU,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS018,R32,01:53:00,,F,3,M443,"6-3,3-6,6-2",F. Meligeni,J. Diaz,,,BRA,ESP,6-3,3-6,6-2,,,01:53:00,264,/en/stats/leaderboard?page=serve,5,5,44,41,93,78,32,41,50,26,52,4,13,256,/en/stats/leaderboard?page=serve,4,0,74,67,90,58,39,67,52,12,23,57,4,7,13,62,58,93,43,39,90,53,97,183,57,51,90,38,35,93,47,86,183,A,,80,5,,,,,,,,F. Meligeni,J. Diaz,M443,D291,BRA,ESP,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS019,R32,01:00:00,,F,2,S548,"6-2,6-4",G. Silberstein,C. Costa,,,CHI,ESP,6-2,6-4,,,,01:00:00,290,/en/stats/leaderboard?page=serve,,3,63,33,52,73,24,33,63,12,19,1,9,233,/en/stats/leaderboard?page=serve,1,1,74,42,57,57,24,42,47,7,15,50,4,8,9,69,36,52,46,26,57,57,62,109,54,31,57,31,16,52,43,47,109,A,False,50,2,,,,,,,,G. Silberstein,C. Costa,S548,C179,CHI,ESP,,
8996,1997,Santiago,GP,1997-11-03T00:00:00,1997-11-09T00:00:00,Clay,32,303000,$,MS020,R32,00:48:00,,F,2,G254,"6-3,6-2",A. Gaudenzi,T. Haas,,,ITA,GER,6-3,6-2,,,,00:48:00,299,/en/stats/leaderboard?page=serve,1,4,59,23,39,87,20,23,63,10,16,1,8,207,/en/stats/leaderboard?page=serve,2,4,71,35,49,54,19,35,36,5,14,17,1,6,9,77,30,39,51,25,49,63,55,88,49,24,49,23,9,39,38,33,88,A,,50,2,,,,,,,,A. Gaudenzi,T. Haas,G254,H355,ITA,GER,,
