event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
540,2007,Wimbledon,GS,2007-06-25T00:00:00,2007-07-08T00:00:00,Grass,128,10039193,$,MS001,F,03:45:00,,F,5,F324,"7-6(9),4-6,7-6(7),2-6,6-2",R. Federer,R. Nadal,,,SUI,ESP,7-6(9),4-6,7-6(7),2-6,6-2,03:45:00,A,R. Federer,R. Nadal,SUI,ESP,,,9.0,7.0,7.0,3.0,309,/en/stats/leaderboard?page=serve,3,24,71,111,156,71,79,111,62,28,45,64,7,11,25,284,/en/stats/leaderboard?page=serve,2,1,71,118,167,69,81,118,57,28,49,63,5,8,25,69,107,156,35,58,167,51,165,323,65,109,167,31,49,156,49,158,323,,,,,F324,N409
540,2007,Wimbledon,GS,2007-06-25T00:00:00,2007-07-08T00:00:00,Grass,128,10039193,$,MS002,SF,01:44:00,,F,3,F324,"7-5,6-3,6-4",R. Federer,R. Gasquet,,,SUI,FRA,7-5,6-3,6-4,,,01:44:00,A,R. Federer,R. Gasquet,SUI,FRA,,,,,,,334,/en/stats/leaderboard?page=serve,0,20,71,64,90,78,50,64,65,17,26,100,3,3,16,273,/en/stats/leaderboard?page=serve,1,4,63,56,89,66,37,56,61,20,33,25,1,4,15,74,67,90,36,32,89,55,99,179,64,57,89,26,23,90,45,80,179,,,,,F324,G628
540,2007,Wimbledon,GS,2007-06-25T00:00:00,2007-07-08T00:00:00,Grass,128,10039193,$,MS003,SF,01:41:00,,F,3,N409,"3-6,6-1,4-1",R. Nadal,N. Djokovic,,,ESP,SRB,3-6,6-1,4-1,,,01:41:00,A,R. Nadal,N. Djokovic,ESP,SRB,,,,,,,287,/en/stats/leaderboard?page=serve,0,4,58,32,55,78,25,32,57,13,23,50,1,2,10,240,/en/stats/leaderboard?page=serve,2,7,65,50,77,66,33,50,41,11,27,60,6,10,11,69,38,55,43,33,77,54,71,132,57,44,77,31,17,55,46,61,132,,,,,N409,D643
540,2007,Wimbledon,GS,2007-06-25T00:00:00,2007-07-08T00:00:00,Grass,128,10039193,$,MS004,QF,02:16:00,,F,4,F324,"7-6(7),3-6,6-1,6-3",R. Federer,J. Ferrero,,,SUI,ESP,7-6(7),3-6,6-1,6-3,,02:16:00,A,R. Federer,J. Ferrero,SUI,ESP,,,7.0,2.0,,,299,/en/stats/leaderboard?page=serve,1,15,59,67,113,81,54,67,57,26,46,71,5,7,18,246,/en/stats/leaderboard?page=serve,3,3,66,79,120,68,54,79,39,16,41,38,3,8,19,71,80,113,42,50,120,56,130,233,58,70,120,29,33,113,44,103,233,,,,,F324,F316
540,2007,Wimbledon,GS,2007-06-25T00:00:00,2007-07-08T00:00:00,Grass,128,10039193,$,MS005,QF,03:34:00,,F,5,G628,"4-6,4-6,7-6(7),7-6(7),8-6",R. Gasquet,A. Roddick,,,FRA,USA,4-6,4-6,7-6(7),7-6(7),8-6,03:34:00,A,R. Gasquet,A. Roddick,FRA,USA,,,,,7.0,2.0,316,/en/stats/leaderboard?page=serve,4,23,65,116,179,78,90,116,65,41,63,70,7,10,29,306,/en/stats/leaderboard?page=serve,4,22,63,107,170,80,86,107,52,33,63,67,4,6,29,73,131,179,30,51,170,52,182,349,70,119,170,27,48,179,48,167,349,7.0,3.0,,,G628,R485
540,2007,Wimbledon,GS,2007-06-25T00:00:00,2007-07-08T00:00:00,Grass,128,10039193,$,MS006,QF,05:00:00,,F,5,D643,"7-6(7),7-6(11),6-7(3),4-6,7-5",N. Djokovic,M. Baghdatis,,,SRB,CYP,7-6(7),7-6(11),6-7(3),4-6,7-5,05:00:00,A,N. Djokovic,M. Baghdatis,SRB,CYP,,,7.0,4.0,3.0,7.0,286,/en/stats/leaderboard?page=serve,4,12,70,131,188,73,95,131,53,30,57,38,3,8,29,255,/en/stats/leaderboard?page=serve,8,6,50,113,225,73,82,113,52,58,112,71,12,17,29,66,125,188,38,85,225,51,210,413,62,140,225,34,63,188,49,203,413,,,11.0,9.0,D643,B837
540,2007,Wimbledon,GS,2007-06-25T00:00:00,2007-07-08T00:00:00,Grass,128,10039193,$,MS007,QF,02:07:00,,F,3,N409,"7-6(7),6-4,6-2",R. Nadal,T. Berdych,,,ESP,CZE,7-6(7),6-4,6-2,,,02:07:00,A,R. Nadal,T. Berdych,ESP,CZE,,,7.0,1.0,,,321,/en/stats/leaderboard?page=serve,2,6,77,72,93,71,51,72,76,16,21,80,4,5,15,253,/en/stats/leaderboard?page=serve,2,11,58,53,91,68,36,53,45,17,38,56,5,9,15,72,67,93,42,38,91,57,105,184,58,53,91,28,26,93,43,79,184,,,,,N409,BA47
540,2007,Wimbledon,GS,2007-06-25T00:00:00,2007-07-08T00:00:00,Grass,128,10039193,$,MS009,R16,01:52:00,,F,3,F316,"7-5,6-3,7-6(7)",J. Ferrero,J. Tipsarevic,,,ESP,SRB,7-5,6-3,7-6(7),,,01:52:00,A,J. Ferrero,J. Tipsarevic,ESP,SRB,,,,,7.0,5.0,311,/en/stats/leaderboard?page=serve,1,14,63,62,99,79,49,62,62,23,37,75,3,4,17,285,/en/stats/leaderboard?page=serve,3,14,59,51,87,76,39,51,58,21,36,25,1,4,16,73,72,99,31,27,87,53,99,186,69,60,87,27,27,99,47,87,186,,,,,F316,T742
540,2007,Wimbledon,GS,2007-06-25T00:00:00,2007-07-08T00:00:00,Grass,128,10039193,$,MS010,R16,01:50:00,,F,3,R485,"6-2,7-5,7-6(8)",A. Roddick,P. Mathieu,,,USA,FRA,6-2,7-5,7-6(8),,,01:50:00,A,A. Roddick,P. Mathieu,USA,FRA,,,,,8.0,6.0,314,/en/stats/leaderboard?page=serve,0,19,73,66,90,83,55,66,46,11,24,0,0,1,16,268,/en/stats/leaderboard?page=serve,0,2,61,55,90,67,37,55,63,22,35,50,4,8,16,73,66,90,34,31,90,54,97,180,66,59,90,27,24,90,46,83,180,,,,,R485,M850
540,2007,Wimbledon,GS,2007-06-25T00:00:00,2007-07-08T00:00:00,Grass,128,10039193,$,MS011,R16,01:42:00,,F,3,G628,"6-4,6-3,6-4",R. Gasquet,J. Tsonga,,,FRA,FRA,6-4,6-3,6-4,,,01:42:00,A,R. Gasquet,J. Tsonga,FRA,FRA,,,,,,,295,/en/stats/leaderboard?page=serve,1,3,60,45,75,80,36,45,67,20,30,50,2,4,15,236,/en/stats/leaderboard?page=serve,3,10,63,58,92,67,39,58,35,12,34,17,1,6,14,75,56,75,45,41,92,58,97,167,55,51,92,25,19,75,42,70,167,,,,,G628,T786
