event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_tot_loser,doublefaults_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS012,R16,01:37:00,,F,2,S544,"7-6(7),6-4",V. Spadea,D. Nargiso,,,USA,ITA,7-6(7),6-4,,,,01:37:00,301,/en/stats/leaderboard?page=serve,,4,79,53,67,74,39,53,57,8,14,1,11,261,/en/stats/leaderboard?page=serve,,7,63,57,91,77,44,57,38,13,34,82,9,11,11,70,47,67,37,34,91,51,81,158,63,57,91,30,20,67,49,77,158,A,50,2,5,3,,,7,4,,,V. Spadea,D. Nargiso,S544,N109,USA,ITA,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS013,R16,01:13:00,,F,2,F196,"7-5,6-3",W. Ferreira,D. Caldwell,,,RSA,USA,7-5,6-3,,,,01:13:00,273,/en/stats/leaderboard?page=serve,,6,48,30,63,77,23,30,64,21,33,7,11,231,/en/stats/leaderboard?page=serve,,0,76,47,62,57,27,47,40,6,15,56,5,9,10,70,44,63,47,29,62,58,73,125,53,33,62,30,19,63,42,52,125,A,78,9,2,3,,,,,,,W. Ferreira,D. Caldwell,F196,C407,RSA,USA,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS014,R16,01:29:00,,F,2,L226,"6-4,6-3",S. Lareau,M. Ruah,,,CAN,VEN,6-4,6-3,,,,01:29:00,303,/en/stats/leaderboard?page=serve,,14,60,30,50,87,26,30,55,11,20,0,9,244,/en/stats/leaderboard?page=serve,,7,60,56,94,64,36,56,45,17,38,77,10,13,10,74,37,50,44,41,94,54,78,144,56,53,94,26,13,50,46,66,144,A,,,2,1,,,,,,,S. Lareau,M. Ruah,L226,R224,CAN,VEN,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS015,R16,01:08:00,,F,2,A092,"6-3,6-4",A. Agassi,C. Van Garsse,,,USA,BEL,6-3,6-4,,,,01:08:00,297,/en/stats/leaderboard?page=serve,,2,61,30,49,83,25,30,63,12,19,0,10,226,/en/stats/leaderboard?page=serve,,3,55,37,67,62,23,37,43,13,30,73,8,11,9,76,37,49,46,31,67,59,68,116,54,36,67,24,12,49,41,48,116,A,0,1,3,2,,,,,,,A. Agassi,C. Van Garsse,A092,V170,USA,BEL,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS016,R32,01:08:00,,F,2,C274,"6-2,6-3",M. Chang,M. Sell,,,USA,USA,6-2,6-3,,,,01:08:00,261,/en/stats/leaderboard?page=serve,,5,46,24,52,79,19,24,57,16,28,2,9,180,/en/stats/leaderboard?page=serve,,0,52,28,54,54,15,28,38,10,26,58,7,12,8,67,35,52,54,29,54,60,64,106,46,25,54,33,17,52,40,42,106,A,50,4,1,3,,,,,,,M. Chang,M. Sell,C274,S601,USA,USA,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS017,R32,01:08:00,,F,2,D214,"6-2,6-4",M. Damm,L. Burgsmuller,,,CZE,GER,6-2,6-4,,,,01:08:00,258,/en/stats/leaderboard?page=serve,,9,59,34,58,76,26,34,54,13,24,0,9,253,/en/stats/leaderboard?page=serve,,4,76,41,54,63,26,41,46,6,13,63,5,8,9,67,39,58,41,22,54,54,61,112,59,32,54,33,19,58,46,51,112,A,,,2,6,,,,,,,M. Damm,L. Burgsmuller,D214,B484,CZE,GER,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS018,R32,01:55:00,,F,3,G354,"6-7(8),6-3,6-1",J. Gimelstob,A. Ilie,,,USA,AUS,6-7(8),6-3,6-1,,,01:55:00,296,/en/stats/leaderboard?page=serve,,8,63,59,94,75,44,59,60,21,35,7,14,213,/en/stats/leaderboard?page=serve,,1,40,37,93,59,22,37,57,32,56,50,5,10,14,69,65,94,42,39,93,56,104,187,58,54,93,31,29,94,44,83,187,A,88,8,8,2,,,8,10,,,J. Gimelstob,A. Ilie,G354,I052,USA,AUS,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS019,R32,01:54:00,,F,2,C243,"7-6(7),7-6(8)",J. Courier,M. Ondruska,,,USA,RSA,7-6(7),7-6(8),,,,01:54:00,298,/en/stats/leaderboard?page=serve,,5,64,50,78,82,41,50,57,16,28,1,12,279,/en/stats/leaderboard?page=serve,,10,58,52,90,75,39,52,50,19,38,86,6,7,12,73,57,78,36,32,90,53,89,168,64,58,90,27,21,78,47,79,168,A,50,2,5,1,8,6,7,3,,,J. Courier,M. Ondruska,C243,O098,USA,RSA,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS020,R32,01:28:00,,F,3,B397,"4-6,6-1,6-0",B. Black,G. Stafford,,,ZIM,RSA,4-6,6-1,6-0,,,01:28:00,289,/en/stats/leaderboard?page=serve,,4,63,51,81,76,39,51,57,17,30,7,12,217,/en/stats/leaderboard?page=serve,,5,64,43,67,58,25,43,38,9,24,44,4,9,11,69,56,81,49,33,67,60,89,148,51,34,67,31,25,81,40,59,148,A,88,8,2,2,,,,,,,B. Black,G. Stafford,B397,S406,ZIM,RSA,,
418,1998,Washington,CS,1998-07-20T00:00:00,1998-07-26T00:00:00,Hard,56,575000,$,MS021,R32,02:17:00,,F,3,D270,"4-6,6-3,7-6(8)",S. Draper,W. Black,,,AUS,ZIM,4-6,6-3,7-6(8),,,02:17:00,268,/en/stats/leaderboard?page=serve,,15,53,58,110,74,43,58,48,25,52,9,16,265,/en/stats/leaderboard?page=serve,,6,56,60,107,60,36,60,64,30,47,67,6,9,15,62,68,110,38,41,107,50,109,217,62,66,107,38,42,110,50,108,217,A,75,12,1,3,,,,,8,6,S. Draper,W. Black,D270,B499,AUS,ZIM,,
