event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
741,1998,Nottingham,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,315000,$,MS001,F,00:56:00,,F,2,B446,"6-3,6-2",J. Bjorkman,B. Black,,,SWE,ZIM,6-3,6-2,,,,00:56:00,274,/en/stats/leaderboard?page=serve,3,7,54,26,48,88,23,26,41,9,22,0,0,1,8,196,/en/stats/leaderboard?page=serve,3,0,50,23,46,57,13,23,48,11,23,29,2,7,9,67,32,48,48,22,46,57,54,94,52,24,46,33,16,48,43,40,94,A,,,,,,,,,J. Bjorkman,B. Black,B446,B397,SWE,ZIM,,
741,1998,Nottingham,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,315000,$,MS002,SF,01:08:00,,F,2,B397,"6-4,6-2",B. Black,S. Sargsian,,,ZIM,ARM,6-4,6-2,,,,01:08:00,277,/en/stats/leaderboard?page=serve,3,4,53,27,51,85,23,27,50,12,24,0,0,1,9,221,/en/stats/leaderboard?page=serve,3,4,70,51,73,59,30,51,36,8,22,73,11,15,9,69,35,51,48,35,73,56,70,124,52,38,73,31,16,51,44,54,124,A,,,,,,,,,B. Black,S. Sargsian,B397,S545,ZIM,ARM,,
741,1998,Nottingham,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,315000,$,MS003,SF,01:41:00,,F,3,B446,"6-3,2-6,6-3",J. Bjorkman,J. Golmard,,,SWE,FRA,6-3,2-6,6-3,,,01:41:00,270,/en/stats/leaderboard?page=serve,1,9,55,48,87,77,37,48,46,18,39,78,7,9,13,252,/en/stats/leaderboard?page=serve,5,5,62,57,92,65,37,57,49,17,35,63,5,8,13,63,55,87,41,38,92,52,93,179,59,54,92,37,32,87,48,86,179,A,,,,,,,,,J. Bjorkman,J. Golmard,B446,G319,SWE,FRA,,
741,1998,Nottingham,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,315000,$,MS004,QF,01:07:00,,F,2,B397,"7-5,6-2",B. Black,G. Pozzi,,,ZIM,ITA,7-5,6-2,,,,01:07:00,299,/en/stats/leaderboard?page=serve,2,3,68,36,53,75,27,36,65,11,17,50,1,2,10,213,/en/stats/leaderboard?page=serve,4,6,42,22,53,64,14,22,45,14,31,20,1,5,10,72,38,53,47,25,53,59,63,106,53,28,53,28,15,53,41,43,106,A,,,,,,,,,B. Black,G. Pozzi,B397,P045,ZIM,ITA,,
741,1998,Nottingham,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,315000,$,MS005,QF,01:29:00,,F,2,S545,"7-6(10),6-2",S. Sargsian,B. Steven,,,ARM,NZL,7-6(10),6-2,,,,01:29:00,267,/en/stats/leaderboard?page=serve,4,6,52,39,75,82,32,39,61,22,36,,0,,10,272,/en/stats/leaderboard?page=serve,3,4,67,54,81,65,35,54,59,16,27,71,5,7,10,72,54,75,37,30,81,54,84,156,63,51,81,28,21,75,46,72,156,A,10,8,,,,,,,S. Sargsian,B. Steven,S545,S321,ARM,NZL,,
741,1998,Nottingham,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,315000,$,MS006,QF,00:59:00,,F,2,G319,"6-4,6-3",J. Golmard,S. Draper,,,FRA,AUS,6-4,6-3,,,,00:59:00,321,/en/stats/leaderboard?page=serve,,8,72,33,46,79,26,33,85,11,13,,0,,9,249,/en/stats/leaderboard?page=serve,2,7,56,31,55,68,21,31,50,12,24,50,3,6,10,80,37,46,40,22,55,58,59,101,60,33,55,20,9,46,42,42,101,A,,,False,,,,,,J. Golmard,S. Draper,G319,D270,FRA,AUS,,
741,1998,Nottingham,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,315000,$,MS007,QF,01:13:00,,F,2,B446,"7-6(7),6-3",J. Bjorkman,D. Prinosil,,,SWE,GER,7-6(7),6-3,,,,01:13:00,294,/en/stats/leaderboard?page=serve,6,6,61,37,61,89,33,37,54,13,24,0,0,1,11,250,/en/stats/leaderboard?page=serve,8,5,55,38,69,79,30,38,39,12,31,67,4,6,10,75,46,61,39,27,69,56,73,130,61,42,69,25,15,61,44,57,130,A,7,5,,,,,,,J. Bjorkman,D. Prinosil,B446,P273,SWE,GER,,
741,1998,Nottingham,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,315000,$,MS008,R16,01:40:00,,F,2,P045,"6-4,7-5",G. Pozzi,J. Burillo,,,ITA,ESP,6-4,7-5,,,,01:40:00,273,/en/stats/leaderboard?page=serve,6,6,51,38,74,82,31,38,50,18,36,88,7,8,11,250,/en/stats/leaderboard?page=serve,2,6,62,39,63,74,29,39,38,9,24,25,1,4,11,66,49,74,40,25,63,54,74,137,60,38,63,34,25,74,46,63,137,A,,,,,,,,,G. Pozzi,J. Burillo,P045,B429,ITA,ESP,,
741,1998,Nottingham,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,315000,$,MS009,R16,01:47:00,,F,2,B397,"7-6(7),6-4",B. Black,G. Canas,,,ZIM,ARG,7-6(7),6-4,,,,01:47:00,232,/en/stats/leaderboard?page=serve,,1,56,44,78,59,26,44,53,18,34,50,4,8,11,205,/en/stats/leaderboard?page=serve,3,2,51,49,97,57,28,49,44,21,48,62,8,13,11,56,44,78,49,48,97,53,92,175,51,49,97,44,34,78,47,83,175,A,7,5,False,,,,,,B. Black,G. Canas,B397,C433,ZIM,ARG,,
741,1998,Nottingham,WS,1998-06-15T00:00:00,1998-06-21T00:00:00,Grass,32,315000,$,MS010,R16,01:10:00,,F,2,S545,"6-4,6-2",S. Sargsian,R. Reneberg,,,ARM,USA,6-4,6-2,,,,01:10:00,257,/en/stats/leaderboard?page=serve,1,9,48,31,64,77,24,31,58,19,33,,0,,9,225,/en/stats/leaderboard?page=serve,4,1,52,31,60,55,17,31,55,16,29,50,3,6,9,67,43,64,45,27,60,56,70,124,55,33,60,33,21,64,44,54,124,A,,,,,,,,,S. Sargsian,R. Reneberg,S545,R016,ARM,USA,,
