event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS013,R16,02:15:00,,F,3,H336,"6-7(2),7-5,6-2",T. Henman,M. Joyce,,,GBR,USA,6-7(2),7-5,6-2,,,02:15:00,,,263,/en/stats/leaderboard?page=serve,10,12,54,72,133,68,49,72,52,32,61,13,16,244,/en/stats/leaderboard?page=serve,5,5,59,63,107,65,41,63,52,23,44,58,7,12,16,61,81,133,40,43,107,52,124,240,60,64,107,39,52,133,48,116,240,A,2,7,87,15,,,T. Henman,M. Joyce,H336,J100,GBR,USA,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS014,R16,01:04:00,,F,2,M338,"6-4,6-2",S. Matsuoka,A. Corretja,,,JPN,ESP,6-4,6-2,,,,01:04:00,,,258,/en/stats/leaderboard?page=serve,2,3,61,28,46,75,21,28,44,8,18,0,9,190,/en/stats/leaderboard?page=serve,1,2,46,25,54,44,11,25,55,16,29,38,3,8,9,63,29,46,50,27,54,56,56,100,50,27,54,37,17,46,44,44,100,A,,,0,2,,,S. Matsuoka,A. Corretja,M338,C344,JPN,ESP,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS015,R16,01:21:00,,F,2,R237,"6-3,7-6(7)",G. Rusedski,M. Damm,,,GBR,CZE,6-3,7-6(7),,,,01:21:00,7,4,241,/en/stats/leaderboard?page=serve,7,10,60,55,92,73,40,55,51,19,37,0,11,297,/en/stats/leaderboard?page=serve,2,3,67,35,52,74,26,35,65,11,17,0,0,1,10,64,59,92,29,15,52,51,74,144,71,37,52,36,33,92,49,70,144,A,,,,,,,G. Rusedski,M. Damm,R237,D214,GBR,CZE,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS016,R32,01:50:00,,F,3,V037,"6-2,6-7(4),6-3",A. Volkov,C. Pioline,,,RUS,FRA,6-2,6-7(4),6-3,,,01:50:00,4,7,249,/en/stats/leaderboard?page=serve,3,1,45,40,89,73,29,40,55,27,49,4,14,201,/en/stats/leaderboard?page=serve,14,9,51,53,103,66,35,53,36,18,50,22,2,9,15,63,56,89,49,50,103,55,106,192,51,53,103,37,33,89,45,86,192,A,,,57,7,,,A. Volkov,C. Pioline,V037,P226,RUS,FRA,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS017,R32,00:47:00,,F,2,S443,"6-1,6-2",S. Stolle,J. Van Herck,,,AUS,BEL,6-1,6-2,,,,00:47:00,,,295,/en/stats/leaderboard?page=serve,2,8,67,31,46,87,27,31,60,9,15,0,8,199,/en/stats/leaderboard?page=serve,,2,68,26,38,54,14,26,33,4,12,43,3,7,7,78,36,46,53,20,38,67,56,84,47,18,38,22,10,46,33,28,84,A,,,,,False,,S. Stolle,J. Van Herck,S443,V167,AUS,BEL,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS018,R32,00:56:00,,F,2,P222,"6-2,6-1",M. Petchey,N. Pereira,,,GBR,VEN,6-2,6-1,,,,00:56:00,,,282,/en/stats/leaderboard?page=serve,3,7,59,27,46,74,20,27,58,11,19,1,8,157,/en/stats/leaderboard?page=serve,2,1,37,18,49,61,11,18,32,10,31,50,5,10,7,67,31,46,57,28,49,62,59,95,43,21,49,33,15,46,38,36,95,A,,,50,2,,,M. Petchey,N. Pereira,P222,P218,GBR,VEN,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS019,R32,01:00:00,,F,2,R255,"6-2,6-1",P. Rafter,J. Stoltenberg,,,AUS,AUS,6-2,6-1,,,,01:00:00,,,279,/en/stats/leaderboard?page=serve,1,2,58,31,53,74,23,31,59,13,22,0,8,186,/en/stats/leaderboard?page=serve,3,3,51,24,47,50,12,24,43,10,23,50,4,8,7,68,36,53,53,25,47,61,61,100,47,22,47,32,17,53,39,39,100,A,,,,,,,P. Rafter,J. Stoltenberg,R255,S331,AUS,AUS,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS020,R32,01:31:00,,F,2,S544,"6-2,7-6(7)",V. Spadea,M. Woodforde,,,USA,AUS,6-2,7-6(7),,,,01:31:00,7,4,282,/en/stats/leaderboard?page=serve,,3,55,41,75,63,26,41,71,24,34,2,10,243,/en/stats/leaderboard?page=serve,4,3,54,33,61,70,23,33,50,14,28,40,2,5,10,67,50,75,39,24,61,54,74,136,61,37,61,33,25,75,46,62,136,A,,,67,3,,False,V. Spadea,M. Woodforde,S544,W035,USA,AUS,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS021,R32,01:29:00,,F,2,K171,"6-4,7-6(7)",M. Knowles,K. Kucera,,,BAH,SVK,6-4,7-6(7),,,,01:29:00,7,4,227,/en/stats/leaderboard?page=serve,7,5,57,45,79,62,28,45,47,16,34,4,11,221,/en/stats/leaderboard?page=serve,2,2,63,45,71,62,28,45,42,11,26,38,3,8,11,56,44,79,45,32,71,51,76,150,55,39,71,44,35,79,49,74,150,A,,,50,8,,,M. Knowles,K. Kucera,K171,K237,BAH,SVK,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS022,R32,01:29:00,,F,2,W212,"7-5,7-5",C. Woodruff,N. Lapentti,,,USA,ECU,7-5,7-5,,,,01:29:00,,,258,/en/stats/leaderboard?page=serve,1,1,68,51,75,69,35,51,46,11,24,3,12,213,/en/stats/leaderboard?page=serve,2,2,49,34,70,62,21,34,44,16,36,44,4,9,12,61,46,75,47,33,70,54,79,145,53,37,70,39,29,75,46,66,145,A,,,50,6,,,C. Woodruff,N. Lapentti,W212,L290,USA,ECU,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS023,R32,01:23:00,,F,3,W136,"2-6,6-0,6-1",T. Woodbridge,K. Carlsen,,,AUS,DEN,2-6,6-0,6-1,,,01:23:00,,,257,/en/stats/leaderboard?page=serve,3,1,56,45,80,76,34,45,46,16,35,6,11,214,/en/stats/leaderboard?page=serve,5,3,64,37,58,54,20,37,48,10,21,17,1,6,10,63,50,80,48,28,58,57,78,138,52,30,58,38,30,80,43,60,138,A,,,75,8,,,T. Woodbridge,K. Carlsen,W136,C328,AUS,DEN,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS024,R32,01:03:00,,F,2,S381,"6-3,6-3",J. Siemerink,A. Olhovskiy,,,NED,RUS,6-3,6-3,,,,01:03:00,,,273,/en/stats/leaderboard?page=serve,5,9,64,42,66,71,30,42,46,11,24,4,9,212,/en/stats/leaderboard?page=serve,6,4,57,30,53,63,19,30,39,9,23,20,1,5,9,62,41,66,47,25,53,55,66,119,53,28,53,38,25,66,45,53,119,A,,,80,5,,,J. Siemerink,A. Olhovskiy,S381,O009,NED,RUS,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS025,R32,01:46:00,,F,3,G252,"7-6(9),6-7(6),6-3",M. Goellner,J. Frana,,,GER,ARG,7-6(9),6-7(6),6-3,,,01:46:00,6,8,300,/en/stats/leaderboard?page=serve,10,18,50,52,104,90,47,52,58,30,52,0,17,305,/en/stats/leaderboard?page=serve,3,23,62,58,94,83,48,58,53,19,36,50,2,4,16,74,77,104,29,27,94,53,104,198,71,67,94,26,27,104,47,94,198,A,9,7,0,1,,,M. Goellner,J. Frana,G252,F041,GER,ARG,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS026,R32,01:13:00,,F,2,J100,"6-3,6-4",M. Joyce,D. Sapsford,,,USA,GBR,6-3,6-4,,,,01:13:00,,,286,/en/stats/leaderboard?page=serve,3,5,70,47,67,74,35,47,50,10,20,7,10,249,/en/stats/leaderboard?page=serve,3,2,71,40,56,63,25,40,50,8,16,63,5,8,9,67,45,67,41,23,56,55,68,123,59,33,56,33,22,67,45,55,123,A,,,88,8,,,M. Joyce,D. Sapsford,J100,S404,USA,GBR,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS027,R32,01:15:00,,F,2,H336,"6-3,7-5",T. Henman,M. Washington,,,GBR,USA,6-3,7-5,,,,01:15:00,,,298,/en/stats/leaderboard?page=serve,4,6,56,31,55,87,27,31,63,15,24,1,11,234,/en/stats/leaderboard?page=serve,6,2,55,36,65,75,27,36,38,11,29,70,7,10,10,76,42,55,42,27,65,58,69,120,58,38,65,24,13,55,43,51,120,A,,,50,2,,,T. Henman,M. Washington,H336,W124,GBR,USA,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS028,R32,01:27:00,,F,2,C344,"6-3,6-4",A. Corretja,R. Koenig,,,ESP,RSA,6-3,6-4,,,,01:27:00,,,236,/en/stats/leaderboard?page=serve,1,2,46,29,63,66,19,29,53,18,34,3,10,204,/en/stats/leaderboard?page=serve,3,3,65,40,62,50,20,40,45,10,22,44,4,9,9,59,37,63,52,32,62,55,69,125,48,30,62,41,26,63,45,56,125,A,,,50,6,,,A. Corretja,R. Koenig,C344,K219,ESP,RSA,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS029,R32,01:17:00,,F,2,M338,"6-4,7-6(11)",S. Matsuoka,S. Simian,,,JPN,FRA,6-4,7-6(11),,,,01:17:00,11,9,293,/en/stats/leaderboard?page=serve,3,6,68,50,74,82,41,50,50,12,24,3,11,266,/en/stats/leaderboard?page=serve,5,3,68,52,77,75,39,52,44,11,25,78,7,9,11,72,53,74,35,27,77,53,80,151,65,50,77,28,21,74,47,71,151,A,,,75,4,,,S. Matsuoka,S. Simian,M338,S454,JPN,FRA,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS030,R32,01:48:00,,F,2,D214,"7-6(11),7-5",M. Damm,C. Wilkinson,,,CZE,GBR,7-6(11),7-5,,,,01:48:00,,,283,/en/stats/leaderboard?page=serve,5,8,58,43,74,81,35,43,58,18,31,4,12,243,/en/stats/leaderboard?page=serve,8,5,52,45,87,64,29,45,55,23,42,57,4,7,12,72,53,74,40,35,87,55,88,161,60,52,87,28,21,74,45,73,161,A,11,9,67,6,,,M. Damm,C. Wilkinson,D214,W150,CZE,GBR,,
741,1996,Nottingham,GP,1996-06-17T00:00:00,1996-06-23T00:00:00,Grass,32,303000,$,MS031,R32,00:55:00,,F,2,R237,"6-1,6-4",G. Rusedski,A. Costa,,,GBR,ESP,6-1,6-4,,,,00:55:00,,,277,/en/stats/leaderboard?page=serve,4,8,56,25,45,80,20,25,50,10,20,1,8,196,/en/stats/leaderboard?page=serve,3,1,55,31,56,55,17,31,44,11,25,44,4,9,9,67,30,45,50,28,56,57,58,101,50,28,56,33,15,45,43,43,101,A,,,50,2,,,G. Rusedski,A. Costa,R237,C378,GBR,ESP,,
