event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS011,R16,01:52:00,,F,3,BD06,"6-3,7-5,6-2",R. Bautista Agut,B. Paire,,,ESP,FRA,6-3,7-5,6-2,,,01:52:00,,,,,,,284,/en/stats/leaderboard?page=serve,5,1,71,61,86,80,49,61,44,11,25,80,4,5,15,232,/en/stats/leaderboard?page=serve,9,18,47,50,106,76,38,50,36,20,56,44,4,9,14,70,60,86,45,48,106,56,108,192,55,58,106,30,26,86,44,84,192,A,,,,,R. Bautista Agut,B. Paire,BD06,PD31,ESP,FRA,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS012,R16,02:57:00,,F,4,Q927,"6-4,6-7(7),7-6(7),7-6(7)",S. Querrey,T. Sandgren,,,USA,USA,6-4,6-7(7),7-6(7),7-6(7),,02:57:00,,,7,3,,,329,/en/stats/leaderboard?page=serve,5,25,66,96,146,83,80,96,60,30,50,100,4,4,23,309,/en/stats/leaderboard?page=serve,3,13,65,97,149,79,77,97,60,31,52,80,4,5,23,75,110,146,28,41,149,51,151,295,72,108,149,25,36,146,49,144,295,A,7,5,7,9,S. Querrey,T. Sandgren,Q927,SL08,USA,USA,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS013,R16,01:45:00,,F,3,N409,"6-2,6-2,6-2",R. Nadal,J. Sousa,,,ESP,POR,6-2,6-2,6-2,,,01:45:00,,,,,,,314,/en/stats/leaderboard?page=serve,3,5,57,35,61,86,30,35,69,18,26,0,0,0,12,224,/en/stats/leaderboard?page=serve,0,4,68,52,76,56,29,52,46,11,24,25,2,8,12,79,48,61,47,36,76,61,84,137,53,40,76,21,13,61,39,53,137,A,,,,,R. Nadal,J. Sousa,N409,SH90,ESP,POR,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS014,R16,02:43:00,,F,4,N552,"6-3,3-6,6-3,6-4",K. Nishikori,M. Kukushkin,,,JPN,KAZ,6-3,3-6,6-3,6-4,,02:43:00,,,,,,,272,/en/stats/leaderboard?page=serve,2,4,59,71,120,66,47,71,61,30,49,73,8,11,19,256,/en/stats/leaderboard?page=serve,1,10,66,81,122,65,53,81,44,18,41,62,8,13,18,64,77,120,42,51,122,53,128,242,58,71,122,36,43,120,47,114,242,A,,,,,K. Nishikori,M. Kukushkin,N552,K926,JPN,KAZ,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS015,R16,01:14:00,,F,3,F324,"6-1,6-2,6-2",R. Federer,M. Berrettini,,,SUI,ITA,6-1,6-2,6-2,,,01:14:00,,,,,,,329,/en/stats/leaderboard?page=serve,1,5,69,42,61,88,37,42,68,13,19,100,1,1,12,193,/en/stats/leaderboard?page=serve,3,3,45,26,58,69,18,26,34,11,32,14,1,7,11,82,50,61,50,29,58,66,79,119,50,29,58,18,11,61,34,40,119,A,,,,,R. Federer,M. Berrettini,F324,BK40,SUI,ITA,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS016,R32,03:00:00,,F,4,D643,"7-5,6-7(5),6-1,6-4",N. Djokovic,H. Hurkacz,,,SRB,POL,7-5,6-7(5),6-1,6-4,,03:00:00,,,,,,,300,/en/stats/leaderboard?page=serve,8,9,66,87,132,82,71,87,51,23,45,100,3,3,21,268,/en/stats/leaderboard?page=serve,7,13,61,82,135,68,56,82,53,28,53,76,13,17,20,71,94,132,38,51,135,54,145,267,62,84,135,29,38,132,46,122,267,A,,,5,7,N. Djokovic,H. Hurkacz,D643,HB71,SRB,POL,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS017,R32,02:10:00,,F,3,HH26,"6-4,7-5,6-3",U. Humbert,F. Auger-Aliassime,,,FRA,CAN,6-4,7-5,6-3,,,02:10:00,,,,,,,298,/en/stats/leaderboard?page=serve,2,4,63,52,83,79,41,52,61,19,31,75,3,4,15,244,/en/stats/leaderboard?page=serve,9,11,66,67,101,73,49,67,35,12,34,50,5,10,16,72,60,83,40,40,101,54,100,184,60,61,101,28,23,83,46,84,184,A,,,,,U. Humbert,F. Auger-Aliassime,HH26,AG37,FRA,CAN,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS018,R32,03:31:00,,F,5,GB88,"4-6,6-2,3-6,6-3,7-5",D. Goffin,D. Medvedev,,,BEL,RUS,4-6,6-2,3-6,6-3,7-5,03:31:00,,,,,,,270,/en/stats/leaderboard?page=serve,4,10,50,67,135,84,56,67,51,35,68,55,6,11,24,252,/en/stats/leaderboard?page=serve,9,20,60,104,174,64,67,104,47,33,70,61,11,18,24,67,91,135,43,74,174,53,165,309,57,100,174,33,44,135,47,144,309,A,,,,,D. Goffin,D. Medvedev,GB88,MM58,BEL,RUS,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS019,R32,02:19:00,,F,3,V306,"6-4,7-6(7),6-4",F. Verdasco,T. Fabbiano,,,ESP,ITA,6-4,7-6(7),6-4,,,02:19:00,,,,,,,282,/en/stats/leaderboard?page=serve,6,12,65,70,108,77,54,70,47,18,38,83,10,12,16,249,/en/stats/leaderboard?page=serve,4,2,59,59,100,61,36,59,56,23,41,60,6,10,16,67,72,108,41,41,100,54,113,208,59,59,100,33,36,108,46,95,208,A,,,7,1,F. Verdasco,T. Fabbiano,V306,F586,ESP,ITA,,
540,2019,Wimbledon,GS,2019-07-01T00:00:00,2019-07-14T00:00:00,Grass,128,17769000,£,MS020,R32,02:34:00,,F,3,PC11,"6-4,6-3,7-6(7)",G. Pella,K. Anderson,,,ARG,RSA,6-4,6-3,7-6(7),,,02:34:00,,,7,4,,,284,/en/stats/leaderboard?page=serve,3,4,70,85,121,76,65,85,44,16,36,89,8,9,16,277,/en/stats/leaderboard?page=serve,4,14,63,59,94,81,48,59,43,15,35,73,8,11,15,67,81,121,33,31,94,52,112,215,67,63,94,33,40,121,48,103,215,A,,,,,G. Pella,K. Anderson,PC11,A678,ARG,RSA,,
