event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS013,R16,01:53:00,,F,3,E113,"6-3,3-6,6-4",T. Enqvist,K. Kucera,,,SWE,SVK,6-3,3-6,6-4,,,01:53:00,252,/en/stats/leaderboard?page=serve,4,7,56,53,94,68,36,53,54,22,41,64,7,11,14,233,/en/stats/leaderboard?page=serve,5,6,49,43,88,72,31,43,47,21,45,58,7,12,14,62,58,94,41,36,88,52,94,182,59,52,88,38,36,94,48,88,182,A,,,,,,,T. Enqvist,K. Kucera,E113,K237,SWE,SVK,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS014,R16,01:32:00,,F,2,R214,"6-3,7-6(10)",M. Rosset,D. Hrbaty,,,SUI,SVK,6-3,7-6(10),,,,01:32:00,270,/en/stats/leaderboard?page=serve,9,5,46,31,68,87,27,31,51,19,37,50,1,2,10,223,/en/stats/leaderboard?page=serve,7,2,38,28,74,64,18,28,54,25,46,57,4,7,11,68,46,68,42,31,74,54,77,142,58,43,74,32,22,68,46,65,142,A,10,8,,,,,M. Rosset,D. Hrbaty,R214,H377,SUI,SVK,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS015,R16,01:05:00,,F,2,F324,"7-5,6-3",R. Federer,G. Ivanisevic,,,SUI,CRO,7-5,6-3,,,,01:05:00,293,/en/stats/leaderboard?page=serve,1,6,70,44,63,70,31,44,58,11,19,0,0,1,10,231,/en/stats/leaderboard?page=serve,5,11,45,27,60,81,22,27,36,12,33,43,3,7,11,67,42,63,43,26,60,55,68,123,57,34,60,33,21,63,45,55,123,A,,,,,,,R. Federer,G. Ivanisevic,F324,I034,SUI,CRO,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS016,R32,01:02:00,,F,2,K267,"6-3,6-4",Y. Kafelnikov,A. Medvedev,,,RUS,UKR,6-3,6-4,,,,01:02:00,256,/en/stats/leaderboard?page=serve,2,2,49,32,65,66,21,32,61,20,33,71,5,7,10,221,/en/stats/leaderboard?page=serve,1,10,58,32,55,69,22,32,30,7,23,20,1,5,9,63,41,65,47,26,55,56,67,120,53,29,55,37,24,65,44,53,120,A,,,,,,,Y. Kafelnikov,A. Medvedev,K267,M475,RUS,UKR,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS017,R32,01:09:00,,F,2,V141,"6-3,6-2",D. Vacek,T. Johansson,,,CZE,SWE,6-3,6-2,,,,01:09:00,233,/en/stats/leaderboard?page=serve,3,1,44,21,48,62,13,21,63,17,27,25,1,4,9,161,/en/stats/leaderboard?page=serve,0,7,38,20,52,60,12,20,31,10,32,33,3,9,8,63,30,48,58,30,52,60,60,100,42,22,52,38,18,48,40,40,100,A,,,,,,,D. Vacek,T. Johansson,V141,J129,CZE,SWE,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS018,R32,01:46:00,,F,3,S424,"4-6,6-2,6-4",F. Santoro,M. Safin,,,FRA,RUS,4-6,6-2,6-4,,,01:46:00,255,/en/stats/leaderboard?page=serve,1,3,59,44,75,75,33,44,48,15,31,33,2,6,14,219,/en/stats/leaderboard?page=serve,5,12,37,36,97,75,27,36,43,26,61,45,5,11,14,64,48,75,45,44,97,53,92,172,55,53,97,36,27,75,47,80,172,A,,,,,,,F. Santoro,M. Safin,S424,S741,FRA,RUS,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS019,R32,01:11:00,,F,2,A226,"6-4,7-5",H. Arazi,J. Gambill,,,MAR,USA,6-4,7-5,,,,01:11:00,298,/en/stats/leaderboard?page=serve,2,3,59,39,66,90,35,39,48,13,27,100,1,1,11,292,/en/stats/leaderboard?page=serve,1,9,69,41,59,73,30,41,61,11,18,60,3,5,11,73,48,66,31,18,59,53,66,125,69,41,59,27,18,66,47,59,125,A,,,,,,,H. Arazi,J. Gambill,A226,G352,MAR,USA,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS020,R32,02:00:00,,F,2,Z073,"7-6(7),7-5",M. Zabaleta,T. Henman,,,ARG,GBR,7-6(7),7-5,,,,02:00:00,281,/en/stats/leaderboard?page=serve,3,4,53,56,105,68,38,56,59,29,49,100,6,6,12,289,/en/stats/leaderboard?page=serve,3,9,46,31,68,84,26,31,62,23,37,50,1,2,12,64,67,105,28,19,68,50,86,173,72,49,68,36,38,105,50,87,173,A,,,7,3,,,M. Zabaleta,T. Henman,Z073,H336,ARG,GBR,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS021,R32,01:21:00,,F,2,S681,"6-4,6-4",C. Saulnier,R. Schuettler,,,FRA,GER,6-4,6-4,,,,01:21:00,265,/en/stats/leaderboard?page=serve,1,2,42,27,64,70,19,27,62,23,37,80,4,5,10,255,/en/stats/leaderboard?page=serve,2,6,55,30,55,70,21,30,56,14,25,40,2,5,10,66,42,64,36,20,55,52,62,119,64,35,55,34,22,64,48,57,119,A,,,,,,,C. Saulnier,R. Schuettler,S681,S636,FRA,GER,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS022,R32,01:08:00,,F,2,G319,"6-2,6-2",J. Golmard,J. Ferrero,,,FRA,ESP,6-2,6-2,,,,01:08:00,294,/en/stats/leaderboard?page=serve,3,4,46,22,48,82,18,22,65,17,26,100,3,3,8,197,/en/stats/leaderboard?page=serve,4,2,44,24,55,63,15,24,42,13,31,50,4,8,8,73,35,48,49,27,55,60,62,103,51,28,55,27,13,48,40,41,103,A,,,,,,,J. Golmard,J. Ferrero,G319,F316,FRA,ESP,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS023,R32,01:08:00,,F,2,R237,"6-3,6-4",G. Rusedski,A. Clement,,,GBR,FRA,6-3,6-4,,,,01:08:00,280,/en/stats/leaderboard?page=serve,2,12,58,30,52,87,26,30,45,10,22,0,0,2,10,213,/en/stats/leaderboard?page=serve,3,2,60,32,53,56,18,32,43,9,21,20,1,5,9,69,36,52,49,26,53,59,62,105,51,27,53,31,16,52,41,43,105,A,,,,,,,G. Rusedski,A. Clement,R237,C487,GBR,FRA,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS024,R32,01:48:00,,F,2,P226,"7-5,7-6(7)",C. Pioline,A. Martin,,,FRA,ESP,7-5,7-6(7),,,,01:48:00,287,/en/stats/leaderboard?page=serve,3,10,51,38,75,79,30,38,59,22,37,67,2,3,12,275,/en/stats/leaderboard?page=serve,6,5,64,54,85,74,40,54,55,17,31,67,4,6,12,69,52,75,33,28,85,50,80,160,67,57,85,31,23,75,50,80,160,A,7,5,,,,,C. Pioline,A. Martin,P226,M590,FRA,ESP,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS025,R32,01:20:00,,F,2,T136,"7-5,6-4",J. Tarango,J. Bjorkman,,,USA,SWE,7-5,6-4,,,,01:20:00,302,/en/stats/leaderboard?page=serve,2,3,49,29,59,72,21,29,80,24,30,0,0,0,11,267,/en/stats/leaderboard?page=serve,3,4,48,30,63,73,22,30,64,21,33,50,2,4,11,76,45,59,32,20,63,53,65,122,68,43,63,24,14,59,47,57,122,A,,,,,,,J. Tarango,J. Bjorkman,T136,B446,USA,SWE,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS026,R32,01:26:00,,F,2,K237,"7-5,6-3",K. Kucera,J. Novak,,,SVK,CZE,7-5,6-3,,,,01:26:00,274,/en/stats/leaderboard?page=serve,9,9,58,49,85,76,37,49,50,18,36,90,9,10,11,240,/en/stats/leaderboard?page=serve,2,1,70,52,74,65,34,52,36,8,22,67,6,9,10,65,55,85,43,32,74,55,87,159,57,42,74,35,30,85,45,72,159,A,,,,,,,K. Kucera,J. Novak,K237,N254,SVK,CZE,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS027,R32,01:06:00,,F,2,E113,"6-1,6-4",T. Enqvist,A. Voinea,,,SWE,ROU,6-1,6-4,,,,01:06:00,288,/en/stats/leaderboard?page=serve,7,8,43,28,65,93,26,28,51,19,37,100,6,6,9,226,/en/stats/leaderboard?page=serve,4,5,57,28,49,68,19,28,38,8,21,40,2,5,8,69,45,65,45,22,49,59,67,114,55,27,49,31,20,65,41,47,114,A,,,,,,,T. Enqvist,A. Voinea,E113,V166,SWE,ROU,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS028,R32,00:58:00,,F,2,H377,"6-4,6-3",D. Hrbaty,A. Pavel,,,SVK,ROU,6-4,6-3,,,,00:58:00,309,/en/stats/leaderboard?page=serve,3,7,29,14,48,100,14,14,76,26,34,0,0,0,10,256,/en/stats/leaderboard?page=serve,4,5,50,29,58,83,24,29,45,13,29,67,4,6,9,83,40,48,36,21,58,58,61,106,64,37,58,17,8,48,42,45,106,A,,,,,,,D. Hrbaty,A. Pavel,H377,P280,SVK,ROU,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS029,R32,01:16:00,,F,2,R214,"6-4,6-4",M. Rosset,I. Ljubicic,,,SUI,CRO,6-4,6-4,,,,01:16:00,290,/en/stats/leaderboard?page=serve,6,7,53,30,57,83,25,30,63,17,27,67,2,3,10,244,/en/stats/leaderboard?page=serve,1,5,48,27,56,74,20,27,48,14,29,25,1,4,10,74,42,57,39,22,56,57,64,113,61,34,56,26,15,57,43,49,113,A,,,,,,,M. Rosset,I. Ljubicic,R214,L360,SUI,CRO,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS030,R32,01:07:00,,F,2,I034,"7-5,6-2",G. Ivanisevic,W. Black,,,CRO,ZIM,7-5,6-2,,,,01:07:00,284,/en/stats/leaderboard?page=serve,5,12,43,26,60,88,23,26,56,19,34,75,3,4,10,217,/en/stats/leaderboard?page=serve,4,2,54,30,56,63,19,30,42,11,26,43,3,7,10,70,42,60,46,26,56,59,68,116,54,30,56,30,18,60,41,48,116,A,,,,,,,G. Ivanisevic,W. Black,I034,B499,CRO,ZIM,,
408,2000,London-1,CS,2000-02-21T00:00:00,2000-02-27T00:00:00,Hard,32,700000,$,MS031,R32,01:02:00,,F,2,F324,"6-2,6-3",R. Federer,N. Kiefer,,,SUI,GER,6-2,6-3,,,,01:02:00,295,/en/stats/leaderboard?page=serve,1,6,59,33,56,79,26,33,52,12,23,100,5,5,8,209,/en/stats/leaderboard?page=serve,2,2,47,23,49,57,13,23,50,13,26,33,2,6,9,68,38,56,47,23,49,58,61,105,53,26,49,32,18,56,42,44,105,A,,,,,,,R. Federer,N. Kiefer,F324,K316,SUI,GER,,
