event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
495,1996,Dubai,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,1014250,$,MS001,F,00:59:00,,F,2,I034,"6-4,6-3",G. Ivanisevic,A. Costa,,,CRO,ESP,6-4,6-3,,,,00:59:00,223,/en/stats/leaderboard?page=serve,4,13,61,28,46,86,24,28,67,12,18,0,0,,9,262,/en/stats/leaderboard?page=serve,2,1,79,48,61,60,29,48,54,7,13,40,2,5,10,78,36,46,41,25,61,57,61,107,59,36,61,22,10,46,43,46,107,A,,,,,,,,,G. Ivanisevic,A. Costa,I034,C378,CRO,ESP,,
495,1996,Dubai,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,1014250,$,MS002,SF,01:39:00,,F,3,C378,"3-6,6-3,6-1",A. Costa,J. Sanchez,,,ESP,ESP,3-6,6-3,6-1,,,01:39:00,271,/en/stats/leaderboard?page=serve,1,2,80,59,74,68,40,59,47,7,15,67,6,9,12,207,/en/stats/leaderboard?page=serve,5,1,53,45,85,62,28,45,43,17,40,45,5,11,13,64,47,74,47,40,85,55,87,159,53,45,85,36,27,74,45,72,159,A,,,,,,,,,A. Costa,J. Sanchez,C378,S015,ESP,ESP,,
495,1996,Dubai,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,1014250,$,MS003,SF,01:19:00,,F,2,I034,"6-2,7-6(8)",G. Ivanisevic,D. Prinosil,,,CRO,GER,6-2,7-6(8),,,,01:19:00,286,/en/stats/leaderboard?page=serve,2,14,57,37,65,86,32,37,61,17,28,,0,,10,261,/en/stats/leaderboard?page=serve,2,4,61,51,83,71,36,51,47,15,32,75,6,8,10,75,49,65,39,32,83,55,81,148,61,51,83,25,16,65,45,67,148,A,8,6,,,,,,,G. Ivanisevic,D. Prinosil,I034,P273,CRO,GER,,
495,1996,Dubai,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,1014250,$,MS004,QF,01:48:00,,F,3,S015,"2-6,7-5,6-4",J. Sanchez,S. Stolle,,,ESP,AUS,2-6,7-5,6-4,,,01:48:00,248,/en/stats/leaderboard?page=serve,5,2,72,71,98,65,46,71,41,11,27,50,4,8,15,237,/en/stats/leaderboard?page=serve,12,4,62,58,93,76,44,58,34,12,35,60,6,10,15,58,57,98,40,37,93,49,94,191,60,56,93,42,41,98,51,97,191,A,,,,,,,,,J. Sanchez,S. Stolle,S015,S443,ESP,AUS,,
495,1996,Dubai,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,1014250,$,MS005,QF,01:32:00,,F,3,C378,"6-3,2-6,6-2",A. Costa,H. Davids,,,ESP,NED,6-3,2-6,6-2,,,01:32:00,260,/en/stats/leaderboard?page=serve,2,0,73,55,75,73,40,55,40,8,20,63,5,8,13,230,/en/stats/leaderboard?page=serve,4,6,47,41,88,68,28,41,47,22,47,50,4,8,12,64,48,75,43,38,88,53,86,163,57,50,88,36,27,75,47,77,163,A,,,,,,,,,A. Costa,H. Davids,C378,D170,ESP,NED,,
495,1996,Dubai,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,1014250,$,MS006,QF,00:42:00,,F,2,I034,"6-2,6-1",G. Ivanisevic,W. Ferreira,,,CRO,RSA,6-2,6-1,,,,00:42:00,222,/en/stats/leaderboard?page=serve,,4,63,22,35,86,19,22,69,9,13,0,0,,7,190,/en/stats/leaderboard?page=serve,3,5,65,26,40,65,17,26,21,3,14,17,1,6,8,80,28,35,50,20,40,64,48,75,50,20,40,20,7,35,36,27,75,A,,,False,,,,,,G. Ivanisevic,W. Ferreira,I034,F196,CRO,RSA,,
495,1996,Dubai,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,1014250,$,MS007,QF,01:04:00,,F,2,P273,"6-2,6-3",D. Prinosil,T. Enqvist,,,GER,SWE,6-2,6-3,,,,01:04:00,275,/en/stats/leaderboard?page=serve,1,7,49,26,53,81,21,26,52,14,27,75,3,4,8,190,/en/stats/leaderboard?page=serve,5,1,50,27,54,56,15,27,44,12,27,17,1,6,9,66,35,53,50,27,54,58,62,107,50,27,54,34,18,53,42,45,107,A,,,,,,,,,D. Prinosil,T. Enqvist,P273,E113,GER,SWE,,
495,1996,Dubai,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,1014250,$,MS008,R16,01:35:00,,F,3,S443,"6-3,1-6,6-4",S. Stolle,A. Cherkasov,,,AUS,RUS,6-3,1-6,6-4,,,01:35:00,249,/en/stats/leaderboard?page=serve,5,9,58,45,77,80,36,45,38,12,32,33,2,6,13,251,/en/stats/leaderboard?page=serve,4,0,81,75,93,61,46,75,44,8,18,67,8,12,13,62,48,77,42,39,93,51,87,170,58,54,93,38,29,77,49,83,170,A,,,,,,,,,S. Stolle,A. Cherkasov,S443,C260,AUS,RUS,,
495,1996,Dubai,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,1014250,$,MS009,R16,02:14:00,,F,3,S015,"6-3,4-6,7-6(7)",J. Sanchez,F. Santoro,,,ESP,FRA,6-3,4-6,7-6(7),,,02:14:00,229,/en/stats/leaderboard?page=serve,5,2,61,62,102,76,47,62,33,13,40,54,7,13,16,215,/en/stats/leaderboard?page=serve,3,1,43,40,94,55,22,40,59,32,54,57,8,14,15,59,60,102,43,40,94,51,100,196,57,54,94,41,42,102,49,96,196,A,,,,7,5,,,,J. Sanchez,F. Santoro,S015,S424,ESP,FRA,,
495,1996,Dubai,GP,1996-02-12T00:00:00,1996-02-18T00:00:00,Hard,32,1014250,$,MS010,R16,01:08:00,,F,2,D170,"6-4,6-4",H. Davids,A. Berasategui,,,NED,ESP,6-4,6-4,,,,01:08:00,292,/en/stats/leaderboard?page=serve,1,5,55,29,53,76,22,29,67,16,24,75,3,4,10,255,/en/stats/leaderboard?page=serve,2,0,87,55,63,62,34,55,38,3,8,40,2,5,10,72,38,53,41,26,63,55,64,116,59,37,63,28,15,53,45,52,116,A,,,,,,,,,H. Davids,A. Berasategui,D170,B428,NED,ESP,,
