event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS013,R16,01:32:00,,F,2,M443,"7-6(7),6-3",F. Meligeni,B. Karbacher,,,BRA,GER,7-6(7),6-3,,,,01:32:00,274,/en/stats/leaderboard?page=serve,3,1,51,38,75,79,30,38,65,24,37,,0,,11,284,/en/stats/leaderboard?page=serve,1,8,55,34,62,82,28,34,50,14,28,80,4,5,10,72,54,75,32,20,62,54,74,137,68,42,62,28,21,75,46,63,137,A,,,7,2,,,,,F. Meligeni,B. Karbacher,M443,K190,BRA,GER,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS014,R16,02:02:00,,F,3,G254,"5-7,6-2,6-4",A. Gaudenzi,J. Alonso,,,ITA,ESP,5-7,6-2,6-4,,,02:02:00,272,/en/stats/leaderboard?page=serve,6,5,61,57,94,75,43,57,51,19,37,71,5,7,15,242,/en/stats/leaderboard?page=serve,9,4,57,62,108,65,40,62,52,24,46,73,11,15,15,66,62,94,41,44,108,52,106,202,59,64,108,34,32,94,48,96,202,A,,,,,,,,,A. Gaudenzi,J. Alonso,G254,A272,ITA,ESP,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS015,R16,01:04:00,,F,2,L290,"6-4,6-1",N. Lapentti,Y. Kafelnikov,,,ECU,RUS,6-4,6-1,,,,01:04:00,278,/en/stats/leaderboard?page=serve,1,4,56,28,50,82,23,28,50,11,22,67,2,3,8,187,/en/stats/leaderboard?page=serve,4,0,60,35,58,57,20,35,30,7,23,29,2,7,9,68,34,50,53,31,58,60,65,108,47,27,58,32,16,50,40,43,108,A,,,,,,,,,N. Lapentti,Y. Kafelnikov,L290,K267,ECU,RUS,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS016,R32,01:18:00,,F,2,A202,"7-6(8),6-4",W. Arthurs,M. Safin,,,AUS,RUS,7-6(8),6-4,,,,01:18:00,298,/en/stats/leaderboard?page=serve,6,11,50,34,68,94,32,34,59,20,34,,0,,11,273,/en/stats/leaderboard?page=serve,3,3,42,29,69,76,22,29,65,26,40,50,1,2,11,76,52,68,30,21,69,53,73,137,70,48,69,24,16,68,47,64,137,A,,,8,6,,,,,W. Arthurs,M. Safin,A202,S741,AUS,RUS,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS017,R32,01:06:00,,F,2,S568,"6-4,6-3",F. Squillari,C. Ruud,,,ARG,NOR,6-4,6-3,,,,01:06:00,279,/en/stats/leaderboard?page=serve,3,5,63,32,51,66,21,32,68,13,19,33,1,3,10,219,/en/stats/leaderboard?page=serve,3,0,67,38,57,58,22,38,42,8,19,50,4,8,9,67,34,51,47,27,57,56,61,108,53,30,57,33,17,51,44,47,108,A,,,,,,,,,F. Squillari,C. Ruud,S568,R219,ARG,NOR,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS018,R32,00:53:00,,F,2,A228,"6-2,6-2",L. Arnold Ker,S. Dosedel,,,ARG,CZE,6-2,6-2,,,,00:53:00,311,/en/stats/leaderboard?page=serve,1,3,80,36,45,75,27,36,67,6,9,,0,,8,215,/en/stats/leaderboard?page=serve,1,0,56,24,43,63,15,24,47,9,19,20,1,5,8,73,33,45,44,19,43,59,52,88,56,24,43,27,12,45,41,36,88,A,,,,,,,,,L. Arnold Ker,S. Dosedel,A228,D198,ARG,CZE,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS019,R32,01:52:00,,F,3,F164,"5-7,6-3,6-3",R. Fromberg,T. Schiessling,,,AUS,AUT,5-7,6-3,6-3,,,01:52:00,311,/en/stats/leaderboard?page=serve,,6,64,48,75,85,41,48,63,17,27,0,0,1,15,254,/en/stats/leaderboard?page=serve,1,0,52,47,91,62,29,47,61,27,44,40,2,5,15,77,58,75,38,35,91,56,93,166,62,56,91,23,17,75,44,73,166,A,,,,,False,,,,R. Fromberg,T. Schiessling,F164,S600,AUS,AUT,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS020,R32,00:56:00,,F,2,C378,"6-1,6-3",A. Costa,R. Schuettler,,,ESP,GER,6-1,6-3,,,,00:56:00,273,/en/stats/leaderboard?page=serve,1,3,75,43,57,67,29,43,79,11,14,,0,,8,208,/en/stats/leaderboard?page=serve,1,2,57,25,44,68,17,25,32,6,19,20,1,5,8,70,40,57,48,21,44,60,61,101,52,23,44,30,17,57,40,40,101,A,,,,,,,,,A. Costa,R. Schuettler,C378,S636,ESP,GER,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS021,R32,00:48:00,,F,2,H284,"4-6,5-0",S. Huet,C. Costa,,,FRA,ESP,4-6,5-0,,,,00:48:00,247,/en/stats/leaderboard?page=serve,1,3,39,19,49,74,14,19,57,17,30,50,2,4,8,223,/en/stats/leaderboard?page=serve,5,1,61,27,44,63,17,27,41,7,17,57,4,7,8,63,31,49,45,20,44,55,51,93,55,24,44,37,18,49,45,42,93,A,,,,,,,,,S. Huet,C. Costa,H284,C179,FRA,ESP,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS022,R32,01:58:00,,F,3,D228,"6-7(7),6-3,6-3",F. Dewulf,S. Grosjean,,,BEL,FRA,6-7(7),6-3,6-3,,,01:58:00,253,/en/stats/leaderboard?page=serve,6,2,60,71,119,63,45,71,54,26,48,75,9,12,15,228,/en/stats/leaderboard?page=serve,2,2,65,71,109,61,43,71,42,16,38,54,7,13,15,60,71,119,46,50,109,53,121,228,54,59,109,40,48,119,47,107,228,A,,,7,9,,,,,F. Dewulf,S. Grosjean,D228,G379,BEL,FRA,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS023,R32,01:39:00,,F,3,M099,"6-2,4-6,6-2",T. Muster,J. Kroslak,,,AUT,SVK,6-2,4-6,6-2,,,01:39:00,266,/en/stats/leaderboard?page=serve,3,3,47,35,74,71,25,35,64,25,39,50,2,4,13,217,/en/stats/leaderboard?page=serve,11,8,52,60,115,65,39,60,42,23,55,69,11,16,13,68,50,74,46,53,115,54,103,189,54,62,115,32,24,74,46,86,189,A,,,,,,,,,T. Muster,J. Kroslak,M099,K296,AUT,SVK,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS024,R32,01:01:00,,F,2,C252,"6-3,6-3",F. Clavet,C. Vinck,,,ESP,GER,6-3,6-3,,,,01:01:00,195,/en/stats/leaderboard?page=serve,1,1,56,28,50,89,25,28,50,11,22,0,0,,9,259,/en/stats/leaderboard?page=serve,2,2,67,30,45,73,22,30,53,8,15,0,0,3,9,72,36,50,33,15,45,54,51,95,67,30,45,28,14,50,46,44,95,A,,,,,,,,,F. Clavet,C. Vinck,C252,V175,ESP,GER,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS025,R32,00:50:00,,F,2,H364,"6-2,6-1",M. Hipfl,H. Arazi,,,AUT,MAR,6-2,6-1,,,,00:50:00,231,/en/stats/leaderboard?page=serve,,0,81,29,36,79,23,29,71,5,7,0,0,,7,194,/en/stats/leaderboard?page=serve,2,6,64,35,55,54,19,35,35,7,20,50,5,10,8,78,28,36,53,29,55,63,57,91,47,26,55,22,8,36,37,34,91,A,,,,,False,,,,M. Hipfl,H. Arazi,H364,A226,AUT,MAR,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS026,R32,01:16:00,,F,2,M443,"6-4,7-5",F. Meligeni,W. Schranz,,,BRA,AUT,6-4,7-5,,,,01:16:00,288,/en/stats/leaderboard?page=serve,4,2,51,30,59,83,25,30,66,19,29,50,1,2,11,229,/en/stats/leaderboard?page=serve,4,1,43,28,65,71,20,28,46,17,37,40,2,5,11,75,44,59,43,28,65,58,72,124,57,37,65,25,15,59,42,52,124,A,,,,,,,,,F. Meligeni,W. Schranz,M443,S649,BRA,AUT,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS027,R32,02:10:00,,F,3,K190,"4-6,6-4,7-6(7)",B. Karbacher,A. Berasategui,,,GER,ESP,4-6,6-4,7-6(7),,,02:10:00,232,/en/stats/leaderboard?page=serve,4,3,48,57,118,74,42,57,43,26,61,55,6,11,16,228,/en/stats/leaderboard?page=serve,13,2,64,63,98,78,49,63,29,10,35,38,3,8,16,58,68,118,40,39,98,50,107,216,60,59,98,42,50,118,50,109,216,A,,,,,,,7,5,B. Karbacher,A. Berasategui,K190,B428,GER,ESP,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS028,R32,01:18:00,,F,2,G254,"7-6(9),6-2",A. Gaudenzi,L. Rehmann,,,ITA,GER,7-6(9),6-2,,,,01:18:00,290,/en/stats/leaderboard?page=serve,2,5,74,49,66,80,39,49,53,9,17,,0,,10,267,/en/stats/leaderboard?page=serve,2,9,56,35,63,74,26,35,50,14,28,0,0,2,10,73,48,66,37,23,63,55,71,129,63,40,63,27,18,66,45,58,129,A,,,9,7,,,,,A. Gaudenzi,L. Rehmann,G254,R285,ITA,GER,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS029,R32,01:37:00,,F,3,A272,"4-6,6-2,6-3",J. Alonso,H. Dreekmann,,,ESP,GER,4-6,6-2,6-3,,,01:37:00,278,/en/stats/leaderboard?page=serve,6,3,70,49,70,76,37,49,57,12,21,50,3,6,14,216,/en/stats/leaderboard?page=serve,6,7,35,33,93,76,25,33,43,26,60,55,6,11,13,70,49,70,45,42,93,56,91,163,55,51,93,30,21,70,44,72,163,A,,,,,,,,,J. Alonso,H. Dreekmann,A272,D249,ESP,GER,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS030,R32,01:10:00,,F,2,L290,"6-4,6-1",N. Lapentti,F. Vicente,,,ECU,ESP,6-4,6-1,,,,01:10:00,278,/en/stats/leaderboard?page=serve,4,5,52,27,52,89,24,27,48,12,25,75,3,4,9,211,/en/stats/leaderboard?page=serve,,0,63,38,60,53,20,38,45,10,22,56,5,9,8,69,36,52,50,30,60,59,66,112,50,30,60,31,16,52,41,46,112,A,,,,,,False,,,N. Lapentti,F. Vicente,L290,V195,ECU,ESP,,
319,1998,Kitzbuhel,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,48,500000,$,MS031,R32,02:12:00,,F,3,K267,"6-7(2),6-3,7-6(7)",Y. Kafelnikov,R. Vasek,,,RUS,CZE,6-7(2),6-3,7-6(7),,,02:12:00,270,/en/stats/leaderboard?page=serve,2,14,50,60,119,68,41,60,58,34,59,73,8,11,17,254,/en/stats/leaderboard?page=serve,10,14,58,66,114,73,48,66,44,21,48,56,5,9,16,63,75,119,39,45,114,52,120,233,61,69,114,37,44,119,48,113,233,A,,,2,7,,,7,4,Y. Kafelnikov,R. Vasek,K267,V151,RUS,CZE,,
