event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS012,R16,01:33:00,,F,2,D874,"6-4,6-4",F. Delbonis,J. Millman,,,ARG,AUS,6-4,6-4,,,,01:33:00,278,/en/stats/leaderboard?page=serve,2,3,65,34,52,71,24,34,61,11,18,33,1,3,10,223,/en/stats/leaderboard?page=serve,2,3,59,49,83,65,32,49,38,13,34,71,10,14,10,67,35,52,46,38,83,54,73,135,54,45,83,33,17,52,46,62,135,A,,,F. Delbonis,J. Millman,D874,MH30,ARG,AUS,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS013,R16,02:05:00,,F,3,F510,"1-6,6-4,6-2",F. Fognini,M. Ymer,,,ITA,SWE,1-6,6-4,6-2,,,02:05:00,251,/en/stats/leaderboard?page=serve,5,2,69,65,94,62,40,65,48,14,29,63,5,8,12,250,/en/stats/leaderboard?page=serve,3,2,69,46,67,61,28,46,52,11,21,20,1,5,13,57,54,94,42,28,67,51,82,161,58,39,67,43,40,94,49,79,161,A,,,F. Fognini,M. Ymer,F510,Y268,ITA,SWE,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS014,R16,01:04:00,,F,2,V306,"6-3,6-2",F. Verdasco,P. Sousa,,,ESP,POR,6-3,6-2,,,,01:04:00,259,/en/stats/leaderboard?page=serve,2,1,68,34,50,65,22,34,50,8,16,0,0,2,9,194,/en/stats/leaderboard?page=serve,2,1,71,36,51,47,17,36,40,6,15,55,6,11,8,60,30,50,55,28,51,57,58,101,45,23,51,40,20,50,43,43,101,A,,,F. Verdasco,P. Sousa,V306,S483,ESP,POR,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS015,R16,01:06:00,,F,2,CD85,"6-4,6-3",P. Carreno Busta,T. Monteiro,,,ESP,BRA,6-4,6-3,,,,01:06:00,326,/en/stats/leaderboard?page=serve,0,4,75,42,56,76,32,42,71,10,14,100,2,2,10,287,/en/stats/leaderboard?page=serve,1,3,71,29,41,79,23,29,58,7,12,0,0,2,9,75,42,56,27,11,41,55,53,97,73,30,41,25,14,56,45,44,97,A,,,P. Carreno Busta,T. Monteiro,CD85,MJ08,ESP,BRA,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS017,R32,02:14:00,,F,3,BA98,"4-6,6-3,6-4",S. Bolelli,R. Carballes Baena,,,ITA,ESP,4-6,6-3,6-4,,,02:14:00,281,/en/stats/leaderboard?page=serve,0,2,70,66,94,73,48,66,50,14,28,78,7,9,15,268,/en/stats/leaderboard?page=serve,4,1,70,55,79,65,36,55,58,14,24,40,2,5,14,66,62,94,37,29,79,53,91,173,63,50,79,34,32,94,47,82,173,A,,,S. Bolelli,R. Carballes Baena,BA98,CF59,ITA,ESP,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS018,R32,02:13:00,,F,3,L949,"6-3,4-6,7-5",H. Laaksonen,J. Londero,,,SUI,ARG,6-3,4-6,7-5,,,02:13:00,235,/en/stats/leaderboard?page=serve,5,6,60,64,107,64,41,64,44,19,43,58,7,12,15,219,/en/stats/leaderboard?page=serve,5,2,59,60,102,57,34,60,50,21,42,42,5,12,16,56,60,107,46,47,102,51,107,209,54,55,102,44,47,107,49,102,209,A,,,H. Laaksonen,J. Londero,L949,LB84,SUI,ARG,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS019,R32,02:08:00,,F,3,BK40,"3-6,6-3,6-4",M. Berrettini,L. Mayer,,,ITA,ARG,3-6,6-3,6-4,,,02:08:00,268,/en/stats/leaderboard?page=serve,3,5,47,40,86,73,29,40,61,28,46,75,6,8,14,261,/en/stats/leaderboard?page=serve,5,2,66,57,86,65,37,57,55,16,29,25,1,4,14,66,57,86,38,33,86,52,90,172,62,53,86,34,29,86,48,82,172,A,,,M. Berrettini,L. Mayer,BK40,MD56,ITA,ARG,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS021,R32,00:55:00,,F,2,MI43,"6-1,6-1",G. Melzer,C. Moutet,,,AUT,FRA,6-1,6-1,,,,00:55:00,291,/en/stats/leaderboard?page=serve,1,2,64,28,44,82,23,28,44,7,16,100,2,2,7,166,/en/stats/leaderboard?page=serve,0,0,67,28,42,50,14,28,21,3,14,38,3,8,7,68,30,44,60,25,42,64,55,86,40,17,42,32,14,44,36,31,86,A,,,G. Melzer,C. Moutet,MI43,MW02,AUT,FRA,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS022,R32,02:38:00,,F,3,RH16,"6-7(7),6-4,6-0",C. Ruud,J. Munar,,,NOR,ESP,6-7(7),6-4,6-0,,,02:38:00,296,/en/stats/leaderboard?page=serve,4,11,74,74,100,73,54,74,50,13,26,86,6,7,14,242,/en/stats/leaderboard?page=serve,4,5,63,76,120,59,45,76,55,24,44,72,13,18,14,67,67,100,43,51,120,54,118,220,58,69,120,33,33,100,46,102,220,A,7,9,C. Ruud,J. Munar,RH16,MU94,NOR,ESP,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS023,R32,01:31:00,,F,2,F401,"6-2,7-5",D. Ferrer,Z. Kolar,,,ESP,CZE,6-2,7-5,,,,01:31:00,286,/en/stats/leaderboard?page=serve,3,1,76,50,66,72,36,50,50,8,16,86,6,7,10,225,/en/stats/leaderboard?page=serve,3,2,56,43,77,60,26,43,50,17,34,50,4,8,10,67,44,66,44,34,77,55,78,143,56,43,77,33,22,66,45,65,143,A,,,D. Ferrer,Z. Kolar,F401,KH56,ESP,CZE,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS024,R32,00:52:00,,F,2,MH30,"6-0,6-2",J. Millman,G. Andreozzi,,,AUS,ARG,6-0,6-2,,,,00:52:00,328,/en/stats/leaderboard?page=serve,0,4,55,18,33,89,16,18,80,12,15,0,0,0,7,169,/en/stats/leaderboard?page=serve,1,1,71,30,42,53,16,30,17,2,12,17,1,6,7,85,28,33,57,24,42,69,52,75,43,18,42,15,5,33,31,23,75,A,,,J. Millman,G. Andreozzi,MH30,A887,AUS,ARG,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS025,R32,02:05:00,,F,3,D874,"6-7(2),6-2,6-2",F. Delbonis,H. Zeballos,,,ARG,ARG,6-7(2),6-2,6-2,,,02:05:00,275,/en/stats/leaderboard?page=serve,3,5,66,61,92,74,45,61,48,15,31,67,4,6,14,226,/en/stats/leaderboard?page=serve,3,2,67,66,99,55,36,66,48,16,33,57,8,14,14,65,60,92,47,47,99,56,107,191,53,52,99,35,32,92,44,84,191,A,2,7,F. Delbonis,H. Zeballos,D874,Z184,ARG,ARG,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS026,R32,01:21:00,,F,2,Y268,"6-3,6-3",M. Ymer,D. Istomin,,,SWE,UZB,6-3,6-3,,,,01:21:00,290,/en/stats/leaderboard?page=serve,2,0,50,29,58,83,24,29,59,17,29,100,5,5,9,239,/en/stats/leaderboard?page=serve,1,2,79,45,57,60,27,45,33,4,12,67,6,9,9,71,41,58,46,26,57,58,67,115,54,31,57,29,17,58,42,48,115,A,,,M. Ymer,D. Istomin,Y268,I165,SWE,UZB,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS028,R32,02:04:00,,F,3,V306,"6-4,3-6,6-1",F. Verdasco,L. Sonego,,,ESP,ITA,6-4,3-6,6-1,,,02:04:00,288,/en/stats/leaderboard?page=serve,4,0,63,46,73,85,39,46,52,14,27,75,3,4,13,250,/en/stats/leaderboard?page=serve,3,1,64,61,96,66,40,61,46,16,35,57,4,7,13,73,53,73,42,40,96,55,93,169,58,56,96,27,20,73,45,76,169,A,,,F. Verdasco,L. Sonego,V306,SU87,ESP,ITA,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS029,R32,01:38:00,,F,2,S483,"6-4,6-3",P. Sousa,R. Albot,,,POR,MDA,6-4,6-3,,,,01:38:00,267,/en/stats/leaderboard?page=serve,1,0,76,54,71,69,37,54,35,6,17,50,1,2,9,220,/en/stats/leaderboard?page=serve,3,0,58,46,80,67,31,46,38,13,34,67,8,12,10,61,43,71,45,36,80,52,79,151,55,44,80,39,28,71,48,72,151,A,,,P. Sousa,R. Albot,S483,A829,POR,MDA,,
316,2018,Bastad,250,2018-07-16T00:00:00,2018-07-22T00:00:00,Clay,28,501345,€,MS030,R32,01:13:00,,F,2,MJ08,"6-4,6-2",T. Monteiro,E. Ymer,,,BRA,SWE,6-4,6-2,,,,01:13:00,297,/en/stats/leaderboard?page=serve,3,2,57,31,54,84,26,31,57,13,23,100,1,1,9,227,/en/stats/leaderboard?page=serve,6,3,53,26,49,81,21,26,30,7,23,57,4,7,9,72,39,54,43,21,49,58,60,103,57,28,49,28,15,54,42,43,103,A,,,T. Monteiro,E. Ymer,MJ08,Y218,BRA,SWE,,
