event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,2018,US Open,GS,2018-08-27T00:00:00,2018-09-09T00:00:00,Hard,128,25282400,$,MS001,F,03:16:00,,F,3,D643,"6-3,7-6(7),6-3",N. Djokovic,J. del Potro,,,SRB,ARG,6-3,7-6(7),6-3,,,03:16:00,7,4,275,/en/stats/leaderboard?page=serve,2,1,63,74,118,69,51,74,57,25,44,67,4,6,16,257,/en/stats/leaderboard?page=serve,1,6,64,57,89,67,38,57,50,16,32,43,3,7,14,64,76,118,39,35,89,54,111,207,61,54,89,36,42,118,46,96,207,A,,,,,,,,,N. Djokovic,J. del Potro,D643,D683,SRB,ARG,,
560,2018,US Open,GS,2018-08-27T00:00:00,2018-09-09T00:00:00,Hard,128,25282400,$,MS002,SF,02:07:00,,F,2,D683,"7-6(7),6-2",J. del Potro,R. Nadal,,,ARG,ESP,7-6(7),6-2,,,,02:07:00,,,273,/en/stats/leaderboard?page=serve,0,2,66,43,65,70,30,43,55,12,22,0,0,2,10,239,/en/stats/leaderboard?page=serve,1,4,72,51,71,59,30,51,45,9,20,67,8,12,10,65,42,65,45,32,71,54,74,136,55,39,71,35,23,65,46,62,136,A,7,3,,,,,,,J. del Potro,R. Nadal,D683,N409,ARG,ESP,,
560,2018,US Open,GS,2018-08-27T00:00:00,2018-09-09T00:00:00,Hard,128,25282400,$,MS003,SF,02:23:00,,F,3,D643,"6-3,6-4,6-2",N. Djokovic,K. Nishikori,,,SRB,JPN,6-3,6-4,6-2,,,02:23:00,,,316,/en/stats/leaderboard?page=serve,2,3,64,50,78,80,40,50,71,20,28,100,2,2,14,241,/en/stats/leaderboard?page=serve,2,2,61,62,101,60,37,62,51,20,39,76,13,17,13,77,60,78,44,44,101,58,104,179,56,57,101,23,18,78,42,75,179,A,,,,,,,,,N. Djokovic,K. Nishikori,D643,N552,SRB,JPN,,
560,2018,US Open,GS,2018-08-27T00:00:00,2018-09-09T00:00:00,Hard,128,25282400,$,MS004,QF,04:49:00,,F,5,N409,"0-6,6-4,7-5,6-7(4),7-6(7)",R. Nadal,D. Thiem,,,ESP,AUT,0-6,6-4,7-5,6-7(4),7-6(7),04:49:00,,,264,/en/stats/leaderboard?page=serve,4,3,66,110,167,67,74,110,56,32,57,54,7,13,26,278,/en/stats/leaderboard?page=serve,4,18,57,97,170,72,70,97,55,40,73,71,12,17,26,63,106,167,35,60,170,49,166,337,65,110,170,37,61,167,51,171,337,A,,,4,7,7,5,,,R. Nadal,D. Thiem,N409,TB69,ESP,AUT,,
560,2018,US Open,GS,2018-08-27T00:00:00,2018-09-09T00:00:00,Hard,128,25282400,$,MS005,QF,03:31:00,,F,4,D683,"6-7(5),6-3,7-6(7),6-2",J. del Potro,J. Isner,,,ARG,USA,6-7(5),6-3,7-6(7),6-2,,03:31:00,,,328,/en/stats/leaderboard?page=serve,4,14,64,77,121,88,68,77,66,29,44,100,3,3,21,295,/en/stats/leaderboard?page=serve,4,26,62,90,145,70,63,90,56,31,55,73,8,11,20,80,97,121,35,51,145,56,148,266,65,94,145,20,24,121,44,118,266,A,5,7,,,,,7,4,J. del Potro,J. Isner,D683,I186,ARG,USA,,
560,2018,US Open,GS,2018-08-27T00:00:00,2018-09-09T00:00:00,Hard,128,25282400,$,MS006,QF,04:08:00,,F,5,N552,"2-6,6-4,7-6(7),4-6,6-4",K. Nishikori,M. Cilic,,,JPN,CRO,2-6,6-4,7-6(7),4-6,6-4,04:08:00,,,255,/en/stats/leaderboard?page=serve,4,6,55,88,159,70,62,88,52,37,71,54,7,13,25,283,/en/stats/leaderboard?page=serve,7,19,58,80,137,73,58,80,60,34,57,44,4,9,25,62,99,159,33,45,137,49,144,296,67,92,137,38,60,159,51,152,296,A,,,,,,,7,5,K. Nishikori,M. Cilic,N552,C977,JPN,CRO,,
560,2018,US Open,GS,2018-08-27T00:00:00,2018-09-09T00:00:00,Hard,128,25282400,$,MS007,QF,02:49:00,,F,3,D643,"6-3,6-4,6-4",N. Djokovic,J. Millman,,,SRB,AUS,6-3,6-4,6-4,,,02:49:00,,,296,/en/stats/leaderboard?page=serve,4,1,66,57,86,74,42,57,66,19,29,50,1,2,15,246,/en/stats/leaderboard?page=serve,4,3,69,79,115,65,51,79,42,15,36,80,16,20,14,71,61,86,43,49,115,55,110,201,57,66,115,29,25,86,45,91,201,A,,,,,,,,,N. Djokovic,J. Millman,D643,MH30,SRB,AUS,,
560,2018,US Open,GS,2018-08-27T00:00:00,2018-09-09T00:00:00,Hard,128,25282400,$,MS008,R16,03:19:00,,F,4,N409,"6-3,6-3,6-7(6),6-4",R. Nadal,N. Basilashvili,,,ESP,GEO,6-3,6-3,6-7(6),6-4,,03:19:00,,,295,/en/stats/leaderboard?page=serve,3,8,64,76,118,76,58,76,60,25,42,71,5,7,20,245,/en/stats/leaderboard?page=serve,8,8,56,72,128,69,50,72,50,28,56,63,10,16,20,70,83,118,39,50,128,54,133,246,61,78,128,30,35,118,46,113,246,A,,,,,,,6,8,R. Nadal,N. Basilashvili,N409,BG23,ESP,GEO,,
560,2018,US Open,GS,2018-08-27T00:00:00,2018-09-09T00:00:00,Hard,128,25282400,$,MS009,R16,02:37:00,,F,3,TB69,"7-5,6-2,7-6(7)",D. Thiem,K. Anderson,,,AUT,RSA,7-5,6-2,7-6(7),,,02:37:00,,,308,/en/stats/leaderboard?page=serve,4,7,49,45,91,91,41,45,65,30,46,0,0,0,16,270,/en/stats/leaderboard?page=serve,2,6,69,74,108,72,53,74,44,15,34,67,6,9,16,78,71,91,37,40,108,56,111,199,63,68,108,22,20,91,44,88,199,A,,,,,,,7,2,D. Thiem,K. Anderson,TB69,A678,AUT,RSA,,
560,2018,US Open,GS,2018-08-27T00:00:00,2018-09-09T00:00:00,Hard,128,25282400,$,MS010,R16,02:05:00,,F,3,D683,"6-4,6-3,6-1",J. del Potro,B. Coric,,,ARG,CRO,6-4,6-3,6-1,,,02:05:00,,,311,/en/stats/leaderboard?page=serve,1,9,78,54,69,80,43,54,53,8,15,0,0,1,13,233,/en/stats/leaderboard?page=serve,1,7,65,51,78,57,29,51,52,14,27,60,9,15,13,74,51,69,45,35,78,59,86,147,55,43,78,26,18,69,41,61,147,A,,,,,,,,,J. del Potro,B. Coric,D683,CG80,ARG,CRO,,
