event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_loser,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set1_winner,player_id_winner,player_id_loser
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS011,R16,01:23:00,,F,2,M595,"6-3,6-3",M. Mirnyi,M. Chiudinelli,,,BLR,SUI,6-3,6-3,,,,01:23:00,A,M. Mirnyi,M. Chiudinelli,BLR,SUI,,,265,/en/stats/leaderboard?page=serve,4,1,68,43,63,77,33,43,35,7,20,75,3,4,9,215,/en/stats/leaderboard?page=serve,1,1,55,38,69,50,19,38,55,17,31,56,5,9,9,63,40,63,48,33,69,55,73,132,52,36,69,37,23,63,45,59,132,,,,,,,M595,C582
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS012,R16,01:51:00,,F,3,SA49,"4-6,6-0,6-3",R. Soderling,G. Garcia-Lopez,,,SWE,ESP,4-6,6-0,6-3,,,01:51:00,A,R. Soderling,G. Garcia-Lopez,SWE,ESP,,,279,/en/stats/leaderboard?page=serve,1,8,68,66,97,68,45,66,52,16,31,71,5,7,13,246,/en/stats/leaderboard?page=serve,2,3,75,51,68,53,27,51,59,10,17,38,3,8,12,63,61,97,46,31,68,56,92,165,54,37,68,37,36,97,44,73,165,,,,,,,SA49,G476
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS013,R16,01:05:00,,F,2,B837,"6-2,6-0",M. Baghdatis,R. Ramirez Hidalgo,,,CYP,ESP,6-2,6-0,,,,01:05:00,A,M. Baghdatis,R. Ramirez Hidalgo,CYP,ESP,,,292,/en/stats/leaderboard?page=serve,1,1,53,26,49,69,18,26,70,16,23,100,3,3,7,174,/en/stats/leaderboard?page=serve,1,0,67,35,52,51,18,35,29,5,17,58,7,12,7,69,34,49,56,29,52,62,63,101,44,23,52,31,15,49,38,38,101,,,,,,,B837,R383
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS014,R16,01:04:00,,F,2,Y061,"6-4,6-2",M. Youzhny,G. Monfils,,,RUS,FRA,6-4,6-2,,,,01:04:00,A,M. Youzhny,G. Monfils,RUS,FRA,,,315,/en/stats/leaderboard?page=serve,1,1,86,43,50,70,30,43,71,5,7,50,1,2,9,226,/en/stats/leaderboard?page=serve,2,1,78,49,63,51,25,49,43,6,14,43,3,7,9,70,35,50,51,32,63,59,67,113,49,31,63,30,15,50,41,46,113,,,,,,,Y061,MC65
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS015,R16,01:16:00,,F,2,L360,"6-3,6-4",I. Ljubicic,Y. El Aynaoui,,,CRO,MAR,6-3,6-4,,,,01:16:00,A,I. Ljubicic,Y. El Aynaoui,CRO,MAR,,,294,/en/stats/leaderboard?page=serve,1,6,58,32,55,84,27,32,57,13,23,67,2,3,10,243,/en/stats/leaderboard?page=serve,0,1,80,41,51,66,27,41,30,3,10,25,1,4,9,73,40,55,41,21,51,58,61,106,59,30,51,27,15,55,42,45,106,,,,,,,L360,E121
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS016,R32,01:23:00,,F,2,D402,"7-5,6-4",N. Davydenko,H. Lee,,,RUS,KOR,7-5,6-4,,,,01:23:00,A,N. Davydenko,H. Lee,RUS,KOR,,,301,/en/stats/leaderboard?page=serve,3,2,67,41,61,90,37,41,45,9,20,0,0,0,11,277,/en/stats/leaderboard?page=serve,0,1,70,47,67,70,33,47,55,11,20,60,3,5,11,75,46,61,34,23,67,54,69,128,66,44,67,25,15,61,46,59,128,,,,,,,D402,L311
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS017,R32,01:54:00,,F,2,B446,"7-5,7-5",J. Bjorkman,N. Almagro,,,SWE,ESP,7-5,7-5,,,,01:54:00,A,J. Bjorkman,N. Almagro,SWE,ESP,,,287,/en/stats/leaderboard?page=serve,2,3,70,63,90,62,39,63,63,17,27,83,5,6,12,260,/en/stats/leaderboard?page=serve,1,9,63,53,84,66,35,53,48,15,31,63,5,8,12,62,56,90,40,34,84,52,90,174,60,50,84,38,34,90,48,84,174,,,,,,,B446,A479
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS018,R32,02:32:00,,F,3,L395,"5-7,6-4,7-5",F. Luzzi,J. Melzer,,,ITA,AUT,5-7,6-4,7-5,,,02:32:00,A,F. Luzzi,J. Melzer,ITA,AUT,,,266,/en/stats/leaderboard?page=serve,7,8,57,72,127,82,59,72,38,21,55,85,11,13,17,279,/en/stats/leaderboard?page=serve,2,9,66,73,110,67,49,73,57,21,37,57,4,7,17,63,80,127,36,40,110,51,120,237,64,70,110,37,47,127,49,117,237,,,,,,,L395,M762
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS019,R32,01:37:00,,F,2,R397,"6-4,6-4",O. Rochus,S. Grosjean,,,BEL,FRA,6-4,6-4,,,,01:37:00,A,O. Rochus,S. Grosjean,BEL,FRA,,,247,/en/stats/leaderboard?page=serve,2,1,60,33,55,73,24,33,45,10,22,25,1,4,10,206,/en/stats/leaderboard?page=serve,2,7,47,35,75,66,23,35,38,15,40,38,3,8,10,62,34,55,49,37,75,55,71,130,51,38,75,38,21,55,45,59,130,,,,,,,R397,G379
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS020,R32,01:49:00,,F,3,MC10,"4-6,6-2,6-4",A. Murray,F. Volandri,,,GBR,ITA,4-6,6-2,6-4,,,01:49:00,A,A. Murray,F. Volandri,GBR,ITA,,,269,/en/stats/leaderboard?page=serve,3,5,60,47,78,68,32,47,61,19,31,50,3,6,14,238,/en/stats/leaderboard?page=serve,2,1,60,50,84,62,31,50,53,18,34,44,4,9,14,65,51,78,42,35,84,53,86,162,58,49,84,35,27,78,47,76,162,,,,,,,MC10,V254
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS021,R32,01:35:00,,F,2,R336,"6-4,7-5",C. Rochus,A. Martin,,,BEL,ESP,6-4,7-5,,,,01:35:00,A,C. Rochus,A. Martin,BEL,ESP,,,272,/en/stats/leaderboard?page=serve,2,0,68,46,68,70,32,46,55,12,22,60,3,5,11,245,/en/stats/leaderboard?page=serve,2,3,67,47,70,66,31,47,48,11,23,50,4,8,11,65,44,68,40,28,70,52,72,138,60,42,70,35,24,68,48,66,138,,,,,,,R336,M590
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS022,R32,00:49:00,,F,2,C582,"6-2,6-2",M. Chiudinelli,T. Cakl,,,SUI,CZE,6-2,6-2,,,,00:49:00,A,M. Chiudinelli,T. Cakl,SUI,CZE,,,254,/en/stats/leaderboard?page=serve,2,4,60,31,52,74,23,31,43,9,21,50,2,4,8,188,/en/stats/leaderboard?page=serve,1,0,85,44,52,41,18,44,38,3,8,25,2,8,8,62,32,52,60,31,52,61,63,104,40,21,52,38,20,52,39,41,104,,,,,,,C582,C585
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS023,R32,02:10:00,,F,3,M595,"5-7,6-4,6-4",M. Mirnyi,S. Wawrinka,,,BLR,SUI,5-7,6-4,6-4,,,02:10:00,A,M. Mirnyi,S. Wawrinka,BLR,SUI,,,271,/en/stats/leaderboard?page=serve,5,6,60,64,106,80,51,64,43,18,42,75,6,8,16,266,/en/stats/leaderboard?page=serve,4,1,67,66,98,71,47,66,50,16,32,40,2,5,16,65,69,106,36,35,98,51,104,204,64,63,98,35,37,106,49,100,204,,,,,,,M595,W367
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS024,R32,01:11:00,,F,2,SA49,"6-3,6-3",R. Soderling,K. Vliegen,,,SWE,BEL,6-3,6-3,,,,01:11:00,A,R. Soderling,K. Vliegen,SWE,BEL,,,255,/en/stats/leaderboard?page=serve,1,2,56,32,57,69,22,32,52,13,25,0,0,2,9,201,/en/stats/leaderboard?page=serve,0,1,76,41,54,49,20,41,31,4,13,0,0,5,9,61,35,57,56,30,54,59,65,111,44,24,54,39,22,57,41,46,111,,,,,,,SA49,V309
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS025,R32,03:08:00,,F,3,G476,"2-6,7-5,7-5",G. Garcia-Lopez,P. Starace,,,ESP,ITA,2-6,7-5,7-5,,,03:08:00,A,G. Garcia-Lopez,P. Starace,ESP,ITA,,,222,/en/stats/leaderboard?page=serve,6,2,62,75,121,65,49,75,37,17,46,79,22,28,16,235,/en/stats/leaderboard?page=serve,3,2,68,95,139,58,55,95,48,21,44,79,23,29,16,55,66,121,45,63,139,50,129,260,55,76,139,45,55,121,50,131,260,,,,,,,G476,S843
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS026,R32,01:27:00,,F,2,R383,"7-6(7),6-2",R. Ramirez Hidalgo,S. Khalfan,,,ESP,QAT,7-6(7),6-2,,,,01:27:00,A,R. Ramirez Hidalgo,S. Khalfan,ESP,QAT,,,242,/en/stats/leaderboard?page=serve,5,2,59,35,59,74,26,35,42,10,24,50,3,6,10,195,/en/stats/leaderboard?page=serve,8,2,51,43,84,63,27,43,37,15,41,64,9,14,10,61,36,59,50,42,84,55,78,143,50,42,84,39,23,59,45,65,143,5.0,,,,,7.0,R383,K346
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS027,R32,01:40:00,,F,2,B837,"6-4,7-5",M. Baghdatis,P. Kohlschreiber,,,CYP,GER,6-4,7-5,,,,01:40:00,A,M. Baghdatis,P. Kohlschreiber,CYP,GER,,,253,/en/stats/leaderboard?page=serve,2,3,37,34,92,65,22,34,60,35,58,92,11,12,11,261,/en/stats/leaderboard?page=serve,1,2,66,39,59,72,28,39,50,10,20,25,1,4,11,62,57,92,36,21,59,52,78,151,64,38,59,38,35,92,48,73,151,,,,,,,B837,K435
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS028,R32,01:27:00,,F,2,Y061,"7-5,6-3",M. Youzhny,D. Bracciali,,,RUS,ITA,7-5,6-3,,,,01:27:00,A,M. Youzhny,D. Bracciali,RUS,ITA,,,302,/en/stats/leaderboard?page=serve,1,5,76,47,62,72,34,47,60,9,15,80,4,5,10,230,/en/stats/leaderboard?page=serve,1,2,63,49,78,65,32,49,38,11,29,33,2,6,11,69,43,62,45,35,78,56,78,140,55,43,78,31,19,62,44,62,140,,,,,,,Y061,B570
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS029,R32,01:16:00,,F,2,MC65,"6-3,6-4",G. Monfils,A. Seppi,,,FRA,ITA,6-3,6-4,,,,01:16:00,A,G. Monfils,A. Seppi,FRA,ITA,,,272,/en/stats/leaderboard?page=serve,2,2,60,34,57,71,24,34,61,14,23,50,2,4,10,215,/en/stats/leaderboard?page=serve,0,1,56,34,61,59,20,34,44,12,27,60,6,10,9,67,38,57,48,29,61,57,67,118,52,32,61,33,19,57,43,51,118,,,,,,,MC65,SA93
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS030,R32,01:50:00,,F,2,E121,"7-6(7),7-6(7)",Y. El Aynaoui,T. Johansson,,,MAR,SWE,7-6(7),7-6(7),,,,01:50:00,A,Y. El Aynaoui,T. Johansson,MAR,SWE,,,301,/en/stats/leaderboard?page=serve,2,7,68,57,84,81,46,57,56,15,27,75,3,4,12,289,/en/stats/leaderboard?page=serve,2,9,56,44,79,75,33,44,60,21,35,50,1,2,12,73,61,84,32,25,79,53,86,163,68,54,79,27,23,84,47,77,163,5.0,1.0,,,7.0,7.0,E121,J129
451,2007,Doha,WS,2007-01-01T00:00:00,2007-01-07T00:00:00,Hard,32,975000,$,MS031,R32,00:59:00,,F,2,L360,"6-1,6-2",I. Ljubicic,D. Gremelmayr,,,CRO,GER,6-1,6-2,,,,00:59:00,A,I. Ljubicic,D. Gremelmayr,CRO,GER,,,299,/en/stats/leaderboard?page=serve,5,9,58,30,52,87,26,30,50,11,22,100,2,2,8,192,/en/stats/leaderboard?page=serve,0,0,55,21,38,71,15,21,24,4,17,33,2,6,7,71,37,52,50,19,38,62,56,90,50,19,38,29,15,52,38,34,90,,,,,,,L360,G512
