event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
312,1997,Bologna,GP,1997-06-09T00:00:00,1997-06-15T00:00:00,Clay,32,303000,$,MS001,F,01:29:00,,F,3,M535,"4-6,6-2,6-1",F. Mantilla,G. Kuerten,,,ESP,BRA,4-6,6-2,6-1,,,01:29:00,292,/en/stats/leaderboard?page=serve,1,2,66,56,85,71,40,56,62,18,29,91,10,11,13,247,/en/stats/leaderboard?page=serve,1,6,52,32,62,81,26,32,43,13,30,33,2,6,12,68,58,85,37,23,62,55,81,147,63,39,62,32,27,85,45,66,147,A,,,,,,,,,F. Mantilla,G. Kuerten,M535,K293,ESP,BRA,,
312,1997,Bologna,GP,1997-06-09T00:00:00,1997-06-15T00:00:00,Clay,32,303000,$,MS002,SF,00:49:00,,F,2,K293,"6-1,6-2",G. Kuerten,M. Martelli,,,BRA,ITA,6-1,6-2,,,,00:49:00,245,/en/stats/leaderboard?page=serve,,3,44,22,50,68,15,22,68,19,28,,0,,8,178,/en/stats/leaderboard?page=serve,4,1,29,11,38,73,8,11,37,10,27,20,1,5,7,68,34,50,53,20,38,61,54,88,47,18,38,32,16,50,39,34,88,A,False,,,,,,,,G. Kuerten,M. Martelli,K293,M543,BRA,ITA,,
312,1997,Bologna,GP,1997-06-09T00:00:00,1997-06-15T00:00:00,Clay,32,303000,$,MS003,SF,01:16:00,,F,2,M535,"6-3,6-2",F. Mantilla,K. Alami,,,ESP,MAR,6-3,6-2,,,,01:16:00,257,/en/stats/leaderboard?page=serve,,0,75,46,61,65,30,46,40,6,15,67,4,6,9,186,/en/stats/leaderboard?page=serve,1,5,53,27,51,63,17,27,29,7,24,38,3,8,8,59,36,61,53,27,51,56,63,112,47,24,51,41,25,61,44,49,112,A,False,,,,,,,,F. Mantilla,K. Alami,M535,A203,ESP,MAR,,
312,1997,Bologna,GP,1997-06-09T00:00:00,1997-06-15T00:00:00,Clay,32,303000,$,MS004,QF,02:05:00,,F,3,K293,"6-3,6-7(1),7-5",G. Kuerten,A. Berasategui,,,BRA,ESP,6-3,6-7(1),7-5,,,02:05:00,246,/en/stats/leaderboard?page=serve,5,10,59,66,112,64,42,66,48,22,46,44,4,9,17,229,/en/stats/leaderboard?page=serve,4,1,75,92,123,53,49,92,48,15,31,46,6,13,16,57,64,112,48,59,123,52,123,235,52,64,123,43,48,112,48,112,235,A,,1,7,,,,,,G. Kuerten,A. Berasategui,K293,B428,BRA,ESP,,
312,1997,Bologna,GP,1997-06-09T00:00:00,1997-06-15T00:00:00,Clay,32,303000,$,MS005,QF,01:36:00,,F,3,M543,"2-6,6-3,6-4",M. Martelli,H. Arazi,,,ITA,MAR,2-6,6-3,6-4,,,01:36:00,271,/en/stats/leaderboard?page=serve,3,9,52,43,83,84,36,43,45,18,40,60,3,5,13,267,/en/stats/leaderboard?page=serve,3,5,56,44,78,75,33,44,56,19,34,67,6,9,14,65,54,83,33,26,78,50,80,161,67,52,78,35,29,83,50,81,161,A,,,,,,,,,M. Martelli,H. Arazi,M543,A226,ITA,MAR,,
312,1997,Bologna,GP,1997-06-09T00:00:00,1997-06-15T00:00:00,Clay,32,303000,$,MS006,QF,02:03:00,,F,3,A203,"3-6,6-3,6-3",K. Alami,A. Gaudenzi,,,MAR,ITA,3-6,6-3,6-3,,,02:03:00,250,/en/stats/leaderboard?page=serve,3,6,44,35,80,83,29,35,44,20,45,63,5,8,13,239,/en/stats/leaderboard?page=serve,1,4,66,67,102,69,46,67,37,13,35,69,11,16,14,61,49,80,42,43,102,51,92,182,58,59,102,39,31,80,49,90,182,A,,,,,,,,,K. Alami,A. Gaudenzi,A203,G254,MAR,ITA,,
312,1997,Bologna,GP,1997-06-09T00:00:00,1997-06-15T00:00:00,Clay,32,303000,$,MS007,QF,02:04:00,,F,3,M535,"4-6,6-4,6-3",F. Mantilla,N. Lapentti,,,ESP,ECU,4-6,6-4,6-3,,,02:04:00,265,/en/stats/leaderboard?page=serve,1,4,63,48,76,60,29,48,68,19,28,33,2,6,14,218,/en/stats/leaderboard?page=serve,6,3,54,63,116,65,41,63,42,22,53,57,8,14,15,63,48,76,46,53,116,53,101,192,54,63,116,37,28,76,47,91,192,A,,,,,,,,,F. Mantilla,N. Lapentti,M535,L290,ESP,ECU,,
312,1997,Bologna,GP,1997-06-09T00:00:00,1997-06-15T00:00:00,Clay,32,303000,$,MS008,R16,01:07:00,,F,2,B428,"6-2,6-3",A. Berasategui,A. Portas,,,ESP,ESP,6-2,6-3,,,,01:07:00,240,/en/stats/leaderboard?page=serve,2,2,62,33,53,82,27,33,30,6,20,40,2,5,9,160,/en/stats/leaderboard?page=serve,5,0,54,42,78,55,23,42,31,11,36,50,6,12,8,62,33,53,56,44,78,59,77,131,44,34,78,38,20,53,41,54,131,A,,,,,,,,,A. Berasategui,A. Portas,B428,P305,ESP,ESP,,
312,1997,Bologna,GP,1997-06-09T00:00:00,1997-06-15T00:00:00,Clay,32,303000,$,MS009,R16,01:03:00,,F,2,K293,"6-4,6-2",G. Kuerten,J. Diaz,,,BRA,ESP,6-4,6-2,,,,01:03:00,265,/en/stats/leaderboard?page=serve,4,5,43,26,60,77,20,26,56,19,34,50,1,2,9,227,/en/stats/leaderboard?page=serve,2,0,71,34,48,53,18,34,50,7,14,43,3,7,9,65,39,60,48,23,48,57,62,108,52,25,48,35,21,60,43,46,108,A,,,,,,,,,G. Kuerten,J. Diaz,K293,D291,BRA,ESP,,
312,1997,Bologna,GP,1997-06-09T00:00:00,1997-06-15T00:00:00,Clay,32,303000,$,MS010,R16,01:59:00,,F,3,M543,"6-4,4-6,6-2",M. Martelli,J. Sanchez,,,ITA,ESP,6-4,4-6,6-2,,,01:59:00,260,/en/stats/leaderboard?page=serve,5,9,49,50,102,76,38,50,46,24,52,71,5,7,14,250,/en/stats/leaderboard?page=serve,5,4,58,50,86,66,33,50,56,20,36,50,4,8,14,61,62,102,38,33,86,51,95,188,62,53,86,39,40,102,49,93,188,A,,,,,,,,,M. Martelli,J. Sanchez,M543,S015,ITA,ESP,,
