event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS011,R16,01:24:00,,F,2,A228,"6-1,7-5",L. Arnold Ker,J. Van Herck,,,ARG,BEL,6-1,7-5,,,,01:24:00,258,/en/stats/leaderboard?page=serve,1,2,62,37,60,70,26,37,48,11,23,4,9,184,/en/stats/leaderboard?page=serve,2,4,43,23,54,57,13,23,42,13,31,33,3,9,10,62,37,60,52,28,54,57,65,114,48,26,54,38,23,60,43,49,114,A,,67,6,,,,,,,,L. Arnold Ker,J. Van Herck,A228,V167,ARG,BEL,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS012,R16,02:12:00,,F,3,O098,"6-1,3-6,7-5",M. Ondruska,M. MacLagan,,,RSA,GBR,6-1,3-6,7-5,,,02:12:00,263,/en/stats/leaderboard?page=serve,2,6,66,57,86,63,36,57,59,17,29,8,14,220,/en/stats/leaderboard?page=serve,3,3,60,57,95,56,32,57,47,18,38,40,4,10,14,62,53,86,47,45,95,54,98,181,53,50,95,38,33,86,46,83,181,A,,67,12,,,,,,,,M. Ondruska,M. MacLagan,O098,M480,RSA,GBR,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS013,R16,00:59:00,,F,2,D291,"6-3,6-1",J. Diaz,D. Sapsford,,,ESP,GBR,6-3,6-1,,,,00:59:00,275,/en/stats/leaderboard?page=serve,,0,79,34,43,65,22,34,56,5,9,2,8,164,/en/stats/leaderboard?page=serve,2,1,55,28,51,50,14,28,35,8,23,40,4,10,8,63,27,43,57,29,51,60,56,94,43,22,51,37,16,43,40,38,94,A,False,50,4,,,,,,,,J. Diaz,D. Sapsford,D291,S404,ESP,GBR,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS014,R16,02:44:00,,F,3,V170,"6-7(5),6-3,7-6(7)",C. Van Garsse,F. Santoro,,,BEL,FRA,6-7(5),6-3,7-6(7),,,02:44:00,273,/en/stats/leaderboard?page=serve,3,4,65,71,109,65,46,71,61,23,38,2,16,232,/en/stats/leaderboard?page=serve,5,3,54,71,131,63,45,71,47,28,60,58,7,12,17,63,69,109,44,58,131,53,127,240,56,73,131,37,40,109,47,113,240,A,,40,5,5,7,,,7,2,,C. Van Garsse,F. Santoro,V170,S424,BEL,FRA,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS015,R16,01:10:00,,F,2,M535,"6-3,6-2",F. Mantilla,C. Wilkinson,,,ESP,GBR,6-3,6-2,,,,01:10:00,310,/en/stats/leaderboard?page=serve,,2,65,28,43,75,21,28,80,12,15,0,9,200,/en/stats/leaderboard?page=serve,2,4,52,33,63,73,24,33,23,7,30,50,4,8,8,77,33,43,51,32,63,61,65,106,49,31,63,23,10,43,39,41,106,A,False,0,1,,,,,,,,F. Mantilla,C. Wilkinson,M535,W150,ESP,GBR,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS016,R32,01:08:00,,F,2,M605,"6-4,6-0",C. Moya,O. Motevassel,,,ESP,USA,6-4,6-0,,,,01:08:00,253,/en/stats/leaderboard?page=serve,3,0,68,38,56,63,24,38,50,9,18,1,8,158,/en/stats/leaderboard?page=serve,,0,51,25,49,44,11,25,38,9,24,25,2,8,8,59,33,56,59,29,49,59,62,105,41,20,49,41,23,56,41,43,105,A,,33,3,,,,,,,False,C. Moya,O. Motevassel,M605,M343,ESP,USA,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS017,R32,01:24:00,,F,2,S559,"7-6(7),6-2",D. van Scheppingen,J. Sekulov,,,NED,AUS,7-6(7),6-2,,,,01:24:00,247,/en/stats/leaderboard?page=serve,1,3,52,39,75,67,26,39,56,20,36,4,10,218,/en/stats/leaderboard?page=serve,4,1,71,55,77,55,30,55,45,10,22,38,3,8,10,61,46,75,48,37,77,55,83,152,52,40,77,39,29,75,45,69,152,A,,57,7,7,4,,,,,,D. van Scheppingen,J. Sekulov,S559,S626,NED,AUS,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS018,R32,01:47:00,,F,3,D015,"6-3,3-6,6-1",O. Delaitre,M. Rodriguez,,,FRA,ARG,6-3,3-6,6-1,,,01:47:00,245,/en/stats/leaderboard?page=serve,2,4,50,50,101,66,33,50,51,26,51,8,13,223,/en/stats/leaderboard?page=serve,5,9,40,29,72,79,23,29,42,18,43,29,2,7,12,58,59,101,43,31,72,52,90,173,57,41,72,42,42,101,48,83,173,A,,73,11,,,,,,,,O. Delaitre,M. Rodriguez,D015,R251,FRA,ARG,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS019,R32,01:55:00,,F,3,S465,"6-1,3-6,6-2",D. Scala,C. Ruud,,,ITA,NOR,6-1,3-6,6-2,,,01:55:00,258,/en/stats/leaderboard?page=serve,1,2,63,50,80,72,36,50,47,14,30,3,12,199,/en/stats/leaderboard?page=serve,3,2,52,40,77,63,25,40,35,13,37,40,4,10,12,63,50,80,51,39,77,57,89,157,49,38,77,38,30,80,43,68,157,A,,50,6,,,,,,,,D. Scala,C. Ruud,S465,R219,ITA,NOR,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS020,R32,01:40:00,,F,3,R237,"6-3,4-6,6-2",G. Rusedski,A. Martin,,,GBR,ESP,6-3,4-6,6-2,,,01:40:00,280,/en/stats/leaderboard?page=serve,3,10,55,47,86,77,36,47,56,22,39,2,14,246,/en/stats/leaderboard?page=serve,3,0,67,58,86,59,34,58,54,15,28,50,4,8,13,67,58,86,43,37,86,55,95,172,57,49,86,33,28,86,45,77,172,A,,50,4,,,,,,,,G. Rusedski,A. Martin,R237,M590,GBR,ESP,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS021,R32,00:05:00,,F,2,F164,"7-5,6-2",R. Fromberg,T. Ketola,,,AUS,FIN,7-5,6-2,,,,00:05:00,274,/en/stats/leaderboard?page=serve,4,5,58,30,52,80,24,30,55,12,22,0,10,219,/en/stats/leaderboard?page=serve,3,3,73,55,75,51,28,55,45,9,20,62,8,13,10,69,36,52,51,38,75,58,74,127,49,37,75,31,16,52,42,53,127,A,,0,2,,,,,,,,R. Fromberg,T. Ketola,F164,K297,AUS,FIN,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS022,R32,01:05:00,,F,2,V167,"6-3,6-2",J. Van Herck,B. Steven,,,BEL,NZL,6-3,6-2,,,,01:05:00,275,/en/stats/leaderboard?page=serve,,1,49,22,45,73,16,22,65,15,23,0,8,196,/en/stats/leaderboard?page=serve,4,0,58,32,55,59,19,32,39,9,23,29,2,7,9,69,31,45,49,27,55,58,58,100,51,28,55,31,14,45,42,42,100,A,False,0,1,,,,,,,,J. Van Herck,B. Steven,V167,S321,BEL,NZL,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS023,R32,01:34:00,,F,2,A228,"7-6(8),6-2",L. Arnold Ker,M. Goellner,,,ARG,GER,7-6(8),6-2,,,,01:34:00,290,/en/stats/leaderboard?page=serve,,3,64,50,78,58,29,50,75,21,28,6,10,242,/en/stats/leaderboard?page=serve,2,9,51,37,73,70,26,37,44,16,36,40,2,5,10,64,50,78,42,31,73,54,81,151,58,42,73,36,28,78,46,70,151,A,False,86,7,8,6,,,,,,L. Arnold Ker,M. Goellner,A228,G252,ARG,GER,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS024,R32,01:05:00,,F,3,O098,"7-6(8),3-6,6-2",M. Ondruska,F. Dewulf,,,RSA,BEL,7-6(8),3-6,6-2,,,01:05:00,236,/en/stats/leaderboard?page=serve,6,2,52,47,90,68,32,47,49,21,43,0,14,230,/en/stats/leaderboard?page=serve,6,0,60,64,107,59,38,64,51,22,43,55,6,11,15,59,53,90,44,47,107,51,100,197,56,60,107,41,37,90,49,97,197,A,,0,4,8,6,,,,,,M. Ondruska,F. Dewulf,O098,D228,RSA,BEL,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS025,R32,01:39:00,,F,3,M480,"6-3,3-6,6-0",M. MacLagan,W. Black,,,GBR,ZIM,6-3,3-6,6-0,,,01:39:00,262,/en/stats/leaderboard?page=serve,2,2,49,36,74,83,30,36,47,18,38,5,12,211,/en/stats/leaderboard?page=serve,4,2,50,39,78,67,26,39,38,15,39,55,6,11,12,65,48,74,47,37,78,56,85,152,53,41,78,35,26,74,44,67,152,A,,71,7,,,,,,,,M. MacLagan,W. Black,M480,B499,GBR,ZIM,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS026,R32,01:07:00,,F,2,S404,"6-4,6-2",D. Sapsford,M. Petchey,,,GBR,GBR,6-4,6-2,,,,01:07:00,298,/en/stats/leaderboard?page=serve,,0,63,29,46,76,22,29,71,12,17,1,9,199,/en/stats/leaderboard?page=serve,8,2,49,34,70,68,23,34,33,12,36,33,2,6,9,74,34,46,50,35,70,59,69,116,50,35,70,26,12,46,41,47,116,A,False,50,2,,,,,,,,D. Sapsford,M. Petchey,S404,P222,GBR,GBR,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS027,R32,01:30:00,,F,2,D291,"7-5,6-3",J. Diaz,C. Pioline,,,ESP,FRA,7-5,6-3,,,,01:30:00,300,/en/stats/leaderboard?page=serve,2,1,79,50,63,64,32,50,77,10,13,3,11,225,/en/stats/leaderboard?page=serve,3,3,63,42,67,62,26,42,40,10,25,60,6,10,10,67,42,63,46,31,67,56,73,130,54,36,67,33,21,63,44,57,130,A,,60,5,,,,,,,,J. Diaz,C. Pioline,D291,P226,ESP,FRA,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS028,R32,01:50:00,,F,2,S424,"7-5,7-5",F. Santoro,O. Stanoytchev,,,FRA,BUL,7-5,7-5,,,,01:50:00,239,/en/stats/leaderboard?page=serve,6,2,47,45,96,76,34,45,45,23,51,11,12,229,/en/stats/leaderboard?page=serve,4,7,54,35,65,71,25,35,43,13,30,38,3,8,12,59,57,96,42,27,65,52,84,161,58,38,65,41,39,96,48,77,161,A,,79,14,,,,,,,,F. Santoro,O. Stanoytchev,S424,S519,FRA,BUL,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS029,R32,01:37:00,,F,2,V170,"6-2,7-6(10)",C. Van Garsse,F. Squillari,,,BEL,ARG,6-2,7-6(10),,,,01:37:00,242,/en/stats/leaderboard?page=serve,7,4,53,41,77,61,25,41,61,22,36,5,10,208,/en/stats/leaderboard?page=serve,2,1,63,51,81,59,30,51,37,11,30,44,4,9,10,61,47,77,49,40,81,55,87,158,51,41,81,39,30,77,45,71,158,A,,63,8,,,10,8,,,,C. Van Garsse,F. Squillari,V170,S568,BEL,ARG,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS030,R32,01:59:00,,F,2,W150,"6-2,6-2",C. Wilkinson,A. Hunt,,,GBR,NZL,6-2,6-2,,,,01:59:00,208,/en/stats/leaderboard?page=serve,,1,51,21,41,81,17,21,75,15,20,0,8,201,/en/stats/leaderboard?page=serve,4,4,52,25,48,60,15,25,39,9,23,33,2,6,8,78,32,41,50,24,48,63,56,89,50,24,48,22,9,41,37,33,89,A,False,0,,,,,,,,,C. Wilkinson,A. Hunt,W150,H297,GBR,NZL,,
620,1997,Bournemouth,GP,1997-09-08T00:00:00,1997-09-14T00:00:00,Clay,32,375000,$,MS031,R32,01:17:00,,F,2,M535,"6-3,6-3",F. Mantilla,L. Roux,,,ESP,FRA,6-3,6-3,,,,01:17:00,295,/en/stats/leaderboard?page=serve,1,5,63,32,51,72,23,32,68,13,19,1,9,216,/en/stats/leaderboard?page=serve,2,3,56,39,70,62,24,39,42,13,31,67,8,12,9,71,36,51,47,33,70,57,69,121,53,37,70,29,15,51,43,52,121,A,,50,2,,,,,,,,F. Mantilla,L. Roux,M535,R280,ESP,FRA,,
