event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,settime_tot_winner,settime_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
540,2014,Wimbledon,GS,2014-06-23T00:00:00,2014-07-06T00:00:00,Grass,128,11715000,£,MS001,F,03:56:00,,F,5,D643,"6-7(7),6-4,7-6(7),5-7,6-4",N. Djokovic,R. Federer,,,SRB,SUI,6-7(7),6-4,7-6(7),5-7,6-4,03:56:00,A,N. Djokovic,R. Federer,SRB,SUI,,,299,/en/stats/leaderboard?page=serve,3,13,62,108,174,73,79,108,65,43,66,57,4,7,28,299,/en/stats/leaderboard?page=serve,5,29,69,133,192,77,102,133,44,26,59,73,11,15,28,70,122,174,33,64,192,51,186,366,67,128,192,30,52,174,49,180,366,7,9,7,4,03:56:00,03:56:00,,,,,D643,F324
540,2014,Wimbledon,GS,2014-06-23T00:00:00,2014-07-06T00:00:00,Grass,128,11715000,£,MS002,SF,03:02:00,,F,4,D643,"6-4,3-6,7-6(7),7-6(9)",N. Djokovic,G. Dimitrov,,,SRB,BUL,6-4,3-6,7-6(7),7-6(9),,03:02:00,A,N. Djokovic,G. Dimitrov,SRB,BUL,,,299,/en/stats/leaderboard?page=serve,2,17,70,102,145,73,74,102,56,24,43,73,8,11,21,283,/en/stats/leaderboard?page=serve,8,15,63,82,131,82,67,82,45,22,49,50,3,6,22,68,98,145,32,42,131,51,140,276,68,89,131,32,47,145,49,136,276,,,7,2,03:02:00,03:02:00,9,7,,,D643,D875
540,2014,Wimbledon,GS,2014-06-23T00:00:00,2014-07-06T00:00:00,Grass,128,11715000,£,MS003,SF,01:41:00,,F,3,F324,"6-4,6-4,6-4",R. Federer,M. Raonic,,,SUI,CAN,6-4,6-4,6-4,,,01:41:00,A,R. Federer,M. Raonic,SUI,CAN,,,319,/en/stats/leaderboard?page=serve,1,6,65,52,80,81,42,52,68,19,28,100,1,1,15,278,/en/stats/leaderboard?page=serve,4,17,55,46,84,80,37,46,50,19,38,57,4,7,15,76,61,80,33,28,84,54,89,164,67,56,84,24,19,80,46,75,164,,,,,01:41:00,01:41:00,,,,,F324,R975
540,2014,Wimbledon,GS,2014-06-23T00:00:00,2014-07-06T00:00:00,Grass,128,11715000,£,MS004,QF,03:18:00,,F,5,D643,"6-1,3-6,6-7(4),6-2,6-2",N. Djokovic,M. Cilic,,,SRB,CRO,6-1,3-6,6-7(4),6-2,6-2,03:18:00,A,N. Djokovic,M. Cilic,SRB,CRO,,,299,/en/stats/leaderboard?page=serve,3,10,70,92,132,74,68,92,58,23,40,50,2,4,22,238,/en/stats/leaderboard?page=serve,6,10,56,89,160,69,61,89,41,29,71,63,12,19,22,69,91,132,44,70,160,55,161,292,56,90,160,31,41,132,45,131,292,,,4,7,03:18:00,03:18:00,,,,,D643,C977
540,2014,Wimbledon,GS,2014-06-23T00:00:00,2014-07-06T00:00:00,Grass,128,11715000,£,MS005,QF,02:01:00,,F,3,D875,"6-1,7-6(7),6-2",G. Dimitrov,A. Murray,,,BUL,GBR,6-1,7-6(7),6-2,,,02:01:00,A,G. Dimitrov,A. Murray,BUL,GBR,,,298,/en/stats/leaderboard?page=serve,3,10,63,57,91,77,44,57,59,20,34,50,1,2,14,225,/en/stats/leaderboard?page=serve,5,5,61,50,82,72,36,50,31,10,32,44,4,9,13,70,64,91,44,36,82,58,100,173,56,46,82,30,27,91,42,73,173,,,,,02:01:00,02:01:00,,,7,4,D875,MC10
540,2014,Wimbledon,GS,2014-06-23T00:00:00,2014-07-06T00:00:00,Grass,128,11715000,£,MS006,QF,02:33:00,,F,4,F324,"3-6,7-6(7),6-4,6-4",R. Federer,S. Wawrinka,,,SUI,SUI,3-6,7-6(7),6-4,6-4,,02:33:00,A,R. Federer,S. Wawrinka,SUI,SUI,,,317,/en/stats/leaderboard?page=serve,1,10,65,77,119,79,61,77,69,29,42,75,3,4,20,297,/en/stats/leaderboard?page=serve,1,9,60,74,124,77,57,74,62,31,50,71,5,7,21,76,90,119,29,36,124,52,126,243,71,88,124,24,29,119,48,117,243,,,,,02:33:00,02:33:00,,,7,5,F324,W367
540,2014,Wimbledon,GS,2014-06-23T00:00:00,2014-07-06T00:00:00,Grass,128,11715000,£,MS007,QF,02:24:00,,F,4,R975,"6-7(4),6-2,6-4,7-6(7)",M. Raonic,N. Kyrgios,,,CAN,AUS,6-7(4),6-2,6-4,7-6(7),,02:24:00,A,M. Raonic,N. Kyrgios,CAN,AUS,,,357,/en/stats/leaderboard?page=serve,2,39,70,78,111,88,69,78,67,22,33,0,0,1,21,287,/en/stats/leaderboard?page=serve,1,15,72,103,144,67,69,103,54,22,41,56,5,9,21,82,91,111,37,53,144,56,144,255,63,91,144,18,20,111,44,111,255,4,7,,,02:24:00,02:24:00,7,4,,,R975,KE17
540,2014,Wimbledon,GS,2014-06-23T00:00:00,2014-07-06T00:00:00,Grass,128,11715000,£,MS008,R16,01:52:00,,F,3,D643,"6-3,6-4,7-6(7)",N. Djokovic,J. Tsonga,,,SRB,FRA,6-3,6-4,7-6(7),,,01:52:00,A,N. Djokovic,J. Tsonga,SRB,FRA,,,334,/en/stats/leaderboard?page=serve,0,14,71,68,96,81,55,68,68,19,28,100,2,2,16,307,/en/stats/leaderboard?page=serve,2,19,66,59,89,78,46,59,60,18,30,78,7,9,15,77,74,96,28,25,89,54,99,185,72,64,89,23,22,96,46,86,185,,,7,5,01:52:00,01:52:00,,,,,D643,T786
540,2014,Wimbledon,GS,2014-06-23T00:00:00,2014-07-06T00:00:00,Grass,128,11715000,£,MS009,R16,02:09:00,,F,3,C977,"7-6(10),6-4,6-4",M. Cilic,J. Chardy,,,CRO,FRA,7-6(10),6-4,6-4,,,02:09:00,A,M. Cilic,J. Chardy,CRO,FRA,,,326,/en/stats/leaderboard?page=serve,3,33,64,69,108,88,61,69,44,17,39,100,4,4,16,280,/en/stats/leaderboard?page=serve,7,17,65,72,110,81,58,72,37,14,38,67,4,6,16,72,78,108,35,38,110,53,116,218,65,72,110,28,30,108,47,102,218,10,8,,,02:09:00,02:09:00,,,,,C977,CA12
540,2014,Wimbledon,GS,2014-06-23T00:00:00,2014-07-06T00:00:00,Grass,128,11715000,£,MS010,R16,02:32:00,,F,3,MC10,"6-4,6-3,7-6(8)",A. Murray,K. Anderson,,,GBR,RSA,6-4,6-3,7-6(8),,,02:32:00,A,A. Murray,K. Anderson,GBR,RSA,,,300,/en/stats/leaderboard?page=serve,2,11,73,68,93,81,55,68,44,11,25,67,2,3,15,263,/en/stats/leaderboard?page=serve,0,9,65,81,125,64,52,81,50,22,44,79,15,19,16,71,66,93,41,51,125,54,117,218,59,74,125,29,27,93,46,101,218,,,8,6,02:32:00,02:32:00,,,,,MC10,A678
