event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS011,R16,01:55:00,,F,3,K214,"7-6(13),6-4,6-1",R. Krajicek,D. Hrbaty,,,NED,SVK,7-6(13),6-4,6-1,,,01:55:00,307,/en/stats/leaderboard?page=serve,4,15,54,52,96,85,44,52,64,28,44,67,2,3,15,250,/en/stats/leaderboard?page=serve,5,9,53,54,102,72,39,54,50,24,48,43,3,7,14,75,72,96,38,39,102,56,111,198,62,63,102,25,24,96,44,87,198,A,13,11,,,,,,,,,R. Krajicek,D. Hrbaty,K214,H377,NED,SVK,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS012,R16,01:23:00,,F,3,S741,"6-1,6-2,6-2",M. Safin,J. Ferrero,,,RUS,ESP,6-1,6-2,6-2,,,01:23:00,309,/en/stats/leaderboard?page=serve,2,14,53,39,73,85,33,39,59,20,34,100,4,4,12,191,/en/stats/leaderboard?page=serve,7,2,52,40,77,50,20,40,49,18,37,50,6,12,11,73,53,73,51,39,77,61,92,150,49,38,77,27,20,73,39,58,150,A,,,,,,,,,,,M. Safin,J. Ferrero,S741,F316,RUS,ESP,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS013,R16,03:00:00,,F,4,K316,"6-2,6-7(3),6-1,6-3",N. Kiefer,M. Norman,,,GER,SWE,6-2,6-7(3),6-1,6-3,,03:00:00,271,/en/stats/leaderboard?page=serve,3,10,53,72,135,75,54,72,48,30,63,88,14,16,18,218,/en/stats/leaderboard?page=serve,8,7,56,71,126,59,42,71,49,27,55,38,5,13,18,62,84,135,45,57,126,54,141,261,55,69,126,38,51,135,46,120,261,A,,,,,3,7,,,,,N. Kiefer,M. Norman,K316,N250,GER,SWE,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS014,R16,04:17:00,,F,5,M442,"6-7(3),6-7(7),6-1,7-6(8),6-2",T. Martin,C. Moya,,,USA,ESP,6-7(3),6-7(7),6-1,7-6(8),6-2,04:17:00,304,/en/stats/leaderboard?page=serve,3,24,66,134,203,72,97,134,49,34,69,94,17,18,25,247,/en/stats/leaderboard?page=serve,13,8,64,136,211,65,88,136,47,35,75,73,16,22,26,65,131,203,42,88,211,53,219,414,58,123,211,35,72,203,47,195,414,A,3,7,,,7,9,8,6,,,T. Martin,C. Moya,M442,M605,USA,ESP,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS015,R16,02:33:00,,F,4,J129,"6-4,6-7(7),6-3,6-4",T. Johansson,W. Arthurs,,,SWE,AUS,6-4,6-7(7),6-3,6-4,,02:33:00,312,/en/stats/leaderboard?page=serve,5,4,55,63,115,83,52,63,75,39,52,100,1,1,21,282,/en/stats/leaderboard?page=serve,7,27,42,59,141,86,51,59,49,40,82,67,6,9,20,79,91,115,35,50,141,55,141,256,65,91,141,21,24,115,45,115,256,A,,,,,7,9,,,,,T. Johansson,W. Arthurs,J129,A202,SWE,AUS,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS016,R32,02:53:00,,F,5,C487,"4-6,6-2,6-2,4-6,0-1",A. Clement,H. Arazi,,,FRA,MAR,4-6,6-2,6-2,4-6,0-1,02:53:00,290,/en/stats/leaderboard?page=serve,1,22,53,64,121,73,47,64,58,33,57,70,7,10,20,260,/en/stats/leaderboard?page=serve,6,7,55,59,107,80,47,59,46,22,48,60,6,10,19,66,80,121,36,38,107,52,118,228,64,69,107,34,41,121,48,110,228,A,,,,,,,,,,,A. Clement,H. Arazi,C487,A226,FRA,MAR,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS017,R32,00:38:00,,F,2,P280,"6-2,4-1",A. Pavel,J. Golmard,,,ROU,FRA,6-2,4-1,,,,00:38:00,323,/en/stats/leaderboard?page=serve,3,10,63,19,30,89,17,19,64,7,11,0,0,0,6,195,/en/stats/leaderboard?page=serve,3,1,59,24,41,67,16,24,29,5,17,20,1,5,7,80,24,30,49,20,41,62,44,71,51,21,41,20,6,30,38,27,71,A,,,,,,,,,,,A. Pavel,J. Golmard,P280,G319,ROU,FRA,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS018,R32,01:49:00,,F,3,H432,"6-3,6-3,6-3",L. Hewitt,J. Novak,,,AUS,CZE,6-3,6-3,6-3,,,01:49:00,296,/en/stats/leaderboard?page=serve,2,7,49,39,80,74,29,39,68,28,41,100,2,2,14,237,/en/stats/leaderboard?page=serve,3,2,63,57,91,65,37,57,41,14,34,69,9,13,13,71,57,80,44,40,91,57,97,171,56,51,91,29,23,80,43,74,171,A,,,,,,,,,,,L. Hewitt,J. Novak,H432,N254,AUS,CZE,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS019,R32,02:01:00,,F,3,E113,"7-5,7-5,6-3",T. Enqvist,M. Rios,,,SWE,CHI,7-5,7-5,6-3,,,02:01:00,284,/en/stats/leaderboard?page=serve,3,9,57,58,101,84,49,58,49,21,43,67,4,6,17,234,/en/stats/leaderboard?page=serve,16,18,57,72,126,68,49,72,39,21,54,71,12,17,16,69,70,101,44,56,126,56,126,227,56,70,126,31,31,101,44,101,227,A,,,,,,,,,,,T. Enqvist,M. Rios,E113,R286,SWE,CHI,,
560,2000,US Open,GS,2000-08-28T00:00:00,2000-09-10T00:00:00,Hard,128,6467000,$,MS020,R32,02:02:00,,F,3,S402,"7-6(7),7-6(7),6-3",P. Sampras,A. Calleri,,,USA,ARG,7-6(7),7-6(7),6-3,,,02:02:00,330,/en/stats/leaderboard?page=serve,5,18,66,67,102,88,59,67,63,22,35,100,3,3,17,309,/en/stats/leaderboard?page=serve,3,17,48,45,93,89,40,45,65,31,48,67,2,3,16,79,81,102,24,22,93,53,103,195,76,71,93,21,21,102,47,92,195,A,7,5,,,7,3,,,,,P. Sampras,A. Calleri,S402,C478,USA,ARG,,
