event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS011,R16,01:03:00,,F,2,B429,"6-2,6-4",J. Burillo,A. Hernandez,,,ESP,MEX,6-2,6-4,,,,01:03:00,273,/en/stats/leaderboard?page=serve,4,3,55,30,55,83,25,30,48,12,25,0,9,208,/en/stats/leaderboard?page=serve,9,8,53,39,74,67,26,39,34,12,35,69,9,13,9,67,37,55,49,36,74,57,73,129,51,38,74,33,18,55,43,56,129,A,,,,,0,1,,,,,J. Burillo,A. Hernandez,B429,H346,ESP,MEX,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS012,R16,01:08:00,,F,2,C179,"6-4,6-4",C. Costa,M. Tobon,,,ESP,COL,6-4,6-4,,,,01:08:00,273,/en/stats/leaderboard?page=serve,1,3,53,36,68,75,27,36,53,17,32,4,10,241,/en/stats/leaderboard?page=serve,,2,58,33,57,73,24,33,38,9,24,40,2,5,10,65,44,68,42,24,57,54,68,125,58,33,57,35,24,68,46,57,125,A,,,,,80,5,,,False,,C. Costa,M. Tobon,C179,T133,ESP,COL,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS013,R16,01:12:00,,F,2,L290,"6-3,6-3",N. Lapentti,M. Rincon,,,ECU,COL,6-3,6-3,,,,01:12:00,254,/en/stats/leaderboard?page=serve,5,2,67,41,61,68,28,41,45,9,20,2,9,197,/en/stats/leaderboard?page=serve,2,1,61,28,46,54,15,28,39,7,18,0,0,5,9,61,37,61,52,24,46,57,61,107,48,22,46,39,24,61,43,46,107,A,,,,,50,4,,,,,N. Lapentti,M. Rincon,L290,R159,ECU,COL,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS014,R16,00:59:00,,F,2,M443,"6-4,6-0",F. Meligeni,R. Vasek,,,BRA,CZE,6-4,6-0,,,,00:59:00,257,/en/stats/leaderboard?page=serve,6,7,42,20,48,85,17,20,54,15,28,0,8,150,/en/stats/leaderboard?page=serve,11,2,55,32,58,56,18,32,23,6,26,45,5,11,8,67,32,48,59,34,58,62,66,106,41,24,58,33,16,48,38,40,106,A,,,,,0,2,,,,,F. Meligeni,R. Vasek,M443,V151,BRA,CZE,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS015,R16,01:07:00,,F,2,S544,"6-3,6-4",V. Spadea,J. Alonso,,,USA,ESP,6-3,6-4,,,,01:07:00,283,/en/stats/leaderboard?page=serve,,6,54,33,61,79,26,33,54,15,28,2,10,222,/en/stats/leaderboard?page=serve,5,3,49,27,55,59,16,27,50,14,28,25,1,4,9,67,41,61,45,25,55,57,66,116,55,30,55,33,20,61,43,50,116,A,,,,,67,3,,,,False,V. Spadea,J. Alonso,S544,A272,USA,ESP,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS016,R32,01:35:00,,F,3,C252,"6-7(5),6-0,6-1",F. Clavet,D. Pescariu,,,ESP,ROU,6-7(5),6-0,6-1,,,01:35:00,260,/en/stats/leaderboard?page=serve,6,3,71,64,90,61,39,64,62,16,26,5,13,191,/en/stats/leaderboard?page=serve,2,1,83,66,80,41,27,66,43,6,14,31,4,13,12,61,55,90,59,47,80,60,102,170,41,33,80,39,35,90,40,68,170,A,,,,,56,9,5,7,,,F. Clavet,D. Pescariu,C252,P254,ESP,ROU,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS017,R32,01:18:00,,F,3,V195,"2-6,6-1,6-1",F. Vicente,G. Canas,,,ESP,ARG,2-6,6-1,6-1,,,01:18:00,208,/en/stats/leaderboard?page=serve,8,0,63,44,70,64,28,44,35,9,26,6,11,159,/en/stats/leaderboard?page=serve,6,4,50,37,74,54,20,37,30,11,37,50,8,16,11,53,37,70,58,43,74,56,80,144,42,31,74,47,33,70,44,64,144,A,,,,,55,11,,,,,F. Vicente,G. Canas,V195,C433,ESP,ARG,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS018,R32,01:17:00,,F,2,A190,"6-3,7-6(7)",E. Benfele Alvarez,A. Martin,,,ESP,ESP,6-3,7-6(7),,,,01:17:00,262,/en/stats/leaderboard?page=serve,4,5,51,35,68,74,26,35,55,18,33,2,11,236,/en/stats/leaderboard?page=serve,4,2,55,34,62,59,20,34,54,15,28,40,2,5,10,65,44,68,44,27,62,55,71,130,56,35,62,35,24,68,45,59,130,A,7,3,,,50,4,,,,,E. Benfele Alvarez,A. Martin,A190,M590,ESP,ESP,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS019,R32,02:05:00,,F,3,G254,"7-6(7),4-6,6-4",A. Gaudenzi,R. Delgado,,,ITA,PAR,7-6(7),4-6,6-4,,,02:05:00,255,/en/stats/leaderboard?page=serve,9,10,51,54,106,72,39,54,56,29,52,3,16,246,/en/stats/leaderboard?page=serve,4,7,57,59,103,66,39,59,45,20,44,33,2,6,16,64,68,106,43,44,103,54,112,209,57,59,103,36,38,106,46,97,209,A,,,,,43,7,7,1,,,A. Gaudenzi,R. Delgado,G254,D316,ITA,PAR,,
359,1997,Bogota,GP,1997-10-27T00:00:00,1997-11-02T00:00:00,Clay,32,303000,$,MS020,R32,01:49:00,,F,3,S480,"6-2,3-6,7-6(7)",D. Sanguinetti,G. Blanco,,,ITA,ESP,6-2,3-6,7-6(7),,,01:49:00,261,/en/stats/leaderboard?page=serve,2,10,54,46,85,72,33,46,56,22,39,2,14,230,/en/stats/leaderboard?page=serve,7,9,51,56,110,70,39,56,41,22,54,29,2,7,15,65,55,85,45,49,110,53,104,195,55,61,110,35,30,85,47,91,195,A,,,7,2,33,6,,,,,D. Sanguinetti,G. Blanco,S480,B518,ITA,ESP,,
