event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS013,R16,02:06:00,,F,3,MC10,"7-5,6-3,6-4",A. Murray,S. Querrey,,,GBR,USA,7-5,6-3,6-4,,,02:06:00,A,A. Murray,S. Querrey,GBR,USA,,,292,/en/stats/leaderboard?page=serve,3,10,45,43,95,84,36,43,63,33,52,88,7,8,16,251,/en/stats/leaderboard?page=serve,9,13,65,75,115,71,53,75,38,15,40,67,8,12,15,73,69,95,41,47,115,55,116,210,59,68,115,27,26,95,45,94,210,,,,,,,,,MC10,Q927
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS014,R16,03:03:00,,F,5,SA49,"6-2,5-7,6-2,3-6,7-5",R. Soderling,D. Ferrer,,,SWE,ESP,6-2,5-7,6-2,3-6,7-5,03:03:00,A,R. Soderling,D. Ferrer,SWE,ESP,,,275,/en/stats/leaderboard?page=serve,11,19,64,101,159,78,79,101,41,24,58,64,7,11,25,263,/en/stats/leaderboard?page=serve,8,16,63,89,142,74,66,89,43,23,53,63,10,16,24,65,103,159,37,53,142,52,156,301,63,89,142,35,56,159,48,145,301,,,,,,,,,SA49,F401
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS015,R16,02:01:00,,F,3,N409,"6-4,6-2,6-2",R. Nadal,P. Mathieu,,,ESP,FRA,6-4,6-2,6-2,,,02:01:00,A,R. Nadal,P. Mathieu,ESP,FRA,,,325,/en/stats/leaderboard?page=serve,1,8,65,44,68,86,38,44,67,16,24,100,2,2,13,221,/en/stats/leaderboard?page=serve,4,3,52,52,100,63,33,52,46,22,48,67,10,15,13,79,54,68,45,45,100,59,99,168,55,55,100,21,14,68,41,69,168,,,,,,,,,N409,M850
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS017,R32,02:29:00,,F,4,M762,"4-6,6-3,6-2,6-4",J. Melzer,F. Lopez,,,AUT,ESP,4-6,6-3,6-2,6-4,,02:29:00,A,J. Melzer,F. Lopez,AUT,ESP,,,298,/en/stats/leaderboard?page=serve,6,18,64,75,118,77,58,75,56,24,43,82,9,11,19,253,/en/stats/leaderboard?page=serve,4,13,49,51,105,75,38,51,48,26,54,50,5,10,18,69,82,118,39,41,105,55,123,223,61,64,105,31,36,118,45,100,223,,,,,,,,,M762,L397
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS018,R32,03:53:00,,F,5,BA47,"6-7(1),7-6(7),6-7(8),6-3,6-4",T. Berdych,D. Istomin,,,CZE,UZB,6-7(1),7-6(7),6-7(8),6-3,6-4,03:53:00,A,T. Berdych,D. Istomin,CZE,UZB,,,330,/en/stats/leaderboard?page=serve,5,34,62,109,175,88,96,109,55,36,66,75,3,4,28,309,/en/stats/leaderboard?page=serve,3,20,73,131,179,77,101,131,54,26,48,77,10,13,27,75,132,175,29,52,179,52,184,354,71,127,179,25,43,175,48,170,354,7.0,5.0,1.0,7.0,8.0,10.0,,,BA47,I165
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS019,R32,03:25:00,,F,5,BC72,"6-7(7),6-7(3),7-6(9),6-3,3-0",D. Brands,V. Hanescu,,,GER,ROU,6-7(7),6-7(3),7-6(9),6-3,3-0,03:25:00,A,D. Brands,V. Hanescu,GER,ROU,,,319,/en/stats/leaderboard?page=serve,4,24,60,89,149,82,73,89,62,37,60,67,2,3,24,299,/en/stats/leaderboard?page=serve,5,23,70,108,154,76,82,108,52,24,46,33,2,6,24,74,110,149,31,48,154,52,158,303,69,106,154,26,39,149,48,145,303,3.0,7.0,7.0,9.0,9.0,7.0,,,BC72,H528
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS020,R32,01:41:00,,F,3,D643,"6-1,6-4,6-4",N. Djokovic,A. Montanes,,,SRB,ESP,6-1,6-4,6-4,,,01:41:00,A,N. Djokovic,A. Montanes,SRB,ESP,,,319,/en/stats/leaderboard?page=serve,5,11,67,50,75,82,41,50,64,16,25,0,0,0,14,246,/en/stats/leaderboard?page=serve,2,5,66,61,93,67,41,61,41,13,32,56,5,9,13,76,57,75,42,39,93,57,96,168,58,54,93,24,18,75,43,72,168,,,,,,,,,D643,M824
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS021,R32,02:09:00,,F,3,H432,"6-3,7-6(11),6-4",L. Hewitt,G. Monfils,,,AUS,FRA,6-3,7-6(11),6-4,,,02:09:00,A,L. Hewitt,G. Monfils,AUS,FRA,,,293,/en/stats/leaderboard?page=serve,2,2,53,49,93,86,42,49,61,27,44,67,2,3,16,268,/en/stats/leaderboard?page=serve,4,21,55,58,106,76,44,58,40,19,48,70,7,10,15,74,69,93,41,43,106,56,112,199,59,63,106,26,24,93,44,87,199,11.0,9.0,,,,,,,H432,MC65
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS022,R32,01:36:00,,F,3,L575,"6-4,6-4,2-1",Y. Lu,F. Mayer,,,TPE,GER,6-4,6-4,2-1,,,01:36:00,A,Y. Lu,F. Mayer,TPE,GER,,,323,/en/stats/leaderboard?page=serve,2,12,66,40,61,85,34,40,62,13,21,100,2,2,11,247,/en/stats/leaderboard?page=serve,2,2,61,46,76,74,34,46,37,11,30,70,7,10,12,77,47,61,41,31,76,57,78,137,59,45,76,23,14,61,43,59,137,,,,,,,,,L575,MB02
540,2010,Wimbledon,GS,2010-06-21T00:00:00,2010-07-04T00:00:00,Grass,128,6196000,£,MS023,R32,02:56:00,,F,4,R485,"7-5,6-7(5),6-3,6-3",A. Roddick,P. Kohlschreiber,,,USA,GER,7-5,6-7(5),6-3,6-3,,02:56:00,A,A. Roddick,P. Kohlschreiber,USA,GER,,,344,/en/stats/leaderboard?page=serve,0,28,71,86,121,85,73,86,60,21,35,100,7,7,21,272,/en/stats/leaderboard?page=serve,3,13,64,89,139,74,66,89,44,22,50,56,5,9,21,78,94,121,37,51,139,56,145,260,63,88,139,22,27,121,44,115,260,5.0,7.0,,,,,,,R485,K435
