event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS011,R16,01:14:00,,F,2,C378,"6-3,6-4",A. Costa,K. Carlsen,,,ESP,DEN,6-3,6-4,,,,01:14:00,285,/en/stats/leaderboard?page=serve,3,0,71,48,68,67,32,48,60,12,20,50,1,2,10,233,/en/stats/leaderboard?page=serve,6,5,58,32,55,75,24,32,35,8,23,57,4,7,9,65,44,68,42,23,55,54,67,123,58,32,55,35,24,68,46,56,123,A,,,,,,,,A. Costa,K. Carlsen,C378,C328,ESP,DEN,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS012,R16,00:46:00,,F,2,R237,"6-3,6-1",G. Rusedski,F. Dewulf,,,GBR,BEL,6-3,6-1,,,,00:46:00,252,/en/stats/leaderboard?page=serve,4,5,47,22,47,82,18,22,72,18,25,,0,,8,195,/en/stats/leaderboard?page=serve,6,1,50,26,52,62,16,26,38,10,26,43,3,7,8,77,36,47,50,26,52,63,62,99,50,26,52,23,11,47,37,37,99,A,,,,,,,,G. Rusedski,F. Dewulf,R237,D228,GBR,BEL,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS013,R16,00:51:00,,F,2,T136,"6-0,6-4",J. Tarango,F. Mantilla,,,USA,ESP,6-0,6-4,,,,00:51:00,206,/en/stats/leaderboard?page=serve,2,4,65,28,43,86,24,28,53,8,15,0,0,,8,226,/en/stats/leaderboard?page=serve,2,1,76,37,49,59,22,37,42,5,12,50,4,8,8,74,32,43,45,22,49,59,54,92,55,27,49,26,11,43,41,38,92,A,,,,,,,,J. Tarango,F. Mantilla,T136,M535,USA,ESP,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS014,R16,01:14:00,,F,2,G247,"6-4,6-2",H. Gumy,G. Blanco,,,ARG,ESP,6-4,6-2,,,,01:14:00,246,/en/stats/leaderboard?page=serve,4,5,57,34,60,76,26,34,35,9,26,71,5,7,9,184,/en/stats/leaderboard?page=serve,3,3,52,27,52,44,12,27,44,11,25,0,0,5,9,58,35,60,56,29,52,57,64,112,44,23,52,42,25,60,43,48,112,A,,,,,,,,H. Gumy,G. Blanco,G247,B518,ARG,ESP,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS015,R16,01:13:00,,F,2,R286,"6-4,6-4",M. Rios,R. Furlan,,,CHI,ITA,6-4,6-4,,,,01:13:00,270,/en/stats/leaderboard?page=serve,1,7,57,35,61,69,24,35,58,15,26,50,2,4,10,225,/en/stats/leaderboard?page=serve,4,4,44,25,57,80,20,25,41,13,32,56,5,9,10,64,39,61,42,24,57,53,63,118,58,33,57,36,22,61,47,55,118,A,,,,,,,,M. Rios,R. Furlan,R286,F192,CHI,ITA,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS016,R32,01:46:00,,F,2,C344,"6-3,6-4",A. Corretja,F. Clavet,,,ESP,ESP,6-3,6-4,,,,01:46:00,249,/en/stats/leaderboard?page=serve,7,3,56,40,72,73,29,40,44,14,32,78,7,9,10,208,/en/stats/leaderboard?page=serve,5,1,65,42,65,62,26,42,30,7,23,64,7,11,9,60,43,72,49,32,65,55,75,137,51,33,65,40,29,72,45,62,137,A,,,,,,,,A. Corretja,F. Clavet,C344,C252,ESP,ESP,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS017,R32,00:57:00,,F,2,C433,"6-2,6-2",G. Canas,P. McEnroe,,,ARG,USA,6-2,6-2,,,,00:57:00,272,/en/stats/leaderboard?page=serve,2,11,54,25,46,80,20,25,67,14,21,,0,,8,192,/en/stats/leaderboard?page=serve,4,0,34,15,44,67,10,15,45,13,29,0,0,4,8,74,34,46,48,21,44,61,55,90,52,23,44,26,12,46,39,35,90,A,,,,,,,,G. Canas,P. McEnroe,C433,M048,ARG,USA,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS018,R32,02:17:00,,F,3,S572,"6-7(2),6-4,6-4",S. Schalken,L. Roux,,,NED,FRA,6-7(2),6-4,6-4,,,02:17:00,276,/en/stats/leaderboard?page=serve,7,5,62,61,98,72,44,61,57,21,37,60,3,5,16,256,/en/stats/leaderboard?page=serve,3,4,65,71,109,68,48,71,47,18,38,73,11,15,16,66,65,98,39,43,109,52,108,207,61,66,109,34,33,98,48,99,207,A,2,7,,,,,,S. Schalken,L. Roux,S572,R280,NED,FRA,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS019,R32,02:29:00,,F,3,D198,"6-3,6-7(5),7-6(7)",S. Dosedel,M. Norman,,,CZE,SWE,6-3,6-7(5),7-6(7),,,02:29:00,297,/en/stats/leaderboard?page=serve,1,8,65,71,110,73,52,71,64,25,39,60,3,5,17,264,/en/stats/leaderboard?page=serve,4,14,49,59,120,78,46,59,46,28,61,67,6,9,16,70,77,110,38,46,120,53,123,230,62,74,120,30,33,110,47,107,230,A,,,5,7,,7,3,S. Dosedel,M. Norman,D198,N250,CZE,SWE,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS020,R32,01:08:00,,F,2,S559,"6-4,6-4",D. van Scheppingen,F. Meligeni,,,NED,BRA,6-4,6-4,,,,01:08:00,270,/en/stats/leaderboard?page=serve,2,2,58,35,60,74,26,35,68,17,25,,0,,10,253,/en/stats/leaderboard?page=serve,3,3,51,30,59,63,19,30,59,17,29,50,2,4,10,72,43,60,39,23,59,55,66,119,61,36,59,28,17,60,45,53,119,A,,,,,,,,D. van Scheppingen,F. Meligeni,S559,M443,NED,BRA,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS021,R32,01:28:00,,F,2,V167,"6-4,6-4",J. Van Herck,G. Raoux,,,BEL,FRA,6-4,6-4,,,,01:28:00,262,/en/stats/leaderboard?page=serve,1,7,49,33,68,70,23,33,57,20,35,50,2,4,10,214,/en/stats/leaderboard?page=serve,1,2,39,22,57,77,17,22,37,13,35,43,3,7,10,63,43,68,47,27,57,56,70,125,53,30,57,37,25,68,44,55,125,A,,,,,,,,J. Van Herck,G. Raoux,V167,R186,BEL,FRA,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS023,R32,00:58:00,,F,2,C378,"6-2,6-2",A. Costa,D. Hrbaty,,,ESP,SVK,6-2,6-2,,,,00:58:00,269,/en/stats/leaderboard?page=serve,5,4,57,34,60,76,26,34,50,13,26,,0,,8,192,/en/stats/leaderboard?page=serve,4,1,46,21,46,67,14,21,32,8,25,33,2,6,8,65,39,60,52,24,46,59,63,106,48,22,46,35,21,60,41,43,106,A,,,,,,,,A. Costa,D. Hrbaty,C378,H377,ESP,SVK,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS024,R32,01:21:00,,F,3,R237,"6-1,3-6,6-3",G. Rusedski,M. Tillstrom,,,GBR,SWE,6-1,3-6,6-3,,,01:21:00,277,/en/stats/leaderboard?page=serve,4,15,47,35,75,80,28,35,55,22,40,60,3,5,13,235,/en/stats/leaderboard?page=serve,2,1,60,45,75,53,24,45,57,17,30,60,6,10,12,67,50,75,45,34,75,56,84,150,55,41,75,33,25,75,44,66,150,A,,,,,,,,G. Rusedski,M. Tillstrom,R237,T166,GBR,SWE,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS025,R32,01:17:00,,F,3,D228,"6-1,1-6,6-2",F. Dewulf,J. Novak,,,BEL,CZE,6-1,1-6,6-2,,,01:17:00,244,/en/stats/leaderboard?page=serve,4,4,56,44,78,75,33,44,41,14,34,40,2,5,11,218,/en/stats/leaderboard?page=serve,2,3,67,43,64,63,27,43,33,7,21,38,3,8,11,60,47,78,47,30,64,54,77,142,53,34,64,40,31,78,46,65,142,A,,,,,,,,F. Dewulf,J. Novak,D228,N254,BEL,CZE,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS026,R32,02:00:00,,F,3,T136,"6-2,6-7(3),6-3",J. Tarango,A. O'Brien,,,USA,USA,6-2,6-7(3),6-3,,,02:00:00,275,/en/stats/leaderboard?page=serve,6,6,64,57,89,75,43,57,50,16,32,60,3,5,15,233,/en/stats/leaderboard?page=serve,11,9,54,51,94,75,38,51,42,18,43,64,9,14,14,66,59,89,40,38,94,53,97,183,60,56,94,34,30,89,47,86,183,A,,,3,7,,,,J. Tarango,A. O'Brien,T136,O099,USA,USA,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS027,R32,00:55:00,,F,2,M535,"6-3,6-0",F. Mantilla,J. Viloca-Puig,,,ESP,ESP,6-3,6-0,,,,00:55:00,215,/en/stats/leaderboard?page=serve,4,6,53,21,40,86,18,21,74,14,19,0,0,,8,186,/en/stats/leaderboard?page=serve,3,0,53,27,51,52,14,27,42,10,24,50,4,8,7,80,32,40,53,27,51,65,59,91,47,24,51,20,8,40,35,32,91,A,,,,,,,,F. Mantilla,J. Viloca-Puig,M535,V161,ESP,ESP,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS028,R32,01:56:00,,F,3,B518,"7-6(7),3-6,6-3",G. Blanco,A. Berasategui,,,ESP,ESP,7-6(7),3-6,6-3,,,01:56:00,278,/en/stats/leaderboard?page=serve,6,7,58,65,113,80,52,65,46,22,48,89,8,9,15,297,/en/stats/leaderboard?page=serve,5,4,64,60,94,73,44,60,68,23,34,86,6,7,15,65,74,113,29,27,94,49,101,207,71,67,94,35,39,113,51,106,207,A,7,3,,,,,,G. Blanco,A. Berasategui,B518,B428,ESP,ESP,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS029,R32,02:47:00,,F,3,G247,"7-6(7),2-6,6-4",H. Gumy,J. Golmard,,,ARG,FRA,7-6(7),2-6,6-4,,,02:47:00,281,/en/stats/leaderboard?page=serve,3,7,72,87,121,69,60,87,50,17,34,71,5,7,15,288,/en/stats/leaderboard?page=serve,1,7,58,62,107,71,44,62,60,27,45,92,12,13,15,64,77,121,34,36,107,50,113,228,66,71,107,36,44,121,50,115,228,A,7,2,,,,,,H. Gumy,J. Golmard,G247,G319,ARG,FRA,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS030,R32,01:46:00,,F,3,F192,"4-6,6-4,6-1",R. Furlan,P. Haarhuis,,,ITA,NED,4-6,6-4,6-1,,,01:46:00,280,/en/stats/leaderboard?page=serve,6,10,45,40,89,80,32,40,59,29,49,80,4,5,14,247,/en/stats/leaderboard?page=serve,1,5,47,37,79,68,25,37,52,22,42,57,4,7,13,69,61,89,41,32,79,55,93,168,59,47,79,31,28,89,45,75,168,A,,,,,,,,R. Furlan,P. Haarhuis,F192,H223,ITA,NED,,
80,1997,Boston,GP,1997-08-18T00:00:00,1997-08-24T00:00:00,Hard,32,303000,$,MS031,R32,02:15:00,,F,3,R286,"6-7(1),6-2,7-6(7)",M. Rios,J. Stark,,,CHI,USA,6-7(1),6-2,7-6(7),,,02:15:00,271,/en/stats/leaderboard?page=serve,8,7,45,50,111,80,40,50,54,33,61,86,6,7,16,261,/en/stats/leaderboard?page=serve,7,13,54,61,113,72,44,61,48,25,52,50,3,6,16,66,73,111,39,44,113,52,117,224,61,69,113,34,38,111,48,107,224,A,1,7,,,,7,1,M. Rios,J. Stark,R286,S403,CHI,USA,,
