event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS011,R16,01:26:00,,F,2,H223,"6-4,7-6(7)",P. Haarhuis,K. Carlsen,,,NED,DEN,6-4,7-6(7),,,,01:26:00,295,/en/stats/leaderboard?page=serve,2,1,73,52,71,75,39,52,58,11,19,3,11,270,/en/stats/leaderboard?page=serve,2,4,65,50,77,66,33,50,56,15,27,82,9,11,11,70,50,71,38,29,77,53,79,148,62,48,77,30,21,71,47,69,148,A,75,4,7,3,,,,,P. Haarhuis,K. Carlsen,H223,C328,NED,DEN,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS012,R16,01:42:00,,F,3,S381,"4-6,6-3,6-2",J. Siemerink,B. Steven,,,NED,NZL,4-6,6-3,6-2,,,01:42:00,270,/en/stats/leaderboard?page=serve,6,6,63,58,92,81,47,58,41,14,34,5,14,239,/en/stats/leaderboard?page=serve,6,0,61,46,76,65,30,46,50,15,30,33,2,6,13,66,61,92,41,31,76,55,92,168,59,45,76,34,31,92,45,76,168,A,71,7,,,,,,,J. Siemerink,B. Steven,S381,S321,NED,NZL,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS013,R16,01:34:00,,F,3,B446,"6-1,4-6,6-2",J. Bjorkman,S. Schalken,,,SWE,NED,6-1,4-6,6-2,,,01:34:00,264,/en/stats/leaderboard?page=serve,5,4,63,47,75,72,34,47,54,15,28,4,13,198,/en/stats/leaderboard?page=serve,9,1,56,45,80,60,27,45,40,14,35,45,5,11,12,65,49,75,49,39,80,57,88,155,51,41,80,35,26,75,43,67,155,A,57,7,,,,,,,J. Bjorkman,S. Schalken,B446,S572,SWE,NED,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS014,R16,02:04:00,,F,3,R016,"6-1,6-7(4),7-6(8)",R. Reneberg,J. Hlasek,,,USA,SUI,6-1,6-7(4),7-6(8),,,02:04:00,241,/en/stats/leaderboard?page=serve,11,4,57,66,115,71,47,66,45,22,49,5,16,220,/en/stats/leaderboard?page=serve,6,5,59,67,113,69,46,67,33,15,46,65,11,17,15,60,69,115,46,52,113,53,121,228,54,61,113,40,46,115,47,107,228,A,56,9,4,7,8,6,,,R. Reneberg,J. Hlasek,R016,H025,USA,SUI,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS015,R16,01:54:00,,F,3,F206,"6-2,5-7,7-6(7)",F. Fetterlein,H. Arazi,,,DEN,MAR,6-2,5-7,7-6(7),,,01:54:00,262,/en/stats/leaderboard?page=serve,7,8,62,62,100,71,44,62,53,20,38,6,16,227,/en/stats/leaderboard?page=serve,6,2,50,60,119,67,40,60,46,27,59,55,6,11,16,64,64,100,44,52,119,53,116,219,56,67,119,36,36,100,47,103,219,A,60,10,,,7,3,,,F. Fetterlein,H. Arazi,F206,A226,DEN,MAR,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS016,R32,00:59:00,,F,2,S454,"6-3,6-2",S. Simian,A. Boetsch,,,FRA,FRA,6-3,6-2,,,,00:59:00,244,/en/stats/leaderboard?page=serve,5,3,62,36,58,81,29,36,59,13,22,0,9,227,/en/stats/leaderboard?page=serve,4,2,68,32,47,66,21,32,33,5,15,63,5,8,8,72,42,58,45,21,47,60,63,105,55,26,47,28,16,58,40,42,105,A,,,,,,,,,S. Simian,A. Boetsch,S454,B053,FRA,FRA,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS017,R32,01:15:00,,F,2,K296,"6-2,6-3",J. Kroslak,J. Golmard,,,SVK,FRA,6-2,6-3,,,,01:15:00,209,/en/stats/leaderboard?page=serve,2,6,61,33,54,73,24,33,71,15,21,0,8,205,/en/stats/leaderboard?page=serve,3,4,57,36,63,56,20,36,41,11,27,67,8,12,8,72,39,54,51,32,63,61,71,117,49,31,63,28,15,54,39,46,117,A,,,,,,,,,J. Kroslak,J. Golmard,K296,G319,SVK,FRA,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS018,R32,01:35:00,,F,2,P269,"7-5,7-6(7)",L. Paes,J. Tarango,,,IND,USA,7-5,7-6(7),,,,01:35:00,291,/en/stats/leaderboard?page=serve,3,7,64,54,84,72,39,54,60,18,30,3,12,256,/en/stats/leaderboard?page=serve,10,3,47,38,81,82,31,38,51,22,43,67,4,6,12,68,57,84,35,28,81,52,85,165,65,53,81,32,27,84,48,80,165,A,75,4,7,5,,,,,L. Paes,J. Tarango,P269,T136,IND,USA,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS019,R32,01:16:00,,F,2,N210,"6-4,7-6(9)",D. Nestor,M. Philippoussis,,,CAN,AUS,6-4,7-6(9),,,,01:16:00,271,/en/stats/leaderboard?page=serve,6,6,64,47,74,85,40,47,59,16,27,0,11,306,/en/stats/leaderboard?page=serve,6,18,66,41,62,90,37,41,48,10,21,0,0,1,11,76,56,74,24,15,62,52,71,136,76,47,62,24,18,74,48,65,136,A,,,9,7,,,,,D. Nestor,M. Philippoussis,N210,P338,CAN,AUS,,
440,1996,Rosmalen,GP,1996-06-10T00:00:00,1996-06-16T00:00:00,Grass,32,475000,$,MS020,R32,01:48:00,,F,2,K214,"7-6(7),7-6(14)",R. Krajicek,J. Eltingh,,,NED,NED,7-6(7),7-6(14),,,,01:48:00,263,/en/stats/leaderboard?page=serve,7,19,51,44,86,77,34,44,48,20,42,2,12,258,/en/stats/leaderboard?page=serve,5,2,63,55,88,71,39,55,52,17,33,63,5,8,12,63,54,86,36,32,88,49,86,174,64,56,88,37,32,86,51,88,174,A,40,5,14,12,,,7,5,R. Krajicek,J. Eltingh,K214,E106,NED,NED,,
