event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS016,R32,01:05:00,,F,2,B446,"6-1,6-3",J. Bjorkman,D. Nainkin,,,SWE,RSA,6-1,6-3,,,,01:05:00,,,274,/en/stats/leaderboard?page=serve,,4,59,33,56,67,22,33,57,13,23,75,3,4,8,183,/en/stats/leaderboard?page=serve,3,1,59,32,54,53,17,32,36,8,22,44,4,9,8,63,35,56,54,29,54,58,64,110,46,25,54,38,21,56,42,46,110,A,False,,,,J. Bjorkman,D. Nainkin,B446,N101,SWE,RSA,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS017,R32,01:42:00,,F,3,N250,"6-2,4-6,6-3",M. Norman,A. Portas,,,SWE,ESP,6-2,4-6,6-3,,,01:42:00,,,301,/en/stats/leaderboard?page=serve,2,15,47,36,76,89,32,36,60,24,40,75,3,4,14,256,/en/stats/leaderboard?page=serve,3,7,51,43,85,70,30,43,55,23,42,73,8,11,13,74,56,76,38,32,85,55,88,161,62,53,85,26,20,76,45,73,161,A,,,,,M. Norman,A. Portas,N250,P305,SWE,ESP,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS018,R32,01:01:00,,F,2,C378,"6-3,6-4",A. Costa,O. Burrieza-Lopez,,,ESP,ESP,6-3,6-4,,,,01:01:00,,,296,/en/stats/leaderboard?page=serve,2,7,70,40,57,78,31,40,53,9,17,0,0,1,10,222,/en/stats/leaderboard?page=serve,2,1,53,26,49,69,18,26,35,8,23,25,1,4,9,70,40,57,47,23,49,59,63,106,53,26,49,30,17,57,41,43,106,A,,,,,A. Costa,O. Burrieza-Lopez,C378,B517,ESP,ESP,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS019,R32,00:59:00,,F,2,M605,"6-3,6-3",C. Moya,G. Ivanisevic,,,ESP,CRO,6-3,6-3,,,,00:59:00,,,278,/en/stats/leaderboard?page=serve,3,8,36,18,50,83,15,18,66,21,32,0,0,1,9,218,/en/stats/leaderboard?page=serve,2,6,40,19,48,74,14,19,45,13,29,43,3,7,9,72,36,50,44,21,48,58,57,98,56,27,48,28,14,50,42,41,98,A,,,,,C. Moya,G. Ivanisevic,M605,I034,ESP,CRO,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS020,R32,00:56:00,,F,2,C344,"6-1,6-2",A. Corretja,J. Alonso,,,ESP,ESP,6-1,6-2,,,,00:56:00,,,219,/en/stats/leaderboard?page=serve,1,5,51,20,39,90,18,20,74,14,19,0,0,,8,190,/en/stats/leaderboard?page=serve,5,1,56,31,55,58,18,31,38,9,24,33,2,6,7,82,32,39,51,28,55,64,60,94,49,27,55,18,7,39,36,34,94,A,,,,,A. Corretja,J. Alonso,C344,A272,ESP,ESP,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS021,R32,01:10:00,,F,2,S367,"7-5,6-3",M. Sinner,P. Norval,,,GER,RSA,7-5,6-3,,,,01:10:00,,,283,/en/stats/leaderboard?page=serve,4,2,55,31,56,84,26,31,56,14,25,67,2,3,10,233,/en/stats/leaderboard?page=serve,5,9,56,35,63,71,25,35,39,11,28,50,4,8,11,71,40,56,43,27,63,56,67,119,57,36,63,29,16,56,44,52,119,A,,,,,M. Sinner,P. Norval,S367,N100,GER,RSA,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS022,R32,01:28:00,,F,2,C179,"7-6(9),6-3",C. Costa,B. Ulihrach,,,ESP,CZE,7-6(9),6-3,,,,01:28:00,9,7,222,/en/stats/leaderboard?page=serve,4,5,49,38,78,74,28,38,38,15,40,43,3,7,10,199,/en/stats/leaderboard?page=serve,6,5,47,32,68,69,22,32,39,14,36,40,4,10,11,55,43,78,47,32,68,51,75,146,53,36,68,45,35,78,49,71,146,A,,,,,C. Costa,B. Ulihrach,C179,U032,ESP,CZE,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS023,R32,01:09:00,,F,2,T136,"6-3,6-3",J. Tarango,S. Bruguera,,,USA,ESP,6-3,6-3,,,,01:09:00,,,274,/en/stats/leaderboard?page=serve,2,6,63,38,60,66,25,38,64,14,22,50,2,4,9,196,/en/stats/leaderboard?page=serve,4,3,46,28,61,86,24,28,21,7,33,58,7,12,9,65,39,60,49,30,61,57,69,121,51,31,61,35,21,60,43,52,121,A,,,,,J. Tarango,S. Bruguera,T136,B350,USA,ESP,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS024,R32,01:02:00,,F,2,M535,"6-4,6-2",F. Mantilla,K. Alami,,,ESP,MAR,6-4,6-2,,,,01:02:00,,,260,/en/stats/leaderboard?page=serve,2,4,68,38,56,79,30,38,56,10,18,,0,,9,228,/en/stats/leaderboard?page=serve,5,2,63,35,56,69,24,35,33,7,21,67,6,9,9,71,40,56,45,25,56,58,65,112,55,31,56,29,16,56,42,47,112,A,,,,,F. Mantilla,K. Alami,M535,A203,ESP,MAR,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS025,R32,01:12:00,,F,2,B028,"7-5,6-0",B. Becker,T. Henman,,,GER,GBR,7-5,6-0,,,,01:12:00,,,304,/en/stats/leaderboard?page=serve,3,8,53,21,40,90,19,21,68,13,19,0,0,1,9,194,/en/stats/leaderboard?page=serve,3,3,50,30,60,53,16,30,47,14,30,44,4,9,9,80,32,40,50,30,60,62,62,100,50,30,60,20,8,40,38,38,100,A,,,,,B. Becker,T. Henman,B028,H336,GER,GBR,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS026,R32,00:57:00,,F,2,B428,"6-1,6-3",A. Berasategui,A. Kitinov,,,ESP,MKD,6-1,6-3,,,,00:57:00,,,268,/en/stats/leaderboard?page=serve,2,3,78,42,54,69,29,42,83,10,12,,0,,8,210,/en/stats/leaderboard?page=serve,2,5,53,31,59,65,20,31,39,11,28,33,2,6,8,72,39,54,47,28,59,59,67,113,53,31,59,28,15,54,41,46,113,A,,,,,A. Berasategui,A. Kitinov,B428,K245,ESP,MKD,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS027,R32,00:57:00,,F,2,A226,"6-2,6-1",H. Arazi,Y. Kafelnikov,,,MAR,RUS,6-2,6-1,,,,00:57:00,,,210,/en/stats/leaderboard?page=serve,1,6,46,16,35,75,12,16,84,16,19,0,0,,7,173,/en/stats/leaderboard?page=serve,8,1,47,37,78,62,23,37,34,14,41,64,9,14,8,80,28,35,53,41,78,61,69,113,47,37,78,20,7,35,39,44,113,A,,,,,H. Arazi,Y. Kafelnikov,A226,K267,MAR,RUS,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS028,R32,02:14:00,,F,3,M099,"6-3,6-7(4),6-4",T. Muster,S. Stolle,,,AUT,AUS,6-3,6-7(4),6-4,,,02:14:00,,,287,/en/stats/leaderboard?page=serve,5,3,61,58,95,76,44,58,59,22,37,88,7,8,15,257,/en/stats/leaderboard?page=serve,3,7,63,76,121,68,52,76,47,21,45,78,14,18,16,69,66,95,40,48,121,53,114,216,60,73,121,31,29,95,47,102,216,A,,4,7,,T. Muster,S. Stolle,M099,S443,AUT,AUS,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS029,R32,01:12:00,,F,3,K316,"6-1,1-6,6-3",N. Kiefer,J. Novak,,,GER,CZE,6-1,1-6,6-3,,,01:12:00,,,251,/en/stats/leaderboard?page=serve,2,7,50,39,78,62,24,39,59,23,39,75,9,12,12,229,/en/stats/leaderboard?page=serve,3,7,56,36,64,67,24,36,39,11,28,43,3,7,11,60,47,78,45,29,64,54,76,142,55,35,64,40,31,78,46,66,142,A,,,,,N. Kiefer,J. Novak,K316,N254,GER,CZE,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS030,R32,02:02:00,,F,3,F196,"6-7(3),6-3,7-5",W. Ferreira,J. Sanchez,,,RSA,ESP,6-7(3),6-3,7-5,,,02:02:00,3,7,269,/en/stats/leaderboard?page=serve,3,7,61,68,112,81,55,68,41,18,44,50,3,6,17,250,/en/stats/leaderboard?page=serve,4,2,65,66,102,61,40,66,58,21,36,62,8,13,16,65,73,112,40,41,102,53,114,214,60,61,102,35,39,112,47,100,214,A,,,,,W. Ferreira,J. Sanchez,F196,S015,RSA,ESP,,
495,1998,Dubai,WS,1998-02-09T00:00:00,1998-02-15T00:00:00,Hard,32,1014250,$,MS031,R32,01:18:00,,F,2,S321,"6-3,6-3",B. Steven,M. Rios,,,NZL,CHI,6-3,6-3,,,,01:18:00,,,274,/en/stats/leaderboard?page=serve,1,3,55,33,60,70,23,33,59,16,27,75,3,4,9,218,/en/stats/leaderboard?page=serve,3,6,61,43,71,60,26,43,39,11,28,50,4,8,9,65,39,60,48,34,71,56,73,131,52,37,71,35,21,60,44,58,131,A,,,,,B. Steven,M. Rios,S321,R286,NZL,CHI,,
