event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_id_winner,player_id_loser
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS050,R64,02:58:00,,F,4,GB88,"3-6,7-6(7),6-2,6-4",D. Goffin,F. Tiafoe,,,BEL,USA,3-6,7-6(7),6-2,6-4,,02:58:00,A,D. Goffin,F. Tiafoe,BEL,USA,,,279,/en/stats/leaderboard?page=serve,2,8,53,60,113,72,43,60,64,34,53,57,4,7,19,253,/en/stats/leaderboard?page=serve,6,10,60,78,130,77,60,78,37,19,52,55,6,11,20,68,77,113,39,51,130,53,128,243,61,79,130,32,36,113,47,115,243,02:58:00,02:58:00,,,,,,,,,7,1,GB88,TD51
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS051,R64,01:29:00,,F,3,HB71,"6-1,6-4,6-2",H. Hurkacz,M. Cecchinato,,,POL,ITA,6-1,6-4,6-2,,,01:29:00,A,H. Hurkacz,M. Cecchinato,POL,ITA,,,326,/en/stats/leaderboard?page=serve,0,5,68,44,65,86,38,44,67,14,21,0,0,0,13,223,/en/stats/leaderboard?page=serve,3,1,63,45,71,58,26,45,46,12,26,38,3,8,12,80,52,65,46,33,71,63,85,136,54,38,71,20,13,65,38,51,136,01:29:00,01:29:00,,,,,,,,,,,HB71,CF01
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS052,R64,01:56:00,,F,3,R0DG,"6-2,6-3,6-3",H. Rune,H. Laaksonen,,,DEN,SUI,6-2,6-3,6-3,,,01:56:00,A,H. Rune,H. Laaksonen,DEN,SUI,,,313,/en/stats/leaderboard?page=serve,4,6,68,49,72,86,42,49,57,13,23,100,1,1,13,233,/en/stats/leaderboard?page=serve,1,3,58,51,88,55,28,51,57,21,37,55,6,11,13,76,55,72,44,39,88,59,94,160,56,49,88,24,17,72,41,66,160,01:56:00,01:56:00,,,,,,,,,,,R0DG,L949
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS053,R64,02:03:00,,F,3,G09O,"6-4,6-2,6-4",H. Gaston,P. Cachin,,,FRA,ARG,6-4,6-2,6-4,,,02:03:00,A,H. Gaston,P. Cachin,FRA,ARG,,,280,/en/stats/leaderboard?page=serve,1,2,50,44,88,82,36,44,55,24,44,80,4,5,14,231,/en/stats/leaderboard?page=serve,2,3,59,53,90,66,35,53,41,15,37,67,10,15,14,68,60,88,44,40,90,56,100,178,56,50,90,32,28,88,44,78,178,02:03:00,02:03:00,,,,,,,,,,,G09O,CG04
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS054,R64,03:22:00,,F,4,Y268,"6-3,3-6,6-2,6-3",M. Ymer,D. Evans,,,SWE,GBR,6-3,3-6,6-2,6-3,,03:22:00,A,M. Ymer,D. Evans,SWE,GBR,,,238,/en/stats/leaderboard?page=serve,8,4,63,80,128,69,55,80,38,18,48,67,10,15,18,213,/en/stats/leaderboard?page=serve,3,2,58,66,114,48,32,66,56,27,48,50,8,16,17,57,73,128,48,55,114,53,128,242,52,59,114,43,55,128,47,114,242,03:22:00,03:22:00,,,,,,,,,,,Y268,E687
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS055,R64,04:06:00,,F,4,TE51,"6-3,7-6(10),6-7(3),7-6(9)",S. Tsitsipas,Z. Kolar,,,GRE,CZE,6-3,7-6(10),6-7(3),7-6(9),,04:06:00,A,S. Tsitsipas,Z. Kolar,GRE,CZE,,,299,/en/stats/leaderboard?page=serve,5,25,58,95,163,74,70,95,56,38,68,75,6,8,23,278,/en/stats/leaderboard?page=serve,7,9,70,116,165,71,82,116,49,24,49,75,9,12,22,66,108,163,36,59,165,51,167,328,64,106,165,34,55,163,49,161,328,04:06:00,04:06:00,9,7,3,7,,,,,10,8,TE51,KH56
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS056,R64,02:26:00,,F,4,RE44,"6-3,3-6,6-2,6-3",A. Rublev,F. Delbonis,,,RUS,ARG,6-3,3-6,6-2,6-3,,02:26:00,A,A. Rublev,F. Delbonis,RUS,ARG,,,296,/en/stats/leaderboard?page=serve,1,8,57,62,108,77,48,62,61,28,46,75,3,4,18,268,/en/stats/leaderboard?page=serve,2,7,69,74,108,65,48,74,53,18,34,56,5,9,17,70,76,108,39,42,108,55,118,216,61,66,108,30,32,108,45,98,216,02:26:00,02:26:00,,,,,,,,,,,RE44,D874
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS057,R64,02:49:00,,F,4,GD64,"6-3,7-6(7),4-6,6-3",C. Garin,I. Ivashka,,,CHI,BLR,6-3,7-6(7),4-6,6-3,,02:49:00,A,C. Garin,I. Ivashka,CHI,BLR,,,280,/en/stats/leaderboard?page=serve,3,3,61,74,121,74,55,74,60,28,47,40,2,5,21,270,/en/stats/leaderboard?page=serve,4,7,67,78,116,69,54,78,53,20,38,56,5,9,19,69,83,121,36,42,116,53,125,237,64,74,116,31,38,121,47,112,237,02:49:00,02:49:00,,,,,,,,,7,5,GD64,I305
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS058,R64,01:53:00,,F,3,MK66,"6-3,6-1,6-4",M. McDonald,N. Basilashvili,,,USA,GEO,6-3,6-1,6-4,,,01:53:00,A,M. McDonald,N. Basilashvili,USA,GEO,,,273,/en/stats/leaderboard?page=serve,1,2,59,44,75,68,30,44,61,19,31,67,4,6,13,194,/en/stats/leaderboard?page=serve,6,3,55,54,99,63,34,54,33,15,45,72,18,25,13,65,49,75,51,50,99,57,99,174,49,49,99,35,26,75,43,75,174,01:53:00,01:53:00,,,,,,,,,,,MK66,BG23
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS059,R64,03:44:00,,F,4,S0AG,"3-6,6-4,6-4,6-3",J. Sinner,R. Carballes Baena,,,ITA,ESP,3-6,6-4,6-4,6-3,,03:44:00,A,J. Sinner,R. Carballes Baena,ITA,ESP,,,265,/en/stats/leaderboard?page=serve,3,11,59,76,129,67,51,76,53,28,53,69,9,13,19,237,/en/stats/leaderboard?page=serve,3,2,62,90,145,64,58,90,44,24,55,68,13,19,19,61,79,129,43,63,145,52,142,274,57,82,145,39,50,129,48,132,274,03:44:00,03:44:00,,,,,,,,,,,S0AG,CF59
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS060,R64,02:34:00,,F,3,SD32,"7-5,6-1,7-6(8)",G. Simon,S. Johnson,,,FRA,USA,7-5,6-1,7-6(8),,,02:34:00,A,G. Simon,S. Johnson,FRA,USA,,,273,/en/stats/leaderboard?page=serve,2,5,73,74,102,68,50,74,54,15,28,43,3,7,16,211,/en/stats/leaderboard?page=serve,3,3,60,64,107,61,39,64,37,16,43,59,10,17,15,64,65,102,49,52,107,56,117,209,51,55,107,36,37,102,44,92,209,02:34:00,02:34:00,,,8,6,,,,,,,SD32,J386
520,2022,Roland Garros,GS,2022-05-22T00:00:00,2022-06-05T00:00:00,Clay,128,21256800,€,MS061,R64,02:54:00,,F,4,C977,"4-6,6-4,6-2,6-3",M. Cilic,M. Fucsovics,,,CRO,HUN,4-6,6-4,6-2,6-3,,02:54:00,A,M. Cilic,M. Fucsovics,CRO,HUN,,,287,/en/stats/leaderboard?page=serve,6,12,55,66,119,77,51,66,60,32,53,78,7,9,19,246,/en/stats/leaderboard?page=serve,6,4,66,78,118,65,51,78,45,18,40,55,6,11,18,70,83,119,42,49,118,56,132,237,58,69,118,30,36,119,44,105,237,02:54:00,02:54:00,,,,,,,,,,,C977,F724
