event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS015,R16,01:13:00,,F,2,P280,"6-3,6-4",A. Pavel,A. Berasategui,,,ROU,ESP,6-3,6-4,,,,01:13:00,253,/en/stats/leaderboard?page=serve,,3,60,46,77,65,30,46,45,14,31,71,5,7,10,238,/en/stats/leaderboard?page=serve,4,1,71,42,59,50,21,42,65,11,17,56,5,9,9,57,44,77,46,27,59,52,71,136,54,32,59,43,33,77,48,65,136,A,,,False,,,,,,A. Pavel,A. Berasategui,P280,B428,ROU,ESP,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS016,R32,02:07:00,,F,3,M535,"6-4,4-6,7-6(7)",F. Mantilla,R. Fromberg,,,ESP,AUS,6-4,4-6,7-6(7),,,02:07:00,266,/en/stats/leaderboard?page=serve,5,1,62,65,105,74,48,65,53,21,40,67,6,9,16,279,/en/stats/leaderboard?page=serve,6,18,55,54,98,81,44,54,50,22,44,63,5,8,16,66,69,105,33,32,98,50,101,203,67,66,98,34,36,105,50,102,203,A,,,,,7,5,,,F. Mantilla,R. Fromberg,M535,F164,ESP,AUS,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS017,R32,01:14:00,,F,2,S480,"6-1,7-5",D. Sanguinetti,O. Camporese,,,ITA,ITA,6-1,7-5,,,,01:14:00,281,/en/stats/leaderboard?page=serve,1,4,48,27,56,78,21,27,62,18,29,67,2,3,10,202,/en/stats/leaderboard?page=serve,3,3,34,21,62,67,14,21,46,19,41,50,4,8,9,70,39,56,47,29,62,58,68,118,53,33,62,30,17,56,42,50,118,A,,,,,,,,,D. Sanguinetti,O. Camporese,S480,C009,ITA,ITA,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS018,R32,01:11:00,,F,2,M578,"7-5,6-1",J. Marin,E. Grossi,,,CRC,ITA,7-5,6-1,,,,01:11:00,280,/en/stats/leaderboard?page=serve,3,0,62,38,61,68,26,38,65,15,23,83,5,6,9,192,/en/stats/leaderboard?page=serve,4,3,42,27,64,52,14,27,49,18,37,67,10,15,10,67,41,61,50,32,64,58,73,125,50,32,64,33,20,61,42,52,125,A,,,,,,,,,J. Marin,E. Grossi,M578,G328,CRC,ITA,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS019,R32,00:58:00,,F,2,R219,"6-2,6-0",C. Ruud,J. Diaz,,,NOR,ESP,6-2,6-0,,,,00:58:00,278,/en/stats/leaderboard?page=serve,2,5,50,20,40,85,17,20,55,11,20,50,1,2,7,151,/en/stats/leaderboard?page=serve,3,1,62,31,50,35,11,31,42,8,19,40,4,10,7,70,28,40,62,31,50,66,59,90,38,19,50,30,12,40,34,31,90,A,,,,,,,,,C. Ruud,J. Diaz,R219,D291,NOR,ESP,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS022,R32,01:52:00,,F,3,D249,"3-6,6-3,6-2",H. Dreekmann,N. Lapentti,,,GER,ECU,3-6,6-3,6-2,,,01:52:00,272,/en/stats/leaderboard?page=serve,5,5,44,39,88,87,34,39,49,24,49,88,7,8,13,266,/en/stats/leaderboard?page=serve,1,5,64,56,87,61,34,56,61,19,31,75,9,12,13,66,58,88,39,34,87,53,92,175,61,53,87,34,30,88,47,83,175,A,,,,,,,,,H. Dreekmann,N. Lapentti,D249,L290,GER,ECU,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS023,R32,01:18:00,,F,2,H377,"7-6(7),6-2",D. Hrbaty,M. Charpentier,,,SVK,ARG,7-6(7),6-2,,,,01:18:00,252,/en/stats/leaderboard?page=serve,5,3,41,28,69,79,22,28,54,22,41,33,1,3,10,229,/en/stats/leaderboard?page=serve,1,2,69,48,70,58,28,48,41,9,22,0,0,4,10,64,44,69,47,33,70,55,77,139,53,37,70,36,25,69,45,62,139,A,7,5,,,,,,,D. Hrbaty,M. Charpentier,H377,C375,SVK,ARG,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS024,R32,01:12:00,,F,2,C179,"6-4,6-3",C. Costa,H. Arazi,,,ESP,MAR,6-4,6-3,,,,01:12:00,261,/en/stats/leaderboard?page=serve,2,0,57,25,44,76,19,25,53,10,19,0,0,2,9,203,/en/stats/leaderboard?page=serve,2,5,47,36,77,64,23,36,39,16,41,62,8,13,10,66,29,44,49,38,77,55,67,121,51,39,77,34,15,44,45,54,121,A,,,,,,,,,C. Costa,H. Arazi,C179,A226,ESP,MAR,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS025,R32,01:29:00,,F,2,F192,"6-2,7-6(7)",R. Furlan,F. Squillari,,,ITA,ARG,6-2,7-6(7),,,,01:29:00,258,/en/stats/leaderboard?page=serve,2,2,38,21,56,71,15,21,69,24,35,33,1,3,10,225,/en/stats/leaderboard?page=serve,9,5,60,46,77,70,32,46,39,12,31,78,14,18,10,70,39,56,43,33,77,54,72,133,57,44,77,30,17,56,46,61,133,A,,,,,,,7,4,R. Furlan,F. Squillari,F192,S568,ITA,ARG,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS026,R32,02:17:00,,F,3,G247,"3-6,6-3,7-6(7)",H. Gumy,D. Pescariu,,,ARG,ROU,3-6,6-3,7-6(7),,,02:17:00,233,/en/stats/leaderboard?page=serve,8,1,70,68,97,63,43,68,41,12,29,62,8,13,15,244,/en/stats/leaderboard?page=serve,2,1,67,68,101,60,41,68,52,17,33,58,7,12,15,57,55,97,43,43,101,49,98,198,57,58,101,43,42,97,51,100,198,A,,,,,7,4,,,H. Gumy,D. Pescariu,G247,P254,ARG,ROU,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS027,R32,01:16:00,,F,2,S015,"6-3,6-3",J. Sanchez,M. Martelli,,,ESP,ITA,6-3,6-3,,,,01:16:00,220,/en/stats/leaderboard?page=serve,2,1,74,52,70,69,36,52,56,10,18,,0,,9,228,/en/stats/leaderboard?page=serve,7,6,34,21,61,86,18,21,43,17,40,57,4,7,9,66,46,70,43,26,61,55,72,131,57,35,61,34,24,70,45,59,131,A,,,,,,,,,J. Sanchez,M. Martelli,S015,M543,ESP,ITA,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS028,R32,01:19:00,,F,2,G182,"6-2,6-4",M. Gustafsson,M. Filippini,,,SWE,URU,6-2,6-4,,,,01:19:00,275,/en/stats/leaderboard?page=serve,1,6,59,41,69,66,27,41,57,16,28,86,6,7,9,245,/en/stats/leaderboard?page=serve,1,6,71,41,58,49,20,41,65,11,17,69,9,13,9,62,43,69,47,27,58,55,70,127,53,31,58,38,26,69,45,57,127,A,,,,,,,,,M. Gustafsson,M. Filippini,G182,F165,SWE,URU,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS029,R32,01:04:00,,F,2,M590,"6-4,6-2",A. Martin,D. Scala,,,ESP,ITA,6-4,6-2,,,,01:04:00,296,/en/stats/leaderboard?page=serve,2,2,71,37,52,70,26,37,67,10,15,75,3,4,9,226,/en/stats/leaderboard?page=serve,2,2,64,35,55,57,20,35,50,10,20,60,6,10,9,69,36,52,45,25,55,57,61,107,55,30,55,31,16,52,43,46,107,A,,,,,,,,,A. Martin,D. Scala,M590,S465,ESP,ITA,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS030,R32,00:56:00,,F,2,P280,"6-3,6-1",A. Pavel,J. Knippschild,,,ROU,GER,6-3,6-1,,,,00:56:00,308,/en/stats/leaderboard?page=serve,1,7,66,27,41,78,21,27,71,10,14,50,1,2,8,174,/en/stats/leaderboard?page=serve,2,4,44,24,54,54,13,24,37,11,30,44,4,9,8,76,31,41,56,30,54,64,61,95,44,24,54,24,10,41,36,34,95,A,,,,,,,,,A. Pavel,J. Knippschild,P280,K260,ROU,GER,,
475,1997,San Marino,GP,1997-08-04T00:00:00,1997-08-10T00:00:00,Clay,32,275000,$,MS031,R32,01:14:00,,F,2,B428,"6-3,6-4",A. Berasategui,D. Nargiso,,,ESP,ITA,6-3,6-4,,,,01:14:00,248,/en/stats/leaderboard?page=serve,1,1,71,47,66,74,35,47,63,12,19,,0,,10,251,/en/stats/leaderboard?page=serve,3,4,49,27,55,81,22,27,43,12,28,71,5,7,9,71,47,66,38,21,55,56,68,121,62,34,55,29,19,66,44,53,121,A,,,,,,,,,A. Berasategui,D. Nargiso,B428,N109,ESP,ITA,,
