event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_id_winner,player_id_loser
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS053,R64,02:39:00,,F,3,FB98,"6-4,6-3,7-6(7)",T. Fritz,F. Tiafoe,,,USA,USA,6-4,6-3,7-6(7),,,02:39:00,A,T. Fritz,F. Tiafoe,USA,USA,,,289,/en/stats/leaderboard?page=serve,6,21,63,76,120,72,55,76,52,23,44,75,6,8,16,244,/en/stats/leaderboard?page=serve,3,6,54,63,116,65,41,63,49,26,53,71,10,14,15,65,78,120,42,49,116,54,127,236,58,67,116,35,42,120,46,109,236,,,02:39:00,02:39:00,,,7,5,,,,,FB98,TD51
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS054,R64,03:18:00,,F,4,PD31,"6-4,6-4,6-7(4),7-6(7)",B. Paire,G. Dimitrov,,,FRA,BUL,6-4,6-4,6-7(4),7-6(7),,03:18:00,A,B. Paire,G. Dimitrov,FRA,BUL,,,280,/en/stats/leaderboard?page=serve,9,14,51,77,152,82,63,77,52,39,75,71,5,7,22,268,/en/stats/leaderboard?page=serve,6,7,65,97,149,67,65,97,54,28,52,67,8,12,22,67,102,152,38,56,149,52,158,301,62,93,149,33,50,152,48,143,301,,,03:18:00,03:18:00,,,4,7,7,2,,,PD31,D875
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS055,R64,03:22:00,,F,4,TE51,"7-6(7),6-7(5),6-3,6-4",S. Tsitsipas,S. Baez,,,GRE,ARG,7-6(7),6-7(5),6-3,6-4,,03:22:00,A,S. Tsitsipas,S. Baez,GRE,ARG,,,292,/en/stats/leaderboard?page=serve,3,12,68,97,142,78,76,97,47,21,45,67,4,6,22,274,/en/stats/leaderboard?page=serve,4,5,74,115,156,63,73,115,56,23,41,78,14,18,21,68,97,142,38,60,156,53,157,298,62,96,156,32,45,142,47,141,298,5,7,03:22:00,03:22:00,7,1,,,,,,,TE51,B0BI
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS056,R64,01:47:00,,F,3,RE44,"6-4,6-2,6-0",A. Rublev,R. Berankis,,,RUS,LTU,6-4,6-2,6-0,,,01:47:00,A,A. Rublev,R. Berankis,RUS,LTU,,,298,/en/stats/leaderboard?page=serve,3,13,50,40,80,85,34,40,53,21,40,100,4,4,12,198,/en/stats/leaderboard?page=serve,5,2,53,50,95,62,31,50,36,16,45,60,9,15,12,69,55,80,51,48,95,59,103,175,49,47,95,31,25,80,41,72,175,,,01:47:00,01:47:00,,,,,,,,,RE44,BE90
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS057,R64,02:40:00,,F,4,C977,"6-2,6-3,3-6,7-6(8)",M. Cilic,N. Gombos,,,CRO,SVK,6-2,6-3,3-6,7-6(8),,02:40:00,A,M. Cilic,N. Gombos,CRO,SVK,,,311,/en/stats/leaderboard?page=serve,2,20,56,59,106,86,51,59,62,29,47,33,1,3,19,262,/en/stats/leaderboard?page=serve,4,6,64,79,124,71,56,79,47,21,45,50,4,8,19,75,80,106,38,47,124,55,127,230,62,77,124,25,26,106,45,103,230,,,02:40:00,02:40:00,,,,,8,6,,,C977,GB93
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS059,R64,04:19:00,,F,4,AG37,"7-6(7),6-7(4),7-6(7),7-6(7)",F. Auger-Aliassime,A. Davidovich Fokina,,,CAN,ESP,7-6(7),6-7(4),7-6(7),7-6(7),,04:19:00,A,F. Auger-Aliassime,A. Davidovich Fokina,CAN,ESP,,,306,/en/stats/leaderboard?page=serve,6,28,69,122,177,73,89,122,51,28,55,78,7,9,24,300,/en/stats/leaderboard?page=serve,2,6,68,104,153,74,77,104,63,31,49,60,3,5,24,66,117,177,29,45,153,49,162,330,71,108,153,34,60,177,51,168,330,4,7,04:19:00,04:19:00,7,4,7,5,7,4,,,AG37,DH50
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS060,R64,03:07:00,,F,3,O483,"7-6(8),6-4,6-4",C. O'Connell,D. Schwartzman,,,AUS,ARG,7-6(8),6-4,6-4,,,03:07:00,A,C. O'Connell,D. Schwartzman,AUS,ARG,,,269,/en/stats/leaderboard?page=serve,3,7,59,72,122,75,54,72,44,22,50,75,6,8,16,241,/en/stats/leaderboard?page=serve,7,5,60,70,116,69,48,70,39,18,46,64,7,11,16,62,76,122,43,50,116,53,126,238,57,66,116,38,46,122,47,112,238,,,03:07:00,03:07:00,8,6,,,,,,,O483,SM37
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS061,R64,02:37:00,,F,4,C0BC,"6-1,3-6,6-1,7-6(7)",M. Cressy,T. Machac,,,USA,CZE,6-1,3-6,6-1,7-6(7),,02:37:00,A,M. Cressy,T. Machac,USA,CZE,,,282,/en/stats/leaderboard?page=serve,12,18,59,73,124,84,61,73,45,23,51,71,5,7,18,268,/en/stats/leaderboard?page=serve,3,4,73,69,95,62,43,69,62,16,26,17,1,6,17,68,84,124,38,36,95,55,120,219,62,59,95,32,40,124,45,99,219,,,02:37:00,02:37:00,,,,,7,5,,,C0BC,M0FH
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS062,R64,01:25:00,,F,3,V812,"4-6,6-0,4-0",B. van de Zandschulp,R. Gasquet,,,NED,FRA,4-6,6-0,4-0,,,01:25:00,A,B. van de Zandschulp,R. Gasquet,NED,FRA,,,313,/en/stats/leaderboard?page=serve,1,16,70,40,57,73,29,40,65,11,17,80,4,5,10,214,/en/stats/leaderboard?page=serve,1,3,64,51,80,53,27,51,45,13,29,38,3,8,10,70,40,57,50,40,80,58,80,137,50,40,80,30,17,57,42,57,137,,,01:25:00,01:25:00,,,,,,,,,V812,G628
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS063,R64,02:58:00,,F,4,MM58,"7-6(7),6-4,4-6,6-2",D. Medvedev,N. Kyrgios,,,RUS,AUS,7-6(7),6-4,4-6,6-2,,02:58:00,A,D. Medvedev,N. Kyrgios,RUS,AUS,,,317,/en/stats/leaderboard?page=serve,5,31,66,79,119,85,67,79,50,20,40,78,7,9,20,278,/en/stats/leaderboard?page=serve,2,17,71,91,128,74,67,91,38,14,37,64,7,11,20,73,87,119,37,47,128,54,134,247,63,81,128,27,32,119,46,113,247,,,02:58:00,02:58:00,7,1,,,,,,,MM58,KE17
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS064,R128,01:56:00,,F,3,KI95,"6-4,6-2,6-1",M. Kecmanovic,S. Caruso,,,SRB,ITA,6-4,6-2,6-1,,,01:56:00,A,M. Kecmanovic,S. Caruso,SRB,ITA,,,279,/en/stats/leaderboard?page=serve,2,4,64,46,72,72,33,46,58,15,26,33,1,3,12,175,/en/stats/leaderboard?page=serve,5,3,49,41,83,61,25,41,29,12,42,47,7,15,13,67,48,72,55,46,83,61,94,155,45,37,83,33,24,72,39,61,155,,,01:56:00,01:56:00,,,,,,,,,KI95,CE25
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS065,R128,01:39:00,,F,3,PL56,"6-3,6-4,6-2",T. Paul,M. Kukushkin,,,USA,KAZ,6-3,6-4,6-2,,,01:39:00,A,T. Paul,M. Kukushkin,USA,KAZ,,,290,/en/stats/leaderboard?page=serve,5,9,60,50,84,84,42,50,50,17,34,67,2,3,14,244,/en/stats/leaderboard?page=serve,2,3,71,56,79,59,33,56,52,12,23,50,5,10,13,70,59,84,43,34,79,57,93,163,57,45,79,30,25,84,43,70,163,,,01:39:00,01:39:00,,,,,,,,,PL56,K926
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS066,R128,01:50:00,,F,3,O449,"6-4,6-3,6-2",O. Otte,C. Tseng,,,GER,TPE,6-4,6-3,6-2,,,01:50:00,A,O. Otte,C. Tseng,GER,TPE,,,261,/en/stats/leaderboard?page=serve,5,9,61,51,84,82,42,51,36,12,33,70,7,10,14,191,/en/stats/leaderboard?page=serve,4,0,48,42,88,55,23,42,46,21,46,46,6,13,13,64,54,84,50,44,88,57,98,172,50,44,88,36,30,84,43,74,172,,,01:50:00,01:50:00,,,,,,,,,O449,T0AP
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS067,R128,02:14:00,,F,3,SU87,"7-5,6-3,6-3",L. Sonego,S. Querrey,,,ITA,USA,7-5,6-3,6-3,,,02:14:00,A,L. Sonego,S. Querrey,ITA,USA,,,317,/en/stats/leaderboard?page=serve,3,10,76,81,107,72,58,81,62,16,26,100,9,9,15,244,/en/stats/leaderboard?page=serve,2,2,64,69,108,74,51,69,33,13,39,67,8,12,15,69,74,107,41,44,108,55,118,215,59,64,108,31,33,107,45,97,215,,,02:14:00,02:14:00,,,,,,,,,SU87,Q927
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS068,R128,01:35:00,,F,3,MC65,"6-1,6-1,6-3",G. Monfils,F. Coria,,,FRA,ARG,6-1,6-1,6-3,,,01:35:00,A,G. Monfils,F. Coria,FRA,ARG,,,303,/en/stats/leaderboard?page=serve,2,11,58,42,73,81,34,42,55,17,31,100,6,6,12,202,/en/stats/leaderboard?page=serve,3,2,61,43,70,56,24,43,41,11,27,40,4,10,11,70,51,73,50,35,70,60,86,143,50,35,70,30,22,73,40,57,143,,,01:35:00,01:35:00,,,,,,,,,MC65,CE77
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS069,R128,02:32:00,,F,4,BK92,"3-6,7-6(7),6-3,6-3",A. Bublik,E. Escobedo,,,KAZ,MEX,3-6,7-6(7),6-3,6-3,,02:32:00,A,A. Bublik,E. Escobedo,KAZ,MEX,,,292,/en/stats/leaderboard?page=serve,11,30,62,80,130,86,69,80,36,18,50,78,7,9,19,265,/en/stats/leaderboard?page=serve,5,3,65,85,130,71,60,85,51,23,45,64,7,11,20,67,87,130,36,47,130,52,134,260,64,83,130,33,43,130,48,126,260,7,5,02:32:00,02:32:00,,,,,,,,,BK92,E873
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS070,R128,03:58:00,,F,4,MO44,"7-6(17),3-6,6-4,6-2",P. Martinez,F. Delbonis,,,ESP,ARG,7-6(17),3-6,6-4,6-2,,03:58:00,A,P. Martinez,F. Delbonis,ESP,ARG,,,262,/en/stats/leaderboard?page=serve,5,7,66,94,142,61,57,94,58,28,48,55,6,11,20,236,/en/stats/leaderboard?page=serve,4,3,74,106,144,66,70,106,29,11,38,54,7,13,19,60,85,142,44,63,144,52,148,286,56,81,144,40,57,142,48,138,286,,,03:58:00,03:58:00,17,15,,,,,,,MO44,D874
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS071,R128,04:39:00,,F,5,GD64,"6-3,6-4,5-7,6-7(4),6-3",C. Garin,F. Bagnis,,,CHI,ARG,6-3,6-4,5-7,6-7(4),6-3,04:39:00,A,C. Garin,F. Bagnis,CHI,ARG,,,284,/en/stats/leaderboard?page=serve,7,10,56,96,172,73,70,96,64,49,76,67,6,9,27,284,/en/stats/leaderboard?page=serve,4,26,65,124,190,69,85,124,48,32,66,69,11,16,25,69,119,172,38,73,190,53,192,362,62,117,190,31,53,172,47,170,362,,,04:39:00,04:39:00,,,,,4,7,,,GD64,BF23
580,2022,Australian Open,GS,2022-01-17T00:00:00,2022-01-30T00:00:00,Hard,128,33784200,A$,MS072,R128,01:42:00,,F,3,K0AH,"6-3,6-0,6-4",S. Korda,C. Norrie,,,USA,GBR,6-3,6-0,6-4,,,01:42:00,A,S. Korda,C. Norrie,USA,GBR,,,302,/en/stats/leaderboard?page=serve,5,6,70,57,81,77,44,57,54,13,24,100,3,3,13,232,/en/stats/leaderboard?page=serve,2,6,58,39,67,62,24,39,50,14,28,50,5,10,12,70,57,81,43,29,67,58,86,148,57,38,67,30,24,81,42,62,148,,,01:42:00,01:42:00,,,,,,,,,K0AH,N771
