event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,1999,US Open,GS,1999-08-30T00:00:00,1999-09-12T00:00:00,Hard,128,6235000,$,MS001,F,03:23:00,,F,5,A092,"6-4,6-7(5),6-7(2),6-3,6-2",A. Agassi,T. Martin,,,USA,USA,6-4,6-7(5),6-7(2),6-3,6-2,03:23:00,5,7,2,7,307,/en/stats/leaderboard?page=serve,4,6,64,102,160,75,76,102,66,38,58,100,8,8,25,285,/en/stats/leaderboard?page=serve,8,23,59,90,152,71,64,90,60,37,62,50,5,10,26,71,114,160,34,51,152,53,165,312,66,101,152,29,46,160,47,147,312,A,,,,,,,A. Agassi,T. Martin,A092,M442,USA,USA,,
560,1999,US Open,GS,1999-08-30T00:00:00,1999-09-12T00:00:00,Hard,128,6235000,$,MS002,SF,01:35:00,,F,3,M442,"6-4,6-1,6-2",T. Martin,C. Pioline,,,USA,FRA,6-4,6-1,6-2,,,01:35:00,,,,,295,/en/stats/leaderboard?page=serve,4,14,65,54,83,80,43,54,48,14,29,83,5,6,13,210,/en/stats/leaderboard?page=serve,1,5,50,35,70,60,21,35,46,16,35,33,3,9,12,69,57,83,47,33,70,59,90,153,53,37,70,31,26,83,41,63,153,A,,,,,,,T. Martin,C. Pioline,M442,P226,USA,FRA,,
560,1999,US Open,GS,1999-08-30T00:00:00,1999-09-12T00:00:00,Hard,128,6235000,$,MS003,SF,02:11:00,,F,4,A092,"1-6,6-3,6-3,6-3",A. Agassi,Y. Kafelnikov,,,USA,RUS,1-6,6-3,6-3,6-3,,02:11:00,,,,,269,/en/stats/leaderboard?page=serve,3,11,50,51,101,73,37,51,56,28,50,50,3,6,17,243,/en/stats/leaderboard?page=serve,3,9,56,64,115,66,42,64,45,23,51,55,6,11,17,64,65,101,43,50,115,53,115,216,57,65,115,36,36,101,47,101,216,A,,,,,,,A. Agassi,Y. Kafelnikov,A092,K267,USA,RUS,,
560,1999,US Open,GS,1999-08-30T00:00:00,1999-09-12T00:00:00,Hard,128,6235000,$,MS004,QF,02:30:00,,F,4,M442,"6-3,5-7,6-4,6-4",T. Martin,S. Dosedel,,,USA,CZE,6-3,5-7,6-4,6-4,,02:30:00,,,,,314,/en/stats/leaderboard?page=serve,4,21,73,83,113,86,71,83,43,13,30,0,0,1,21,289,/en/stats/leaderboard?page=serve,2,5,71,89,125,72,64,89,58,21,36,67,6,9,20,74,84,113,32,40,125,52,124,238,68,85,125,26,29,113,48,114,238,A,,,,,,,T. Martin,S. Dosedel,M442,D198,USA,CZE,,
560,1999,US Open,GS,1999-08-30T00:00:00,1999-09-12T00:00:00,Hard,128,6235000,$,MS005,QF,03:22:00,,F,4,P226,"4-6,7-6(8),7-6(16),7-6(10)",C. Pioline,G. Kuerten,,,FRA,BRA,4-6,7-6(8),7-6(16),7-6(10),,03:22:00,8,6,16,14,307,/en/stats/leaderboard?page=serve,4,19,58,93,159,84,78,93,59,39,66,75,6,8,23,302,/en/stats/leaderboard?page=serve,5,19,55,94,172,87,82,94,51,40,78,75,3,4,23,74,117,159,29,50,172,50,167,331,71,122,172,26,42,159,50,164,331,A,10,8,,,,,C. Pioline,G. Kuerten,P226,K293,FRA,BRA,,
560,1999,US Open,GS,1999-08-30T00:00:00,1999-09-12T00:00:00,Hard,128,6235000,$,MS006,QF,03:20:00,,F,5,K267,"7-6(7),7-6(7),3-6,1-6,7-6(7)",Y. Kafelnikov,R. Krajicek,,,RUS,NED,7-6(7),7-6(7),3-6,1-6,7-6(7),03:20:00,7,4,,,271,/en/stats/leaderboard?page=serve,5,10,53,84,158,74,62,84,59,44,74,29,2,7,26,313,/en/stats/leaderboard?page=serve,13,49,58,104,178,88,91,104,35,26,74,67,2,3,26,67,106,158,34,61,178,50,167,336,66,117,178,33,52,158,50,169,336,A,,,7,0,7,5,Y. Kafelnikov,R. Krajicek,K267,K214,RUS,NED,,
560,1999,US Open,GS,1999-08-30T00:00:00,1999-09-12T00:00:00,Hard,128,6235000,$,MS007,QF,01:55:00,,F,3,A092,"7-6(7),6-3,6-4",A. Agassi,N. Escude,,,USA,FRA,7-6(7),6-3,6-4,,,01:55:00,,,,,295,/en/stats/leaderboard?page=serve,4,11,61,65,107,86,56,65,48,20,42,83,5,6,16,284,/en/stats/leaderboard?page=serve,0,14,58,48,83,75,36,48,57,20,35,40,2,5,15,71,76,107,33,27,83,54,103,190,67,56,83,29,31,107,46,87,190,A,,,7,3,,,A. Agassi,N. Escude,A092,E140,USA,FRA,,
560,1999,US Open,GS,1999-08-30T00:00:00,1999-09-12T00:00:00,Hard,128,6235000,$,MS008,R16,02:37:00,,F,4,D198,"6-4,7-5,5-7,7-5",S. Dosedel,J. Novak,,,CZE,CZE,6-4,7-5,5-7,7-5,,02:37:00,,,,,264,/en/stats/leaderboard?page=serve,4,3,67,94,140,66,62,94,54,25,46,50,5,10,23,243,/en/stats/leaderboard?page=serve,5,4,60,89,148,62,55,89,53,31,59,56,9,16,23,62,87,140,42,62,148,52,149,288,58,86,148,38,53,140,48,139,288,A,,,,,,,S. Dosedel,J. Novak,D198,N254,CZE,CZE,,
560,1999,US Open,GS,1999-08-30T00:00:00,1999-09-12T00:00:00,Hard,128,6235000,$,MS009,R16,03:04:00,,F,5,M442,"5-7,0-6,7-6(7),6-4,6-4",T. Martin,G. Rusedski,,,USA,GBR,5-7,0-6,7-6(7),6-4,6-4,03:04:00,,,7,3,269,/en/stats/leaderboard?page=serve,4,15,64,91,142,71,65,91,51,26,51,50,7,14,25,271,/en/stats/leaderboard?page=serve,4,16,59,85,145,73,62,85,47,28,60,50,5,10,25,64,91,142,38,55,145,51,146,287,62,90,145,36,51,142,49,141,287,A,,,,,,,T. Martin,G. Rusedski,M442,R237,USA,GBR,,
560,1999,US Open,GS,1999-08-30T00:00:00,1999-09-12T00:00:00,Hard,128,6235000,$,MS010,R16,02:06:00,,F,3,P226,"6-4,7-5,6-3",C. Pioline,T. Haas,,,FRA,GER,6-4,7-5,6-3,,,02:06:00,,,,,289,/en/stats/leaderboard?page=serve,2,8,58,52,90,83,43,52,55,21,38,71,5,7,16,243,/en/stats/leaderboard?page=serve,4,4,63,60,96,58,35,60,56,20,36,38,3,8,15,71,64,90,43,41,96,56,105,186,57,55,96,29,26,90,44,81,186,A,,,,,,,C. Pioline,T. Haas,P226,H355,FRA,GER,,
