event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,player_id_winner,player_id_loser
560,2008,US Open,GS,2008-08-25T00:00:00,2008-09-07T00:00:00,Hard,128,9350000,$,MS001,F,01:51:00,,F,3,F324,"6-2,7-5,6-2",R. Federer,A. Murray,,,SUI,GBR,6-2,7-5,6-2,,,01:51:00,A,R. Federer,A. Murray,SUI,GBR,,,272,/en/stats/leaderboard?page=serve,0,3,58,47,81,79,37,47,47,16,34,60,3,5,14,204,/en/stats/leaderboard?page=serve,3,3,56,45,81,51,23,45,47,17,36,30,3,10,14,65,53,81,51,41,81,58,94,162,49,40,81,35,28,81,42,68,162,,,,,,,,,,,F324,MC10
560,2008,US Open,GS,2008-08-25T00:00:00,2008-09-07T00:00:00,Hard,128,9350000,$,MS003,SF,02:44:00,,F,4,F324,"6-3,5-7,7-5,6-2",R. Federer,N. Djokovic,,,SUI,SRB,6-3,5-7,7-5,6-2,,02:44:00,A,R. Federer,N. Djokovic,SUI,SRB,,,309,/en/stats/leaderboard?page=serve,1,20,64,80,125,76,61,80,60,27,45,50,2,4,21,257,/en/stats/leaderboard?page=serve,5,6,65,80,124,71,57,80,45,20,44,58,7,12,20,70,88,125,38,47,124,54,135,249,62,77,124,30,37,125,46,114,249,,,,,,,,,,,F324,D643
560,2008,US Open,GS,2008-08-25T00:00:00,2008-09-07T00:00:00,Hard,128,9350000,$,MS004,QF,02:38:00,,F,4,N409,"3-6,6-1,6-4,6-2",R. Nadal,M. Fish,,,ESP,USA,3-6,6-1,6-4,6-2,,02:38:00,A,R. Nadal,M. Fish,ESP,USA,,,312,/en/stats/leaderboard?page=serve,0,3,72,68,94,74,50,68,69,18,26,0,0,1,17,253,/en/stats/leaderboard?page=serve,1,14,50,55,110,73,40,55,47,26,55,58,7,12,17,72,68,94,40,44,110,55,112,204,60,66,110,28,26,94,45,92,204,,,,,,,,,,,N409,F339
560,2008,US Open,GS,2008-08-25T00:00:00,2008-09-07T00:00:00,Hard,128,9350000,$,MS005,QF,03:57:00,,F,4,MC10,"7-6(7),7-6(7),4-6,7-5",A. Murray,J. del Potro,,,GBR,ARG,7-6(7),7-6(7),4-6,7-5,,03:57:00,A,A. Murray,J. del Potro,GBR,ARG,,,244,/en/stats/leaderboard?page=serve,8,9,56,81,144,72,58,81,46,29,63,61,11,18,23,243,/en/stats/leaderboard?page=serve,5,3,62,99,159,61,60,99,53,32,60,53,8,15,23,60,87,144,42,67,159,51,154,303,58,92,159,40,57,144,49,149,303,7.0,2.0,7.0,1.0,,,,,,,MC10,D683
560,2008,US Open,GS,2008-08-25T00:00:00,2008-09-07T00:00:00,Hard,128,9350000,$,MS006,QF,02:34:00,,F,4,D643,"6-2,6-3,3-6,7-6(7)",N. Djokovic,A. Roddick,,,SRB,USA,6-2,6-3,3-6,7-6(7),,02:34:00,A,N. Djokovic,A. Roddick,SRB,USA,,,304,/en/stats/leaderboard?page=serve,2,15,65,70,108,71,50,70,71,27,38,70,7,10,19,266,/en/stats/leaderboard?page=serve,7,14,69,80,116,70,56,80,47,17,36,0,0,5,19,71,77,108,37,43,116,54,120,224,63,73,116,29,31,108,46,104,224,,,,,7.0,5.0,,,,,D643,R485
560,2008,US Open,GS,2008-08-25T00:00:00,2008-09-07T00:00:00,Hard,128,9350000,$,MS007,QF,02:24:00,,F,3,F324,"7-6(7),6-4,7-6(7)",R. Federer,G. Muller,,,SUI,LUX,7-6(7),6-4,7-6(7),,,02:24:00,A,R. Federer,G. Muller,SUI,LUX,,,320,/en/stats/leaderboard?page=serve,0,8,61,63,103,86,54,63,65,26,40,100,2,2,17,303,/en/stats/leaderboard?page=serve,4,16,63,76,121,78,59,76,56,25,45,91,10,11,17,78,80,103,31,37,121,52,117,224,69,84,121,22,23,103,48,107,224,7.0,5.0,,,,,7.0,5.0,,,F324,MA30
560,2008,US Open,GS,2008-08-25T00:00:00,2008-09-07T00:00:00,Hard,128,9350000,$,MS008,R16,03:12:00,,F,4,N409,"6-2,5-7,7-6(7),6-3",R. Nadal,S. Querrey,,,ESP,USA,6-2,5-7,7-6(7),6-3,,03:12:00,A,R. Nadal,S. Querrey,ESP,USA,,,266,/en/stats/leaderboard?page=serve,6,5,66,89,134,72,64,89,49,22,45,75,12,16,21,254,/en/stats/leaderboard?page=serve,8,20,58,72,124,76,55,72,38,20,52,50,6,12,20,64,86,134,40,49,124,52,135,258,60,75,124,36,48,134,48,123,258,,,,,,,7.0,2.0,,,N409,Q927
560,2008,US Open,GS,2008-08-25T00:00:00,2008-09-07T00:00:00,Hard,128,9350000,$,MS009,R16,01:58:00,,F,3,F339,"7-5,6-2,6-2",M. Fish,G. Monfils,,,USA,FRA,7-5,6-2,6-2,,,01:58:00,A,M. Fish,G. Monfils,USA,FRA,,,274,/en/stats/leaderboard?page=serve,5,5,47,45,96,80,36,45,55,28,51,86,6,7,14,227,/en/stats/leaderboard?page=serve,4,6,70,62,88,60,37,62,38,10,26,54,7,13,14,67,64,96,47,41,88,57,105,184,53,47,88,33,32,96,43,79,184,,,,,,,,,,,F339,MC65
560,2008,US Open,GS,2008-08-25T00:00:00,2008-09-07T00:00:00,Hard,128,9350000,$,MS010,R16,02:08:00,,F,3,D683,"6-3,6-4,6-3",J. del Potro,K. Nishikori,,,ARG,JPN,6-3,6-4,6-3,,,02:08:00,A,J. del Potro,K. Nishikori,ARG,JPN,,,265,/en/stats/leaderboard?page=serve,3,6,58,47,81,70,33,47,56,19,34,40,2,5,14,212,/en/stats/leaderboard?page=serve,2,3,56,52,93,54,28,52,51,21,41,30,3,10,14,64,52,81,47,44,93,55,96,174,53,49,93,36,29,81,45,78,174,,,,,,,,,,,D683,N552
560,2008,US Open,GS,2008-08-25T00:00:00,2008-09-07T00:00:00,Hard,128,9350000,$,MS011,R16,01:49:00,,F,3,MC10,"6-1,6-3,6-3",A. Murray,S. Wawrinka,,,GBR,SUI,6-1,6-3,6-3,,,01:49:00,A,A. Murray,S. Wawrinka,GBR,SUI,,,294,/en/stats/leaderboard?page=serve,2,9,55,43,78,81,35,43,51,18,35,100,3,3,12,215,/en/stats/leaderboard?page=serve,0,3,62,53,86,64,34,53,33,11,33,54,7,13,13,68,53,78,48,41,86,57,94,164,52,45,86,32,25,78,43,70,164,,,,,,,,,,,MC10,W367
