event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set4_winner,tiebreak_set4_loser,doublefaults_isstatbetter_tot_loser,doublefaults_isstatbetter_tot_winner,servicegamesplayed_isstatbetter_tot_winner,servicegamesplayed_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS118,R128,01:17:00,,F,3,C328,"6-2,6-3,6-1",K. Carlsen,T. Ketola,,,DEN,FIN,6-2,6-3,6-1,,,01:17:00,325,/en/stats/leaderboard?page=serve,,19,63,54.0,86,93,50.0,54.0,59,19.0,32.0,,0,,12,217,/en/stats/leaderboard?page=serve,2,5,59,42.0,71,60,25.0,42.0,45,13.0,29.0,25,2,8.0,12,80,69,86,46,33,71,65,102,157,54,38,71,20,17,86,35,55,157,A,,,,,,,,,,,,False,,,K. Carlsen,T. Ketola,C328,K297,DEN,FIN,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS119,R128,01:22:00,,F,3,R286,"6-1,6-1,6-4",M. Rios,L. Smith,,,CHI,AUS,6-1,6-1,6-4,,,01:22:00,274,/en/stats/leaderboard?page=serve,6,6,50,40.0,80,90,36.0,40.0,43,17.0,40.0,75,3,4,12,188,/en/stats/leaderboard?page=serve,6,6,64,58.0,91,62,36.0,58.0,21,7.0,33.0,22,2,9.0,12,66,53,80,53,48,91,59,101,171,47,43,91,34,27,80,41,70,171,A,,,,,,,,,,,,,,,M. Rios,L. Smith,R286,S765,CHI,AUS,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS120,R128,01:57:00,,F,3,B053,"6-2,6-4,6-4",A. Boetsch,A. Costa,,,FRA,ESP,6-2,6-4,6-4,,,01:57:00,219,/en/stats/leaderboard?page=serve,7,3,43,51.0,118,82,42.0,51.0,48,32.0,67.0,,0,,14,245,/en/stats/leaderboard?page=serve,3,6,66,65.0,98,69,45.0,65.0,36,12.0,33.0,50,4,8.0,14,63,74,118,42,41,98,53,115,216,58,57,98,37,44,118,47,101,216,A,,,,,,,,,,,,,,,A. Boetsch,A. Costa,B053,C378,FRA,ESP,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS121,R128,01:22:00,,F,3,P269,"6-1,7-5,6-4",L. Paes,C. Costa,,,IND,ESP,6-1,7-5,6-4,,,01:22:00,294,/en/stats/leaderboard?page=serve,4,5,63,57.0,90,89,51.0,57.0,48,16.0,33.0,80,4,5,15,230,/en/stats/leaderboard?page=serve,6,4,55,48.0,87,67,32.0,48.0,46,18.0,39.0,29,2,7.0,14,74,67,90,43,37,87,59,104,177,57,50,87,26,23,90,41,73,177,A,,,,,,,,,,,,,,,L. Paes,C. Costa,P269,C179,IND,ESP,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS122,R128,01:24:00,,F,3,P226,"6-4,6-2,6-2",C. Pioline,P. Wessels,,,FRA,NED,6-4,6-2,6-2,,,01:24:00,307,/en/stats/leaderboard?page=serve,3,6,67,52.0,78,87,45.0,52.0,58,15.0,26.0,,0,,13,247,/en/stats/leaderboard?page=serve,1,13,67,73.0,109,71,52.0,73.0,36,13.0,36.0,55,6,11.0,13,77,60,78,40,44,109,56,104,187,60,65,109,23,18,78,44,83,187,A,,,,,,,,,,,,,,,C. Pioline,P. Wessels,P226,W254,FRA,NED,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS123,R128,00:57:00,,F,2,L290,"6-4,5-0",N. Lapentti,A. Pavel,,,ECU,ROU,6-4,5-0,,,,00:57:00,287,/en/stats/leaderboard?page=serve,1,1,57,20.0,35,85,17.0,20.0,60,9.0,15.0,50,1,2,7,182,/en/stats/leaderboard?page=serve,1,0,48,24.0,50,71,17.0,24.0,27,7.0,26.0,44,4,9.0,8,74,26,35,52,26,50,61,52,85,48,24,50,26,9,35,39,33,85,A,,,,,,,,,,,,,,,N. Lapentti,A. Pavel,L290,P280,ECU,ROU,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS124,R128,02:24:00,,F,5,S545,"2-6,0-6,6-0,6-4,6-4",S. Sargsian,J. Alonso,,,ARM,ESP,2-6,0-6,6-0,6-4,6-4,02:24:00,209,/en/stats/leaderboard?page=serve,11,1,50,73.0,146,59,43.0,73.0,45,33.0,73.0,67,14,21,20,216,/en/stats/leaderboard?page=serve,12,6,47,66.0,140,74,49.0,66.0,36,27.0,74.0,53,8,15.0,20,52,76,146,46,64,140,49,140,286,54,76,140,48,70,146,51,146,286,A,,,,,,,,,,,,,,,S. Sargsian,J. Alonso,S545,A272,ARM,ESP,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS125,R128,02:03:00,,F,4,W212,"6-3,6-0,3-6,6-0",C. Woodruff,T. Johansson,,,USA,SWE,6-3,6-0,3-6,6-0,,02:03:00,294,/en/stats/leaderboard?page=serve,2,12,73,80.0,109,80,64.0,80.0,45,13.0,29.0,71,5,7,15,192,/en/stats/leaderboard?page=serve,8,6,51,56.0,110,73,41.0,56.0,24,13.0,54.0,33,4,12.0,15,71,77,109,51,56,110,61,133,219,49,54,110,29,32,109,39,86,219,A,,,,,,,,,,,,,,,C. Woodruff,T. Johansson,W212,J129,USA,SWE,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS126,R128,02:23:00,,F,4,S564,"6-4,1-6,7-6(7),7-5",J. Salzenstein,M. Tillstrom,,,USA,SWE,6-4,1-6,7-6(7),7-5,,02:23:00,281,/en/stats/leaderboard?page=serve,3,17,65,97.0,149,78,76.0,97.0,44,23.0,52.0,71,10,14,20,254,/en/stats/leaderboard?page=serve,11,10,56,93.0,166,81,75.0,93.0,38,28.0,73.0,69,9,13.0,21,66,99,149,38,63,166,51,162,315,62,103,166,34,50,149,49,153,315,A,,,,,7,5,,,,,,,,,J. Salzenstein,M. Tillstrom,S564,T166,USA,SWE,,
560,1997,US Open,GS,1997-08-25T00:00:00,1997-09-07T00:00:00,Hard,128,5152000,$,MS127,R128,01:36:00,,F,3,C274,"6-3,6-4,6-2",M. Chang,P. Fredriksson,,,USA,SWE,6-3,6-4,6-2,,,01:36:00,258,/en/stats/leaderboard?page=serve,5,9,49,41.0,84,80,33.0,41.0,49,21.0,43.0,25,1,4,13,165,/en/stats/leaderboard?page=serve,14,4,38,38.0,101,66,25.0,38.0,29,18.0,63.0,27,3,11.0,14,64,54,84,57,58,101,61,112,185,43,43,101,36,30,84,39,73,185,A,,,,,,,,,,,,,,,M. Chang,P. Fredriksson,C274,F278,USA,SWE,,
