event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
314,1996,Gstaad,GP,1996-07-08T00:00:00,1996-07-14T00:00:00,Clay,32,525000,$,MS001,F,02:38:00,,F,4,C378,"4-6,7-6(7),6-1,6-0",A. Costa,F. Mantilla,,,ESP,ESP,4-6,7-6(7),6-1,6-0,,02:38:00,7,2,231,/en/stats/leaderboard?page=serve,5,1,63,80,126,63,50,80,43,20,46,67,12,18.0,18,202,/en/stats/leaderboard?page=serve,2,2,70,76,108,47,36,76,44,14,32,47,9,19,17,56,70,126,54,58,108,55,128,234,46,50,108,44,56,126,45,106,234,A,,,,,,,A. Costa,F. Mantilla,C378,M535,ESP,ESP,,
314,1996,Gstaad,GP,1996-07-08T00:00:00,1996-07-14T00:00:00,Clay,32,525000,$,MS002,SF,01:39:00,,F,3,C378,"3-6,6-4,6-3",A. Costa,Y. Kafelnikov,,,ESP,RUS,3-6,6-4,6-3,,,01:39:00,,,288,/en/stats/leaderboard?page=serve,2,7,70,58,83,76,44,58,52,13,25,75,6,8.0,14,253,/en/stats/leaderboard?page=serve,8,7,52,49,95,78,38,49,46,21,46,57,4,7,14,69,57,83,38,36,95,52,93,178,62,59,95,31,26,83,48,85,178,A,,,,,,,A. Costa,Y. Kafelnikov,C378,K267,ESP,RUS,,
314,1996,Gstaad,GP,1996-07-08T00:00:00,1996-07-14T00:00:00,Clay,32,525000,$,MS003,SF,01:03:00,,F,2,M535,"6-4,6-3",F. Mantilla,B. Ulihrach,,,ESP,CZE,6-4,6-3,,,,01:03:00,,,267,/en/stats/leaderboard?page=serve,1,2,71,37,52,65,24,37,60,9,15,57,4,7.0,10,195,/en/stats/leaderboard?page=serve,2,4,51,32,63,63,20,32,35,11,31,38,3,8,9,63,33,52,51,32,63,57,65,115,49,31,63,37,19,52,43,50,115,A,,,,,,,F. Mantilla,B. Ulihrach,M535,U032,ESP,CZE,,
314,1996,Gstaad,GP,1996-07-08T00:00:00,1996-07-14T00:00:00,Clay,32,525000,$,MS004,QF,01:31:00,,F,2,K267,"6-3,7-6(7)",Y. Kafelnikov,F. Clavet,,,RUS,ESP,6-3,7-6(7),,,,01:31:00,7,4,288,/en/stats/leaderboard?page=serve,2,5,59,43,73,86,37,43,50,15,30,83,5,6.0,11,267,/en/stats/leaderboard?page=serve,3,8,60,49,81,59,29,49,63,20,32,86,12,14,10,71,52,73,40,32,81,55,84,154,60,49,81,29,21,73,45,70,154,A,,,,,,,Y. Kafelnikov,F. Clavet,K267,C252,RUS,ESP,,
314,1996,Gstaad,GP,1996-07-08T00:00:00,1996-07-14T00:00:00,Clay,32,525000,$,MS005,QF,01:21:00,,F,2,C378,"7-6(7),6-2",A. Costa,R. Furlan,,,ESP,ITA,7-6(7),6-2,,,,01:21:00,,,280,/en/stats/leaderboard?page=serve,1,3,75,50,67,70,35,50,53,9,17,33,1,3.0,10,233,/en/stats/leaderboard?page=serve,2,3,59,34,58,71,24,34,42,10,24,43,3,7,10,66,44,67,41,24,58,54,68,125,59,34,58,34,23,67,46,57,125,A,7,4,,,,,A. Costa,R. Furlan,C378,F192,ESP,ITA,,
314,1996,Gstaad,GP,1996-07-08T00:00:00,1996-07-14T00:00:00,Clay,32,525000,$,MS006,QF,01:07:00,,F,2,U032,"6-4,6-4",B. Ulihrach,S. Bruguera,,,CZE,ESP,6-4,6-4,,,,01:07:00,,,285,/en/stats/leaderboard?page=serve,3,5,46,25,54,88,22,25,59,17,29,80,4,5.0,10,250,/en/stats/leaderboard?page=serve,1,7,53,32,60,75,24,32,46,13,28,40,2,5,10,72,39,54,38,23,60,54,62,114,62,37,60,28,15,54,46,52,114,A,,,,,,,B. Ulihrach,S. Bruguera,U032,B350,CZE,ESP,,
314,1996,Gstaad,GP,1996-07-08T00:00:00,1996-07-14T00:00:00,Clay,32,525000,$,MS007,QF,01:40:00,,F,3,M535,"2-6,7-6(7),6-1",F. Mantilla,A. Berasategui,,,ESP,ESP,2-6,7-6(7),6-1,,,01:40:00,7,3,225,/en/stats/leaderboard?page=serve,2,1,71,64,90,67,43,64,27,7,26,50,5,10.0,13,260,/en/stats/leaderboard?page=serve,1,1,87,73,84,52,38,73,64,7,11,40,4,10,14,56,50,90,46,39,84,51,89,174,54,45,84,44,40,90,49,85,174,A,,,,,,,F. Mantilla,A. Berasategui,M535,B428,ESP,ESP,,
314,1996,Gstaad,GP,1996-07-08T00:00:00,1996-07-14T00:00:00,Clay,32,525000,$,MS008,R16,00:57:00,,F,2,K267,"6-3,6-3",Y. Kafelnikov,K. Alami,,,RUS,MAR,6-3,6-3,,,,00:57:00,,,219,/en/stats/leaderboard?page=serve,4,9,56,25,45,88,22,25,70,14,20,0,0,,9,228,/en/stats/leaderboard?page=serve,3,2,50,30,60,70,21,30,43,13,30,57,4,7,9,80,36,45,43,26,60,59,62,105,57,34,60,20,9,45,41,43,105,A,,,,,,,Y. Kafelnikov,K. Alami,K267,A203,RUS,MAR,,
314,1996,Gstaad,GP,1996-07-08T00:00:00,1996-07-14T00:00:00,Clay,32,525000,$,MS009,R16,01:10:00,,F,2,C252,"6-4,6-2",F. Clavet,A. Strambini,,,ESP,SUI,6-4,6-2,,,,01:10:00,,,286,/en/stats/leaderboard?page=serve,2,3,48,22,46,82,18,22,67,16,24,67,2,3.0,9,214,/en/stats/leaderboard?page=serve,4,4,52,34,65,65,22,34,42,13,31,56,5,9,9,74,34,46,46,30,65,58,64,111,54,35,65,26,12,46,42,47,111,A,,,,,,,F. Clavet,A. Strambini,C252,S630,ESP,SUI,,
314,1996,Gstaad,GP,1996-07-08T00:00:00,1996-07-14T00:00:00,Clay,32,525000,$,MS010,R16,01:43:00,,F,3,F192,"6-0,5-7,6-2",R. Furlan,O. Gross,,,ITA,GER,6-0,5-7,6-2,,,01:43:00,,,267,/en/stats/leaderboard?page=serve,1,0,52,40,77,75,30,40,57,21,37,50,2,4.0,13,208,/en/stats/leaderboard?page=serve,4,1,56,49,88,61,30,49,41,16,39,50,6,12,13,66,51,77,48,42,88,56,93,165,52,46,88,34,26,77,44,72,165,A,,,,,,,R. Furlan,O. Gross,F192,G297,ITA,GER,,
