event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS001,F,01:34:00,,F,2,F165,"7-6(7),6-4",M. Filippini,J. Stoltenberg,,,URU,AUS,7-6(7),6-4,,,,01:34:00,7,2,284,/en/stats/leaderboard?page=serve,1,1,79,58,73,71,41,58,53,8,15,60,3,5,11,247,/en/stats/leaderboard?page=serve,5,4,61,43,71,65,28,43,50,14,28,40,2,5,11,67,49,73,41,29,71,54,78,144,59,42,71,33,24,73,46,66,144,A,,,,,M. Filippini,J. Stoltenberg,F165,S331,URU,AUS,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS002,SF,02:13:00,,F,3,S331,"6-4,5-7,6-3",J. Stoltenberg,M. Norman,,,AUS,SWE,6-4,5-7,6-3,,,02:13:00,,,231,/en/stats/leaderboard?page=serve,4,3,56,61,108,70,43,61,40,19,47,67,10,15,15,205,/en/stats/leaderboard?page=serve,8,7,43,43,100,56,24,43,51,29,57,46,6,13,16,57,62,108,47,47,100,52,109,208,53,53,100,43,46,108,48,99,208,A,,,,,J. Stoltenberg,M. Norman,S331,N250,AUS,SWE,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS003,SF,02:22:00,,F,3,F165,"7-5,3-6,6-4",M. Filippini,C. Woodruff,,,URU,USA,7-5,3-6,6-4,,,02:22:00,,,284,/en/stats/leaderboard?page=serve,2,4,74,79,107,71,56,79,50,14,28,80,8,10,16,270,/en/stats/leaderboard?page=serve,5,6,59,59,100,73,43,59,51,21,41,75,6,8,15,65,70,107,36,36,100,51,106,207,64,64,100,35,37,107,49,101,207,A,,,,,M. Filippini,C. Woodruff,F165,W212,URU,USA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS004,QF,00:21:00,,F,1,S331,3-1,J. Stoltenberg,F. Meligeni,,,AUS,BRA,3-1,,,,,00:21:00,,,219,/en/stats/leaderboard?page=serve,,1,60,6,10,83,5,6,75,3,4,0,0,,2,230,/en/stats/leaderboard?page=serve,,0,69,11,16,55,6,11,40,2,5,50,1,2,3,80,8,10,50,8,16,62,16,26,50,8,16,20,2,10,38,10,26,A,False,False,,,J. Stoltenberg,F. Meligeni,S331,M443,AUS,BRA,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS005,QF,01:34:00,,F,2,N250,"6-4,6-4",M. Norman,P. Korda,,,SWE,CZE,6-4,6-4,,,,01:34:00,,,289,/en/stats/leaderboard?page=serve,1,12,49,29,59,86,25,29,53,16,30,75,3,4,10,243,/en/stats/leaderboard?page=serve,5,7,51,33,65,70,23,33,50,16,32,63,5,8,10,69,41,59,40,26,65,54,67,124,60,39,65,31,18,59,46,57,124,A,,,,,M. Norman,P. Korda,N250,K148,SWE,CZE,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS006,QF,00:58:00,,F,2,F165,"6-1,6-2",M. Filippini,G. Schaller,,,URU,AUT,6-1,6-2,,,,00:58:00,,,290,/en/stats/leaderboard?page=serve,,4,64,29,45,79,23,29,56,9,16,67,2,3,8,162,/en/stats/leaderboard?page=serve,1,1,73,27,37,41,11,27,20,2,10,38,3,8,7,71,32,45,65,24,37,68,56,82,35,13,37,29,13,45,32,26,82,A,False,,,,M. Filippini,G. Schaller,F165,S315,URU,AUT,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS007,QF,01:37:00,,F,3,W212,"6-1,4-6,6-3",C. Woodruff,S. Stolle,,,USA,AUS,6-1,4-6,6-3,,,01:37:00,,,275,/en/stats/leaderboard?page=serve,4,7,59,45,76,71,32,45,58,18,31,33,1,3,13,232,/en/stats/leaderboard?page=serve,4,9,67,54,81,69,37,54,30,8,27,55,6,11,13,66,50,76,44,36,81,55,86,157,56,45,81,34,26,76,45,71,157,A,,,,,C. Woodruff,S. Stolle,W212,S443,USA,AUS,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS008,R16,01:22:00,,F,2,M443,"6-3,7-6(7)",F. Meligeni,D. van Scheppingen,,,BRA,NED,6-3,7-6(7),,,,01:22:00,,,282,/en/stats/leaderboard?page=serve,2,6,55,37,67,73,27,37,60,18,30,50,1,2,11,244,/en/stats/leaderboard?page=serve,5,4,57,42,74,64,27,42,44,14,32,75,6,8,10,67,45,67,45,33,74,55,78,141,55,41,74,33,22,67,45,63,141,A,,,7,1,F. Meligeni,D. van Scheppingen,M443,S559,BRA,NED,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS009,R16,01:24:00,,F,2,S331,"6-1,7-5",J. Stoltenberg,J. Viloca-Puig,,,AUS,ESP,6-1,7-5,,,,01:24:00,,,259,/en/stats/leaderboard?page=serve,4,6,68,42,62,83,35,42,40,8,20,,0,,9,211,/en/stats/leaderboard?page=serve,5,1,47,34,72,74,25,34,34,13,38,50,4,8,10,69,43,62,47,34,72,57,77,134,53,38,72,31,19,62,43,57,134,A,,,,,J. Stoltenberg,J. Viloca-Puig,S331,V161,AUS,ESP,,
409,1997,Atlanta,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,303000,$,MS010,R16,02:04:00,,F,3,N250,"7-6(9),3-6,6-3",M. Norman,A. Agassi,,,SWE,USA,7-6(9),3-6,6-3,,,02:04:00,9,7,294,/en/stats/leaderboard?page=serve,1,18,52,48,93,79,38,48,60,27,45,67,4,6,15,265,/en/stats/leaderboard?page=serve,4,4,57,68,120,68,46,68,54,28,52,88,15,17,15,70,65,93,38,46,120,52,111,213,62,74,120,30,28,93,48,102,213,A,,,,,M. Norman,A. Agassi,N250,A092,SWE,USA,,
