event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set5_winner,tiebreak_set5_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set4_winner,tiebreak_set4_loser,player_id_winner,player_id_loser
560,2010,US Open,GS,2010-08-30T00:00:00,2010-09-12T00:00:00,Hard,128,10508000,$,MS001,F,03:43:00,,F,4,N409,"6-4,5-7,6-4,6-2",R. Nadal,N. Djokovic,,,ESP,SRB,6-4,5-7,6-4,6-2,,03:43:00,A,R. Nadal,N. Djokovic,ESP,SRB,,,288,/en/stats/leaderboard?page=serve,2,8,67,75,112,73,55,75,57,21,37,25,1,4,20,252,/en/stats/leaderboard?page=serve,4,5,66,94,143,65,61,94,45,22,49,80,20,25,20,68,76,112,42,60,143,53,136,255,58,83,143,32,36,112,47,119,255,,,,,,,,,,,N409,D643
560,2010,US Open,GS,2010-08-30T00:00:00,2010-09-12T00:00:00,Hard,128,10508000,$,MS002,SF,02:13:00,,F,3,N409,"6-2,6-3,6-4",R. Nadal,M. Youzhny,,,ESP,RUS,6-2,6-3,6-4,,,02:13:00,A,R. Nadal,M. Youzhny,ESP,RUS,,,307,/en/stats/leaderboard?page=serve,1,3,65,50,77,78,39,50,70,19,27,50,1,2,14,224,/en/stats/leaderboard?page=serve,5,3,59,48,81,67,32,48,39,13,33,38,3,8,13,75,58,77,44,36,81,59,94,158,56,45,81,25,19,77,41,64,158,,,,,,,,,,,N409,Y061
560,2010,US Open,GS,2010-08-30T00:00:00,2010-09-12T00:00:00,Hard,128,10508000,$,MS003,SF,03:44:00,,F,5,D643,"5-7,6-1,5-7,6-2,7-5",N. Djokovic,R. Federer,,,SRB,SUI,5-7,6-1,5-7,6-2,7-5,03:44:00,A,N. Djokovic,R. Federer,SRB,SUI,,,282,/en/stats/leaderboard?page=serve,3,4,62,94,151,68,64,94,63,36,57,57,4,7,26,256,/en/stats/leaderboard?page=serve,5,12,53,84,160,74,62,84,46,35,76,50,6,12,25,66,100,151,39,63,160,52,163,311,61,97,160,34,51,151,48,148,311,,,,,,,,,,,D643,F324
560,2010,US Open,GS,2010-08-30T00:00:00,2010-09-12T00:00:00,Hard,128,10508000,$,MS004,QF,02:22:00,,F,3,N409,"7-5,6-3,6-4",R. Nadal,F. Verdasco,,,ESP,ESP,7-5,6-3,6-4,,,02:22:00,A,R. Nadal,F. Verdasco,ESP,ESP,,,316,/en/stats/leaderboard?page=serve,0,4,66,51,77,84,43,51,69,18,26,0,0,1,16,249,/en/stats/leaderboard?page=serve,5,6,58,58,100,62,36,58,55,23,42,56,5,9,15,79,61,77,41,41,100,58,102,177,59,59,100,21,16,77,42,75,177,,,,,,,,,,,N409,V306
560,2010,US Open,GS,2010-08-30T00:00:00,2010-09-12T00:00:00,Hard,128,10508000,$,MS005,QF,04:00:00,,F,5,Y061,"3-6,7-6(9),3-6,6-3,6-3",M. Youzhny,S. Wawrinka,,,RUS,SUI,3-6,7-6(9),3-6,6-3,6-3,04:00:00,A,M. Youzhny,S. Wawrinka,RUS,SUI,,,260,/en/stats/leaderboard?page=serve,7,2,65,94,144,68,64,94,54,27,50,50,5,10,23,258,/en/stats/leaderboard?page=serve,5,16,54,89,164,78,69,89,43,32,75,53,8,15,25,63,91,144,38,63,164,50,154,308,62,101,164,37,53,144,50,154,308,9.0,7.0,,,,,,,,,Y061,W367
560,2010,US Open,GS,2010-08-30T00:00:00,2010-09-12T00:00:00,Hard,128,10508000,$,MS006,QF,02:24:00,,F,3,D643,"7-6(7),6-1,6-2",N. Djokovic,G. Monfils,,,SRB,FRA,7-6(7),6-1,6-2,,,02:24:00,A,N. Djokovic,G. Monfils,SRB,FRA,,,274,/en/stats/leaderboard?page=serve,4,1,74,74,100,69,51,74,50,13,26,85,11,13,13,197,/en/stats/leaderboard?page=serve,6,3,56,61,109,52,32,61,42,20,48,61,11,18,14,64,64,100,52,57,109,58,121,209,48,52,109,36,36,100,42,88,209,,,7.0,2.0,,,,,,,D643,MC65
560,2010,US Open,GS,2010-08-30T00:00:00,2010-09-12T00:00:00,Hard,128,10508000,$,MS007,QF,01:56:00,,F,3,F324,"6-4,6-4,7-5",R. Federer,R. Soderling,,,SUI,SWE,6-4,6-4,7-5,,,01:56:00,A,R. Federer,R. Soderling,SUI,SWE,,,298,/en/stats/leaderboard?page=serve,2,18,64,58,91,86,50,58,45,15,33,67,4,6,16,242,/en/stats/leaderboard?page=serve,4,2,58,54,93,67,36,54,51,20,39,17,1,6,16,71,65,91,40,37,93,55,102,184,60,56,93,29,26,91,45,82,184,,,,,,,,,,,F324,SA49
560,2010,US Open,GS,2010-08-30T00:00:00,2010-09-12T00:00:00,Hard,128,10508000,$,MS008,R16,02:08:00,,F,3,N409,"6-3,6-4,6-4",R. Nadal,F. Lopez,,,ESP,ESP,6-3,6-4,6-4,,,02:08:00,A,R. Nadal,F. Lopez,ESP,ESP,,,323,/en/stats/leaderboard?page=serve,1,9,63,50,79,90,45,50,62,18,29,100,4,4,15,252,/en/stats/leaderboard?page=serve,5,10,52,52,100,75,39,52,42,20,48,67,6,9,14,80,63,79,41,41,100,58,104,179,59,59,100,20,16,79,42,75,179,,,,,,,,,,,N409,L397
560,2010,US Open,GS,2010-08-30T00:00:00,2010-09-12T00:00:00,Hard,128,10508000,$,MS009,R16,04:23:00,,F,5,V306,"5-7,6-7(8),6-3,6-3,7-6(7)",F. Verdasco,D. Ferrer,,,ESP,ESP,5-7,6-7(8),6-3,6-3,7-6(7),04:23:00,A,F. Verdasco,D. Ferrer,ESP,ESP,,,269,/en/stats/leaderboard?page=serve,11,16,56,115,204,70,81,115,53,47,89,75,12,16,27,261,/en/stats/leaderboard?page=serve,5,7,64,115,180,70,81,115,48,31,65,57,8,14,27,63,128,204,38,68,180,51,196,384,62,112,180,37,76,204,49,188,384,8.0,10.0,,,7.0,4.0,,,,,V306,F401
560,2010,US Open,GS,2010-08-30T00:00:00,2010-09-12T00:00:00,Hard,128,10508000,$,MS010,R16,04:28:00,,F,5,W367,"7-6(11),6-7(5),7-5,4-6,6-4",S. Wawrinka,S. Querrey,,,SUI,USA,7-6(11),6-7(5),7-5,4-6,6-4,04:28:00,A,S. Wawrinka,S. Querrey,SUI,USA,,,288,/en/stats/leaderboard?page=serve,5,18,52,103,199,78,80,103,56,54,96,80,12,15,28,288,/en/stats/leaderboard?page=serve,6,19,54,95,175,83,79,95,53,42,80,50,4,8,28,67,134,199,31,54,175,50,188,374,69,121,175,33,65,199,50,186,374,5.0,7.0,11.0,9.0,,,,,,,W367,Q927
