event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS012,R16,01:48:00,,F,3,P372,"6-4,4-6,6-4",M. Puerta,J. Sanchez,,,ARG,ESP,6-4,4-6,6-4,,,01:48:00,,,276,/en/stats/leaderboard?page=serve,False,3,59,52,88,65,34,52,69,25,36,63,5,8,15,261,/en/stats/leaderboard?page=serve,2,6,66,57,87,75,43,57,43,13,30,20,1,5,15,67,59,88,36,31,87,51,90,175,64,56,87,33,29,88,49,85,175,A,,,,,,,M. Puerta,J. Sanchez,P372,S015,ARG,ESP,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS014,R16,02:41:00,,F,3,U032,"7-6(10),3-6,6-4",B. Ulihrach,J. Diaz,,,CZE,ESP,7-6(10),3-6,6-4,,,02:41:00,,,217,/en/stats/leaderboard?page=serve,,3,51,71,140,58,41,71,51,35,69,60,9,15,16,249,/en/stats/leaderboard?page=serve,2,5,68,73,107,59,43,73,53,18,34,38,3,8,15,54,76,140,43,46,107,49,122,247,57,61,107,46,64,140,51,125,247,A,10,8,8,,,,B. Ulihrach,J. Diaz,U032,D291,CZE,ESP,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS015,R16,00:59:00,,F,2,M535,"6-3,6-0",F. Mantilla,A. Voinea,,,ESP,ROU,6-3,6-0,,,,00:59:00,,,278,/en/stats/leaderboard?page=serve,,2,53,25,47,84,21,25,55,12,22,,0,,8,197,/en/stats/leaderboard?page=serve,3,4,54,27,50,52,14,27,48,11,23,56,5,9,7,70,33,47,50,25,50,60,58,97,50,25,50,30,14,47,40,39,97,A,,,3,,,,F. Mantilla,A. Voinea,M535,V166,ESP,ROU,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS016,R32,02:12:00,,F,3,H223,"7-5,4-6,6-1",P. Haarhuis,C. Moya,,,NED,ESP,7-5,4-6,6-1,,,02:12:00,,,253,/en/stats/leaderboard?page=serve,,1,55,56,102,66,37,56,54,25,46,73,8,11,15,230,/en/stats/leaderboard?page=serve,3,4,54,55,102,60,33,55,51,24,47,50,5,10,14,61,62,102,44,45,102,52,107,204,56,57,102,39,40,102,48,97,204,A,,,3,,,,P. Haarhuis,C. Moya,H223,M605,NED,ESP,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS017,R32,00:53:00,,F,2,B429,"6-3,6-1",J. Burillo,J. Knippschild,,,ESP,GER,6-3,6-1,,,,00:53:00,,,282,/en/stats/leaderboard?page=serve,False,0,52,24,46,79,19,24,64,14,22,,0,,8,211,/en/stats/leaderboard?page=serve,2,4,60,25,42,64,16,25,35,6,17,43,3,7,8,72,33,46,48,20,42,60,53,88,52,22,42,28,13,46,40,35,88,A,,,,,,,J. Burillo,J. Knippschild,B429,K260,ESP,GER,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS018,R32,02:20:00,,F,3,M578,"4-6,6-3,6-4",J. Marin,R. Furlan,,,CRC,ITA,4-6,6-3,6-4,,,02:20:00,,,225,/en/stats/leaderboard?page=serve,False,1,50,53,107,62,33,53,46,25,54,67,10,15,15,231,/en/stats/leaderboard?page=serve,,2,78,67,86,52,35,67,42,8,19,40,4,10,14,54,58,107,50,43,86,52,101,193,50,43,86,46,49,107,48,92,193,A,,,,,,False,J. Marin,R. Furlan,M578,F192,CRC,ITA,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS019,R32,02:00:00,,F,3,S480,"6-4,3-6,6-4",D. Sanguinetti,O. Stanoytchev,,,ITA,BUL,6-4,3-6,6-4,,,02:00:00,,,245,/en/stats/leaderboard?page=serve,,2,51,37,73,68,25,37,56,20,36,20,1,5,14,224,/en/stats/leaderboard?page=serve,10,2,58,70,120,70,49,70,38,19,50,67,10,15,15,62,45,73,43,52,120,50,97,193,57,68,120,38,28,73,50,96,193,A,,,3,,,,D. Sanguinetti,O. Stanoytchev,S480,S519,ITA,BUL,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS020,R32,01:10:00,,F,2,K237,"6-4,6-0",K. Kucera,S. Bruguera,,,SVK,ESP,6-4,6-0,,,,01:10:00,,,273,/en/stats/leaderboard?page=serve,,2,59,32,54,69,22,32,59,13,22,86,6,7,8,178,/en/stats/leaderboard?page=serve,1,1,56,25,45,40,10,25,45,9,20,17,1,6,8,65,35,54,58,26,45,62,61,99,42,19,45,35,19,54,38,38,99,A,,,3,,,,K. Kucera,S. Bruguera,K237,B350,SVK,ESP,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS021,R32,01:01:00,,F,2,U030,"6-3,6-1",B. Urh,L. Nemecek,,,SLO,CZE,6-3,6-1,,,,01:01:00,,,274,/en/stats/leaderboard?page=serve,,1,67,38,57,68,26,38,53,10,19,83,5,6,8,181,/en/stats/leaderboard?page=serve,5,0,62,29,47,48,14,29,39,7,18,50,5,10,8,63,36,57,55,26,47,60,62,104,45,21,47,37,21,57,40,42,104,A,,,2,,,,B. Urh,L. Nemecek,U030,N110,SLO,CZE,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS022,R32,02:24:00,,F,3,C447,"5-7,6-4,6-3",S. Cobolli,T. Catar,,,ITA,SVK,5-7,6-4,6-3,,,02:24:00,,,268,/en/stats/leaderboard?page=serve,,4,67,67,100,63,42,67,61,20,33,50,4,8,16,255,/en/stats/leaderboard?page=serve,2,4,73,72,98,60,43,72,54,14,26,55,6,11,15,62,62,100,42,41,98,52,103,198,58,57,98,38,38,100,48,95,198,A,,,2,,,,S. Cobolli,T. Catar,C447,C430,ITA,SVK,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS023,R32,02:23:00,,F,3,N250,"7-6(7),4-6,6-3",M. Norman,I. Ljubicic,,,SWE,CRO,7-6(7),4-6,6-3,,,02:23:00,,,267,/en/stats/leaderboard?page=serve,,6,56,66,118,70,46,66,56,29,52,50,3,6,16,247,/en/stats/leaderboard?page=serve,7,4,39,42,107,79,33,42,52,34,65,67,6,9,15,64,75,118,37,40,107,51,115,225,63,67,107,36,43,118,49,110,225,A,7,4,2,,,,M. Norman,I. Ljubicic,N250,L360,SWE,CRO,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS024,R32,01:37:00,,F,3,P372,"6-3,2-6,6-4",M. Puerta,D. Hrbaty,,,ARG,SVK,6-3,2-6,6-4,,,01:37:00,,,269,/en/stats/leaderboard?page=serve,,3,60,50,83,70,35,50,55,18,33,67,4,6,13,262,/en/stats/leaderboard?page=serve,4,11,45,35,78,69,24,35,63,27,43,40,2,5,14,64,53,83,35,27,78,50,80,161,65,51,78,36,30,83,50,81,161,A,,,3,,,,M. Puerta,D. Hrbaty,P372,H377,ARG,SVK,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS025,R32,01:12:00,,F,2,S015,"6-4,6-4",J. Sanchez,M. Martelli,,,ESP,ITA,6-4,6-4,,,,01:12:00,,,284,/en/stats/leaderboard?page=serve,,1,72,50,69,70,35,50,53,10,19,83,5,6,10,236,/en/stats/leaderboard?page=serve,6,5,52,31,60,74,23,31,41,12,29,67,6,9,10,65,45,69,42,25,60,54,70,129,58,35,60,35,24,69,46,59,129,A,,,2,,,,J. Sanchez,M. Martelli,S015,M543,ESP,ITA,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS026,R32,01:28:00,,F,3,N254,"6-2,1-6,6-1",J. Novak,V. Santopadre,,,CZE,ITA,6-2,1-6,6-1,,,01:28:00,,,243,/en/stats/leaderboard?page=serve,False,2,58,35,60,60,21,35,60,15,25,56,5,9,11,201,/en/stats/leaderboard?page=serve,2,6,55,40,73,55,22,40,42,14,33,33,3,9,11,60,36,60,51,37,73,55,73,133,49,36,73,40,24,60,45,60,133,A,,,,,,,J. Novak,V. Santopadre,N254,S413,CZE,ITA,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS027,R32,01:02:00,,F,2,K293,"6-0,7-6(7)",G. Kuerten,M. Goellner,,,BRA,GER,6-0,7-6(7),,,,01:02:00,7,3,267,/en/stats/leaderboard?page=serve,False,8,63,40,64,83,33,40,58,14,24,,0,,9,248,/en/stats/leaderboard?page=serve,1,8,42,25,60,84,21,25,49,17,35,57,4,7,9,73,47,64,37,22,60,56,69,124,63,38,60,27,17,64,44,55,124,A,,,,,,,G. Kuerten,M. Goellner,K293,G252,BRA,GER,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS028,R32,01:48:00,,F,2,U032,"7-6(7),6-4",B. Ulihrach,D. Pescariu,,,CZE,ROU,7-6(7),6-4,,,,01:48:00,,,259,/en/stats/leaderboard?page=serve,,3,53,44,83,73,32,44,51,20,39,75,6,8,11,236,/en/stats/leaderboard?page=serve,4,1,63,62,98,60,37,62,44,16,36,70,7,10,11,63,52,83,46,45,98,54,97,181,54,53,98,37,31,83,46,84,181,A,7,5,2,,,,B. Ulihrach,D. Pescariu,U032,P254,CZE,ROU,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS029,R32,01:03:00,,F,2,D291,"6-3,6-3",J. Diaz,E. Rasberger,,,ESP,CRO,6-3,6-3,,,,01:03:00,,,259,/en/stats/leaderboard?page=serve,,2,69,35,51,74,26,35,38,6,16,50,2,4,9,206,/en/stats/leaderboard?page=serve,3,0,64,35,55,46,16,35,55,11,20,38,3,8,9,63,32,51,51,28,55,57,60,106,49,27,55,37,19,51,43,46,106,A,,,1,,,,J. Diaz,E. Rasberger,D291,R247,ESP,CRO,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS030,R32,01:52:00,,F,3,V166,"1-6,7-5,6-3",A. Voinea,M. Carlsson,,,ROU,BRA,1-6,7-5,6-3,,,01:52:00,,,232,/en/stats/leaderboard?page=serve,,4,49,45,92,60,27,45,55,26,47,43,3,7,14,244,/en/stats/leaderboard?page=serve,6,2,64,68,107,62,42,68,51,20,39,71,10,14,14,58,53,92,42,45,107,49,98,199,58,62,107,42,39,92,51,101,199,A,,,7,,,,A. Voinea,M. Carlsson,V166,C369,ROU,BRA,,
439,1998,Umag,WS,1998-07-27T00:00:00,1998-08-02T00:00:00,Clay,32,375000,$,MS031,R32,01:13:00,,F,2,M535,"6-3,6-3",F. Mantilla,L. Burgsmuller,,,ESP,GER,6-3,6-3,,,,01:13:00,,,235,/en/stats/leaderboard?page=serve,,5,41,21,51,71,15,21,53,16,30,50,3,6,9,177,/en/stats/leaderboard?page=serve,2,1,60,41,68,44,18,41,41,11,27,40,4,10,9,61,31,51,57,39,68,59,70,119,43,29,68,39,20,51,41,49,119,A,,,1,,,,F. Mantilla,L. Burgsmuller,M535,B484,ESP,GER,,
