event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,doublefaults_tot_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS011,R16,01:21:00,,F,2,Z073,"6-4,6-3",M. Zabaleta,L. Morejon,,,ARG,ECU,6-4,6-3,,,,01:21:00,,,238,/en/stats/leaderboard?page=serve,6,0,72,43,60,65,28,43,41,7,17,70,7,10,9,213,/en/stats/leaderboard?page=serve,False,0,76,45,59,47,21,45,50,7,14,40,4,10,10,58,35,60,53,31,59,55,66,119,47,28,59,42,25,60,45,53,119,A,,,,,,,M. Zabaleta,L. Morejon,Z073,M506,ARG,ECU,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS012,R16,00:58:00,,F,2,S544,"6-1,6-3",V. Spadea,K. Goossens,,,USA,BEL,6-1,6-3,,,,00:58:00,,,287,/en/stats/leaderboard?page=serve,,4,68,28,41,82,23,28,46,6,13,0,0,1,8,181,/en/stats/leaderboard?page=serve,,0,58,31,53,52,16,31,36,8,22,50,5,10,8,71,29,41,55,29,53,62,58,94,45,24,53,29,12,41,38,36,94,A,,,False,2,,,V. Spadea,K. Goossens,S544,G285,USA,BEL,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS013,R16,01:10:00,,F,2,F165,"6-4,6-2",M. Filippini,A. Ilie,,,URU,AUS,6-4,6-2,,,,01:10:00,,,286,/en/stats/leaderboard?page=serve,,2,88,50,57,76,38,50,43,3,7,,0,,9,228,/en/stats/leaderboard?page=serve,,2,44,30,68,77,23,30,42,16,38,77,10,13,9,72,41,57,43,29,68,56,70,125,57,39,68,28,16,57,44,55,125,A,,,False,3,,,M. Filippini,A. Ilie,F165,I052,URU,AUS,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS014,R16,01:45:00,,F,2,W023,"7-6(7),6-3",M. Wilander,P. Rafter,,,SWE,AUS,7-6(7),6-3,,,,01:45:00,7,0,305,/en/stats/leaderboard?page=serve,1,1,71,46,65,76,35,46,68,13,19,75,3,4,11,248,/en/stats/leaderboard?page=serve,,4,49,40,82,68,27,40,48,20,42,78,7,9,10,74,48,65,43,35,82,56,83,147,57,47,82,26,17,65,44,64,147,A,,,,1,,,M. Wilander,P. Rafter,W023,R255,SWE,AUS,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS015,R16,01:56:00,,F,3,F041,"6-7(3),6-2,6-2",J. Frana,B. Shelton,,,ARG,USA,6-7(3),6-2,6-2,,,01:56:00,3,7,299,/en/stats/leaderboard?page=serve,,2,76,63,83,78,49,63,65,13,20,,0,,14,246,/en/stats/leaderboard?page=serve,,5,68,80,117,63,50,80,43,16,37,67,8,12,14,75,62,83,44,51,117,57,113,200,56,66,117,25,21,83,44,87,200,A,,,False,4,,,J. Frana,B. Shelton,F041,S380,ARG,USA,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS016,R32,01:10:00,,F,2,W124,"6-3,6-4",M. Washington,L. Jensen,,,USA,USA,6-3,6-4,,,,01:10:00,,,266,/en/stats/leaderboard?page=serve,1,2,70,38,54,68,26,38,50,8,16,60,3,5,9,192,/en/stats/leaderboard?page=serve,,2,44,26,59,69,18,26,33,11,33,29,2,7,10,63,34,54,51,30,59,57,64,113,49,29,59,37,20,54,43,49,113,A,,,,6,,,M. Washington,L. Jensen,W124,J009,USA,USA,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS017,R32,01:11:00,,F,2,S568,"6-3,6-2",F. Squillari,A. Cherkasov,,,ARG,RUS,6-3,6-2,,,,01:11:00,,,265,/en/stats/leaderboard?page=serve,5,2,61,37,61,81,30,37,38,9,24,75,3,4,9,210,/en/stats/leaderboard?page=serve,,0,69,37,54,59,22,37,35,6,17,50,4,8,8,64,39,61,48,26,54,57,65,115,52,28,54,36,22,61,43,50,115,A,,,,3,,,F. Squillari,A. Cherkasov,S568,C260,ARG,RUS,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS018,R32,02:11:00,,F,3,A176,"2-6,7-5,6-4",J. Apell,A. Reichel,,,SWE,USA,2-6,7-5,6-4,,,02:11:00,,,235,/en/stats/leaderboard?page=serve,5,5,66,71,108,68,48,71,35,13,37,71,12,17,15,212,/en/stats/leaderboard?page=serve,,1,52,61,118,72,44,61,39,22,57,64,9,14,15,56,61,108,44,52,118,50,113,226,56,66,118,44,47,108,50,113,226,A,,,,18,,,J. Apell,A. Reichel,A176,R254,SWE,USA,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS019,R32,02:50:00,,F,3,B435,"6-4,5-7,7-6(7)",B. Behrens,S. Draper,,,USA,AUS,6-4,5-7,7-6(7),,,02:50:00,,,252,/en/stats/leaderboard?page=serve,2,3,63,78,124,64,50,78,54,25,46,69,11,16,17,245,/en/stats/leaderboard?page=serve,,13,55,75,137,65,49,75,48,30,62,77,17,22,17,60,75,124,42,58,137,51,133,261,58,79,137,40,49,124,49,128,261,A,,,,6,7,3,B. Behrens,S. Draper,B435,D270,USA,AUS,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS020,R32,01:49:00,,F,2,D207,"6-4,7-6(12)",D. Dier,M. Joyce,,,GER,USA,6-4,7-6(12),,,,01:49:00,,,269,/en/stats/leaderboard?page=serve,3,3,49,39,79,77,30,39,53,21,40,83,5,6,11,255,/en/stats/leaderboard?page=serve,,2,66,58,88,67,39,58,43,13,30,60,3,5,11,65,51,79,41,36,88,52,87,167,59,52,88,35,28,79,48,80,167,A,12,10,,4,,,D. Dier,M. Joyce,D207,J100,GER,USA,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS021,R32,02:17:00,,F,3,L290,"7-5,3-6,6-4",N. Lapentti,K. Novacek,,,ECU,CZE,7-5,3-6,6-4,,,02:17:00,,,263,/en/stats/leaderboard?page=serve,2,4,65,79,121,70,55,79,45,19,42,73,8,11,16,269,/en/stats/leaderboard?page=serve,,9,64,60,94,75,45,60,44,15,34,67,6,9,15,61,74,121,36,34,94,50,108,215,64,60,94,39,47,121,50,107,215,A,,,,3,,,N. Lapentti,K. Novacek,L290,N025,ECU,CZE,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS022,R32,01:18:00,,F,2,Z073,"6-0,7-5",M. Zabaleta,M. Pernfors,,,ARG,SWE,6-0,7-5,,,,01:18:00,,,288,/en/stats/leaderboard?page=serve,,1,73,36,49,83,30,36,54,7,13,,0,,9,205,/en/stats/leaderboard?page=serve,,2,53,40,76,68,27,40,33,12,36,69,9,13,9,76,37,49,49,37,76,59,74,125,51,39,76,24,12,49,41,51,125,A,,,False,6,,,M. Zabaleta,M. Pernfors,Z073,P024,ARG,SWE,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS023,R32,02:06:00,,F,3,M506,"4-6,7-6(8),6-3",L. Morejon,C. Woodruff,,,ECU,USA,4-6,7-6(8),6-3,,,02:06:00,,,238,/en/stats/leaderboard?page=serve,,1,57,54,95,61,33,54,51,21,41,17,1,6,16,245,/en/stats/leaderboard?page=serve,,9,60,56,93,71,40,56,43,16,37,0,0,5,15,57,54,95,40,37,93,48,91,188,60,56,93,43,41,95,52,97,188,A,8,6,False,4,,,L. Morejon,C. Woodruff,M506,W212,ECU,USA,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS024,R32,01:37:00,,F,3,S544,"6-4,3-6,6-3",V. Spadea,R. Fromberg,,,USA,AUS,6-4,3-6,6-3,,,01:37:00,,,310,/en/stats/leaderboard?page=serve,,2,71,56,79,71,40,56,74,17,23,67,2,3,14,274,/en/stats/leaderboard?page=serve,,5,57,47,82,72,34,47,57,20,35,33,1,3,14,72,57,79,34,28,82,53,85,161,66,54,82,28,22,79,47,76,161,A,,,False,2,,,V. Spadea,R. Fromberg,S544,F164,USA,AUS,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS025,R32,01:30:00,,F,2,G285,"6-3,6-4",K. Goossens,D. Pescariu,,,BEL,ROU,6-3,6-4,,,,01:30:00,,,271,/en/stats/leaderboard?page=serve,2,4,54,37,68,73,27,37,52,16,31,80,4,5,10,252,/en/stats/leaderboard?page=serve,,1,67,44,66,64,28,44,55,12,22,70,7,10,9,63,43,68,39,26,66,51,69,134,61,40,66,37,25,68,49,65,134,A,,,,1,,,K. Goossens,D. Pescariu,G285,P254,BEL,ROU,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS026,R32,01:37:00,,F,3,F165,"6-2,3-6,6-2",M. Filippini,G. Etlis,,,URU,ARG,6-2,3-6,6-2,,,01:37:00,,,263,/en/stats/leaderboard?page=serve,1,1,70,51,73,73,37,51,45,10,22,40,2,5,12,216,/en/stats/leaderboard?page=serve,,5,58,49,84,59,29,49,43,15,35,45,5,11,13,64,47,73,48,40,84,55,87,157,52,44,84,36,26,73,45,70,157,A,,,,2,,,M. Filippini,G. Etlis,F165,E138,URU,ARG,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS027,R32,01:07:00,,F,2,I052,"6-3,6-2",A. Ilie,J. Stoltenberg,,,AUS,AUS,6-3,6-2,,,,01:07:00,,,261,/en/stats/leaderboard?page=serve,1,2,41,26,63,69,18,26,62,23,37,80,4,5,9,202,/en/stats/leaderboard?page=serve,,2,53,29,55,59,17,29,42,11,26,50,4,8,8,65,41,63,49,27,55,58,68,118,51,28,55,35,22,63,42,50,118,A,,,,4,,,A. Ilie,J. Stoltenberg,I052,S331,AUS,AUS,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS028,R32,01:29:00,,F,2,W023,"6-2,6-2",M. Wilander,F. Meligeni,,,SWE,BRA,6-2,6-2,,,,01:29:00,,,244,/en/stats/leaderboard?page=serve,1,1,62,38,61,71,27,38,61,14,23,,0,,8,203,/en/stats/leaderboard?page=serve,,2,55,34,62,65,22,34,32,9,28,60,6,10,8,67,41,61,50,31,62,59,72,123,50,31,62,33,20,61,41,51,123,A,,,,1,,,M. Wilander,F. Meligeni,W023,M443,SWE,BRA,,
436,1996,Bermuda,GP,1996-04-15T00:00:00,1996-04-21T00:00:00,Clay,32,303000,$,MS031,R32,01:16:00,,F,2,F041,"6-3,6-2",J. Frana,M. Charpentier,,,ARG,ARG,6-3,6-2,,,,01:16:00,,,208,/en/stats/leaderboard?page=serve,1,1,62,43,69,74,32,43,50,13,26,,0,,9,238,/en/stats/leaderboard?page=serve,,1,76,39,51,59,23,39,42,5,12,40,2,5,8,65,45,69,45,23,51,57,68,120,55,28,51,35,24,69,43,52,120,A,,,,2,,,J. Frana,M. Charpentier,F041,C375,ARG,ARG,,
