event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS011,R16,02:20:00,,F,3,P372,"6-4,4-6,6-3",M. Puerta,F. Clavet,,,ARG,ESP,6-4,4-6,6-3,,,02:20:00,260,/en/stats/leaderboard?page=serve,2,2,54,53,98,68,36,53,58,26,45,63,5,8,15,246,/en/stats/leaderboard?page=serve,1,1,57,55,97,58,32,55,60,25,42,60,6,10,14,63,62,98,41,40,97,52,102,195,59,57,97,37,36,98,48,93,195,A,,,,,,M. Puerta,F. Clavet,P372,C252,ARG,ESP,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS012,R16,01:53:00,,F,3,S568,"6-4,2-6,6-4",F. Squillari,D. Hrbaty,,,ARG,SVK,6-4,2-6,6-4,,,01:53:00,259,/en/stats/leaderboard?page=serve,2,5,59,56,95,63,35,56,56,22,39,50,3,6,14,257,/en/stats/leaderboard?page=serve,6,9,56,51,91,82,42,51,38,15,40,57,4,7,14,60,57,95,37,34,91,49,91,186,63,57,91,40,38,95,51,95,186,A,,,,,,F. Squillari,D. Hrbaty,S568,H377,ARG,SVK,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS013,R16,01:17:00,,F,2,Z073,"6-4,6-2",M. Zabaleta,M. Martelli,,,ARG,ITA,6-4,6-2,,,,01:17:00,283,/en/stats/leaderboard?page=serve,4,6,61,31,51,77,24,31,55,11,20,67,2,3,9,212,/en/stats/leaderboard?page=serve,5,3,42,25,60,80,20,25,37,13,35,50,4,8,9,69,35,51,45,27,60,56,62,111,55,33,60,31,16,51,44,49,111,A,,,,,,M. Zabaleta,M. Martelli,Z073,M543,ARG,ITA,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS014,R16,01:19:00,,F,2,B518,"6-3,6-4",G. Blanco,J. Perlant,,,ESP,FRA,6-3,6-4,,,,01:19:00,295,/en/stats/leaderboard?page=serve,1,2,67,39,58,74,29,39,63,12,19,75,3,4,10,232,/en/stats/leaderboard?page=serve,5,4,55,32,58,66,21,32,46,12,26,57,4,7,9,71,41,58,43,25,58,57,66,116,57,33,58,29,17,58,43,50,116,A,,,,,,G. Blanco,J. Perlant,B518,P389,ESP,FRA,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS016,R32,01:22:00,,F,3,C344,"6-0,2-6,6-0",A. Corretja,S. Bruguera,,,ESP,ESP,6-0,2-6,6-0,,,01:22:00,261,/en/stats/leaderboard?page=serve,3,4,44,24,54,83,20,24,53,16,30,50,2,4,10,188,/en/stats/leaderboard?page=serve,3,2,63,39,62,51,20,39,35,8,23,45,5,11,10,67,36,54,55,34,62,60,70,116,45,28,62,33,18,54,40,46,116,A,,,,,,A. Corretja,S. Bruguera,C344,B350,ESP,ESP,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS017,R32,01:23:00,,F,2,P305,"6-3,7-5",A. Portas,A. Voinea,,,ESP,ROU,6-3,7-5,,,,01:23:00,265,/en/stats/leaderboard?page=serve,3,4,65,50,77,66,33,50,52,14,27,50,2,4,11,215,/en/stats/leaderboard?page=serve,6,1,51,29,57,66,19,29,43,12,28,33,2,6,10,61,47,77,46,26,57,54,73,134,54,31,57,39,30,77,46,61,134,A,,,,,,A. Portas,A. Voinea,P305,V166,ESP,ROU,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS018,R32,01:23:00,,F,2,L290,"6-3,7-5",N. Lapentti,J. Novak,,,ECU,CZE,6-3,7-5,,,,01:23:00,255,/en/stats/leaderboard?page=serve,3,1,72,48,67,71,34,48,42,8,19,63,5,8,11,210,/en/stats/leaderboard?page=serve,2,3,62,40,65,65,26,40,32,8,25,55,6,11,10,63,42,67,48,31,65,55,73,132,52,34,65,37,25,67,45,59,132,A,,,,,,N. Lapentti,J. Novak,L290,N254,ECU,CZE,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS019,R32,01:39:00,,F,2,V154,"7-6(7),6-4",M. Valeri,C. Costa,,,ITA,ESP,7-6(7),6-4,,,,01:39:00,256,/en/stats/leaderboard?page=serve,1,4,53,39,74,79,31,39,40,14,35,60,3,5,11,244,/en/stats/leaderboard?page=serve,3,6,62,40,65,75,30,40,32,8,25,57,4,7,11,61,45,74,42,27,65,52,72,139,58,38,65,39,29,74,48,67,139,A,,,,7,2,M. Valeri,C. Costa,V154,C179,ITA,ESP,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS020,R32,01:28:00,,F,3,K293,"6-3,4-6,6-2",G. Kuerten,G. Canas,,,BRA,ARG,6-3,4-6,6-2,,,01:28:00,228,/en/stats/leaderboard?page=serve,3,6,49,35,72,69,24,35,46,17,37,44,4,9,13,193,/en/stats/leaderboard?page=serve,4,5,49,38,78,68,26,38,33,13,40,47,7,15,14,57,41,72,50,39,78,53,80,150,50,39,78,43,31,72,47,70,150,A,,,,,,G. Kuerten,G. Canas,K293,C433,BRA,ARG,,
325,1998,Palermo,WS,1998-10-05T00:00:00,1998-10-11T00:00:00,Clay,32,315000,$,MS021,R32,01:28:00,,F,2,V195,"7-6(7),6-4",F. Vicente,D. Pescariu,,,ESP,ROU,7-6(7),6-4,,,,01:28:00,238,/en/stats/leaderboard?page=serve,2,2,67,50,75,64,32,50,44,11,25,56,5,9,11,215,/en/stats/leaderboard?page=serve,3,4,59,46,78,57,26,46,44,14,32,62,8,13,11,57,43,75,49,38,78,53,81,153,51,40,78,43,32,75,47,72,153,A,,,,7,4,F. Vicente,D. Pescariu,V195,P254,ESP,ROU,,
