event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,settime_tot_winner,settime_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set4_winner,tiebreak_set4_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_id_winner,player_id_loser
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS015,R16,01:55:00,,F,3,K435,"6-1,7-6(7),6-3",P. Kohlschreiber,B. Baker,,,GER,USA,6-1,7-6(7),6-3,,,01:55:00,A,P. Kohlschreiber,B. Baker,GER,USA,,,317,/en/stats/leaderboard?page=serve,4,23,64,66,103,80,53,66,54,20,37,100,5,5,15,278,/en/stats/leaderboard?page=serve,3,7,73,56,77,73,41,56,52,11,21,0,0,3,13,71,73,103,32,25,77,54,98,180,68,52,77,29,30,103,46,82,180,01:55:00,01:55:00,,,7,4,,,,,K435,BA23
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS016,R32,02:49:00,,F,4,D643,"4-6,6-2,6-2,6-2",N. Djokovic,R. Stepanek,,,SRB,CZE,4-6,6-2,6-2,6-2,,02:49:00,A,N. Djokovic,R. Stepanek,SRB,CZE,,,311,/en/stats/leaderboard?page=serve,1,12,66,63,96,79,50,63,61,20,33,80,4,5,17,237,/en/stats/leaderboard?page=serve,1,8,66,94,143,61,57,94,39,19,49,70,14,20,17,73,70,96,47,67,143,57,137,239,53,76,143,27,26,96,43,102,239,02:49:00,02:49:00,,,,,,,,,D643,S694
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS017,R32,02:38:00,,F,3,T840,"7-5,7-5,6-3",V. Troicki,J. Monaco,,,SRB,ARG,7-5,7-5,6-3,,,02:38:00,A,V. Troicki,J. Monaco,SRB,ARG,,,263,/en/stats/leaderboard?page=serve,9,13,56,64,115,84,54,64,37,19,51,67,6,9,17,233,/en/stats/leaderboard?page=serve,2,0,68,78,115,59,46,78,46,17,37,54,7,13,16,63,73,115,45,52,115,54,125,230,55,63,115,37,42,115,46,105,230,02:38:00,02:38:00,,,,,,,,,T840,MA21
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS018,R32,01:38:00,,F,3,G628,"6-3,6-4,6-4",R. Gasquet,N. Almagro,,,FRA,ESP,6-3,6-4,6-4,,,01:38:00,A,R. Gasquet,N. Almagro,FRA,ESP,,,316,/en/stats/leaderboard?page=serve,3,9,69,61,88,82,50,61,59,16,27,100,3,3,15,278,/en/stats/leaderboard?page=serve,2,7,69,53,77,72,38,53,54,13,24,57,4,7,14,75,66,88,34,26,77,56,92,165,66,51,77,25,22,88,44,73,165,01:38:00,01:38:00,,,,,,,,,G628,A479
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS019,R32,03:15:00,,F,5,MB02,"7-6(7),3-6,2-6,6-3,7-5",F. Mayer,J. Janowicz,,,GER,POL,7-6(7),3-6,2-6,6-3,7-5,03:15:00,A,F. Mayer,J. Janowicz,GER,POL,,,297,/en/stats/leaderboard?page=serve,2,8,75,126,168,71,89,126,57,24,42,70,7,10,25,302,/en/stats/leaderboard?page=serve,6,20,60,90,151,77,69,90,59,36,61,67,4,6,25,67,113,168,30,46,151,50,159,319,70,105,151,33,55,168,50,160,319,03:15:00,03:15:00,7,5,,,,,,,MB02,J397
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS020,R32,03:34:00,,F,5,F324,"4-6,6-7(3),6-2,7-6(8),6-1",R. Federer,J. Benneteau,,,SUI,FRA,4-6,6-7(3),6-2,7-6(8),6-1,03:34:00,A,R. Federer,J. Benneteau,SUI,FRA,,,302,/en/stats/leaderboard?page=serve,4,14,65,101,156,79,80,101,56,31,55,67,4,6,25,272,/en/stats/leaderboard?page=serve,10,15,68,115,168,69,79,115,51,27,53,62,8,13,24,71,111,156,37,62,168,53,173,324,63,106,168,29,45,156,47,151,324,03:34:00,03:34:00,,,3,7,8,6,,,F324,B747
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS021,R32,03:10:00,,F,5,M680,"1-6,7-6(7),6-1,4-6,6-3",X. Malisse,F. Verdasco,,,BEL,ESP,1-6,7-6(7),6-1,4-6,6-3,03:10:00,A,X. Malisse,F. Verdasco,BEL,ESP,,,288,/en/stats/leaderboard?page=serve,0,8,55,74,135,72,53,74,67,41,61,50,3,6,22,282,/en/stats/leaderboard?page=serve,8,21,68,109,161,73,80,109,46,24,52,76,13,17,23,70,94,135,35,57,161,51,151,296,65,104,161,30,41,135,49,145,296,03:10:00,03:10:00,,,7,5,,,,,M680,V306
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS022,R32,02:43:00,,F,4,I165,"6-3,6-4,3-6,7-6(7)",D. Istomin,A. Falla,,,UZB,COL,6-3,6-4,3-6,7-6(7),,02:43:00,A,D. Istomin,A. Falla,UZB,COL,,,310,/en/stats/leaderboard?page=serve,4,16,69,91,132,75,68,91,59,24,41,88,7,8,20,290,/en/stats/leaderboard?page=serve,3,1,66,81,122,73,59,81,63,26,41,75,6,8,20,70,92,132,30,37,122,51,129,254,70,85,122,30,40,132,49,125,254,02:43:00,02:43:00,,,,,7,5,,,I165,F444
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS023,R32,02:26:00,,F,4,Y061,"6-3,6-4,3-6,6-3",M. Youzhny,J. Tipsarevic,,,RUS,SRB,6-3,6-4,3-6,6-3,,02:26:00,A,M. Youzhny,J. Tipsarevic,RUS,SRB,,,305,/en/stats/leaderboard?page=serve,1,10,65,69,106,83,57,69,54,20,37,67,2,3,19,284,/en/stats/leaderboard?page=serve,2,11,64,66,103,74,49,66,54,20,37,63,5,8,18,73,77,106,33,34,103,53,111,209,67,69,103,27,29,106,47,98,209,02:26:00,02:26:00,,,,,,,,,Y061,T742
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS024,R32,02:38:00,,F,4,F401,"2-6,7-6(10),6-4,6-3",D. Ferrer,A. Roddick,,,ESP,USA,2-6,7-6(10),6-4,6-3,,02:38:00,A,D. Ferrer,A. Roddick,ESP,USA,,,291,/en/stats/leaderboard?page=serve,3,10,58,66,113,80,53,66,62,29,47,50,3,6,19,293,/en/stats/leaderboard?page=serve,1,15,72,85,118,75,64,85,52,17,33,50,4,8,20,73,82,113,31,37,118,52,119,231,69,81,118,27,31,113,48,112,231,02:38:00,02:38:00,,,10,8,,,,,F401,R485
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS025,R32,02:26:00,,F,3,D683,"6-3,7-6(7),6-1",J. del Potro,K. Nishikori,,,ARG,JPN,6-3,7-6(7),6-1,,,02:26:00,A,J. del Potro,K. Nishikori,ARG,JPN,,,304,/en/stats/leaderboard?page=serve,4,12,74,71,96,73,52,71,56,14,25,67,2,3,15,241,/en/stats/leaderboard?page=serve,5,1,59,55,93,67,37,55,50,19,38,64,7,11,13,69,66,96,40,37,93,54,103,189,60,56,93,31,30,96,46,86,189,02:26:00,02:26:00,,,7,3,,,,,D683,N552
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS026,R32,05:31:00,,F,5,C977,"7-6(8),6-4,6-7(2),6-7(3),17-15",M. Cilic,S. Querrey,,,CRO,USA,7-6(8),6-4,6-7(2),6-7(3),17-15,05:31:00,A,M. Cilic,S. Querrey,CRO,USA,,,300,/en/stats/leaderboard?page=serve,6,14,61,138,226,75,104,138,64,56,88,63,5,8,39,288,/en/stats/leaderboard?page=serve,9,23,63,172,273,77,132,172,47,47,101,69,11,16,39,71,160,226,34,94,273,51,254,499,66,179,273,29,66,226,49,245,499,05:31:00,05:31:00,8,6,,,3,7,2,7,C977,Q927
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS027,R32,03:13:00,,F,4,MC10,"7-5,3-6,7-5,6-1",A. Murray,M. Baghdatis,,,GBR,CYP,7-5,3-6,7-5,6-1,,03:13:00,A,A. Murray,M. Baghdatis,GBR,CYP,,,288,/en/stats/leaderboard?page=serve,4,10,63,74,117,69,51,74,65,28,43,63,5,8,20,240,/en/stats/leaderboard?page=serve,3,5,56,86,154,63,54,86,49,33,68,74,17,23,20,68,79,117,44,67,154,54,146,271,56,87,154,32,38,117,46,125,271,03:13:00,03:13:00,,,,,,,,,MC10,B837
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS028,R32,01:36:00,,F,3,T786,"6-4,6-3,6-3",J. Tsonga,L. Lacko,,,FRA,SVK,6-4,6-3,6-3,,,01:36:00,A,J. Tsonga,L. Lacko,FRA,SVK,,,318,/en/stats/leaderboard?page=serve,2,7,66,51,77,82,42,51,65,17,26,100,3,3,14,263,/en/stats/leaderboard?page=serve,3,5,67,49,73,73,36,49,50,12,24,20,1,5,14,77,59,77,34,25,73,56,84,150,66,48,73,23,18,77,44,66,150,01:36:00,01:36:00,,,,,,,,,T786,L797
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS029,R32,02:16:00,,F,3,F339,"6-3,7-6(8),7-6(8)",M. Fish,D. Goffin,,,USA,BEL,6-3,7-6(8),7-6(8),,,02:16:00,A,M. Fish,D. Goffin,USA,BEL,,,331,/en/stats/leaderboard?page=serve,1,17,64,66,103,89,59,66,62,23,37,100,1,1,17,292,/en/stats/leaderboard?page=serve,2,6,66,72,109,75,54,72,54,20,37,50,1,2,16,80,82,103,32,35,109,55,117,212,68,74,109,20,21,103,45,95,212,02:16:00,02:16:00,,,8,6,,,8,6,F339,GB88
540,2012,Wimbledon,GS,2012-06-25T00:00:00,2012-07-08T00:00:00,Grass,128,7285200,£,MS030,R32,02:11:00,,F,4,BA23,"6-4,4-6,6-1,6-3",B. Baker,B. Paire,,,USA,FRA,6-4,4-6,6-1,6-3,,02:11:00,A,B. Baker,B. Paire,USA,FRA,,,283,/en/stats/leaderboard?page=serve,3,5,58,65,112,75,49,65,60,28,47,67,4,6,18,247,/en/stats/leaderboard?page=serve,2,17,57,65,115,69,45,65,40,20,50,40,4,10,18,69,77,112,43,50,115,56,127,227,57,65,115,31,35,112,44,100,227,02:11:00,02:11:00,,,,,,,,,BA23,PD31
