event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS001,F,01:03:00,,F,2,S572,"6-3,6-2",S. Schalken,Y. El Aynaoui,,,NED,MAR,6-3,6-2,,,,01:03:00,271,/en/stats/leaderboard?page=serve,4,11,57,31,54,84,26,31,57,13,23,0,9,248,/en/stats/leaderboard?page=serve,2,1,77,43,56,56,24,43,54,7,13,70,7,10,8,72,39,54,45,25,56,58,64,110,55,31,56,28,15,54,42,46,110,A,,,,,,,,,,,S. Schalken,Y. El Aynaoui,S572,E121,NED,MAR,,
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS002,SF,01:50:00,,F,3,E121,"6-3,6-7(4),6-3",Y. El Aynaoui,P. Haarhuis,,,MAR,NED,6-3,6-7(4),6-3,,,01:50:00,293,/en/stats/leaderboard?page=serve,4,8,60,59,99,78,46,59,58,23,40,2,16,275,/en/stats/leaderboard?page=serve,,2,66,58,88,72,42,58,57,17,30,57,4,7,14,70,69,99,33,29,88,52,98,187,67,59,88,30,30,99,48,89,187,A,4,7,67,3,False,,,,,,Y. El Aynaoui,P. Haarhuis,E121,H223,MAR,NED,,
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS003,SF,01:43:00,,F,3,S572,"3-6,6-3,6-3",S. Schalken,M. Joyce,,,NED,USA,3-6,6-3,6-3,,,01:43:00,271,/en/stats/leaderboard?page=serve,5,6,49,44,90,86,38,44,43,20,46,4,13,265,/en/stats/leaderboard?page=serve,7,6,66,53,80,74,39,53,48,13,27,67,6,9,14,64,58,90,35,28,80,51,86,170,65,52,80,36,32,90,49,84,170,A,,,80,5,,,,,,,S. Schalken,M. Joyce,S572,J100,NED,USA,,
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS004,QF,02:23:00,,F,3,H223,"7-6(7),4-6,7-6(7)",P. Haarhuis,G. Raoux,,,NED,FRA,7-6(7),4-6,7-6(7),,,02:23:00,282,/en/stats/leaderboard?page=serve,1,6,60,60,100,68,41,60,73,29,40,4,17,268,/en/stats/leaderboard?page=serve,1,6,51,58,114,69,40,58,61,34,56,40,2,5,17,70,70,100,35,40,114,51,110,214,65,74,114,30,30,100,49,104,214,A,,,50,8,,7,3,7,3,,P. Haarhuis,G. Raoux,H223,R186,NED,FRA,,
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS005,QF,00:41:00,,F,2,E121,"6-0,6-1",Y. El Aynaoui,E. Sanchez,,,MAR,ESP,6-0,6-1,,,,00:41:00,237,/en/stats/leaderboard?page=serve,,9,81,25,31,80,20,25,67,4,6,0,6,144,/en/stats/leaderboard?page=serve,3,1,72,33,46,45,15,33,15,2,13,45,5,11,7,77,24,31,63,29,46,69,53,77,37,17,46,23,7,31,31,24,77,A,,,0,,,,,,,False,Y. El Aynaoui,E. Sanchez,E121,S014,MAR,ESP,,
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS006,QF,01:53:00,,F,3,S572,"5-7,6-2,6-4",S. Schalken,M. Tillstrom,,,NED,SWE,5-7,6-2,6-4,,,01:53:00,277,/en/stats/leaderboard?page=serve,2,6,62,53,86,70,37,53,61,20,33,3,15,229,/en/stats/leaderboard?page=serve,7,3,45,46,103,78,36,46,44,25,57,69,11,16,15,66,57,86,41,42,103,52,99,189,59,61,103,34,29,86,48,90,189,A,,,50,6,,,,,,,S. Schalken,M. Tillstrom,S572,T166,NED,SWE,,
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS007,QF,01:04:00,,F,2,J100,"6-3,6-2",M. Joyce,G. Schaller,,,USA,AUT,6-3,6-2,,,,01:04:00,229,/en/stats/leaderboard?page=serve,3,3,51,28,55,64,18,28,48,13,27,8,9,165,/en/stats/leaderboard?page=serve,2,1,61,34,56,53,18,34,27,6,22,57,8,14,8,56,31,55,57,32,56,57,63,111,43,24,56,44,24,55,43,48,111,A,,,73,11,,,,,,,M. Joyce,G. Schaller,J100,S315,USA,AUT,,
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS008,R16,00:52:00,,F,2,H223,"6-1,3-0",P. Haarhuis,C. Wilkinson,,,NED,GBR,6-1,3-0,,,,00:52:00,223,/en/stats/leaderboard?page=serve,1,2,65,26,40,81,21,26,36,5,14,0,5,182,/en/stats/leaderboard?page=serve,,0,63,26,41,46,12,26,40,6,15,43,3,7,6,65,26,40,56,23,41,60,49,81,44,18,41,35,14,40,40,32,81,A,,,,,False,,,,,,P. Haarhuis,C. Wilkinson,H223,W150,NED,GBR,,
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS009,R16,01:06:00,,F,2,R186,"6-3,6-1",G. Raoux,H. Wiltschnig,,,FRA,AUT,6-3,6-1,,,,01:06:00,288,/en/stats/leaderboard?page=serve,2,6,43,18,42,100,18,18,54,13,24,4,8,190,/en/stats/leaderboard?page=serve,1,2,61,33,54,39,13,33,52,11,21,55,6,11,8,74,31,42,56,30,54,64,61,96,44,24,54,,0,,,0,,A,,,80,5,,,,,,,G. Raoux,H. Wiltschnig,R186,W200,FRA,AUT,,
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS010,R16,01:26:00,,F,2,S014,"7-6(7),7-5",E. Sanchez,J. Eltingh,,,ESP,NED,7-6(7),7-5,,,,01:26:00,302,/en/stats/leaderboard?page=serve,1,7,76,55,72,84,46,55,53,9,17,0,12,300,/en/stats/leaderboard?page=serve,4,15,59,43,73,79,34,43,60,18,30,50,1,2,12,76,55,72,29,21,73,52,76,145,71,52,73,24,17,72,48,69,145,A,,,,,,7,5,,,,E. Sanchez,J. Eltingh,S014,E106,ESP,NED,,
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS011,R16,01:24:00,,F,2,E121,"7-6(8),6-2",Y. El Aynaoui,A. Chesnokov,,,MAR,RUS,7-6(8),6-2,,,,01:24:00,290,/en/stats/leaderboard?page=serve,1,6,54,35,65,74,26,35,67,20,30,1,10,232,/en/stats/leaderboard?page=serve,3,2,45,30,67,53,16,30,65,24,37,63,5,8,10,71,46,65,40,27,67,55,73,132,60,40,67,29,19,65,45,59,132,A,,,50,2,,8,6,,,,Y. El Aynaoui,A. Chesnokov,E121,C031,MAR,RUS,,
494,1996,Jakarta,GP,1996-01-08T00:00:00,1996-01-14T00:00:00,Hard,32,303000,$,MS012,R16,01:44:00,,F,3,S572,"6-3,4-6,6-1",S. Schalken,N. Lapentti,,,NED,ECU,6-3,4-6,6-1,,,01:44:00,255,/en/stats/leaderboard?page=serve,10,3,50,43,86,84,36,43,44,19,43,6,13,219,/en/stats/leaderboard?page=serve,4,4,50,39,78,67,26,39,41,16,39,50,5,10,13,64,55,86,46,36,78,55,91,164,54,42,78,36,31,86,45,73,164,A,,,75,8,,,,,,,S. Schalken,N. Lapentti,S572,L290,NED,ECU,,
