Tournament Name,Tournament Title,Level,Year,Start Date,End Date,Surface,indoor_outdoor,City,Country,Singles Draw Size,Doubles Draw Size,Prize Money,Prize Money Currency,Tournament ID,Match ID,Date,Round Name,Set 1 Score,Set 2 Score,Set 3 Score,Home Player,Home Country,Home Seed,Away Player,Away Country,Away Seed,ScoreString,WinnerFlag,winner_flag,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,PlayerCountryA,PlayerCountryB,PlayerIDA,PlayerIDB,ScoreSet1A,ScoreSet1B,ScoreSet2A,ScoreSet2B,ScoreSet3A,ScoreSet3B,ScoreSet4A,ScoreSet4B,ScoreSet5A,ScoreSet5B,ScoreTbSet1,ScoreTbSet2,ScoreTbSet3,ScoreTbSet4,SeedA,SeedB
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664746,2026-01-26T00:30:00+00:00,4,6-3,6-4,,Jessica Pegula,USA,6,Madison Keys,USA,9,"6-3,6-4",2,A,Jessica Pegula,Madison Keys,6,9,USA,USA,USA,USA,316956,316959,6,3,6,4,,,,,,,,,,,6,9
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664748,2026-01-25T10:05:00+00:00,4,6-2,6-4,,Elina Svitolina,UKR,12,Mirra Andreeva,,8,"6-2,6-4",2,A,Elina Svitolina,Mirra Andreeva,12,8,UKR,,UKR,,316738,331809,6,2,6,4,,,,,,,,,,,12,8
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664750,2026-01-25T05:00:00+00:00,4,6-1,3-6,6-3,Coco Gauff,USA,3,Karolina Muchova,CZE,19,"6-1,3-6,6-3",2,A,Coco Gauff,Karolina Muchova,3,19,USA,CZE,USA,CZE,328560,322191,6,1,3,6,6,3,,,,,,,,,3,19
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664752,2026-01-25T02:30:00+00:00,4,0-6,1-6,,Yulia Putintseva,KAZ,,Iva Jovic,USA,29,"0-6,1-6",3,B,Iva Jovic,Yulia Putintseva,29,,USA,KAZ,KAZ,USA,317683,332285,0,6,1,6,,,,,,,,,,,,29
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664738,2026-01-25T00:30:00+00:00,4,6-1,7-6(1),,Aryna Sabalenka,,1,Victoria Mboko,CAN,17,"6-1,7-6(7)",2,A,Aryna Sabalenka,Victoria Mboko,1,17,,CAN,,CAN,320760,331006,6,1,7,6,,,,,,,,1,,,1,17
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664742,2026-01-24T10:10:00+00:00,3,,,,Naomi Osaka,JPN,16,Maddison Inglis,AUS,,I. Maddison d O. Naomi ,3,B,Maddison Inglis,Naomi Osaka,,16,AUS,JPN,JPN,AUS,319998,321179,,,,,,,,,,,,,,,16,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664794,2026-01-24T10:00:00+00:00,3,6-2,6-3,,Elena Rybakina,KAZ,5,Tereza Valentova,CZE,,"6-2,6-3",2,A,Elena Rybakina,Tereza Valentova,5,,KAZ,CZE,KAZ,CZE,324166,330808,6,2,6,3,,,,,,,,,,,5,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664740,2026-01-24T08:10:00+00:00,3,1-6,6-1,1-6,Anna Kalinskaya,,31,Iga Swiatek,POL,2,"1-6,6-1,1-6",3,B,Iga Swiatek,Anna Kalinskaya,2,31,POL,,,POL,323942,326408,1,6,6,1,1,6,,,,,,,,,31,2
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664744,2026-01-24T04:30:00+00:00,3,6-0,6-4,,Elise Mertens,BEL,21,Nikola Bartunkova,CZE,,"6-0,6-4",2,A,Elise Mertens,Nikola Bartunkova,21,,BEL,CZE,BEL,CZE,317964,721779,6,0,6,4,,,,,,,,,,,21,
AUSTRALIAN OPEN,"Australian Open - Melbourne, AUS",Grand Slam,2026,2026-01-18,2026-02-01,Hard,O,MELBOURNE,AUSTRALIA,128,64,,USD,901,LS67664798,2026-01-24T03:25:00+00:00,3,5-7,4-6,,Linda Noskova,CZE,13,Xinyu Wang,CHN,,"5-7,4-6",3,B,Xinyu Wang,Linda Noskova,,13,CHN,CZE,CZE,CHN,329668,326376,5,7,4,6,,,,,,,,,,,13,
