ranking,mean,std,n,ci_low,ci_high,min,max
1,1.2385134038195402,1.0948670699862972,2733,1.1974648700177264,1.279561937621354,0.0,2.9928498976490245
2,1.1932678659342377,1.0539729515197702,2733,1.1537525261156802,1.2327832057527952,0.0,2.733810457817291
3,1.1525602810943765,1.0178652157641053,2733,1.1143986851706755,1.1907218770180774,0.0,2.393467010403776
4,1.1233957692283822,0.9925494047692385,2733,1.0861833085484294,1.1606082299083351,0.0,2.3646452056822107
5,1.0991228005175815,0.9725458760345248,2733,1.0626603080738939,1.135585292961269,0.0,2.306317339579311
6,1.0785254540950828,0.9550418868328562,2733,1.0427192176591864,1.1143316905309792,-0.3184697690774738,2.29443896409654
7,1.0591868741566954,0.9383352769201175,2733,1.024006998546251,1.0943667497671399,-0.5877162146643217,2.2844534963301006
8,1.039994298127361,0.9224849343758027,2733,1.005408680340114,1.074579915914608,-0.7612653042888688,2.2810694755038456
9,1.0235730034838075,0.9085071327219998,2733,0.9895114385970357,1.0576345683705792,-0.7844679698885645,2.267243602252441
10,1.0109223843621438,0.8967016218872786,2732,0.9772972770423906,1.044547491681897,-0.8330715799833682,2.153095745952119
11,1.0012699385010182,0.8861093490252534,2730,0.9680298580295505,1.0345100189724858,0.0,2.1312521252570913
12,0.9864950965451547,0.8902305934314256,2730,0.9531004183416414,1.019889774748668,-7.325168696325456,2.114215321472909
13,0.9797292694717308,0.867298718561887,2730,0.9471948207273284,1.0122637182161331,0.0,2.1073694131814165
14,0.9693199471539593,0.8582596623713902,2730,0.937124575020687,1.0015153192872315,0.0,2.085228973322083
15,0.9603761802203352,0.8504244878552968,2730,0.9284747242179665,0.9922776362227039,0.0,2.084318726116601
16,0.9515652115576531,0.8428527799422161,2730,0.9199477884239299,0.9831826346913762,0.0,2.0713652239258336
17,0.9431742159998604,0.8354812742533292,2730,0.9118333156706466,0.9745151163290742,0.0,2.034072954633792
18,0.9351118462013811,0.8284042884570669,2730,0.9040364205312734,0.9661872718714888,0.0,2.0175838825261447
19,0.927976962256757,0.8222000059748957,2730,0.8971342740577096,0.9588196504558043,0.0,2.00685009189695
20,0.9205283259057472,0.8156103731944956,2730,0.8899328305888637,0.9511238212226306,0.0,1.997432261057685
21,0.9143098866555256,0.8101464225975225,2730,0.8839193571904699,0.9447004161205813,0.0,1.9861791324162754
22,0.9041530334155549,0.8172796921645378,2730,0.8734949179525712,0.9348111488785386,-6.822681977646156,1.9518096657017499
23,0.8999736194542928,0.7973585910162738,2730,0.8700627921290282,0.9298844467795574,0.0,1.8960458923495265
24,0.8934528474173161,0.7917342042700353,2730,0.8637530042874595,0.9231526905471727,0.0,1.892025767889011
25,0.8873816283644077,0.7864479370945101,2730,0.8578800857563789,0.9168831709724365,0.0,1.8900019270403037
26,0.8812295334806651,0.78101359244514,2730,0.8519318461345782,0.9105272208267521,0.0,1.8755702064240596
27,0.8758318298541046,0.7762879015308889,2730,0.8467114144738825,0.9049522452343266,0.0,1.8755702064240596
28,0.8703107817485813,0.7713759590685765,2730,0.8413746250751409,0.8992469384220217,0.0,1.8671078910892618
29,0.8643015895726869,0.7659763986019951,2730,0.835567983323319,0.8930351958220547,0.0,1.8315549970562328
30,0.8593174934752452,0.761493196524895,2730,0.8307520628556421,0.8878829240948484,0.0,1.8315549970562328
31,0.8542948806782573,0.7570294735241418,2730,0.8258968949816883,0.8826928663748264,0.0,1.8277038795499216
32,0.8494019284489756,0.7527089827316209,2730,0.8211660146928251,0.877637842205126,0.0,1.8089195960268811
33,0.8445663106517315,0.7484480264256141,2730,0.8164902355550568,0.8726423857484061,0.0,1.7792576246923792
34,0.8400578889886703,0.7444717832991377,2730,0.8121309722793251,0.8679848056980155,0.0,1.7792576246923792
35,0.8354954506752886,0.7404225921246107,2730,0.8077204288089825,0.8632704725415947,0.0,1.7718677807130847
36,0.8306075314489278,0.7361122567288793,2730,0.8029942005698241,0.8582208623280316,0.0,1.7700012787512551
37,0.8262142773582785,0.7322242115417993,2730,0.798746796350906,0.853681758365651,0.0,1.7555097856536197
38,0.8218149709457232,0.7284056294015464,2730,0.7944907340851014,0.849139207806345,0.0,1.7511691795026911
39,0.8176031844870512,0.7247044740986595,2730,0.7904177868117294,0.844788582162373,0.0,1.747945956139376
40,0.8133928368243416,0.7210457225473975,2730,0.7863446876682041,0.8404409859804791,0.0,1.7451555606497757
41,0.809215043500763,0.7173416072881847,2730,0.7823058445649648,0.8361242424365612,0.0,1.7192459553563557
42,0.8052587410733942,0.7138019095120949,2730,0.7784823246650023,0.8320351574817861,0.0,1.7192459553563557
43,0.801499193133246,0.7104654137577205,2730,0.7748479366585463,0.8281504496079457,0.0,1.7150808123781967
44,0.7947968712599804,0.7225420163213776,2730,0.7676925925465701,0.8219011499733908,-6.952746120859796,1.686868642354921
45,0.7942410330228908,0.7040174374366077,2730,0.7678316555578503,0.8206504104879314,0.0,1.6760740701879553
46,0.7906476849781435,0.7008159181663942,2730,0.7643584041561301,0.816936965800157,0.0,1.6603913915073933
47,0.7871373166702389,0.6976894694139293,2730,0.7609653164166296,0.8133093169238482,0.0,1.6544941903151944
48,0.7836635887649819,0.6945747299958347,2730,0.7576084298346459,0.8097187476953178,0.0,1.651669212708716
49,0.7805781683705413,0.691825870460087,2730,0.754626125734231,0.8065302110068515,0.0,1.6427797958776722
50,0.7740549465768277,0.703753166304483,2730,0.7476554825538559,0.8004544105997995,-6.816906342209993,1.6251916672244817
51,0.773901797639748,0.6858845419682494,2730,0.7481726284415675,0.7996309668379284,0.0,1.621592931739332
52,0.7707979643259021,0.6831349535411433,2730,0.745171938764205,0.7964239898875992,0.0,1.6205947478927634
53,0.767819907971564,0.6804764988441214,2730,0.7422936074022236,0.7933462085409043,0.0,1.6169183614554012
54,0.7648312932816405,0.6778107192706838,2730,0.7394049924782857,0.7902575940849952,0.0,1.6132130028538223
55,0.7617903094273913,0.675094610324718,2730,0.7364658963651293,0.7871147224896534,0.0,1.5917602568869182
56,0.7587365240551243,0.672386871619256,2730,0.7335136847462191,0.7839593633640294,0.0,1.58008452051625
57,0.7556867027820179,0.6697108643030043,2730,0.7305642469061872,0.7808091586578486,0.0,1.579285787580973
58,0.7525152927631574,0.6669247377990104,2730,0.7274973511544409,0.7775332343718739,0.0,1.5768966734739824
59,0.7494786484405768,0.6642132157996051,2730,0.7245624225056194,0.7743948743755341,0.0,1.5613647850092545
60,0.746490201789975,0.6615761009028117,2730,0.721672900340442,0.7713075032395081,0.0,1.5555180381097569
61,0.7436068508518832,0.6590349106745378,2730,0.7188848755240912,0.7683288261796751,0.0,1.5512974255871168
