full_name,player_id,ranking,points,movement,date
Aryna Sabalenka,320760,1,8550,,2026-07-13
Elena Rybakina,324166,2,8143,,2026-07-13
Jessica Pegula,316956,3,6301,1.0,2026-07-13
Coco Gauff,328560,4,5649,3.0,2026-07-13
Mirra Andreeva,331809,5,5293,,2026-07-13
Karolina Muchova,322191,6,5168,3.0,2026-07-13
Linda Noskova,329668,7,5119,5.0,2026-07-13
Iga Swiatek,326408,8,4539,-5.0,2026-07-13
Amanda Anisimova,326384,9,4353,-3.0,2026-07-13
Elina Svitolina,316738,10,4351,-2.0,2026-07-13
Marta Kostyuk,326482,11,3926,2.0,2026-07-13
Victoria Mboko,331006,12,3570,-2.0,2026-07-13
Naomi Osaka,319998,13,3146,1.0,2026-07-13
Belinda Bencic,319001,14,2845,-3.0,2026-07-13
Jasmine Paolini,319280,15,2783,2.0,2026-07-13
Iva Jovic,332285,16,2636,,2026-07-13
Sorana Cirstea,312469,17,2535,1.0,2026-07-13
Diana Shnaider,330482,18,2458,-3.0,2026-07-13
Ekaterina Alexandrova,319007,19,2301,,2026-07-13
Anna Kalinskaya,323942,20,2300,,2026-07-13
Marie Bouzkova,320983,21,2019,2.0,2026-07-13
Maja Chwalinska,325639,22,2004,-1.0,2026-07-13
Madison Keys,316959,23,1964,-1.0,2026-07-13
Elise Mertens,317964,24,1948,3.0,2026-07-13
Leylah Fernandez,326735,25,1784,-1.0,2026-07-13
Emma Navarro,325410,26,1674,,2026-07-13
Anastasia Potapova,325601,27,1667,1.0,2026-07-13
Alexandra Eala,330332,28,1666,4.0,2026-07-13
Jelena Ostapenko,319939,29,1592,2.0,2026-07-13
Clara Tauson,327793,30,1574,-5.0,2026-07-13
Ann Li,326096,31,1565,-2.0,2026-07-13
Barbora Krejcikova,318314,32,1430,6.0,2026-07-13
Hailey Baptiste,327101,33,1372,-3.0,2026-07-13
Katerina Siniakova,320301,34,1338,2.0,2026-07-13
Donna Vekic,318516,35,1326,-1.0,2026-07-13
Jaqueline  Cristian,320319,36,1324,1.0,2026-07-13
Maria Sakkari,318312,37,1300,6.0,2026-07-13
Emma Raducanu,328366,38,1299,-5.0,2026-07-13
Janice Tjen,328818,39,1282,3.0,2026-07-13
Xinyu Wang,326376,40,1276,-1.0,2026-07-13
Cristina Bucsa,321158,41,1244,-6.0,2026-07-13
Sara Bejlek,330375,42,1217,3.0,2026-07-13
Nikola Bartunkova,330364,43,1210,5.0,2026-07-13
Magdalena Frech,320277,44,1208,,2026-07-13
Petra Marcinko,330799,45,1145,2.0,2026-07-13
Mccartney Kessler,326678,46,1125,11.0,2026-07-13
Viktorija Golubic,316296,47,1088,15.0,2026-07-13
Zeynep Sonmez,326907,48,1074,3.0,2026-07-13
Tereza Valentova,330808,49,1074,5.0,2026-07-13
Antonia Ruzic,329505,50,1062,11.0,2026-07-13
Magda Linette,315130,51,1051,8.0,2026-07-13
Oleksandra Oliynykova,327182,52,1049,1.0,2026-07-13
Camila Osorio,325898,53,1048,15.0,2026-07-13
Shuai Zhang,311779,54,1045,10.0,2026-07-13
Diane Parry,327077,55,1039,-6.0,2026-07-13
Daria Snigur,327845,56,1038,21.0,2026-07-13
Caty Mcnally,325725,57,1036,-7.0,2026-07-13
Talia Gibson,329393,58,1020,,2026-07-13
Anhelina Kalinina,320567,59,1018,7.0,2026-07-13
Peyton Stearns,327573,60,1017,3.0,2026-07-13
Yuliia Starodubtseva,325338,61,1017,-6.0,2026-07-13
Jessica Bouzas Maneiro,328139,62,1014,-10.0,2026-07-13
Daria Kasatkina,322082,63,1009,2.0,2026-07-13
Karolina Pliskova,313974,64,1006,9.0,2026-07-13
Kimberly Birrell,320728,65,999,7.0,2026-07-13
Ashlyn Krueger,329409,66,997,36.0,2026-07-13
Katie Boulter,319125,67,987,-7.0,2026-07-13
Elisabetta Cocciaretto,327909,68,977,-22.0,2026-07-13
Liudmila Samsonova,322222,69,970,-28.0,2026-07-13
Alycia Parks,326007,70,965,11.0,2026-07-13
Panna Udvardy,325956,71,950,-2.0,2026-07-13
Elena-Gabriela Ruse,320408,72,941,-1.0,2026-07-13
Anna Bondar,322942,73,936,1.0,2026-07-13
Dayana Yastremska,324261,74,935,-7.0,2026-07-13
Tamara Korpatsch,319571,75,914,3.0,2026-07-13
Tatjana Maria,310440,76,913,20.0,2026-07-13
Maya Joint,330544,77,907,10.0,2026-07-13
Kamilla Rakhimova,325936,78,906,-8.0,2026-07-13
Maria Timofeeva,328896,79,897,16.0,2026-07-13
Taylor Townsend,318609,80,881,-1.0,2026-07-13
Simona Waltert,325771,81,880,9.0,2026-07-13
Yulia Putintseva,317683,82,877,2.0,2026-07-13
Renata Zarazua,320716,83,875,-8.0,2026-07-13
Lilli Tagger,332150,84,875,-2.0,2026-07-13
Eva Lys,325826,85,871,-9.0,2026-07-13
Solana Sierra,329081,86,867,-30.0,2026-07-13
Laura Siegemund,310926,87,852,-47.0,2026-07-13
Oksana Selekhmeteva,329199,88,852,3.0,2026-07-13
Xiyu Wang,326160,89,847,-3.0,2026-07-13
Alina Korneeva,331330,90,840,8.0,2026-07-13
Lanlana Tararudee,329651,91,839,8.0,2026-07-13
Ajla Tomljanovic,315232,92,815,2.0,2026-07-13
Katie Volynets,327391,93,814,8.0,2026-07-13
Sinja Kraus,327061,94,809,-1.0,2026-07-13
Varvara Gracheva,325836,95,808,-7.0,2026-07-13
Emiliana Arango,324789,96,808,1.0,2026-07-13
Mayar Sherif,318711,97,787,12.0,2026-07-13
Hanne Vandewinkel,331102,98,779,5.0,2026-07-13
Ella Seidel,330548,99,767,1.0,2026-07-13
