full_name,player_id,ranking,points,movement,date
Simona Halep,314320,1,7270,0,2018-06-04
Caroline Wozniacki,313402,2,6935,0,2018-06-04
Garbiñe Muguruza,316239,3,6010,0,2018-06-04
Elina Svitolina,316738,4,5505,0,2018-06-04
Jelena Ostapenko,319939,5,5382,0,2018-06-04
Karolina Pliskova,313974,6,5335,0,2018-06-04
Caroline Garcia,315391,7,5160,0,2018-06-04
Petra Kvitova,314206,8,4550,0,2018-06-04
Venus Williams,230220,9,4201,0,2018-06-04
Sloane Stephens,315683,10,4164,0,2018-06-04
Julia Goerges,313381,11,3090,0,2018-06-04
Angelique Kerber,311470,12,3040,0,2018-06-04
Madison Keys,316959,13,2826,0,2018-06-04
Daria Kasatkina,322082,14,2825,0,2018-06-04
Coco Vandeweghe,314464,15,2533,0,2018-06-04
Elise Mertens,317964,16,2525,0,2018-06-04
Ashleigh Barty,318033,17,2360,0,2018-06-04
Magdalena Rybarikova,312580,18,2225,1,2018-06-04
Anastasija Sevastova,313987,19,2225,1,2018-06-04
Naomi Osaka,319998,20,2150,1,2018-06-04
Johanna Konta,313907,21,2050,1,2018-06-04
Kiki Bertens,314584,22,2030,-4,2018-06-04
Carla Suárez Navarro,311338,23,1876,0,2018-06-04
Anett Kontaveit,318425,24,1765,1,2018-06-04
Daria Saville,315997,25,1690,-1,2018-06-04
Barbora Strycova,190879,26,1660,0,2018-06-04
Shuai Zhang,311779,27,1605,0,2018-06-04
Anastasia Pavlyuchenkova,313796,28,1596,3,2018-06-04
Agnieszka Radwanska,312251,29,1526,-1,2018-06-04
Maria Sharapova,310137,30,1513,-1,2018-06-04
Kristina Mladenovic,315616,31,1446,-1,2018-06-04
Dominika Cibulkova,312894,32,1445,4,2018-06-04
Mihaela Buzarnescu,312268,33,1383,-1,2018-06-04
Alizé Cornet,312121,34,1350,-1,2018-06-04
Petra Martic,313711,35,1340,-1,2018-06-04
Ekaterina Makarova,311604,36,1330,-1,2018-06-04
Timea Babos,317070,37,1300,0,2018-06-04
Maria Sakkari,318312,38,1274,1,2018-06-04
Lesia Tsurenko,315295,39,1255,1,2018-06-04
Irina-Camelia Begu,313169,40,1245,1,2018-06-04
Shuai Peng,160471,41,1202,-3,2018-06-04
Danielle Collins,316925,42,1200,2,2018-06-04
Svetlana Kuznetsova,110552,43,1193,-1,2018-06-04
Elena Vesnina,311220,44,1180,-1,2018-06-04
Su-Wei Hsieh,310053,45,1175,4,2018-06-04
Alison Van Uytvanck,317819,46,1173,0,2018-06-04
Aleksandra Krunic,316344,47,1165,0,2018-06-04
Aryna Sabalenka,320760,48,1145,0,2018-06-04
Sorana Cirstea,312469,49,1125,-4,2018-06-04
Donna Vekic,318516,50,1120,0,2018-06-04
Zarina Diyas,315696,51,1095,2,2018-06-04
Kaia Kanepi,110536,52,1083,-1,2018-06-04
Lucie Safarova,310553,53,1078,1,2018-06-04
Katerina Siniakova,320301,54,1070,3,2018-06-04
Aliaksandra Sasnovich,317790,55,1065,-3,2018-06-04
Catherine Bellis,322526,56,1016,0,2018-06-04
Camila Giorgi,314610,57,1008,-2,2018-06-04
Polona Hercog,313968,58,971,1,2018-06-04
Johanna Larsson,311593,59,970,38,2018-06-04
Monica Niculescu,310775,60,966,1,2018-06-04
Carina Witthoeft,317536,61,951,-3,2018-06-04
Monica Puig,317755,62,940,0,2018-06-04
Timea Bacsinszky,311579,63,932,0,2018-06-04
Tatjana Maria,310440,64,930,0,2018-06-04
Kirsten Flipkens,310331,65,926,4,2018-06-04
Ana Bogdan,315427,66,901,-1,2018-06-04
Kateryna Baindl,316739,67,870,-1,2018-06-04
Magda Linette,315130,68,865,-1,2018-06-04
Ajla Tomljanovic,315232,69,861,-1,2018-06-04
Kristyna Pliskova,313975,70,845,0,2018-06-04
Belinda Bencic,319001,71,844,1,2018-06-04
Taylor Townsend,318609,72,836,-1,2018-06-04
Bernarda Pera,317708,73,817,0,2018-06-04
Pauline Parmentier,160515,74,814,1,2018-06-04
Sara Errani,310761,75,813,-1,2018-06-04
Sachia Vickery,317443,76,791,0,2018-06-04
Anna Karolina Schmiedlova,318203,77,782,1,2018-06-04
Vera Lapko,322730,78,782,-1,2018-06-04
Natalia Vikhlyantseva,320832,79,780,2,2018-06-04
Heather Watson,316981,80,776,6,2018-06-04
Kateryna Volodko,20702,81,775,-2,2018-06-04
Yafan Wang,317510,82,773,-2,2018-06-04
Alison Riske-Amritraj,312850,83,767,22,2018-06-04
Victoria Azarenka,312001,84,761,-2,2018-06-04
Qiang Wang,314429,85,755,6,2018-06-04
Jennifer Brady,318358,86,752,-3,2018-06-04
Viktoria Hruncakova,322277,87,751,-3,2018-06-04
Christina Mchale,314917,88,750,-3,2018-06-04
Veronica Cepede Royg,314793,89,750,-2,2018-06-04
Samantha Stosur,190787,90,747,-30,2018-06-04
Lara Arruabarrena,315296,91,746,4,2018-06-04
Varvara Lepchenko,120420,92,735,-4,2018-06-04
