full_name,player_id,ranking,points,movement,date
Justine Henin,80350,1,3998,0,2006-11-20
Maria Sharapova,310137,2,3532,0,2006-11-20
Amélie Mauresmo,130450,3,3391,0,2006-11-20
Svetlana Kuznetsova,110552,4,2523,0,2006-11-20
Kim Clijsters,30458,5,2215,0,2006-11-20
Nadia Petrova,160379,6,2189,0,2006-11-20
Martina Hingis,80301,7,2018,0,2006-11-20
Elena Dementieva,40289,8,1875,0,2006-11-20
Patty Schnyder,190519,9,1578,0,2006-11-20
Nicole Vaidisova,311911,10,1391,0,2006-11-20
Dinara Safina,190950,11,1390,0,2006-11-20
Jelena Jankovic,100153,12,1211,0,2006-11-20
Anna Chakvetadze,310623,13,1144,0,2006-11-20
Ana Ivanovic,311710,14,1053,0,2006-11-20
Francesca Schiavone,190666,15,1032,0,2006-11-20
Anastasia Myskina,130533,16,1000,0,2006-11-20
Marion Bartoli,20631,17,988,0,2006-11-20
Daniela Hantuchova,80394,18,986,0,2006-11-20
Anna-Lena Groenefeld,310318,19,922,0,2006-11-20
Shahar Peer,311168,20,894,0,2006-11-20
Na Li,120330,21,875,0,2006-11-20
Tatiana Golovin,310774,22,857,0,2006-11-20
Katarina Srebotnik,190636,23,819,0,2006-11-20
Vera Zvonareva,260142,24,781,0,2006-11-20
Lindsay Davenport,40106,25,745,0,2006-11-20
Ai Sugiyama,190353,26,716,0,2006-11-20
Anabel Medina Garrigues,130611,27,698,0,2006-11-20
Flavia Pennetta,160391,28,692,0,2006-11-20
Samantha Stosur,190787,29,685,0,2006-11-20
Maria Kirilenko,310577,30,637,0,2006-11-20
Mara Santangelo,190669,31,611,0,2006-11-20
Alona Bondarenko,20608,32,585,0,2006-11-20
Jie Zheng,260144,33,560,0,2006-11-20
Martina Müller,130631,34,545,0,2006-11-20
Michaella Krajicek,311578,35,542,0,2006-11-20
Eleni Daniilidou,40313,36,538,0,2006-11-20
Meghann Shaughnessy,190565,37,531,0,2006-11-20
Olga Puchkova,310717,38,525,0,2006-11-20
Severine Beltrame,20553,39,521,0,2006-11-20
Tathiana Garbin,30348,40,520,0,2006-11-20
Lucie Safarova,310553,41,498,0,2006-11-20
Elena Likhovtseva,120151,42,462,0,2006-11-20
Elena Vesnina,311220,43,459,1,2006-11-20
Shenay Perry,160472,44,455,-1,2006-11-20
Jamea Jackson,100164,45,455,0,2006-11-20
Jelena Kostanic Tosic,110380,46,450,1,2006-11-20
Venus Williams,230220,47,447,1,2006-11-20
Aravane Rezai,311791,48,441,1,2006-11-20
Romina Oprandi,150185,49,439,-3,2006-11-20
Nathalie Dechy,40254,50,435,1,2006-11-20
Lourdes Domínguez Lino,40300,51,431,1,2006-11-20
Sybille Bammer,20463,52,430,1,2006-11-20
Maria Elena Camerin,30462,53,421,1,2006-11-20
Catalina Castaño,30360,54,420,1,2006-11-20
Shuai Peng,160471,55,419,1,2006-11-20
Emilie Loit,120277,56,418,2,2006-11-20
Agnieszka Radwanska,312251,57,414,0,2006-11-20
Aiko Nakamura,140219,58,405,1,2006-11-20
Iveta Melzer,20576,59,402,1,2006-11-20
Gisela Dulko,40388,60,401,1,2006-11-20
Vania King,311550,61,398,-11,2006-11-20
Sofia Arvidsson,10334,62,395,1,2006-11-20
Anna Smashnova,190361,63,392,2,2006-11-20
Kaia Kanepi,110536,64,388,0,2006-11-20
Anastasiya Yakimova,310626,65,383,4,2006-11-20
Tsvetana Pironkova,311041,66,382,-4,2006-11-20
Sania Mirza,310112,67,382,-1,2006-11-20
Tamarine Tanasugarn,200137,68,380,7,2006-11-20
Virginia Ruano Pascual,180160,69,379,-2,2006-11-20
Laura Granville,70423,70,372,0,2006-11-20
Jarmila Wolfe,310169,71,366,0,2006-11-20
Ekaterina Bychkova,20706,72,365,0,2006-11-20
Jill Craybas,30294,73,365,0,2006-11-20
Latisha Chan,312015,74,350,22,2006-11-20
Camille Pin,160363,75,349,1,2006-11-20
Vasilisa Bardina,311601,76,347,-2,2006-11-20
Emma Laine,310237,77,346,0,2006-11-20
Nicole Pratt,160078,78,344,0,2006-11-20
Mary Pierce,160142,79,340,0,2006-11-20
Tiantian Sun,190817,80,332,1,2006-11-20
Anastasia Rodionova,180356,81,331,1,2006-11-20
Eva Birnerova,20596,82,327,-2,2006-11-20
Yuliana Fedak,60301,83,327,-15,2006-11-20
Julia Schruff,190711,84,326,-1,2006-11-20
Martina Sucha,190295,85,325,-1,2006-11-20
Ashley Harkleroad,80418,86,321,0,2006-11-20
Akiko Morigami,130541,87,321,-2,2006-11-20
Virginie Razzano,180384,88,319,-1,2006-11-20
Karolina Sprem,190881,89,316,-1,2006-11-20
Meilen Tu,200204,90,312,-1,2006-11-20
Marta Domachowska,310338,91,311,-1,2006-11-20
Victoria Azarenka,312001,92,309,0,2006-11-20
Serena Williams,230234,93,301,2,2006-11-20
Melinda Czink,30557,94,298,0,2006-11-20
Alberta Brianti,20458,95,296,11,2006-11-20
Vera Dushevina,310625,96,294,1,2006-11-20
Varvara Lepchenko,120420,97,293,-4,2006-11-20
Aleksandra Wozniak,310494,98,288,-7,2006-11-20
Laura Pous-Tio,160481,99,283,-1,2006-11-20
Olga Savchuk,310816,100,282,-1,2006-11-20
Sandra Kloesel,110325,101,281,-1,2006-11-20
Milagros Sequera,190562,102,280,-1,2006-11-20
Roberta Vinci,220214,103,280,-1,2006-11-20
Kirsten Flipkens,310331,104,277,1,2006-11-20
Viktoriya Kutuzova,311393,105,275,2,2006-11-20
Galina Voskoboeva,310419,106,274,-3,2006-11-20
Maria Jose  Martinez Sanchez,130591,107,274,2,2006-11-20
Clarisa Fernández,60285,108,273,7,2006-11-20
Zuzana Ondraskova,150017,109,272,-1,2006-11-20
Edina Gallovits-Hall,70471,110,271,1,2006-11-20
Meng Yuan,310803,111,269,1,2006-11-20
Tzipora Obziler,150048,112,268,-2,2006-11-20
Yuliya Beygelzimer,20652,113,266,9,2006-11-20
Emmanuelle Gagliardi,70245,114,261,-1,2006-11-20
Bethanie Mattek-Sands,130713,115,259,-11,2006-11-20
Lilia Osterloh,150134,116,258,-2,2006-11-20
Stéphanie Foretz ,60288,117,256,0,2006-11-20
Hana Sromova,190476,118,253,1,2006-11-20
Kristina Barrois,312578,119,252,5,2006-11-20
Kateryna Volodko,20702,120,250,-2,2006-11-20
Julia Vakulenko,220248,121,247,-1,2006-11-20
Stéphanie Dubois,310290,122,243,12,2006-11-20
Karin Knapp,311299,123,242,0,2006-11-20
Tatiana Poutchek,160303,124,239,-8,2006-11-20
Su-Wei Hsieh,310053,125,235,15,2006-11-20
Klara Koukalova,110492,126,235,-1,2006-11-20
Timea Bacsinszky,311579,127,233,-6,2006-11-20
Lisa Raymond,180144,128,221,0,2006-11-20
Ahsha Rolle,310210,129,219,0,2006-11-20
Erika Takao,311499,130,219,0,2006-11-20
Amy Frazier,60034,131,219,-5,2006-11-20
Maret Ani,10278,132,219,-5,2006-11-20
Iroda Tulyaganova,200265,133,218,-2,2006-11-20
Yaroslava Shvedova,311137,134,215,-2,2006-11-20
Kveta Peschke,80218,135,214,-2,2006-11-20
Alla Kudryavtseva,311362,136,212,2,2006-11-20
Mathilde Johansson,100162,137,204,13,2006-11-20
Jorgelina Cravero,30500,138,200,-2,2006-11-20
María Sánchez Lorenzo,190435,139,200,-2,2006-11-20
Conchita Martínez Granados,130396,140,199,-1,2006-11-20
Kyra Nagy,140155,141,196,-6,2006-11-20
Elise Tamaela,200354,142,195,-1,2006-11-20
Anne Kremer,110242,143,193,-1,2006-11-20
Abigail Spears,190771,144,191,-1,2006-11-20
Tatjana Maria,310440,145,190,1,2006-11-20
Ivana Lisjak,310113,146,190,-2,2006-11-20
Katerina Bohmova,310979,147,190,-2,2006-11-20
Shiho Hisamatsu,80323,148,189,1,2006-11-20
Joanna Sakowicz-Kostecka,190815,149,188,-2,2006-11-20
Yulia Fedossova,311237,150,180,1,2006-11-20
Margalita Chakhnashvili-Ranzinger,30470,151,179,2,2006-11-20
Yvonne Meusburger,130698,152,177,18,2006-11-20
Sandra Zahlavova,260158,153,177,1,2006-11-20
Kathrin Woerle-Scheller,230279,154,176,1,2006-11-20
Stéphanie Cohen-Aloro,30501,155,175,-7,2006-11-20
Dominika Cibulkova,312894,156,174,0,2006-11-20
Kristina Brandi,20323,157,173,0,2006-11-20
Ryoko Fuda,310649,158,172,11,2006-11-20
Anne Keothavong,110524,159,172,9,2006-11-20
Tatiana Perebiynis,160405,160,171,-2,2006-11-20
Marina Erakovic,312086,161,171,-1,2006-11-20
Simona Matei,130744,162,171,-1,2006-11-20
Junri Namigata,140195,163,170,-1,2006-11-20
Ivana Abramovic,10327,164,170,-12,2006-11-20
Alicia Molik,130548,165,169,-2,2006-11-20
Barbora Strycova,190879,166,169,-2,2006-11-20
Renata Voracova,220277,167,169,-2,2006-11-20
Melanie South,310620,168,168,8,2006-11-20
Zi Yan,250089,169,167,-3,2006-11-20
Chin-Wei Chan,310083,170,166,-3,2006-11-20
Angela Haynes,310617,171,163,4,2006-11-20
Anda Perianu,312364,172,162,-13,2006-11-20
Sanja Ancic,312164,173,161,7,2006-11-20
Sara Errani,310761,174,161,-3,2006-11-20
Casey Dellacqua,310730,175,161,-3,2006-11-20
Arantxa  Parra Santonja,160451,176,159,-3,2006-11-20
Lucie Hradecka,310849,177,159,-3,2006-11-20
Lioudmila Skavronskaia,190653,178,157,5,2006-11-20
Nathalie Vierin,220240,179,156,-1,2006-11-20
Paola Suárez,190360,180,155,-1,2006-11-20
Zsofia Gubacsi,70393,181,152,4,2006-11-20
Tamira Paszek,313035,182,152,-1,2006-11-20
Greta Arn,10230,183,152,3,2006-11-20
Ayumi Morita,312848,184,152,-2,2006-11-20
Selima Sfar,190473,185,149,7,2006-11-20
Margit Ruutel,180400,186,147,-2,2006-11-20
Ekaterina Lopes,310672,187,146,4,2006-11-20
Carly Gullickson,310089,188,145,14,2006-11-20
Katie O'Brien,150193,189,145,4,2006-11-20
Mariana Diaz-Oliva,40198,190,143,-3,2006-11-20
