full_name,ranking,points,date
Carlos Alcaraz,1,9395,2023-08-14
Novak Djokovic,2,8795,2023-08-14
Daniil Medvedev,3,6530,2023-08-14
Stefanos Tsitsipas,4,5090,2023-08-14
Holger Rune,5,4790,2023-08-14
Jannik Sinner,6,4725,2023-08-14
Casper Ruud,7,4715,2023-08-14
Andrey Rublev,8,4595,2023-08-14
Taylor Fritz,9,3605,2023-08-14
Frances Tiafoe,10,3050,2023-08-14
Karen Khachanov,11,2855,2023-08-14
Alex de Minaur,12,2595,2023-08-14
Tommy Paul,13,2525,2023-08-14
Felix Auger-Aliassime,14,2510,2023-08-14
Cameron Norrie,15,2425,2023-08-14
Borna Coric,16,2315,2023-08-14
Alexander Zverev,17,2310,2023-08-14
Lorenzo Musetti,18,1995,2023-08-14
Grigor Dimitrov,19,1690,2023-08-14
Hubert Hurkacz,20,1685,2023-08-14
Francisco Cerundolo,21,1600,2023-08-14
Denis Shapovalov,22,1505,2023-08-14
Alejandro Davidovich Fokina,23,1490,2023-08-14
Jan-Lennard Struff,24,1489,2023-08-14
Tallon Griekspoor,25,1439,2023-08-14
Nicolas Jarry,26,1394,2023-08-14
Alexander Bublik,27,1384,2023-08-14
Daniel Evans,28,1381,2023-08-14
Christopher Eubanks,29,1348,2023-08-14
Sebastian Korda,30,1320,2023-08-14
Tomas Martin Etcheverry,31,1285,2023-08-14
Adrian Mannarino,32,1276,2023-08-14
Ugo Humbert,33,1258,2023-08-14
Laslo Djere,34,1215,2023-08-14
Jiri Lehecka,35,1198,2023-08-14
Andy Murray,36,1165,2023-08-14
Roberto Bautista Agut,37,1150,2023-08-14
Matteo Berrettini,38,1147,2023-08-14
Lorenzo Sonego,39,1105,2023-08-14
Ben Shelton,40,1060,2023-08-14
Miomir Kecmanovic,41,1055,2023-08-14
Sebastian Baez,42,1055,2023-08-14
Mackenzie McDonald,43,1040,2023-08-14
J.J. Wolf,44,1015,2023-08-14
Yoshihito Nishioka,45,980,2023-08-14
Arthur Fils,46,976,2023-08-14
Botic van de Zandschulp,47,950,2023-08-14
Aleksandar Vukic,48,949,2023-08-14
Pedro Cachin,49,937,2023-08-14
Yannick Hanfmann,50,929,2023-08-14
Stan Wawrinka,51,924,2023-08-14
Daniel Altmaier,52,920,2023-08-14
Richard Gasquet,53,915,2023-08-14
Marcos Giron,54,910,2023-08-14
Jordan Thompson,55,897,2023-08-14
Marton Fucsovics,56,884,2023-08-14
Gregoire Barrere,57,874,2023-08-14
Alexei Popyrin,58,869,2023-08-14
Sebastian Ofner,59,868,2023-08-14
Emil Ruusuvuori,60,866,2023-08-14
Matteo Arnaldi,61,855,2023-08-14
Zhizhen Zhang,62,854,2023-08-14
Roman Safiullin,63,847,2023-08-14
Arthur Rinderknech,64,846,2023-08-14
Roberto Carballes Baena,65,845,2023-08-14
Dusan Lajovic,66,839,2023-08-14
Daniel Elahi Galan,67,833,2023-08-14
Luca Van Assche,68,831,2023-08-14
Aslan Karatsev,69,818,2023-08-14
Max Purcell,70,816,2023-08-14
Christopher O'Connell,71,811,2023-08-14
Quentin Halys,72,805,2023-08-14
Brandon Nakashima,73,805,2023-08-14
Juan Pablo Varillas,74,779,2023-08-14
Bernabe Zapata Miralles,75,776,2023-08-14
Dominik Koepfer,76,768,2023-08-14
Corentin Moutet,77,766,2023-08-14
Thanasi Kokkinakis,78,766,2023-08-14
Nuno Borges,79,754,2023-08-14
Jaume Munar,80,745,2023-08-14
Mikael Ymer,81,741,2023-08-14
Fabian Marozsan,82,708,2023-08-14
Dominic Thiem,83,706,2023-08-14
Alexandre Muller,84,697,2023-08-14
Jason Kubler,85,687,2023-08-14
Marc-Andrea Huesler,86,684,2023-08-14
Yibing Wu,87,683,2023-08-14
Alexander Shevchenko,88,670,2023-08-14
Albert Ramos-Vinolas,89,663,2023-08-14
Yosuke Watanuki,90,643,2023-08-14
Cristian Garin,91,641,2023-08-14
Federico Coria,92,637,2023-08-14
David Goffin,93,633,2023-08-14
Facundo Diaz Acosta,94,626,2023-08-14
Taro Daniel,95,618,2023-08-14
Ilya Ivashka,96,607,2023-08-14
Diego Schwartzman,97,605,2023-08-14
Pavel Kotov,98,603,2023-08-14
Michael Mmoh,99,599,2023-08-14
Hugo Gaston,100,598,2023-08-14
Benjamin Bonzi,101,593,2023-08-14
Tomas Machac,102,592,2023-08-14
Juan Manuel Cerundolo,103,591,2023-08-14
Jurij Rodionov,104,583,2023-08-14
Constant Lestienne,105,582,2023-08-14
John Isner,106,580,2023-08-14
Soonwoo Kwon,107,578,2023-08-14
Radu Albot,108,576,2023-08-14
Thiago Seyboth Wild,109,559,2023-08-14
Rinky Hijikata,110,553,2023-08-14
Marco Cecchinato,111,549,2023-08-14
Alejandro Tabilo,112,547,2023-08-14
Maxime Cressy,113,545,2023-08-14
Borna Gojo,114,541,2023-08-14
Alex Molcan,115,540,2023-08-14
Thiago Monteiro,116,539,2023-08-14
Liam Broady,117,538,2023-08-14
Zsombor Piros,118,537,2023-08-14
Tomas Barrios Vera,119,525,2023-08-14
James Duckworth,120,523,2023-08-14
Marin Cilic,121,520,2023-08-14
Luca Nardi,122,519,2023-08-14
Jack Draper,123,510,2023-08-14
Pablo Carreno Busta,124,505,2023-08-14
Fabio Fognini,125,497,2023-08-14
Arthur Cazaux,126,496,2023-08-14
Nick Kyrgios,127,495,2023-08-14
Aleksandar Kovacevic,128,491,2023-08-14
Jan Choinski,129,489,2023-08-14
Benoit Paire,130,488,2023-08-14
Dominic Stricker,131,480,2023-08-14
Timofey Skatov,132,477,2023-08-14
Maximilian Marterer,133,475,2023-08-14
Gabriel Diallo,134,472,2023-08-14
Pedro Martinez,135,468,2023-08-14
Nicolas Moreno De Alboran,136,468,2023-08-14
Otto Virtanen,137,463,2023-08-14
Alex Michelsen,138,456,2023-08-14
Facundo Bagnis,139,446,2023-08-14
Rafael Nadal,140,445,2023-08-14
Giulio Zeppieri,141,442,2023-08-14
Flavio Cobolli,142,442,2023-08-14
Hugo Grenier,143,440,2023-08-14
Hamad Medjedovic,144,436,2023-08-14
Genaro Alberto Olivieri,145,435,2023-08-14
Pablo Llamas Ruiz,146,428,2023-08-14
Gijs Brouwer,147,427,2023-08-14
Thiago Agustin Tirante,148,427,2023-08-14
Kimmer Coppejans,149,425,2023-08-14
Hugo Dellien,150,422,2023-08-14
Jenson Brooksby,151,415,2023-08-14
Zizou Bergs,152,411,2023-08-14
Jozef Kovalik,153,406,2023-08-14
Lukas Klein,154,401,2023-08-14
Antoine Escoffier,155,401,2023-08-14
Juncheng Shang,156,395,2023-08-14
Francisco Comesana,157,393,2023-08-14
Ivan Gakhov,158,393,2023-08-14
Sho Shimabukuro,159,391,2023-08-14
Andrea Vavassori,160,382,2023-08-14
Vitaliy Sachko,161,377,2023-08-14
Matteo Gigante,162,374,2023-08-14
Filip Misolic,163,371,2023-08-14
Raul Brancaccio,164,371,2023-08-14
Leandro Riedi,165,370,2023-08-14
Felipe Meligeni Alves,166,369,2023-08-14
Dalibor Svrcina,167,366,2023-08-14
Vasek Pospisil,168,361,2023-08-14
Titouan Droguet,169,360,2023-08-14
Francesco Passaro,170,356,2023-08-14
Joris De Loore,171,354,2023-08-14
Marco Trungelliti,172,351,2023-08-14
Damir Dzumhur,173,350,2023-08-14
Zdenek Kolar,174,350,2023-08-14
Dino Prizmic,175,349,2023-08-14
Marc Polmans,176,345,2023-08-14
Denis Kudla,177,344,2023-08-14
Mariano Navone,178,342,2023-08-14
Steve Johnson,179,341,2023-08-14
Enzo Couacaud,180,340,2023-08-14
Elias Ymer,181,339,2023-08-14
Lloyd Harris,182,337,2023-08-14
Jesper de Jong,183,337,2023-08-14
Emilio Gomez,184,334,2023-08-14
Harold Mayot,185,331,2023-08-14
Alexander Ritschard,186,330,2023-08-14
Emilio Nava,187,327,2023-08-14
Dennis Novak,188,323,2023-08-14
Oscar Otte,189,321,2023-08-14
Tung-Lin Wu,190,321,2023-08-14
Sumit Nagal,191,321,2023-08-14
Jakub Mensik,192,320,2023-08-14
Dimitar Kuzmanov,193,319,2023-08-14
Yunchaokete Bu,194,319,2023-08-14
Nerman Fatic,195,318,2023-08-14
Alexis Galarneau,196,318,2023-08-14
Camilo Ugo Carabelli,197,317,2023-08-14
Mattia Bellucci,198,316,2023-08-14
Franco Agamenone,199,315,2023-08-14
Vit Kopriva,200,314,2023-08-14
Adrian Andreev,201,313,2023-08-14
Dragos Nicolae Madaras,202,312,2023-08-14
Shintaro Mochizuki,203,310,2023-08-14
Seongchan Hong,204,310,2023-08-14
Riccardo Bonadio,205,310,2023-08-14
Adam Walton,206,310,2023-08-14
Gauthier Onclin,207,309,2023-08-14
Jelle Sels,208,307,2023-08-14
Guido Pella,209,305,2023-08-14
