full_name,ranking,points,date
Novak Djokovic,1,12280,2012-06-11
Rafael Nadal,2,10060,2012-06-11
Roger Federer,3,9310,2012-06-11
Andy Murray,4,6980,2012-06-11
Jo-Wilfried Tsonga,5,5230,2012-06-11
David Ferrer,6,5180,2012-06-11
Tomas Berdych,7,4685,2012-06-11
Janko Tipsarevic,8,3200,2012-06-11
Juan Martin del Potro,9,3180,2012-06-11
John Isner,10,2655,2012-06-11
Nicolas Almagro,11,2605,2012-06-11
Mardy Fish,12,2535,2012-06-11
Gilles Simon,13,2525,2012-06-11
Juan Monaco,14,2115,2012-06-11
Gael Monfils,15,1805,2012-06-11
Fernando Verdasco,16,1765,2012-06-11
Feliciano Lopez,17,1725,2012-06-11
Kei Nishikori,18,1645,2012-06-11
Richard Gasquet,19,1600,2012-06-11
Alexandr Dolgopolov,20,1585,2012-06-11
Milos Raonic,21,1540,2012-06-11
Marcel Granollers,22,1520,2012-06-11
Stan Wawrinka,23,1505,2012-06-11
Andreas Seppi,24,1490,2012-06-11
Marin Cilic,25,1460,2012-06-11
Radek Stepanek,26,1340,2012-06-11
Bernard Tomic,27,1255,2012-06-11
Julien Benneteau,28,1235,2012-06-11
Florian Mayer,29,1230,2012-06-11
Kevin Anderson,30,1215,2012-06-11
Mikhail Youzhny,31,1210,2012-06-11
Andy Roddick,32,1190,2012-06-11
Viktor Troicki,33,1190,2012-06-11
Philipp Kohlschreiber,34,1175,2012-06-11
Jurgen Melzer,35,1147,2012-06-11
Pablo Andujar,36,1115,2012-06-11
Carlos Berlocq,37,1050,2012-06-11
Juan Carlos Ferrero,38,1035,2012-06-11
David Nalbandian,39,1015,2012-06-11
Robin Haase,40,1010,2012-06-11
Denis Istomin,41,1007,2012-06-11
Marcos Baghdatis,42,990,2012-06-11
Albert Ramos-Vinolas,43,970,2012-06-11
Santiago Giraldo,44,948,2012-06-11
Jarkko Nieminen,45,932,2012-06-11
Alex Bogomolov Jr.,46,910,2012-06-11
Nikolay Davydenko,47,885,2012-06-11
Donald Young,48,866,2012-06-11
Mikhail Kukushkin,49,853,2012-06-11
Lukasz Kubot,50,851,2012-06-11
Michael Llodra,51,810,2012-06-11
Ryan Harrison,52,801,2012-06-11
Gilles Muller,53,797,2012-06-11
Go Soeda,54,785,2012-06-11
Jeremy Chardy,55,783,2012-06-11
Ivo Karlovic,56,776,2012-06-11
Yen-Hsun Lu,57,765,2012-06-11
Lukas Lacko,58,750,2012-06-11
Benoit Paire,59,730,2012-06-11
Martin Klizan,60,728,2012-06-11
Olivier Rochus,61,725,2012-06-11
Leonardo Mayer,62,718,2012-06-11
Fabio Fognini,63,695,2012-06-11
David Goffin,64,688,2012-06-11
Nicolas Mahut,65,684,2012-06-11
Dmitry Tursunov,66,680,2012-06-11
Edouard Roger-Vasselin,67,669,2012-06-11
Tatsuma Ito,68,665,2012-06-11
Ivan Dodig,69,660,2012-06-11
Alejandro Falla,70,656,2012-06-11
Steve Darcis,71,655,2012-06-11
Grigor Dimitrov,72,646,2012-06-11
Malek Jaziri,73,633,2012-06-11
Matthew Ebden,74,631,2012-06-11
Filippo Volandri,75,630,2012-06-11
Thomaz Bellucci,76,627,2012-06-11
Sam Querrey,77,627,2012-06-11
Cedrik-Marcel Stebe,78,625,2012-06-11
Adrian Ungur,79,625,2012-06-11
Blaz Kavcic,80,622,2012-06-11
Ruben Ramirez Hidalgo,81,622,2012-06-11
Juan Ignacio Chela,82,620,2012-06-11
Marinko Matosevic,83,616,2012-06-11
Xavier Malisse,84,606,2012-06-11
Tobias Kamke,85,605,2012-06-11
Sergiy Stakhovsky,86,603,2012-06-11
Tommy Haas,87,598,2012-06-11
Ernests Gulbis,88,596,2012-06-11
Bjorn Phau,89,595,2012-06-11
Paolo Lorenzi,90,593,2012-06-11
Flavio Cipolla,91,591,2012-06-11
James Blake,92,582,2012-06-11
Guillermo Garcia-Lopez,93,581,2012-06-11
Igor Andreev,94,575,2012-06-11
Jurgen Zopp,95,565,2012-06-11
Horacio Zeballos,96,562,2012-06-11
Rui Machado,97,561,2012-06-11
Potito Starace,98,558,2012-06-11
Albert Montanes,99,550,2012-06-11
Igor Kunitsyn,100,543,2012-06-11
Lukas Rosol,101,527,2012-06-11
Daniel Brands,102,525,2012-06-11
Vasek Pospisil,103,518,2012-06-11
Karol Beck,104,513,2012-06-11
Fred Gil,105,507,2012-06-11
Matthias Bachinger,106,507,2012-06-11
Paul Capdeville,107,505,2012-06-11
Dudi Sela,108,502,2012-06-11
Jan Hajek,109,501,2012-06-11
Michael Russell,110,500,2012-06-11
Jesse Levine,111,495,2012-06-11
Igor Sijsling,112,481,2012-06-11
Rogerio Dutra Silva,113,478,2012-06-11
Federico Delbonis,114,476,2012-06-11
Joao Souza,115,463,2012-06-11
Andreas Beck,116,459,2012-06-11
Michael Berrer,117,457,2012-06-11
Eric Prodon,118,447,2012-06-11
Rajeev Ram,119,446,2012-06-11
Simone Bolelli,120,441,2012-06-11
Frank Dancevic,121,441,2012-06-11
Roberto Bautista Agut,122,439,2012-06-11
Brian Baker,123,438,2012-06-11
Benjamin Becker,124,435,2012-06-11
Daniel Gimeno-Traver,125,424,2012-06-11
Alessandro Giannessi,126,422,2012-06-11
Bobby Reynolds,127,410,2012-06-11
Daniel Munoz de la Nava,128,409,2012-06-11
Aljaz Bedene,129,409,2012-06-11
