full_name,ranking,points,date
Novak Djokovic,1,8660,2022-05-23
Daniil Medvedev,2,7980,2022-05-23
Alexander Zverev,3,7075,2022-05-23
Stefanos Tsitsipas,4,5965,2022-05-23
Rafael Nadal,5,5525,2022-05-23
Carlos Alcaraz,6,4648,2022-05-23
Andrey Rublev,7,3945,2022-05-23
Casper Ruud,8,3940,2022-05-23
Felix Auger-Aliassime,9,3820,2022-05-23
Matteo Berrettini,10,3805,2022-05-23
Cameron Norrie,11,3455,2022-05-23
Jannik Sinner,12,3185,2022-05-23
Hubert Hurkacz,13,3095,2022-05-23
Taylor Fritz,14,2920,2022-05-23
Denis Shapovalov,15,2531,2022-05-23
Diego Schwartzman,16,2505,2022-05-23
Reilly Opelka,17,2180,2022-05-23
Pablo Carreno Busta,18,2135,2022-05-23
Roberto Bautista Agut,19,1903,2022-05-23
Alex de Minaur,20,1838,2022-05-23
Grigor Dimitrov,21,1740,2022-05-23
Gael Monfils,22,1715,2022-05-23
Marin Cilic,23,1695,2022-05-23
Nikoloz Basilashvili,24,1628,2022-05-23
Karen Khachanov,25,1620,2022-05-23
John Isner,26,1616,2022-05-23
Frances Tiafoe,27,1599,2022-05-23
Alejandro Davidovich Fokina,28,1400,2022-05-23
Botic van de Zandschulp,29,1344,2022-05-23
Sebastian Korda,30,1326,2022-05-23
Miomir Kecmanovic,31,1316,2022-05-23
Daniel Evans,32,1232,2022-05-23
Tommy Paul,33,1218,2022-05-23
Jenson Brooksby,34,1207,2022-05-23
Lorenzo Sonego,35,1190,2022-05-23
Sebastian Baez,36,1178,2022-05-23
Cristian Garin,37,1168,2022-05-23
Alex Molcan,38,1163,2022-05-23
Lloyd Harris,39,1160,2022-05-23
Holger Rune,40,1159,2022-05-23
Aslan Karatsev,41,1128,2022-05-23
Alexander Bublik,42,1083,2022-05-23
Pedro Martinez,43,1070,2022-05-23
Albert Ramos-Vinolas,44,1058,2022-05-23
Francisco Cerundolo,45,1051,2022-05-23
Ugo Humbert,46,1044,2022-05-23
Roger Federer,47,1030,2022-05-23
David Goffin,48,1023,2022-05-23
Marcos Giron,49,1011,2022-05-23
Ilya Ivashka,50,1010,2022-05-23
Fabio Fognini,51,976,2022-05-23
Benjamin Bonzi,52,971,2022-05-23
