full_name,ranking,points,date
Yevgeny Kafelnikov,1,3403,1999-05-31
Pete Sampras,2,3317,1999-05-31
Patrick Rafter,3,3298,1999-05-31
Carlos Moya,4,3080,1999-05-31
Richard Krajicek,5,2863,1999-05-31
Alex Corretja,6,2849,1999-05-31
Tim Henman,7,2671,1999-05-31
Gustavo Kuerten,8,2441,1999-05-31
Marcelo Rios,9,2431,1999-05-31
Mark Philippoussis,10,2287,1999-05-31
Todd Martin,11,2216,1999-05-31
Karol Kucera,12,2185,1999-05-31
Greg Rusedski,13,2126,1999-05-31
Andre Agassi,14,2101,1999-05-31
Felix Mantilla,15,2053,1999-05-31
Goran Ivanisevic,16,1813,1999-05-31
Thomas Enqvist,17,1739,1999-05-31
Thomas Johansson,18,1650,1999-05-31
Tommy Haas,19,1640,1999-05-31
Francisco Clavet,20,1613,1999-05-31
Nicolas Kiefer,21,1529,1999-05-31
Jerome Golmard,22,1478,1999-05-31
Mariano Zabaleta,23,1416,1999-05-31
Wayne Ferreira,24,1305,1999-05-31
Albert Costa,25,1295,1999-05-31
Nicolas Lapentti,26,1223,1999-05-31
Jonas Bjorkman,27,1202,1999-05-31
Cedric Pioline,28,1176,1999-05-31
Marc Rosset,29,1176,1999-05-31
Dominik Hrbaty,30,1163,1999-05-31
Marat Safin,31,1156,1999-05-31
Jan Siemerink,32,1152,1999-05-31
Younes El Aynaoui,33,1131,1999-05-31
Sebastien Grosjean,34,1126,1999-05-31
Vincent Spadea,35,1121,1999-05-31
Hicham Arazi,36,1086,1999-05-31
Jason Stoltenberg,37,1070,1999-05-31
Franco Squillari,38,1052,1999-05-31
Byron Black,39,1029,1999-05-31
Bohdan Ulihrach,40,969,1999-05-31
Lleyton Hewitt,41,959,1999-05-31
Scott Draper,42,957,1999-05-31
Magnus Larsson,43,952,1999-05-31
Mariano Puerta,44,950,1999-05-31
Magnus Gustafsson,45,942,1999-05-31
Fabrice Santoro,46,911,1999-05-31
Thomas Muster,47,865,1999-05-31
Rainer Schuettler,48,847,1999-05-31
Jiri Novak,49,844,1999-05-31
Jan-Michael Gambill,50,843,1999-05-31
Michael Chang,51,835,1999-05-31
Magnus Norman,52,824,1999-05-31
Andrew Ilie,53,820,1999-05-31
Fernando Meligeni,54,813,1999-05-31
Mark Woodforde,55,784,1999-05-31
Karim Alami,56,779,1999-05-31
Christian Ruud,57,774,1999-05-31
David Prinosil,58,763,1999-05-31
Jim Courier,59,758,1999-05-31
Ramon Delgado,60,743,1999-05-31
Arnaud Di Pasquale,61,739,1999-05-31
Fernando Vicente,62,739,1999-05-31
Sjeng Schalken,63,729,1999-05-31
John van Lottum,64,728,1999-05-31
Stefan Koubek,65,717,1999-05-31
Jan Kroslak,66,713,1999-05-31
Alberto Martin,67,713,1999-05-31
Daniel Vacek,68,706,1999-05-31
Paul Haarhuis,69,697,1999-05-31
Justin Gimelstob,70,685,1999-05-31
Guillaume Raoux,71,679,1999-05-31
Andrei Pavel,72,679,1999-05-31
Gianluca Pozzi,73,676,1999-05-31
Richard Fromberg,74,665,1999-05-31
Sargis Sargsian,75,638,1999-05-31
Cecil Mamiit,76,625,1999-05-31
Boris Becker,77,622,1999-05-31
Gaston Gaudio,78,620,1999-05-31
Laurence Tieleman,79,620,1999-05-31
Hernan Gumy,80,613,1999-05-31
Arnaud Clement,81,609,1999-05-31
Hendrik Dreekmann,82,607,1999-05-31
Guillermo Canas,83,607,1999-05-31
Martin Rodriguez,84,606,1999-05-31
Markus Hipfl,85,602,1999-05-31
Davide Sanguinetti,86,600,1999-05-31
Daniel Nestor,87,597,1999-05-31
Adrian Voinea,88,590,1999-05-31
Martin Damm,89,586,1999-05-31
Slava Dosedel,90,582,1999-05-31
Albert Portas,91,579,1999-05-31
Juan Antonio Marin,92,573,1999-05-31
Filip Dewulf,93,570,1999-05-31
Bernd Karbacher,94,546,1999-05-31
Wayne Black,95,528,1999-05-31
Jeff Tarango,96,514,1999-05-31
Alberto Berasategui,97,493,1999-05-31
Todd Woodbridge,98,478,1999-05-31
Leander Paes,99,474,1999-05-31
Andrei Medvedev,100,474,1999-05-31
Oliver Gross,101,469,1999-05-31
Sebastien Lareau,102,463,1999-05-31
Jens Knippschild,103,454,1999-05-31
Dinu Pescariu,104,454,1999-05-31
Takao Suzuki,105,449,1999-05-31
Vladimir Voltchkov,106,448,1999-05-31
Peter Wessels,107,439,1999-05-31
Xavier Malisse,108,430,1999-05-31
Paul Goldstein,109,430,1999-05-31
Julian Alonso,110,428,1999-05-31
Roger Federer,111,424,1999-05-31
Orlin Stanoytchev,112,423,1999-05-31
Galo Blanco,113,413,1999-05-31
Kenneth Carlsen,114,408,1999-05-31
Vincenzo Santopadre,115,407,1999-05-31
German Puentes,116,402,1999-05-31
Eduardo Medica,117,402,1999-05-31
Michael Kohlmann,118,396,1999-05-31
Jacobo Diaz,119,390,1999-05-31
Carlos Costa,120,387,1999-05-31
Mikael Tillstrom,121,383,1999-05-31
Petr Korda,122,379,1999-05-31
Nicolas Escude,123,376,1999-05-31
Agustin Calleri,124,376,1999-05-31
Marzio Martelli,125,376,1999-05-31
Juan Carlos Ferrero,126,370,1999-05-31
Axel Pretzsch,127,369,1999-05-31
Geoff Grant,128,365,1999-05-31
Gaston Etlis,129,361,1999-05-31
Lucas Arnold Ker,130,356,1999-05-31
Andrea Gaudenzi,131,355,1999-05-31
Antony Dupuis,132,355,1999-05-31
Markus Hantschk,133,354,1999-05-31
Lars Burgsmuller,134,348,1999-05-31
Ville Liukko,135,343,1999-05-31
Ivan Ljubicic,136,341,1999-05-31
Juan Albert Viloca-Puig,137,341,1999-05-31
Mose Navarra,138,339,1999-05-31
Jan Frode Andersen,139,339,1999-05-31
Marcelo Filippini,140,338,1999-05-31
Juan Ignacio Chela,141,329,1999-05-31
Renzo Furlan,142,328,1999-05-31
Rogier Wassen,143,322,1999-05-31
Andrei Cherkasov,144,320,1999-05-31
Christophe Van Garsse,145,315,1999-05-31
Jean-Baptiste Perlant,146,313,1999-05-31
Max Mirnyi,147,309,1999-05-31
