full_name,ranking,points,date
Andy Murray,1,9390,2017-07-10
Rafael Nadal,2,7285,2017-07-10
Stan Wawrinka,3,6175,2017-07-10
Novak Djokovic,4,6055,2017-07-10
Roger Federer,5,5265,2017-07-10
Marin Cilic,6,4235,2017-07-10
Milos Raonic,7,4150,2017-07-10
Dominic Thiem,8,3895,2017-07-10
Kei Nishikori,9,3830,2017-07-10
Jo-Wilfried Tsonga,10,3075,2017-07-10
Grigor Dimitrov,11,3070,2017-07-10
Alexander Zverev,12,3070,2017-07-10
David Goffin,13,2785,2017-07-10
Gael Monfils,14,2695,2017-07-10
Tomas Berdych,15,2570,2017-07-10
Lucas Pouille,16,2570,2017-07-10
Pablo Carreno Busta,17,2360,2017-07-10
Jack Sock,18,2335,2017-07-10
Roberto Bautista Agut,19,2155,2017-07-10
Nick Kyrgios,20,2110,2017-07-10
John Isner,21,1930,2017-07-10
Albert Ramos-Vinolas,22,1885,2017-07-10
Ivo Karlovic,23,1835,2017-07-10
Pablo Cuevas,24,1735,2017-07-10
Feliciano Lopez,25,1675,2017-07-10
Gilles Muller,26,1675,2017-07-10
Richard Gasquet,27,1560,2017-07-10
Sam Querrey,28,1495,2017-07-10
Fabio Fognini,29,1430,2017-07-10
Mischa Zverev,30,1396,2017-07-10
Steve Johnson,31,1395,2017-07-10
Juan Martin del Potro,32,1325,2017-07-10
Paolo Lorenzi,33,1188,2017-07-10
Karen Khachanov,34,1176,2017-07-10
Fernando Verdasco,35,1175,2017-07-10
Gilles Simon,36,1095,2017-07-10
Diego Schwartzman,37,1085,2017-07-10
Robin Haase,38,1028,2017-07-10
David Ferrer,39,1005,2017-07-10
Viktor Troicki,40,1000,2017-07-10
Ryan Harrison,41,993,2017-07-10
Kevin Anderson,42,970,2017-07-10
Donald Young,43,970,2017-07-10
Yuichi Sugita,44,967,2017-07-10
Borna Coric,45,966,2017-07-10
Benoit Paire,46,960,2017-07-10
Martin Klizan,47,954,2017-07-10
Jiri Vesely,48,950,2017-07-10
Daniil Medvedev,49,922,2017-07-10
Kyle Edmund,50,898,2017-07-10
Adrian Mannarino,51,896,2017-07-10
Horacio Zeballos,52,893,2017-07-10
Jan-Lennard Struff,53,883,2017-07-10
Nikoloz Basilashvili,54,866,2017-07-10
Thomaz Bellucci,55,862,2017-07-10
Hyeon Chung,56,861,2017-07-10
Daniel Evans,57,857,2017-07-10
Aljaz Bedene,58,853,2017-07-10
Bernard Tomic,59,845,2017-07-10
Philipp Kohlschreiber,60,840,2017-07-10
Steve Darcis,61,831,2017-07-10
Joao Sousa,62,830,2017-07-10
Janko Tipsarevic,63,825,2017-07-10
Frances Tiafoe,64,756,2017-07-10
Marcos Baghdatis,65,745,2017-07-10
Yoshihito Nishioka,66,732,2017-07-10
Jared Donaldson,67,730,2017-07-10
Nicolas Almagro,68,710,2017-07-10
Rogerio Dutra Silva,69,708,2017-07-10
Pierre-Hugues Herbert,70,707,2017-07-10
Jeremy Chardy,71,705,2017-07-10
Denis Istomin,72,704,2017-07-10
Vasek Pospisil,73,697,2017-07-10
Ernesto Escobedo,74,690,2017-07-10
Yen-Hsun Lu,75,680,2017-07-10
Andrey Kuznetsov,76,676,2017-07-10
Malek Jaziri,77,671,2017-07-10
Nicolas Mahut,78,670,2017-07-10
Dusan Lajovic,79,661,2017-07-10
Carlos Berlocq,80,659,2017-07-10
Julien Benneteau,81,652,2017-07-10
Mikhail Youzhny,82,640,2017-07-10
Damir Dzumhur,83,635,2017-07-10
Alexandr Dolgopolov,84,631,2017-07-10
Marius Copil,85,629,2017-07-10
Jordan Thompson,86,628,2017-07-10
Andreas Seppi,87,626,2017-07-10
Federico Delbonis,88,623,2017-07-10
Renzo Olivo,89,623,2017-07-10
Dudi Sela,90,615,2017-07-10
Thomas Fabbiano,91,610,2017-07-10
Taro Daniel,92,609,2017-07-10
Norbert Gombos,93,596,2017-07-10
Nicolas Kicker,94,589,2017-07-10
Andrey Rublev,95,585,2017-07-10
Victor Estrella Burgos,96,585,2017-07-10
Dustin Brown,97,585,2017-07-10
Evgeny Donskoy,98,584,2017-07-10
Guido Pella,99,559,2017-07-10
Thiago Monteiro,100,544,2017-07-10
Santiago Giraldo,101,540,2017-07-10
Marco Cecchinato,102,540,2017-07-10
Alessandro Giannessi,103,539,2017-07-10
Henri Laaksonen,104,538,2017-07-10
Lukas Lacko,105,523,2017-07-10
Tennys Sandgren,106,523,2017-07-10
Facundo Bagnis,107,514,2017-07-10
Radu Albot,108,513,2017-07-10
Marton Fucsovics,109,513,2017-07-10
Blaz Kavcic,110,511,2017-07-10
Casper Ruud,111,507,2017-07-10
Marcel Granollers,112,505,2017-07-10
Go Soeda,113,501,2017-07-10
Florian Mayer,114,500,2017-07-10
