full_name,ranking,points,date
Jimmy Connors,1,0,1978-01-09
Guillermo Vilas,2,0,1978-01-09
Bjorn Borg,3,0,1978-01-09
Vitas Gerulaitis,4,0,1978-01-09
Brian Gottfried,5,0,1978-01-09
Eddie Dibbs,6,0,1978-01-09
Manuel Orantes,7,0,1978-01-09
Dick Stockton,8,0,1978-01-09
Raul Ramirez,9,0,1978-01-09
Ilie Nastase,10,0,1978-01-09
Corrado Barazzutti,11,0,1978-01-09
Wojtek Fibak,12,0,1978-01-09
Harold Solomon,13,0,1978-01-09
Sandy Mayer,14,0,1978-01-09
Ken Rosewall,15,0,1978-01-09
Jaime Fillol Sr.,16,0,1978-01-09
Buster C. Mottram,17,0,1978-01-09
John McEnroe,18,0,1978-01-09
Phil Dent,19,0,1978-01-09
Stan Smith,20,0,1978-01-09
John Alexander,21,0,1978-01-09
Adriano Panatta,22,0,1978-01-09
Roscoe Tanner,23,0,1978-01-09
Tony Roche,24,0,1978-01-09
Jeff Borowiak,25,0,1978-01-09
Mark Cox,26,0,1978-01-09
Cliff Drysdale,27,0,1978-01-09
Tim Gullikson,28,0,1978-01-09
Jose Higueras,29,0,1978-01-09
Tom Okker,30,0,1978-01-09
Paolo Bertolucci,31,0,1978-01-09
Balazs Taroczy,32,0,1978-01-09
Robert Lutz,33,0,1978-01-09
John Lloyd,34,0,1978-01-09
Karl Meiler,35,0,1978-01-09
Colin Dibley,36,0,1978-01-09
Victor Pecci,37,0,1978-01-09
Tom Gorman,38,0,1978-01-09
Jan Kodes,39,0,1978-01-09
Chris Lewis,40,0,1978-01-09
Raymond Moore,41,0,1978-01-09
Kim Warwick,42,0,1978-01-09
Hans Gildemeister,43,0,1978-01-09
Peter Fleming,44,0,1978-01-09
Butch Walts,45,0,1978-01-09
Bill Scanlon,46,0,1978-01-09
Mike Fishbach,47,0,1978-01-09
Patrick Proisy,48,0,1978-01-09
Zeljko Franulovic,49,0,1978-01-09
Terry Moor,50,0,1978-01-09
Bob Hewitt,51,0,1978-01-09
Henry Pfister,52,0,1978-01-09
Vijay Amritraj,53,0,1978-01-09
Antonio Zugarelli,54,0,1978-01-09
Marty Riessen,55,0,1978-01-09
Billy Martin,56,0,1978-01-09
Francois Jauffret,57,0,1978-01-09
Frew McMillan,58,0,1978-01-09
Nick Saviano,59,0,1978-01-09
Brian Teacher,60,0,1978-01-09
Tom Gullikson,61,0,1978-01-09
Ross Case,62,0,1978-01-09
Cliff Letcher,63,0,1978-01-09
Jiri Hrebec,64,0,1978-01-09
Jurgen Fassbender,65,0,1978-01-09
Kjell Johansson,66,0,1978-01-09
Tomas Smid,67,0,1978-01-09
Paul McNamee,68,0,1978-01-09
Patricio Cornejo,69T,0,1978-01-09
Marcelo Lara,69T,0,1978-01-09
Georges Goven,71,0,1978-01-09
Allan Stone,72,0,1978-01-09
Geoff Masters,73,0,1978-01-09
Vladimir Zednik,74,0,1978-01-09
Dick Crealy,75,0,1978-01-09
Ove Nils Bengtson,76T,0,1978-01-09
Jean-Francois Caujolle,76T,0,1978-01-09
Rick Fagel,76T,0,1978-01-09
Ismail El Shafei,79,0,1978-01-09
Keith Richardson,80,0,1978-01-09
Nikola Pilic,81,0,1978-01-09
Bob Giltinan,82,0,1978-01-09
Jiri Granat,82,0,1978-01-09
Byron Bertram,84,0,1978-01-09
Patrice Dominguez,85,0,1978-01-09
Robin Drysdale,85,0,1978-01-09
Bernard Mitton,87,0,1978-01-09
Pat Dupre,88,0,1978-01-09
Andrew Pattison,89,0,1978-01-09
Brian Fairlie,90,0,1978-01-09
Frank Gebert,91,0,1978-01-09
Cliff Richey,92,0,1978-01-09
Richard Lewis,93,0,1978-01-09
Ivan Molina,94,0,1978-01-09
Ray Ruffels,95,0,1978-01-09
Eric Deblicker,96,0,1978-01-09
Colin Dowdeswell,97,0,1978-01-09
Steve Docherty,98,0,1978-01-09
Louk Sanders,99T,0,1978-01-09
Sherwood Stewart,99T,0,1978-01-09
John James,101,0,1978-01-09
Ion Tiriac,102,0,1978-01-09
Hans Kary,103,0,1978-01-09
Eliot Teltscher,104,0,1978-01-09
Zan Guerry,105,0,1978-01-09
John Feaver,106,0,1978-01-09
Ulrich Pinner,107,0,1978-01-09
Roger Taylor,108,0,1978-01-09
Russell Simpson,109,0,1978-01-09
Christophe Roger-Vasselin,110,0,1978-01-09
Ricardo Ycaza,111,0,1978-01-09
George Hardie,112,0,1978-01-09
Rick Fisher,113,0,1978-01-09
John Newcombe,114,0,1978-01-09
Anand Amritraj,115,0,1978-01-09
Mike Cahill,116,0,1978-01-09
Ricardo Cano,117,0,1978-01-09
Carlos Kirmayr,118,0,1978-01-09
Steve Krulevitz,119,0,1978-01-09
Rod Laver,120,0,1978-01-09
Tom Leonard,120,0,1978-01-09
William Lloyd,120,0,1978-01-09
Tim Wilkison,120,0,1978-01-09
Jim Delaney,124,0,1978-01-09
Deon Joubert,125,0,1978-01-09
Belus Prajoux,126,0,1978-01-09
Greg Halder,127,0,1978-01-09
John Yuill,128,0,1978-01-09
Fred McNair IV,129,0,1978-01-09
Haroon Rahim,130,0,1978-01-09
Nicola Spear,131,0,1978-01-09
Barry Phillips-Moore,132,0,1978-01-09
Mark Edmondson,133,0,1978-01-09
Gene Mayer,134,0,1978-01-09
Bruce Manson,135,0,1978-01-09
Alvaro Betancur,136,0,1978-01-09
Elio Lito Alvarez,137,0,1978-01-09
Pavel Hutka,137,0,1978-01-09
Charlie Pasarell,137,0,1978-01-09
Willem Prinsloo,140,0,1978-01-09
Victor Amaya,141,0,1978-01-09
Christophe Freyss,141,0,1978-01-09
Erik Van Dillen,143,0,1978-01-09
Alex Metreveli,144,0,1978-01-09
Butch Seewagen,144,0,1978-01-09
Onny Parun,146,0,1978-01-09
Antonio Munoz,147,0,1978-01-09
Terry Rocavert,147,0,1978-01-09
Javier Soler,149,0,1978-01-09
Trey Waltke,150,0,1978-01-09
Dick R. Bohrnstedt,151,0,1978-01-09
Roy Emerson,152,0,1978-01-09
Eric Friedler,152,0,1978-01-09
Rolf Gehring,152,0,1978-01-09
Mike Machette,155,0,1978-01-09
Woody Blocher,156,0,1978-01-09
Peter Elter,156,0,1978-01-09
Jean-Louis Haillet,156,0,1978-01-09
Rolf Norberg,159,0,1978-01-09
Werner Zirngibl,160,0,1978-01-09
Ramiro Benavides,161,0,1978-01-09
Paul Kronk,162,0,1978-01-09
Henry Bunis,163,0,1978-01-09
Armistead Neely,164,0,1978-01-09
Van Winitsky,164,0,1978-01-09
Alvaro Fillol,166,0,1978-01-09
John Whitlinger,167,0,1978-01-09
Chris Kachel,168,0,1978-01-09
Douglas Palm,169,0,1978-01-09
Emilio Montano,170,0,1978-01-09
Jai Dilouie,171,0,1978-01-09
Tenny Svensson,171,0,1978-01-09
Ferdi Taygan,171,0,1978-01-09
