full_name,ranking,points,date
Stefan Edberg,1,0,1990-10-01
Boris Becker,2,0,1990-10-01
Ivan Lendl,3,0,1990-10-01
Andre Agassi,4,0,1990-10-01
Andres Gomez,5,0,1990-10-01
Pete Sampras,6,0,1990-10-01
Thomas Muster,7,0,1990-10-01
Emilio Sanchez,8,0,1990-10-01
John McEnroe,9,0,1990-10-01
Brad Gilbert,10,0,1990-10-01
Goran Ivanisevic,11,0,1990-10-01
Andrei Chesnokov,12,0,1990-10-01
Aaron Krickstein,13,0,1990-10-01
Guillermo Perez-Roldan,14,0,1990-10-01
Guy Forget,15,0,1990-10-01
Michael Chang,16,0,1990-10-01
Jay Berger,17,0,1990-10-01
Juan Aguilera,18,0,1990-10-01
Jim Courier,19,0,1990-10-01
Jonas Svensson,20,0,1990-10-01
Martin Jaite,21,0,1990-10-01
Magnus Gustafsson,22,0,1990-10-01
Henri Leconte,23,0,1990-10-01
Horst Skoff,24,0,1990-10-01
Richard Fromberg,25,0,1990-10-01
Jakob Hlasek,26,0,1990-10-01
Karel Novacek,27,0,1990-10-01
Andrei Cherkasov,28,0,1990-10-01
Petr Korda,29,0,1990-10-01
Ronald Agenor,30,0,1990-10-01
Richey Reneberg,31,0,1990-10-01
Franco Davin,32,0,1990-10-01
David Wheaton,33,0,1990-10-01
Marc Rosset,34,0,1990-10-01
Wally Masur,35,0,1990-10-01
Carl-Uwe Steeb,36,0,1990-10-01
Marcelo Filippini,37,0,1990-10-01
Amos Mansdorf,38,0,1990-10-01
Sergi Bruguera,39,0,1990-10-01
Tim Mayotte,40,0,1990-10-01
Jordi Arrese,41,0,1990-10-01
Omar Camporese,42,0,1990-10-01
Christo Van Rensburg,43,0,1990-10-01
Yannick Noah,44,0,1990-10-01
Darren Cahill,45,0,1990-10-01
Derrick Rostagno,46,0,1990-10-01
Alexander Volkov,47,0,1990-10-01
Veli Paloheimo,48,0,1990-10-01
Goran Prpic,49,0,1990-10-01
Luiz Mattar,50,0,1990-10-01
Jimmy Arias,51,0,1990-10-01
Jean-Philippe Fleurian,52,0,1990-10-01
Mark Kratzmann,53,0,1990-10-01
Kevin Curren,54,0,1990-10-01
Gary Muller,55,0,1990-10-01
Todd Witsken,56,0,1990-10-01
Michael Stich,57,0,1990-10-01
Horacio de la Pena,58,0,1990-10-01
Paul Haarhuis,59,0,1990-10-01
Javier Sanchez,60,0,1990-10-01
Alex Antonitsch,61,0,1990-10-01
Eric Jelen,62,0,1990-10-01
Jim Grabb,63,0,1990-10-01
Thierry Champion,64,0,1990-10-01
Scott Davis,65,0,1990-10-01
Mark Koevermans,66,0,1990-10-01
Gilad Bloom,67,0,1990-10-01
Mats Wilander,68,0,1990-10-01
Milan Srejber,69,0,1990-10-01
Todd Woodbridge,70,0,1990-10-01
Aki Rahunen,71,0,1990-10-01
Renzo Furlan,72,0,1990-10-01
Peter Lundgren,73,0,1990-10-01
Nicklas Kulti,74,0,1990-10-01
Kelly Evernden,75,0,1990-10-01
Brad Pearce,76,0,1990-10-01
Ramesh Krishnan,77,0,1990-10-01
Jaime Yzaga,78,0,1990-10-01
Niclas Kroon,79,0,1990-10-01
Mark Woodforde,80,0,1990-10-01
Tomas Carbonell,81,0,1990-10-01
Christian Bergstrom,82,0,1990-10-01
Jan Gunnarsson,83,0,1990-10-01
Magnus Larsson,84,0,1990-10-01
Fabrice Santoro,85,0,1990-10-01
Miloslav Mecir Sr.,86,0,1990-10-01
Tarik Benhabiles,87,0,1990-10-01
Francisco Clavet,88,0,1990-10-01
MaliVai Washington,89,0,1990-10-01
Dan Goldie,90,0,1990-10-01
Pat Cash,91,0,1990-10-01
Grant Connell,92,0,1990-10-01
Glenn Layendecker,93,0,1990-10-01
Jason Stoltenberg,94,0,1990-10-01
Kelly Jones,95,0,1990-10-01
Paul Annacone,96,0,1990-10-01
Paul Chamberlin,97,0,1990-10-01
Jeremy Bates,98,0,1990-10-01
Udo Riglewski,99,0,1990-10-01
Patrik Kuhnen,100,0,1990-10-01
Paolo Cane,101,0,1990-10-01
Alberto Mancini,102,0,1990-10-01
Bryan Shelton,103,0,1990-10-01
Joey Rive,104,0,1990-10-01
Olivier Delaitre,105,0,1990-10-01
Martin Strelba,106,0,1990-10-01
Cassio Motta,107,0,1990-10-01
Roberto Azar,108,0,1990-10-01
Jens Woehrmann,109,0,1990-10-01
Robbie Weiss,110,0,1990-10-01
Fernando Luna,111,0,1990-10-01
Claudio Pistolesi,112,0,1990-10-01
Jim Pugh,113,0,1990-10-01
Michael Tauson,114,0,1990-10-01
David Pate,115,0,1990-10-01
Marian Vajda,116,0,1990-10-01
Diego Perez,117,0,1990-10-01
Jose Francisco Altur,118,0,1990-10-01
Thomas Hogstedt,119,0,1990-10-01
Brian Garrow,120,0,1990-10-01
Cristiano Caratti,121,0,1990-10-01
David Engel,122,0,1990-10-01
Nuno Marques,123,0,1990-10-01
Lars Jonsson,124,0,1990-10-01
Jimmy Connors,125,0,1990-10-01
Andrew Sznajder,126,0,1990-10-01
Eduardo Masso,127,0,1990-10-01
Cedric Pioline,128,0,1990-10-01
Francisco Roig,129,0,1990-10-01
Joao Cunha-Silva,130,0,1990-10-01
Lawson Duncan,131,0,1990-10-01
Bart Wuyts,132,0,1990-10-01
Guillaume Raoux,133,0,1990-10-01
Jeff Tarango,134,0,1990-10-01
Johan Anderson,135,0,1990-10-01
Shuzo Matsuoka,136,0,1990-10-01
Stefano Pescosolido,137,0,1990-10-01
Henrik Holm,138,0,1990-10-01
Alexander Mronz,139,0,1990-10-01
Jimmy Brown,140,0,1990-10-01
Tom Nijssen,141,0,1990-10-01
Jan Siemerink,142,0,1990-10-01
Lars-Anders Wahlgren,143,0,1990-10-01
Pablo Arraya,144,0,1990-10-01
Patrick McEnroe,145,0,1990-10-01
Broderick Dyke,146,0,1990-10-01
Thierry Tulasne,147,0,1990-10-01
Carlos Costa,148,0,1990-10-01
Wayne Ferreira,149,0,1990-10-01
Christian Miniussi,150,0,1990-10-01
Martin Sinner,151,0,1990-10-01
Chris Pridham,152,0,1990-10-01
Leif Shiras,153,0,1990-10-01
Martin Wostenholme,154,0,1990-10-01
Markus Zoecke,155,0,1990-10-01
Mark Kaplan,156,0,1990-10-01
Christian Geyer,157,0,1990-10-01
Pedro Rebolledo,158,0,1990-10-01
Marcos Aurelio Gorriz,159,0,1990-10-01
Chris Garner,160,0,1990-10-01
Tim Wilkison,161,0,1990-10-01
Jerome Potier,162,0,1990-10-01
Mikael Pernfors,163,0,1990-10-01
Patrick Baur,164,0,1990-10-01
Miguel Nido,165,0,1990-10-01
Christian Saceanu,166,0,1990-10-01
Andrei Olhovskiy,167,0,1990-10-01
Jaime Oncins,168,0,1990-10-01
Gianluca Pozzi,169,0,1990-10-01
Jacco Eltingh,170,0,1990-10-01
Bruno Oresar,171,0,1990-10-01
Martin Laurendeau,172,0,1990-10-01
Rodolphe Gilbert,173,0,1990-10-01
Michiel Schapers,174,0,1990-10-01
German Lopez,175,0,1990-10-01
John Fitzgerald,176,0,1990-10-01
Simon Youl,177,0,1990-10-01
Anders Jarryd,178,0,1990-10-01
Arnaud Boetsch,179,0,1990-10-01
Luis Herrera,180,0,1990-10-01
Nduka Odizor,181,0,1990-10-01
Johan Carlsson,182,0,1990-10-01
Dimitri Poliakov,183,0,1990-10-01
Daniel Orsanic,184,0,1990-10-01
Eric Winogradsky,185,0,1990-10-01
Scott Melville,186,0,1990-10-01
Eduardo Bengoechea,187,0,1990-10-01
Pieter Aldrich,188,0,1990-10-01
Frederic Fontang,189,0,1990-10-01
Paul Vojtischek,190,0,1990-10-01
Paolo Pambianco,191,0,1990-10-01
Jan Apell,192,0,1990-10-01
Bong-Soo Kim,193,0,1990-10-01
Leonardo Lavalle,194,0,1990-10-01
Massimo Cierro,195,0,1990-10-01
Slava Dosedel,196,0,1990-10-01
Diego Nargiso,197,0,1990-10-01
Roberto Arguello,198,0,1990-10-01
Richard Matuszewski,199,0,1990-10-01
Nicolas Pereira,200,0,1990-10-01
Steve Guy,201,0,1990-10-01
Menno Oosting,202,0,1990-10-01
Neil Borwick,203,0,1990-10-01
Jonathan Canter,204,0,1990-10-01
Tomas Nydahl,205,0,1990-10-01
Nick Brown,206,0,1990-10-01
Peter Nyborg,207,0,1990-10-01
Christian Weis,208,0,1990-10-01
Slobodan Zivojinovic,209,0,1990-10-01
Francisco Maciel,210,0,1990-10-01
Christer Allgardh,211,0,1990-10-01
Stephane Grenier,212,0,1990-10-01
Dean Botha,213,0,1990-10-01
Scott Patridge,214,0,1990-10-01
Andrew Castle,215,0,1990-10-01
Shahar Perkiss,216,0,1990-10-01
Andres Vysand,217,0,1990-10-01
Branislav Stankovic,218,0,1990-10-01
Jose Daher,219,0,1990-10-01
Danny Sapsford,220,0,1990-10-01
Francesco Cancellotti,221,0,1990-10-01
Ken Flach,222,0,1990-10-01
Oliver Fuchs,223,0,1990-10-01
Michael Robertson,224,0,1990-10-01
Pablo Albano,225,0,1990-10-01
Mark Petchey,226,0,1990-10-01
Steve DeVries,227,0,1990-10-01
Vicente Solves,228,0,1990-10-01
Rick Leach,229,0,1990-10-01
Danie Visser,230,0,1990-10-01
Ricki Osterthun,231,0,1990-10-01
Richard Krajicek,232,0,1990-10-01
Chuck Adams,233,0,1990-10-01
Marcelo Ingaramo,234,0,1990-10-01
Joseph Russell,235,0,1990-10-01
Jorge Lozano,236,0,1990-10-01
Brett Steven,237,0,1990-10-01
Gabriel Markus,238,0,1990-10-01
Marcos Ondruska,239,0,1990-10-01
Mario Tabares,240,0,1990-10-01
Mauro Menezes,241,0,1990-10-01
Bruce Derlin,242,0,1990-10-01
Richard Vogel,243,0,1990-10-01
Fernando Roese,244,0,1990-10-01
David De Miguel,245,0,1990-10-01
Thomas Haldin,246,0,1990-10-01
Juan Carlos Baguena,247,0,1990-10-01
Grant Stafford,248,0,1990-10-01
Jamie Morgan,249,0,1990-10-01
Carl Limberger,250,0,1990-10-01
Philip Johnson,251,0,1990-10-01
Jorgen Windahl,252,0,1990-10-01
Neil Broad,253,0,1990-10-01
Tommy Ho,254,0,1990-10-01
Royce Deppe,255,0,1990-10-01
Frederik Fetterlein,256,0,1990-10-01
Simone Colombo,257,0,1990-10-01
Francisco Yunis,258,0,1990-10-01
Libor Nemecek,259,0,1990-10-01
Mark Keil,260,0,1990-10-01
Daniel Marco,261,0,1990-10-01
Vaclav Roubicek,262,0,1990-10-01
Raviv Weidenfeld,263,0,1990-10-01
Roger Smith,264,0,1990-10-01
Josef Cihak,265,0,1990-10-01
Javier Frana,266,0,1990-10-01
Francisco Montana,267,0,1990-10-01
Maurice Ruah,268,0,1990-10-01
Nelson Aerts,269,0,1990-10-01
David Harkness,270,0,1990-10-01
Thomas Buchmayer,271,0,1990-10-01
Paul Wekesa,272,0,1990-10-01
Ville Jansson,273,0,1990-10-01
Otis Smith,274,0,1990-10-01
Gilbert Schaller,275,0,1990-10-01
Peter Doohan,276,0,1990-10-01
Danilo Marcelino,277,0,1990-10-01
Cyril Suk,278,0,1990-10-01
Giorgio Carneade,279,0,1990-10-01
Jose Antonio Fernandez,280,0,1990-10-01
