full_name,ranking,points,date
Roger Federer,1,7180,2008-01-14
Rafael Nadal,2,5780,2008-01-14
Novak Djokovic,3,4315,2008-01-14
Nikolay Davydenko,4,2825,2008-01-14
David Ferrer,5,2615,2008-01-14
Andy Roddick,6,2530,2008-01-14
Fernando Gonzalez,7,2005,2008-01-14
Richard Gasquet,8,1895,2008-01-14
Andy Murray,9,1830,2008-01-14
David Nalbandian,10,1775,2008-01-14
Tommy Haas,11,1720,2008-01-14
Tommy Robredo,12,1705,2008-01-14
Tomas Berdych,13,1685,2008-01-14
Mikhail Youzhny,14,1670,2008-01-14
James Blake,15,1610,2008-01-14
Marcos Baghdatis,16,1600,2008-01-14
Guillermo Canas,17,1598,2008-01-14
Carlos Moya,18,1505,2008-01-14
Ivan Ljubicic,19,1440,2008-01-14
Juan Ignacio Chela,20,1425,2008-01-14
Juan Carlos Ferrero,21,1400,2008-01-14
Lleyton Hewitt,22,1385,2008-01-14
Juan Monaco,23,1380,2008-01-14
Ivo Karlovic,24,1360,2008-01-14
Paul-Henri Mathieu,25,1320,2008-01-14
Jarkko Nieminen,26,1075,2008-01-14
Philipp Kohlschreiber,27,1075,2008-01-14
Fernando Verdasco,28,1050,2008-01-14
Stan Wawrinka,29,995,2008-01-14
Radek Stepanek,30,985,2008-01-14
Nicolas Almagro,31,965,2008-01-14
Dmitry Tursunov,32,965,2008-01-14
Gilles Simon,33,955,2008-01-14
Potito Starace,34,921,2008-01-14
Igor Andreev,35,890,2008-01-14
Fabrice Santoro,36,852,2008-01-14
Feliciano Lopez,37,840,2008-01-14
Jo-Wilfried Tsonga,38,789,2008-01-14
Filippo Volandri,39,731,2008-01-14
Gael Monfils,40,717,2008-01-14
Agustin Calleri,41,700,2008-01-14
Nicolas Kiefer,42,685,2008-01-14
Mardy Fish,43,685,2008-01-14
Nicolas Mahut,44,683,2008-01-14
Albert Montanes,45,681,2008-01-14
Sebastien Grosjean,46,661,2008-01-14
Hyung-Taik Lee,47,659,2008-01-14
Andreas Seppi,48,659,2008-01-14
Janko Tipsarevic,49,657,2008-01-14
Michael Llodra,50,654,2008-01-14
Thomas Johansson,51,635,2008-01-14
Florian Mayer,52,626,2008-01-14
Juan Martin del Potro,53,625,2008-01-14
Michael Berrer,54,621,2008-01-14
Robin Soderling,55,620,2008-01-14
Olivier Rochus,56,616,2008-01-14
Marin Cilic,57,615,2008-01-14
Marat Safin,58,610,2008-01-14
Arnaud Clement,59,610,2008-01-14
Oscar Hernandez,60,602,2008-01-14
Ernests Gulbis,61,595,2008-01-14
Sam Querrey,62,588,2008-01-14
Jose Acasuso,63,581,2008-01-14
Werner Eschauer,64,580,2008-01-14
Julien Benneteau,65,575,2008-01-14
Dudi Sela,66,573,2008-01-14
Jonas Bjorkman,67,570,2008-01-14
Stefan Koubek,68,556,2008-01-14
Nicolas Massu,69,544,2008-01-14
Simone Bolelli,70,541,2008-01-14
Jurgen Melzer,71,540,2008-01-14
Sergio Roitman,72,537,2008-01-14
Marc Gicquel,73,535,2008-01-14
Frank Dancevic,74,531,2008-01-14
Carlos Berlocq,75,525,2008-01-14
Luis Horna,76,520,2008-01-14
Martin Vassallo Arguello,77,520,2008-01-14
Andrei Pavel,78,518,2008-01-14
Victor Hanescu,79,517,2008-01-14
Vincent Spadea,80,515,2008-01-14
Benjamin Becker,81,496,2008-01-14
Evgeny Korolev,82,492,2008-01-14
Steve Darcis,83,492,2008-01-14
Alejandro Falla,84,481,2008-01-14
Mischa Zverev,85,478,2008-01-14
Guillermo Garcia-Lopez,86,477,2008-01-14
Santiago Ventura,87,473,2008-01-14
Florent Serra,88,466,2008-01-14
Mario Ancic,89,465,2008-01-14
Peter Luczak,90,464,2008-01-14
Chris Guccione,91,462,2008-01-14
Rainer Schuettler,92,453,2008-01-14
Edouard Roger-Vasselin,93,450,2008-01-14
Fabio Fognini,94,444,2008-01-14
Boris Pashanski,95,441,2008-01-14
Thierry Ascione,96,438,2008-01-14
Juan Pablo Brzezicki,97,437,2008-01-14
Donald Young,98,432,2008-01-14
Jiri Vanek,99,431,2008-01-14
Paul Capdeville,100,428,2008-01-14
Michael Russell,101,426,2008-01-14
Ivo Minar,102,425,2008-01-14
Robin Haase,103,424,2008-01-14
Mariano Zabaleta,104,416,2008-01-14
Kristof Vliegen,105,412,2008-01-14
Marcos Daniel,106,411,2008-01-14
Diego Hartfield,107,410,2008-01-14
Robert Kendrick,108,408,2008-01-14
John Isner,109,407,2008-01-14
Olivier Patience,110,405,2008-01-14
Nicolas Lapentti,111,401,2008-01-14
Yen-Hsun Lu,112,393,2008-01-14
Bobby Reynolds,113,392,2008-01-14
Pablo Cuevas,114,389,2008-01-14
Nicolas Devilder,115,388,2008-01-14
Gilles Muller,116,380,2008-01-14
Flavio Cipolla,117,372,2008-01-14
Rik De Voest,118,366,2008-01-14
Denis Gremelmayr,119,366,2008-01-14
Maximo Gonzalez,120,366,2008-01-14
Yuri Schukin,121,363,2008-01-14
Mathieu Montcourt,122,361,2008-01-14
Ivan Navarro,123,360,2008-01-14
Wayne Odesnik,124,359,2008-01-14
Teymuraz Gabashvili,125,357,2008-01-14
Viktor Troicki,126,357,2008-01-14
Igor Kunitsyn,127,351,2008-01-14
Kristian Pless,128,344,2008-01-14
Alessio Di Mauro,129,338,2008-01-14
Aisam-Ul-Haq Qureshi,130,336,2008-01-14
Marcel Granollers,131,334,2008-01-14
Ruben Ramirez Hidalgo,132,323,2008-01-14
Roko Karanusic,133,323,2008-01-14
Tomas Zib,134,316,2008-01-14
Robby Ginepri,135,315,2008-01-14
Amer Delic,136,314,2008-01-14
Alun Jones,137,313,2008-01-14
Dominik Hrbaty,138,308,2008-01-14
Santiago Giraldo,139,308,2008-01-14
Fred Gil,140,305,2008-01-14
Alberto Martin,141,303,2008-01-14
Konstantinos Economidis,142,299,2008-01-14
Federico Luzzi,143,298,2008-01-14
Pablo Andujar,144,296,2008-01-14
Zack Fleishman,145,294,2008-01-14
Joseph Sirianni,146,293,2008-01-14
Jimmy Wang,147,289,2008-01-14
Oliver Marach,148,288,2008-01-14
Robert Smeets,149,286,2008-01-14
Lukas Lacko,150,285,2008-01-14
Juan-Pablo Guzman,151,282,2008-01-14
Dusan Vemic,152,280,2008-01-14
Danai Udomchoke,153,275,2008-01-14
Lukas Dlouhy,154,275,2008-01-14
Brian Dabul,155,272,2008-01-14
Xavier Malisse,156,270,2008-01-14
Dick Norman,157,270,2008-01-14
Eric Prodon,158,267,2008-01-14
Bruno Echagaray,159,263,2008-01-14
Harel Levy,160,262,2008-01-14
Peter Wessels,161,261,2008-01-14
Bohdan Ulihrach,162,258,2008-01-14
Daniel Koellerer,163,258,2008-01-14
Wesley Moodie,164,256,2008-01-14
Fernando Vicente,165,253,2008-01-14
Raemon Sluiter,166,253,2008-01-14
Daniel Gimeno-Traver,167,253,2008-01-14
Jan Hernych,168,252,2008-01-14
Frederic Niemeyer,169,247,2008-01-14
Jesse Levine,170,242,2008-01-14
Eduardo Schwank,171,242,2008-01-14
Sam Warburg,172,241,2008-01-14
Andrey Golubev,173,241,2008-01-14
Alexander Peya,174,235,2008-01-14
Leonardo Mayer,175,235,2008-01-14
Gaston Gaudio,176,233,2008-01-14
Stefano Galvani,177,232,2008-01-14
Philipp Petzschner,178,231,2008-01-14
Alex Kuznetsov,179,231,2008-01-14
Alex Bogdanovic,180,231,2008-01-14
Younes El Aynaoui,181,229,2008-01-14
Stephane Bohli,182,229,2008-01-14
Thomaz Bellucci,183,229,2008-01-14
Christophe Rochus,184,228,2008-01-14
Flavio Saretta,185,227,2008-01-14
Alex Bogomolov Jr.,186,225,2008-01-14
Adrian Garcia,187,223,2008-01-14
Mikhail Ledovskikh,188,223,2008-01-14
Kevin Kim,189,222,2008-01-14
Matthias Bachinger,190,222,2008-01-14
Max Mirnyi,191,220,2008-01-14
Jeremy Chardy,192,219,2008-01-14
Julio Silva,193,219,2008-01-14
Bjorn Phau,194,218,2008-01-14
Paul Goldstein,195,215,2008-01-14
Dominik Meffert,196,215,2008-01-14
Antony Dupuis,197,215,2008-01-14
Daniel Munoz de la Nava,198,215,2008-01-14
Sergiy Stakhovsky,199,214,2008-01-14
David Guez,200,214,2008-01-14
Jesse Huta Galung,201,213,2008-01-14
Simon Stadler,202,211,2008-01-14
Ilija Bozoljac,203,210,2008-01-14
Jan Minar,204,207,2008-01-14
Adrian Cruciat,205,206,2008-01-14
Marc Lopez,206,202,2008-01-14
Andreas Beck,207,202,2008-01-14
Kevin Anderson,208,201,2008-01-14
Benedikt Dorsch,209,201,2008-01-14
Jan Mertl,210,200,2008-01-14
Tobias Kamke,211,200,2008-01-14
Go Soeda,212,199,2008-01-14
Mikhail Elgin,213,198,2008-01-14
Laurent Recouderc,214,197,2008-01-14
Michael Lammer,215,196,2008-01-14
Denis Istomin,216,193,2008-01-14
Jamie Baker,217,192,2008-01-14
Simon Greul,218,189,2008-01-14
Gary Lugassy,219,189,2008-01-14
Mikhail Kukushkin,220,189,2008-01-14
Daniel Brands,221,186,2008-01-14
Lukasz Kubot,222,185,2008-01-14
Gabriel Trujillo-Soler,223,185,2008-01-14
Jesse Witten,224,183,2008-01-14
Cristian Villagran,225,183,2008-01-14
Hugo Armando,226,182,2008-01-14
Ivo Klec,227,182,2008-01-14
Franco Ferreiro,228,180,2008-01-14
Kyu Tae Im,229,180,2008-01-14
Alexander Kudryavtsev,230,179,2008-01-14
Diego Junqueira,231,178,2008-01-14
Brendan Evans,232,176,2008-01-14
Rajeev Ram,233,176,2008-01-14
Ramon Delgado,234,175,2008-01-14
Adrian Menendez-Maceiras,235,174,2008-01-14
Alexandr Dolgopolov,236,174,2008-01-14
Filip Prpic,237,172,2008-01-14
Thiago Alves,238,171,2008-01-14
Jan Vacek,239,171,2008-01-14
Michael Ryderstedt,240,170,2008-01-14
Catalin-Ionut Gard,241,170,2008-01-14
Matwe Middelkoop,242,168,2008-01-14
Jerome Haehnel,243,167,2008-01-14
Takao Suzuki,244,167,2008-01-14
Alexander Waske,245,166,2008-01-14
Ryan Sweeting,246,166,2008-01-14
Wayne Arthurs,247,165,2008-01-14
Jan Hajek,248,164,2008-01-14
Pavel Snobel,249,163,2008-01-14
Andreas Haider-Maurer,250,163,2008-01-14
Francesco Aldi,251,162,2008-01-14
Andis Juska,252,161,2008-01-14
Predrag Rusevski,253,161,2008-01-14
Nick Lindahl,254,161,2008-01-14
Farrukh Dustov,255,160,2008-01-14
Ricardo Mello,256,157,2008-01-14
Vasilis Mazarakis,257,157,2008-01-14
Augustin Gensse,258,155,2008-01-14
Michael Quintero,259,152,2008-01-14
Michal Przysiezny,260,151,2008-01-14
Mariano Puerta,261,150,2008-01-14
Horacio Zeballos,262,150,2008-01-14
Thomas Oger,263,150,2008-01-14
Martin Fischer,264,150,2008-01-14
Marc Fornell-Mestres,265,148,2008-01-14
