full_name,ranking,points,date
Pete Sampras,1,0,1993-05-24
Jim Courier,2,0,1993-05-24
Stefan Edberg,3,0,1993-05-24
Boris Becker,4,0,1993-05-24
Goran Ivanisevic,5,0,1993-05-24
Petr Korda,6,0,1993-05-24
Ivan Lendl,7,0,1993-05-24
Andre Agassi,8,0,1993-05-24
Michael Chang,9,0,1993-05-24
Michael Stich,10,0,1993-05-24
Sergi Bruguera,11,0,1993-05-24
Andrei Medvedev,12,0,1993-05-24
Richard Krajicek,13,0,1993-05-24
Karel Novacek,14,0,1993-05-24
Wayne Ferreira,15,0,1993-05-24
Thomas Muster,16,0,1993-05-24
Guy Forget,17,0,1993-05-24
MaliVai Washington,18,0,1993-05-24
Henrik Holm,19,0,1993-05-24
Alexander Volkov,20,0,1993-05-24
Cedric Pioline,21,0,1993-05-24
Mark Woodforde,22,0,1993-05-24
Wally Masur,23,0,1993-05-24
Emilio Sanchez,24,0,1993-05-24
Marc Rosset,25,0,1993-05-24
Fabrice Santoro,26,0,1993-05-24
Marcos Ondruska,27,0,1993-05-24
Brad Gilbert,28,0,1993-05-24
Arnaud Boetsch,29,0,1993-05-24
Amos Mansdorf,30,0,1993-05-24
Andrei Chesnokov,31,0,1993-05-24
Todd Martin,32,0,1993-05-24
David Wheaton,33,0,1993-05-24
Andrei Cherkasov,34,0,1993-05-24
Magnus Gustafsson,35,0,1993-05-24
Nicklas Kulti,36,0,1993-05-24
Guillermo Perez-Roldan,37,0,1993-05-24
Jonas Svensson,38,0,1993-05-24
Bernd Karbacher,39,0,1993-05-24
Jan Siemerink,40,0,1993-05-24
Christian Bergstrom,41,0,1993-05-24
Francisco Clavet,42,0,1993-05-24
Kenneth Carlsen,43,0,1993-05-24
Marcelo Filippini,44,0,1993-05-24
Jakob Hlasek,45,0,1993-05-24
Guillaume Raoux,46,0,1993-05-24
Richey Reneberg,47,0,1993-05-24
Marc-Kevin Goellner,48,0,1993-05-24
John McEnroe,49,0,1993-05-24
Carlos Costa,50,0,1993-05-24
Jordi Arrese,51,0,1993-05-24
Franco Davin,52,0,1993-05-24
Andrei Olhovskiy,53,0,1993-05-24
Brett Steven,54,0,1993-05-24
Jaime Yzaga,55,0,1993-05-24
Carl-Uwe Steeb,56,0,1993-05-24
Jonathan Stark,57,0,1993-05-24
Richard Fromberg,58,0,1993-05-24
Magnus Larsson,59,0,1993-05-24
Jaime Oncins,60,0,1993-05-24
Jim Grabb,61,0,1993-05-24
Derrick Rostagno,62,0,1993-05-24
Jacco Eltingh,63,0,1993-05-24
Stephane Simian,64,0,1993-05-24
Henri Leconte,65,0,1993-05-24
Bryan Shelton,66,0,1993-05-24
Thomas Enqvist,67,0,1993-05-24
Renzo Furlan,68,0,1993-05-24
Luis Herrera,69,0,1993-05-24
Alex Corretja,70,0,1993-05-24
Omar Camporese,71,0,1993-05-24
Luiz Mattar,72,0,1993-05-24
Horst Skoff,73,0,1993-05-24
Javier Sanchez,74,0,1993-05-24
Jeff Tarango,75,0,1993-05-24
Gianluca Pozzi,76,0,1993-05-24
Chuck Adams,77,0,1993-05-24
Horacio de la Pena,78,0,1993-05-24
Anders Jarryd,79,0,1993-05-24
Paul Haarhuis,80,0,1993-05-24
Gilbert Schaller,81,0,1993-05-24
David Prinosil,82,0,1993-05-24
Todd Woodbridge,83,0,1993-05-24
Tomas Carbonell,84,0,1993-05-24
Jamie Morgan,85,0,1993-05-24
Patrick McEnroe,86,0,1993-05-24
Alex O'Brien,87,0,1993-05-24
Alberto Mancini,88,0,1993-05-24
Gabriel Markus,89,0,1993-05-24
Javier Frana,90,0,1993-05-24
Aaron Krickstein,91,0,1993-05-24
Rodolphe Gilbert,92,0,1993-05-24
Shuzo Matsuoka,93,0,1993-05-24
Roberto Azar,94,0,1993-05-24
Alberto Berasategui,95,0,1993-05-24
Patrik Kuhnen,96,0,1993-05-24
Jason Stoltenberg,97,0,1993-05-24
Martin Damm,98,0,1993-05-24
Olivier Delaitre,99,0,1993-05-24
Ronald Agenor,100,0,1993-05-24
Jeremy Bates,101,0,1993-05-24
Alex Antonitsch,102,0,1993-05-24
Christo Van Rensburg,103,0,1993-05-24
Daniel Vacek,104,0,1993-05-24
Jordi Burillo,105,0,1993-05-24
Jared Palmer,106,0,1993-05-24
Karsten Braasch,107,0,1993-05-24
