full_name,ranking,points,date
Carlos Alcaraz,1,7675,2023-07-03
Novak Djokovic,2,7595,2023-07-03
Daniil Medvedev,3,5890,2023-07-03
Casper Ruud,4,4960,2023-07-03
Stefanos Tsitsipas,5,4670,2023-07-03
Holger Rune,6,4510,2023-07-03
Andrey Rublev,7,4255,2023-07-03
Jannik Sinner,8,3345,2023-07-03
Taylor Fritz,9,3310,2023-07-03
Frances Tiafoe,10,3085,2023-07-03
Karen Khachanov,11,3035,2023-07-03
Felix Auger-Aliassime,12,2760,2023-07-03
Cameron Norrie,13,2610,2023-07-03
Borna Coric,14,2305,2023-07-03
Tommy Paul,15,2250,2023-07-03
Lorenzo Musetti,16,2210,2023-07-03
Alex de Minaur,17,2115,2023-07-03
Hubert Hurkacz,18,2060,2023-07-03
Francisco Cerundolo,19,1860,2023-07-03
Pablo Carreno Busta,20,1640,2023-07-03
Alexander Zverev,21,1630,2023-07-03
Jan-Lennard Struff,22,1625,2023-07-03
Roberto Bautista Agut,23,1480,2023-07-03
Grigor Dimitrov,24,1430,2023-07-03
Sebastian Korda,25,1355,2023-07-03
Alexander Bublik,26,1354,2023-07-03
Yoshihito Nishioka,27,1351,2023-07-03
Nicolas Jarry,28,1336,2023-07-03
Denis Shapovalov,29,1335,2023-07-03
Daniel Evans,30,1321,2023-07-03
Tallon Griekspoor,31,1254,2023-07-03
Tomas Martin Etcheverry,32,1201,2023-07-03
Nick Kyrgios,33,1175,2023-07-03
Alejandro Davidovich Fokina,34,1115,2023-07-03
Adrian Mannarino,35,1112,2023-07-03
Ben Shelton,36,1094,2023-07-03
Jiri Lehecka,37,1083,2023-07-03
Matteo Berrettini,38,1082,2023-07-03
Ugo Humbert,39,1042,2023-07-03
Andy Murray,40,1030,2023-07-03
Miomir Kecmanovic,41,1020,2023-07-03
Lorenzo Sonego,42,1015,2023-07-03
Christopher Eubanks,43,976,2023-07-03
Botic van de Zandschulp,44,975,2023-07-03
Yannick Hanfmann,45,962,2023-07-03
Sebastian Baez,46,955,2023-07-03
Emil Ruusuvuori,47,936,2023-07-03
J.J. Wolf,48,924,2023-07-03
Gregoire Barrere,49,889,2023-07-03
Aslan Karatsev,50,888,2023-07-03
Richard Gasquet,51,875,2023-07-03
Zhizhen Zhang,52,874,2023-07-03
Bernabe Zapata Miralles,53,856,2023-07-03
Mackenzie McDonald,54,855,2023-07-03
Brandon Nakashima,55,855,2023-07-03
Dusan Lajovic,56,854,2023-07-03
Roberto Carballes Baena,57,850,2023-07-03
Maxime Cressy,58,845,2023-07-03
Mikael Ymer,59,831,2023-07-03
Laslo Djere,60,820,2023-07-03
Arthur Fils,61,816,2023-07-03
Yibing Wu,62,814,2023-07-03
Juan Pablo Varillas,63,806,2023-07-03
Max Purcell,64,796,2023-07-03
Marcos Giron,65,795,2023-07-03
Daniel Altmaier,66,778,2023-07-03
Marton Fucsovics,67,777,2023-07-03
Pedro Cachin,68,772,2023-07-03
Nuno Borges,69,770,2023-07-03
Jordan Thompson,70,769,2023-07-03
Corentin Moutet,71,768,2023-07-03
Sebastian Ofner,72,768,2023-07-03
Christopher O'Connell,73,766,2023-07-03
Constant Lestienne,74,761,2023-07-03
Luca Van Assche,75,758,2023-07-03
Albert Ramos-Vinolas,76,752,2023-07-03
Jason Kubler,77,742,2023-07-03
Jack Draper,78,741,2023-07-03
Quentin Halys,79,741,2023-07-03
Matteo Arnaldi,80,737,2023-07-03
Marc-Andrea Huesler,81,726,2023-07-03
Arthur Rinderknech,82,722,2023-07-03
Alex Molcan,83,721,2023-07-03
Alexandre Muller,84,711,2023-07-03
Daniel Elahi Galan,85,693,2023-07-03
Dominik Koepfer,86,681,2023-07-03
Aleksandar Vukic,87,679,2023-07-03
Stan Wawrinka,88,674,2023-07-03
Marco Cecchinato,89,673,2023-07-03
Thanasi Kokkinakis,90,667,2023-07-03
Dominic Thiem,91,666,2023-07-03
Roman Safiullin,92,663,2023-07-03
Alexei Popyrin,93,645,2023-07-03
Benjamin Bonzi,94,638,2023-07-03
Thiago Monteiro,95,626,2023-07-03
Fabian Marozsan,96,626,2023-07-03
Alexander Shevchenko,97,623,2023-07-03
Diego Schwartzman,98,615,2023-07-03
Soonwoo Kwon,99,614,2023-07-03
Marin Cilic,100,610,2023-07-03
Jenson Brooksby,101,610,2023-07-03
Ilya Ivashka,102,607,2023-07-03
John Isner,103,595,2023-07-03
Federico Coria,104,592,2023-07-03
Pavel Kotov,105,591,2023-07-03
Taro Daniel,106,584,2023-07-03
Radu Albot,107,580,2023-07-03
Tomas Machac,108,573,2023-07-03
Jaume Munar,109,570,2023-07-03
