full_name,ranking,points,date
Lleyton Hewitt,1,4260,2002-07-01
Marat Safin,2,3310,2002-07-01
Tommy Haas,3,2995,2002-07-01
Andre Agassi,4,2725,2002-07-01
Tim Henman,5,2605,2002-07-01
Yevgeny Kafelnikov,6,2575,2002-07-01
Albert Costa,7,2290,2002-07-01
Juan Carlos Ferrero,8,2205,2002-07-01
Roger Federer,9,2160,2002-07-01
Sebastien Grosjean,10,2020,2002-07-01
Thomas Johansson,11,1990,2002-07-01
Jiri Novak,12,1875,2002-07-01
Pete Sampras,13,1830,2002-07-01
Andy Roddick,14,1825,2002-07-01
Patrick Rafter,15,1800,2002-07-01
Gustavo Kuerten,16,1765,2002-07-01
Guillermo Canas,17,1700,2002-07-01
Younes El Aynaoui,18,1615,2002-07-01
Goran Ivanisevic,19,1610,2002-07-01
Carlos Moya,20,1485,2002-07-01
Andrei Pavel,21,1440,2002-07-01
Juan Ignacio Chela,22,1239,2002-07-01
Sjeng Schalken,23,1235,2002-07-01
Rainer Schuettler,24,1235,2002-07-01
Marcelo Rios,25,1225,2002-07-01
Thomas Enqvist,26,1225,2002-07-01
Nicolas Lapentti,27,1210,2002-07-01
Gaston Gaudio,28,1168,2002-07-01
Max Mirnyi,29,1150,2002-07-01
Alex Corretja,30,1145,2002-07-01
Tommy Robredo,31,1120,2002-07-01
David Nalbandian,32,1084,2002-07-01
Nicolas Escude,33,1065,2002-07-01
James Blake,34,992,2002-07-01
Xavier Malisse,35,985,2002-07-01
Ivan Ljubicic,36,974,2002-07-01
Fabrice Santoro,37,960,2002-07-01
Arnaud Clement,38,950,2002-07-01
Greg Rusedski,39,920,2002-07-01
Todd Martin,40,890,2002-07-01
Stefan Koubek,41,885,2002-07-01
Jarkko Nieminen,42,861,2002-07-01
Fernando Gonzalez,43,847,2002-07-01
Mariano Zabaleta,44,845,2002-07-01
Michel Kratochvil,45,845,2002-07-01
Hicham Arazi,46,830,2002-07-01
Jonas Bjorkman,47,810,2002-07-01
Davide Sanguinetti,48,779,2002-07-01
Felix Mantilla,49,775,2002-07-01
Julien Boutter,50,760,2002-07-01
Wayne Ferreira,51,740,2002-07-01
