full_name,ranking,points,date
Rafael Nadal,1,12390,2011-03-07
Roger Federer,2,7965,2011-03-07
Novak Djokovic,3,7800,2011-03-07
Robin Soderling,4,6050,2011-03-07
Andy Murray,5,5715,2011-03-07
David Ferrer,6,4510,2011-03-07
Tomas Berdych,7,4410,2011-03-07
Andy Roddick,8,3770,2011-03-07
Fernando Verdasco,9,3095,2011-03-07
Jurgen Melzer,10,2740,2011-03-07
Gael Monfils,11,2610,2011-03-07
Nicolas Almagro,12,2530,2011-03-07
Mikhail Youzhny,13,2340,2011-03-07
Stan Wawrinka,14,2175,2011-03-07
Mardy Fish,15,2121,2011-03-07
Ivan Ljubicic,16,2055,2011-03-07
Jo-Wilfried Tsonga,17,1930,2011-03-07
Viktor Troicki,18,1710,2011-03-07
David Nalbandian,19,1655,2011-03-07
Marin Cilic,20,1540,2011-03-07
Richard Gasquet,21,1495,2011-03-07
Marcos Baghdatis,22,1490,2011-03-07
Alexandr Dolgopolov,23,1475,2011-03-07
Sam Querrey,24,1440,2011-03-07
Guillermo Garcia-Lopez,25,1425,2011-03-07
Albert Montanes,26,1405,2011-03-07
Michael Llodra,27,1370,2011-03-07
Tommy Robredo,28,1290,2011-03-07
Thomaz Bellucci,29,1285,2011-03-07
Juan Monaco,30,1280,2011-03-07
Gilles Simon,31,1270,2011-03-07
Juan Ignacio Chela,32,1270,2011-03-07
John Isner,33,1255,2011-03-07
Ernests Gulbis,34,1210,2011-03-07
Philipp Kohlschreiber,35,1180,2011-03-07
Florian Mayer,36,1168,2011-03-07
Milos Raonic,37,1134,2011-03-07
Sergiy Stakhovsky,38,1120,2011-03-07
Andrey Golubev,39,1090,2011-03-07
Kevin Anderson,40,1089,2011-03-07
Feliciano Lopez,41,1085,2011-03-07
Nikolay Davydenko,42,1070,2011-03-07
Yen-Hsun Lu,43,1059,2011-03-07
Santiago Giraldo,44,1016,2011-03-07
Janko Tipsarevic,45,1005,2011-03-07
Juan Carlos Ferrero,46,990,2011-03-07
Potito Starace,47,990,2011-03-07
Andreas Seppi,48,980,2011-03-07
Jeremy Chardy,49,970,2011-03-07
Marcel Granollers,50,958,2011-03-07
Jarkko Nieminen,51,957,2011-03-07
Xavier Malisse,52,956,2011-03-07
Thiemo de Bakker,53,950,2011-03-07
Fabio Fognini,54,925,2011-03-07
Denis Istomin,55,906,2011-03-07
Robin Haase,56,883,2011-03-07
Ivan Dodig,57,881,2011-03-07
Victor Hanescu,58,850,2011-03-07
Adrian Mannarino,59,847,2011-03-07
Benjamin Becker,60,845,2011-03-07
Daniel Gimeno-Traver,61,844,2011-03-07
Mikhail Kukushkin,62,830,2011-03-07
Kei Nishikori,63,809,2011-03-07
Lleyton Hewitt,64,785,2011-03-07
Philipp Petzschner,65,760,2011-03-07
Pablo Cuevas,66,735,2011-03-07
Radek Stepanek,67,733,2011-03-07
Tobias Kamke,68,714,2011-03-07
Pablo Andujar,69,714,2011-03-07
Carlos Berlocq,70,709,2011-03-07
Grigor Dimitrov,71,705,2011-03-07
Pere Riba,72,685,2011-03-07
Florent Serra,73,660,2011-03-07
Ricardas Berankis,74,638,2011-03-07
Ricardo Mello,75,637,2011-03-07
Ruben Ramirez Hidalgo,76,628,2011-03-07
Teymuraz Gabashvili,77,627,2011-03-07
Michael Berrer,78,620,2011-03-07
Filippo Volandri,79,617,2011-03-07
Daniel Brands,80,606,2011-03-07
Blaz Kavcic,81,602,2011-03-07
Julien Benneteau,82,600,2011-03-07
Rainer Schuettler,83,600,2011-03-07
Somdev Devvarman,84,585,2011-03-07
Fred Gil,85,585,2011-03-07
Robert Kendrick,86,581,2011-03-07
Dudi Sela,87,573,2011-03-07
Brian Dabul,88,572,2011-03-07
Michael Russell,89,571,2011-03-07
Juan Martin del Potro,90,565,2011-03-07
Paul-Henri Mathieu,91,562,2011-03-07
Horacio Zeballos,92,560,2011-03-07
Nicolas Mahut,93,559,2011-03-07
Rui Machado,94,553,2011-03-07
Marcos Daniel,95,544,2011-03-07
Igor Andreev,96,539,2011-03-07
Simone Bolelli,97,536,2011-03-07
Jan Hajek,98,535,2011-03-07
Illya Marchenko,99,532,2011-03-07
Dustin Brown,100,525,2011-03-07
Alejandro Falla,101,523,2011-03-07
Mischa Zverev,102,521,2011-03-07
Igor Kunitsyn,103,521,2011-03-07
Dmitry Tursunov,104,518,2011-03-07
Ryan Sweeting,105,517,2011-03-07
Bjorn Phau,106,516,2011-03-07
Denis Gremelmayr,107,515,2011-03-07
Gilles Muller,108,509,2011-03-07
Go Soeda,109,508,2011-03-07
Albert Ramos-Vinolas,110,504,2011-03-07
Jaroslav Pospisil,111,502,2011-03-07
Michal Przysiezny,112,498,2011-03-07
Jesse Huta Galung,113,494,2011-03-07
Arnaud Clement,114,484,2011-03-07
Andreas Haider-Maurer,115,477,2011-03-07
Olivier Rochus,116,476,2011-03-07
Benoit Paire,117,472,2011-03-07
Edouard Roger-Vasselin,118,468,2011-03-07
Lukas Lacko,119,459,2011-03-07
Marsel Ilhan,120,458,2011-03-07
Eduardo Schwank,121,455,2011-03-07
Maximo Gonzalez,122,454,2011-03-07
Simon Greul,123,453,2011-03-07
Joao Souza,124,444,2011-03-07
Yuri Schukin,125,443,2011-03-07
Julian Reister,126,442,2011-03-07
Lukasz Kubot,127,440,2011-03-07
Alex Bogomolov Jr.,128,440,2011-03-07
Steve Darcis,129,439,2011-03-07
Andreas Beck,130,422,2011-03-07
Marinko Matosevic,131,422,2011-03-07
Leonardo Mayer,132,417,2011-03-07
Karol Beck,133,416,2011-03-07
Lukas Rosol,134,416,2011-03-07
Conor Niland,135,414,2011-03-07
Taylor Dent,136,409,2011-03-07
Marco Chiudinelli,137,407,2011-03-07
Eric Prodon,138,405,2011-03-07
Martin Fischer,139,398,2011-03-07
Federico Delbonis,140,396,2011-03-07
Grega Zemlja,141,393,2011-03-07
Stephane Bohli,142,390,2011-03-07
Donald Young,143,388,2011-03-07
Alexander Kudryavtsev,144,388,2011-03-07
Paolo Lorenzi,145,387,2011-03-07
Ruben Bemelmans,146,387,2011-03-07
Alessio Di Mauro,147,385,2011-03-07
Daniel Munoz de la Nava,148,382,2011-03-07
Paul Capdeville,149,381,2011-03-07
Izak Van der Merwe,150,380,2011-03-07
Vincent Millot,151,371,2011-03-07
Ryan Harrison,152,369,2011-03-07
Konstantin Kravchuk,153,368,2011-03-07
Diego Junqueira,154,366,2011-03-07
Bobby Reynolds,155,363,2011-03-07
Igor Sijsling,156,363,2011-03-07
Rogerio Dutra Silva,157,358,2011-03-07
James Blake,158,355,2011-03-07
Bastian Knittel,159,352,2011-03-07
Matthias Bachinger,160,350,2011-03-07
Robby Ginepri,161,349,2011-03-07
Rik De Voest,162,348,2011-03-07
Tim Smyczek,163,348,2011-03-07
Franko Skugor,164,348,2011-03-07
Jerzy Janowicz,165,347,2011-03-07
David Guez,166,344,2011-03-07
Thomas Schoorel,167,343,2011-03-07
Ilija Bozoljac,168,334,2011-03-07
Martin Klizan,169,334,2011-03-07
Flavio Cipolla,170,333,2011-03-07
Ivo Minar,171,333,2011-03-07
Roberto Bautista Agut,172,333,2011-03-07
Tatsuma Ito,173,331,2011-03-07
Ivan Navarro,174,323,2011-03-07
Andrej Martin,175,317,2011-03-07
Juan Pablo Brzezicki,176,316,2011-03-07
Yuichi Sugita,177,313,2011-03-07
Peter Luczak,178,312,2011-03-07
Carsten Ball,179,311,2011-03-07
Jan Hernych,180,308,2011-03-07
Adrian Ungur,181,303,2011-03-07
Matthew Ebden,182,302,2011-03-07
Carlos Salamanca,183,299,2011-03-07
Robert Farah,184,299,2011-03-07
Andres Molteni,185,291,2011-03-07
