full_name,ranking,points,date
Novak Djokovic,1,8465,2022-03-21
Daniil Medvedev,2,8410,2022-03-21
Rafael Nadal,3,7115,2022-03-21
Alexander Zverev,4,7025,2022-03-21
Stefanos Tsitsipas,5,6070,2022-03-21
Matteo Berrettini,6,4955,2022-03-21
Andrey Rublev,7,4725,2022-03-21
Casper Ruud,8,3870,2022-03-21
Felix Auger-Aliassime,9,3803,2022-03-21
Hubert Hurkacz,10,3513,2022-03-21
Jannik Sinner,11,3474,2022-03-21
Cameron Norrie,12,3395,2022-03-21
Taylor Fritz,13,2920,2022-03-21
Denis Shapovalov,14,2863,2022-03-21
Diego Schwartzman,15,2660,2022-03-21
Carlos Alcaraz,16,2414,2022-03-21
Roberto Bautista Agut,17,2375,2022-03-21
Reilly Opelka,18,2246,2022-03-21
Pablo Carreno Busta,19,2220,2022-03-21
Nikoloz Basilashvili,20,1916,2022-03-21
Lorenzo Sonego,21,1902,2022-03-21
John Isner,22,1846,2022-03-21
Marin Cilic,23,1785,2022-03-21
Gael Monfils,24,1723,2022-03-21
Karen Khachanov,25,1623,2022-03-21
Roger Federer,26,1620,2022-03-21
Daniel Evans,27,1567,2022-03-21
Alex de Minaur,28,1531,2022-03-21
Grigor Dimitrov,29,1471,2022-03-21
Cristian Garin,30,1466,2022-03-21
Frances Tiafoe,31,1453,2022-03-21
Aslan Karatsev,32,1428,2022-03-21
Alexander Bublik,33,1416,2022-03-21
Fabio Fognini,34,1339,2022-03-21
Albert Ramos-Vinolas,35,1314,2022-03-21
Federico Delbonis,36,1302,2022-03-21
Tommy Paul,37,1277,2022-03-21
Sebastian Korda,38,1269,2022-03-21
Jenson Brooksby,39,1195,2022-03-21
Filip Krajinovic,40,1192,2022-03-21
Ilya Ivashka,41,1159,2022-03-21
Botic van de Zandschulp,42,1131,2022-03-21
Alejandro Davidovich Fokina,43,1110,2022-03-21
Lloyd Harris,44,1101,2022-03-21
Ugo Humbert,45,1098,2022-03-21
Dusan Lajovic,46,1091,2022-03-21
Pedro Martinez,47,1077,2022-03-21
Miomir Kecmanovic,48,1056,2022-03-21
Benoit Paire,49,1041,2022-03-21
Dominic Thiem,50,1025,2022-03-21
Kei Nishikori,51,1020,2022-03-21
Marcos Giron,52,998,2022-03-21
Laslo Djere,53,986,2022-03-21
Mackenzie McDonald,54,981,2022-03-21
Marton Fucsovics,55,977,2022-03-21
Jan-Lennard Struff,56,974,2022-03-21
Tallon Griekspoor,57,962,2022-03-21
Arthur Rinderknech,58,940,2022-03-21
Benjamin Bonzi,59,912,2022-03-21
Federico Coria,60,911,2022-03-21
Adrian Mannarino,61,904,2022-03-21
James Duckworth,62,901,2022-03-21
Soonwoo Kwon,63,901,2022-03-21
Dominik Koepfer,64,899,2022-03-21
Alex Molcan,65,891,2022-03-21
Sebastian Baez,66,889,2022-03-21
Pablo Andujar,67,880,2022-03-21
Hugo Gaston,68,877,2022-03-21
Daniel Altmaier,69,868,2022-03-21
David Goffin,70,863,2022-03-21
