event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_dividend_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,breakpointssaved_percent_tot_winner,breakpointssaved_divisor_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,doublefaults_isstatbetter_tot_winner,doublefaults_isstatbetter_tot_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS011,R16,00:57:00,,F,2,V141,"6-4,6-4",D. Vacek,R. Krajicek,,,CZE,NED,6-4,6-4,,,,00:57:00,,,306,/en/stats/leaderboard?page=serve,2,10,55,27,49,85,23,27,68,15,22,1,10,253,/en/stats/leaderboard?page=serve,3,3,66,43,65,67,29,43,50,11,22,67,6,9,10,78,38,49,38,25,65,55,63,114,62,40,65,22,11,49,45,51,114,A,50,2,,,,,,,D. Vacek,R. Krajicek,V141,K214,CZE,NED,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS012,R16,01:09:00,,F,2,V166,"6-4,6-4",A. Voinea,J. Siemerink,,,ROU,NED,6-4,6-4,,,,01:09:00,,,314,/en/stats/leaderboard?page=serve,,7,52,26,50,77,20,26,88,21,24,0,10,252,/en/stats/leaderboard?page=serve,6,3,41,24,58,75,18,24,59,20,34,50,2,4,10,82,41,50,34,20,58,56,61,108,66,38,58,18,9,50,44,47,108,A,,,,,,,False,,A. Voinea,J. Siemerink,V166,S381,ROU,NED,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS013,R16,00:51:00,,F,2,I034,"6-2,6-4",G. Ivanisevic,F. Clavet,,,CRO,ESP,6-2,6-4,,,,00:51:00,,,300,/en/stats/leaderboard?page=serve,3,13,57,26,46,85,22,26,60,12,20,0,9,220,/en/stats/leaderboard?page=serve,2,3,51,26,51,69,18,26,44,11,25,0,0,4,9,74,34,46,43,22,51,58,56,97,57,29,51,26,12,46,42,41,97,A,0,1,,,,,,,G. Ivanisevic,F. Clavet,I034,C252,CRO,ESP,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS015,R16,01:23:00,,F,3,M475,"3-6,6-4,6-1",A. Medvedev,B. Ulihrach,,,UKR,CZE,3-6,6-4,6-1,,,01:23:00,,,251,/en/stats/leaderboard?page=serve,1,10,53,39,73,79,31,39,41,14,34,1,13,202,/en/stats/leaderboard?page=serve,6,3,54,43,80,63,27,43,35,13,37,25,2,8,13,62,45,73,50,40,80,56,85,153,50,40,80,38,28,73,44,68,153,A,20,5,,,,,,,A. Medvedev,B. Ulihrach,M475,U032,UKR,CZE,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS016,R32,01:21:00,,F,2,G254,"6-3,6-4",A. Gaudenzi,T. Muster,,,ITA,AUT,6-3,6-4,,,,01:21:00,,,261,/en/stats/leaderboard?page=serve,,3,66,45,68,71,32,45,61,14,23,0,10,255,/en/stats/leaderboard?page=serve,3,5,59,39,66,69,27,39,48,13,27,75,6,8,9,68,46,68,39,26,66,54,72,134,61,40,66,32,22,68,46,62,134,A,,,,,,,False,,A. Gaudenzi,T. Muster,G254,M099,ITA,AUT,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS017,R32,01:45:00,,F,3,F192,"6-4,3-6,6-1",R. Furlan,J. Hlasek,,,ITA,SUI,6-4,3-6,6-1,,,01:45:00,,,257,/en/stats/leaderboard?page=serve,2,5,42,30,71,87,26,30,49,20,41,1,13,229,/en/stats/leaderboard?page=serve,2,6,46,43,94,81,35,43,37,19,51,50,5,10,13,65,46,71,43,40,94,52,86,165,57,54,94,35,25,71,48,79,165,A,25,4,,,,,,,R. Furlan,J. Hlasek,F192,H025,ITA,SUI,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS018,R32,01:20:00,,F,2,B053,"7-6(7),6-3",A. Boetsch,D. Norman,,,FRA,BEL,7-6(7),6-3,,,,01:20:00,,,205,/en/stats/leaderboard?page=serve,1,3,50,32,64,72,23,32,81,26,32,0,11,273,/en/stats/leaderboard?page=serve,4,10,61,44,72,80,35,44,36,10,28,80,4,5,10,77,49,64,38,27,72,56,76,136,63,45,72,23,15,64,44,60,136,A,0,,7,3,,,,,A. Boetsch,D. Norman,B053,N233,FRA,BEL,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS019,R32,00:56:00,,F,2,R214,"6-2,6-2",M. Rosset,M. Damm,,,SUI,CZE,6-2,6-2,,,,00:56:00,,,221,/en/stats/leaderboard?page=serve,1,11,53,21,40,90,19,21,68,13,19,0,8,200,/en/stats/leaderboard?page=serve,6,5,47,22,47,68,15,22,36,9,25,20,1,5,8,80,32,40,49,23,47,63,55,87,51,24,47,20,8,40,37,32,87,A,0,,,,,,,,M. Rosset,M. Damm,R214,D214,SUI,CZE,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS020,R32,01:25:00,,F,3,K267,"7-6(7),0-6,6-2",Y. Kafelnikov,J. Burillo,,,RUS,ESP,7-6(7),0-6,6-2,,,01:25:00,,,250,/en/stats/leaderboard?page=serve,7,9,45,34,75,85,29,34,49,20,41,2,13,266,/en/stats/leaderboard?page=serve,4,10,51,36,70,83,30,36,50,17,34,50,3,6,13,65,49,75,33,23,70,50,72,145,67,47,70,35,26,75,50,73,145,A,33,6,7,1,,,,,Y. Kafelnikov,J. Burillo,K267,B429,RUS,ESP,,
408,1996,Milan,GP,1996-02-26T00:00:00,1996-03-03T00:00:00,Carpet,32,689250,$,MS021,R32,02:17:00,,F,3,P235,"6-7(9),6-4,6-4",S. Pescosolido,F. Wibier,,,ITA,NED,6-7(9),6-4,6-4,,,02:17:00,,,291,/en/stats/leaderboard?page=serve,4,9,53,54,102,83,45,54,63,30,48,0,16,279,/en/stats/leaderboard?page=serve,11,13,70,81,116,77,62,81,43,15,35,71,5,7,16,74,75,102,34,39,116,52,114,218,66,77,116,26,27,102,48,104,218,A,,,9,11,,,,,S. Pescosolido,F. Wibier,P235,W171,ITA,NED,,
