event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_isstatbetter_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_tot_winner,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS012,R16,02:19:00,,F,3,K214,"6-2,3-6,7-6(8)",R. Krajicek,Y. Kafelnikov,,,NED,RUS,6-2,3-6,7-6(8),,,02:19:00,277,/en/stats/leaderboard?page=serve,,21,44,53,121,79,42,53,50,34,68,92,11,12,14,275,/en/stats/leaderboard?page=serve,3,2,61,56,92,79,44,56,50,18,36,60,3,5,15,63,76,121,33,30,92,50,106,213,67,62,92,37,45,121,50,107,213,A,9,,,,,,8,6,R. Krajicek,Y. Kafelnikov,K214,K267,NED,RUS,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS013,R16,00:55:00,,F,2,R286,"6-3,6-1",M. Rios,T. Muster,,,CHI,AUT,6-3,6-1,,,,00:55:00,263,/en/stats/leaderboard?page=serve,False,5,62,32,52,84,27,32,50,10,20,,0,,8,191,/en/stats/leaderboard?page=serve,1,2,52,22,42,68,15,22,20,4,20,20,1,5,8,71,37,52,55,23,42,64,60,94,45,19,42,29,15,52,36,34,94,A,,,,,,,,,M. Rios,T. Muster,R286,M099,CHI,AUT,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS014,R16,01:01:00,,F,2,K293,"6-4,6-2",G. Kuerten,T. Haas,,,BRA,GER,6-4,6-2,,,,01:01:00,288,/en/stats/leaderboard?page=serve,,8,67,36,54,78,28,36,61,11,18,,0,,9,251,/en/stats/leaderboard?page=serve,,4,72,39,54,62,24,39,47,7,15,25,1,4,9,72,39,54,43,23,54,57,62,108,57,31,54,28,15,54,43,46,108,A,3,False,,,,,,,G. Kuerten,T. Haas,K293,H355,BRA,GER,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS015,R16,01:18:00,,F,2,V195,"6-2,7-5",F. Vicente,D. Sanguinetti,,,ESP,ITA,6-2,7-5,,,,01:18:00,260,/en/stats/leaderboard?page=serve,,0,47,30,64,77,23,30,68,23,34,,0,,10,237,/en/stats/leaderboard?page=serve,1,5,51,28,55,75,21,28,37,10,27,25,1,4,10,72,46,64,44,24,55,59,70,119,56,31,55,28,18,64,41,49,119,A,2,,,,,,,,F. Vicente,D. Sanguinetti,V195,S480,ESP,ITA,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS016,R32,02:10:00,,F,2,S402,"7-6(10),6-4",P. Sampras,M. Norman,,,USA,SWE,7-6(10),6-4,,,,02:10:00,285,/en/stats/leaderboard?page=serve,,11,64,49,77,88,43,49,46,13,28,,0,,11,277,/en/stats/leaderboard?page=serve,2,10,51,50,98,74,37,50,54,26,48,92,12,13,11,73,56,77,36,35,98,52,91,175,64,63,98,27,21,77,48,84,175,A,5,,10,8,,,,,P. Sampras,M. Norman,S402,N250,USA,SWE,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS017,R32,01:23:00,,F,2,C274,"7-5,6-1",M. Chang,A. Clement,,,USA,FRA,7-5,6-1,,,,01:23:00,274,/en/stats/leaderboard?page=serve,False,1,47,24,51,71,17,24,67,18,27,67,2,3,9,205,/en/stats/leaderboard?page=serve,4,5,47,28,59,68,19,28,39,12,31,17,1,6,10,69,35,51,47,28,59,57,63,110,53,31,59,31,16,51,43,47,110,A,,,,,,,,,M. Chang,A. Clement,C274,C487,USA,FRA,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS018,R32,02:30:00,,F,3,A203,"3-6,7-6(7),6-4",K. Alami,A. Corretja,,,MAR,ESP,3-6,7-6(7),6-4,,,02:30:00,288,/en/stats/leaderboard?page=serve,,6,55,52,95,85,44,52,51,22,43,75,3,4,15,290,/en/stats/leaderboard?page=serve,,8,60,73,122,70,51,73,59,29,49,88,7,8,16,69,66,95,34,42,122,50,108,217,66,80,122,31,29,95,50,109,217,A,2,False,,,7,5,,,K. Alami,A. Corretja,A203,C344,MAR,ESP,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS019,R32,01:01:00,,F,2,C378,"6-1,6-4",A. Costa,F. Dewulf,,,ESP,BEL,6-1,6-4,,,,01:01:00,261,/en/stats/leaderboard?page=serve,,0,65,39,60,64,25,39,57,12,21,71,5,7,9,184,/en/stats/leaderboard?page=serve,2,2,60,29,48,55,16,29,32,6,19,17,1,6,8,62,37,60,54,26,48,58,63,108,46,22,48,38,23,60,42,45,108,A,2,,,,,,,,A. Costa,F. Dewulf,C378,D228,ESP,BEL,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS020,R32,01:35:00,,F,3,S321,"2-6,6-3,6-1",B. Steven,S. Schalken,,,NZL,NED,2-6,6-3,6-1,,,01:35:00,282,/en/stats/leaderboard?page=serve,,2,73,55,75,71,39,55,55,11,20,50,2,4,12,234,/en/stats/leaderboard?page=serve,2,3,60,45,75,64,29,45,43,13,30,43,3,7,12,67,50,75,44,33,75,55,83,150,56,42,75,33,25,75,45,67,150,A,2,,,,,,,,B. Steven,S. Schalken,S321,S572,NZL,NED,,
416,1998,ATP Masters 1000 Rome,1000,1998-05-11T00:00:00,1998-05-17T00:00:00,Clay,64,2200000,$,MS021,R32,01:37:00,,F,2,M605,"6-3,7-6(7)",C. Moya,F. Clavet,,,ESP,ESP,6-3,7-6(7),,,,01:37:00,286,/en/stats/leaderboard?page=serve,,4,49,31,63,87,27,31,59,19,32,80,4,5,10,240,/en/stats/leaderboard?page=serve,2,2,56,41,73,71,29,41,41,13,32,50,3,6,11,73,46,63,42,31,73,57,77,136,58,42,73,27,17,63,43,59,136,A,3,,,,7,4,,,C. Moya,F. Clavet,M605,C252,ESP,ESP,,
