event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,winner_flag,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,tiebreak_set2_winner,tiebreak_set2_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_id_winner,player_id_loser
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS013,R16,02:35:00,,F,3,L360,"7-6(8),4-6,6-4",I. Ljubicic,L. Kubot,,,CRO,POL,7-6(8),4-6,6-4,,,02:35:00,A,I. Ljubicic,L. Kubot,CRO,POL,,,,,284,/en/stats/leaderboard?page=serve,2,14,62,64,103,78,50,64,51,20,39,63,5,8,16,275,/en/stats/leaderboard?page=serve,4,8,83,90,108,68,61,90,39,7,18,67,6,9,16,68,70,103,37,40,108,52,110,211,63,68,108,32,33,103,48,101,211,8.0,6.0,L360,K540
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS014,R16,01:30:00,,F,2,V306,"7-5,6-4",F. Verdasco,J. Ferrero,,,ESP,ESP,7-5,6-4,,,,01:30:00,A,F. Verdasco,J. Ferrero,ESP,ESP,,,,,289,/en/stats/leaderboard?page=serve,3,7,63,42,67,76,32,42,56,14,25,67,2,3,11,263,/en/stats/leaderboard?page=serve,2,5,72,47,65,66,31,47,50,9,18,57,4,7,11,69,46,67,38,25,65,54,71,132,62,40,65,31,21,67,46,61,132,,,V306,F316
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS015,R16,01:01:00,,F,2,D643,"6-3,6-0",N. Djokovic,V. Troicki,,,SRB,SRB,6-3,6-0,,,,01:01:00,A,N. Djokovic,V. Troicki,SRB,SRB,,,,,294,/en/stats/leaderboard?page=serve,1,1,49,23,47,70,16,23,75,18,24,0,0,0,8,188,/en/stats/leaderboard?page=serve,1,3,54,22,41,64,14,22,26,5,19,43,3,7,7,72,34,47,54,22,41,64,56,88,46,19,41,28,13,47,36,32,88,,,D643,T840
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS016,R32,02:10:00,,F,3,N409,"6-4,3-6,6-4",R. Nadal,M. Baghdatis,,,ESP,CYP,6-4,3-6,6-4,,,02:10:00,A,R. Nadal,M. Baghdatis,ESP,CYP,,,,,288,/en/stats/leaderboard?page=serve,0,2,72,61,85,70,43,61,58,14,24,33,1,3,15,281,/en/stats/leaderboard?page=serve,3,8,60,51,85,75,38,51,56,19,34,50,2,4,14,67,57,85,33,28,85,50,85,170,67,57,85,33,28,85,50,85,170,,,N409,B837
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS017,R32,01:31:00,,F,3,B676,"6-3,3-6,6-3",J. Blake,F. Mayer,,,USA,GER,6-3,3-6,6-3,,,01:31:00,A,J. Blake,F. Mayer,USA,GER,,,,,263,/en/stats/leaderboard?page=serve,1,3,62,54,87,76,41,54,45,15,33,70,7,10,14,241,/en/stats/leaderboard?page=serve,2,3,54,41,76,66,27,41,51,18,35,56,5,9,13,64,56,87,41,31,76,53,87,163,59,45,76,36,31,87,47,76,163,,,B676,MB02
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS018,R32,01:01:00,,F,2,S741,"6-4,6-2",M. Safin,J. Acasuso,,,RUS,ARG,6-4,6-2,,,,01:01:00,A,M. Safin,J. Acasuso,RUS,ARG,,,,,328,/en/stats/leaderboard?page=serve,2,6,63,29,46,90,26,29,71,12,17,100,2,2,9,232,/en/stats/leaderboard?page=serve,2,2,59,34,58,65,22,34,42,10,24,50,3,6,9,83,38,46,45,26,58,62,64,104,55,32,58,17,8,46,38,40,104,,,S741,A389
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS019,R32,02:05:00,,F,2,G415,"7-5,6-4",F. Gonzalez,D. Ferrer,,,CHI,ESP,7-5,6-4,,,,02:05:00,A,F. Gonzalez,D. Ferrer,CHI,ESP,,,,,255,/en/stats/leaderboard?page=serve,7,13,62,78,125,68,53,78,38,18,47,90,18,20,11,233,/en/stats/leaderboard?page=serve,5,3,66,45,68,67,30,45,39,9,23,56,5,9,11,57,71,125,43,29,68,52,100,193,57,39,68,43,54,125,48,93,193,,,G415,F401
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS020,R32,02:13:00,,F,3,D402,"6-1,6-7(6),6-2",N. Davydenko,I. Kunitsyn,,,RUS,RUS,6-1,6-7(6),6-2,,,02:13:00,A,N. Davydenko,I. Kunitsyn,RUS,RUS,,,6.0,8.0,267,/en/stats/leaderboard?page=serve,1,5,72,68,94,71,48,68,42,11,26,77,10,13,14,207,/en/stats/leaderboard?page=serve,0,4,66,62,94,53,33,62,38,12,32,30,3,10,13,63,59,94,52,49,94,57,108,188,48,45,94,37,35,94,43,80,188,,,D402,K403
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS021,R32,01:54:00,,F,3,K435,"7-6(8),4-6,6-1",P. Kohlschreiber,I. Karlovic,,,GER,CRO,7-6(8),4-6,6-1,,,01:54:00,A,P. Kohlschreiber,I. Karlovic,GER,CRO,,,,,317,/en/stats/leaderboard?page=serve,2,3,66,53,80,79,42,53,78,21,27,0,0,1,15,303,/en/stats/leaderboard?page=serve,2,27,69,61,89,74,45,61,50,14,28,50,2,4,14,79,63,80,34,30,89,55,93,169,66,59,89,21,17,80,45,76,169,8.0,6.0,K435,K336
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS022,R32,01:11:00,,F,2,B747,"6-3,6-4",J. Benneteau,M. Daniel,,,FRA,BRA,6-3,6-4,,,,01:11:00,A,J. Benneteau,M. Daniel,FRA,BRA,,,,,336,/en/stats/leaderboard?page=serve,0,13,72,42,58,76,32,42,75,12,16,100,4,4,10,259,/en/stats/leaderboard?page=serve,2,6,52,27,52,70,19,27,56,14,25,50,2,4,9,76,44,58,37,19,52,57,63,110,63,33,52,24,14,58,43,47,110,,,B747,D339
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS023,R32,01:23:00,,F,2,C977,"6-4,6-4",M. Cilic,I. Andreev,,,CRO,RUS,6-4,6-4,,,,01:23:00,A,M. Cilic,I. Andreev,CRO,RUS,,,,,294,/en/stats/leaderboard?page=serve,0,2,57,29,51,72,21,29,73,16,22,0,0,1,10,244,/en/stats/leaderboard?page=serve,2,0,55,31,56,65,20,31,56,14,25,57,4,7,10,73,37,51,39,22,56,55,59,107,61,34,56,27,14,51,45,48,107,,,C977,A511
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS024,R32,01:41:00,,F,3,SA49,"6-3,4-6,6-2",R. Soderling,J. Chardy,,,SWE,FRA,6-3,4-6,6-2,,,01:41:00,A,R. Soderling,J. Chardy,SWE,FRA,,,,,311,/en/stats/leaderboard?page=serve,2,9,61,43,70,77,33,43,74,20,27,0,0,1,14,253,/en/stats/leaderboard?page=serve,4,9,61,59,96,68,40,59,43,16,37,70,7,10,13,76,53,70,42,40,96,56,93,166,58,56,96,24,17,70,44,73,166,,,SA49,CA12
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS025,R32,00:52:00,,F,2,R419,"6-2,6-1",T. Robredo,B. Becker,,,ESP,GER,6-2,6-1,,,,00:52:00,A,T. Robredo,B. Becker,ESP,GER,,,,,321,/en/stats/leaderboard?page=serve,0,4,74,29,39,93,27,29,50,5,10,0,0,0,8,200,/en/stats/leaderboard?page=serve,0,4,58,26,45,54,14,26,42,8,19,43,3,7,7,82,32,39,51,23,45,65,55,84,49,22,45,18,7,39,35,29,84,,,R419,B896
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS026,R32,02:17:00,,F,3,L360,"7-6(10),4-6,6-1",I. Ljubicic,P. Mathieu,,,CRO,FRA,7-6(10),4-6,6-1,,,02:17:00,A,I. Ljubicic,P. Mathieu,CRO,FRA,,,,,298,/en/stats/leaderboard?page=serve,2,22,63,63,100,83,52,63,46,17,37,0,0,2,15,259,/en/stats/leaderboard?page=serve,4,5,62,64,103,69,44,64,49,19,39,40,2,5,14,69,69,100,39,40,103,54,109,203,61,63,103,31,31,100,46,94,203,10.0,8.0,L360,M850
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS027,R32,01:21:00,,F,2,K540,"6-2,6-4",L. Kubot,A. Roddick,,,POL,USA,6-2,6-4,,,,01:21:00,A,L. Kubot,A. Roddick,POL,USA,,,,,253,/en/stats/leaderboard?page=serve,7,5,65,37,57,78,29,37,35,7,20,50,2,4,9,201,/en/stats/leaderboard?page=serve,4,5,69,41,59,59,24,41,28,5,18,44,4,9,9,63,36,57,51,30,59,57,66,116,49,29,59,37,21,57,43,50,116,,,K540,R485
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS028,R32,01:50:00,,F,3,V306,"6-7(7),6-1,6-2",F. Verdasco,R. Ginepri,,,ESP,USA,6-7(7),6-1,6-2,,,01:50:00,A,F. Verdasco,R. Ginepri,ESP,USA,,,,,281,/en/stats/leaderboard?page=serve,7,6,61,50,82,80,40,50,56,18,32,33,1,3,14,224,/en/stats/leaderboard?page=serve,3,4,68,67,98,57,38,67,45,14,31,45,5,11,13,71,58,82,47,46,98,58,104,180,53,52,98,29,24,82,42,76,180,7.0,9.0,V306,G569
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS029,R32,01:37:00,,F,2,F316,"7-5,7-6(7)",J. Ferrero,N. Almagro,,,ESP,ESP,7-5,7-6(7),,,,01:37:00,A,J. Ferrero,N. Almagro,ESP,ESP,,,7.0,3.0,301,/en/stats/leaderboard?page=serve,3,9,73,66,90,73,48,66,58,14,24,89,8,9,12,284,/en/stats/leaderboard?page=serve,3,10,63,40,64,85,34,40,46,11,24,50,2,4,12,69,62,90,30,19,64,53,81,154,70,45,64,31,28,90,47,73,154,,,F316,A479
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS030,R32,01:48:00,,F,2,T840,"7-6(7),7-5",V. Troicki,F. Fognini,,,SRB,ITA,7-6(7),7-5,,,,01:48:00,A,V. Troicki,F. Fognini,SRB,ITA,,,,,296,/en/stats/leaderboard?page=serve,0,10,76,53,70,70,37,53,65,11,17,50,3,6,12,250,/en/stats/leaderboard?page=serve,3,1,69,61,88,61,37,61,56,15,27,67,8,12,12,69,48,70,41,36,88,53,84,158,59,52,88,31,22,70,47,74,158,7.0,5.0,T840,F510
747,2009,Beijing,500,2009-10-05T00:00:00,2009-10-11T00:00:00,Hard,32,2100500,$,MS031,R32,01:29:00,,F,2,D643,"6-3,7-5",N. Djokovic,V. Hanescu,,,SRB,ROU,6-3,7-5,,,,01:29:00,A,N. Djokovic,V. Hanescu,SRB,ROU,,,,,266,/en/stats/leaderboard?page=serve,3,10,68,42,62,69,29,42,50,10,20,57,4,7,11,194,/en/stats/leaderboard?page=serve,6,0,57,33,58,61,20,33,32,8,25,44,4,9,10,63,39,62,52,30,58,58,69,120,48,28,58,37,23,62,43,51,120,,,D643,H528
