event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_loser,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS011,R16,01:30:00,,F,3,D198,"4-6,6-1,6-4",S. Dosedel,A. Berasategui,,,CZE,ESP,4-6,6-1,6-4,,,01:30:00,,,283,/en/stats/leaderboard?page=serve,,0,80,70,87,76,53,70,35,6,17,67,2,3,14,261,/en/stats/leaderboard?page=serve,5,6,66,53,80,74,39,53,44,12,27,75,9,12.0,13,68,59,87,36,29,80,53,88,167,64,51,80,32,28,87,47,79,167,A,,,,False,S. Dosedel,A. Berasategui,D198,B428,CZE,ESP,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS012,R16,02:04:00,,F,3,C344,"7-5,2-6,6-1",A. Corretja,A. Medvedev,,,ESP,UKR,7-5,2-6,6-1,,,02:04:00,,,254,/en/stats/leaderboard?page=serve,3,1,55,50,91,72,36,50,51,21,41,63,5,8,14,244,/en/stats/leaderboard?page=serve,3,6,56,45,81,69,31,45,47,17,36,43,3,7.0,13,63,57,91,41,33,81,52,90,172,59,48,81,37,34,91,48,82,172,A,,,,,A. Corretja,A. Medvedev,C344,M475,ESP,UKR,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS013,R16,00:51:00,,F,2,S367,"6-2,4-1",M. Sinner,M. Charpentier,,,GER,ARG,6-2,4-1,,,,00:51:00,,,222,/en/stats/leaderboard?page=serve,,5,59,22,37,91,20,22,67,10,15,0,0,,7,214,/en/stats/leaderboard?page=serve,2,4,71,25,35,64,16,25,20,2,10,0,0,3.0,7,81,30,37,49,17,35,65,47,72,51,18,35,19,7,37,35,25,72,A,,,,False,M. Sinner,M. Charpentier,S367,C375,GER,ARG,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS014,R16,01:46:00,,F,3,R214,"6-4,2-6,6-4",M. Rosset,K. Alami,,,SUI,MAR,6-4,2-6,6-4,,,01:46:00,,,271,/en/stats/leaderboard?page=serve,5,8,70,57,82,72,41,57,48,12,25,67,6,9,14,261,/en/stats/leaderboard?page=serve,5,3,63,54,86,69,37,54,53,17,32,63,5,8.0,14,65,53,82,37,32,86,51,85,168,63,54,86,35,29,82,49,83,168,A,,,,,M. Rosset,K. Alami,R214,A203,SUI,MAR,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS015,R16,02:34:00,,F,3,M605,"6-4,6-7(2),7-5",C. Moya,R. Furlan,,,ESP,ITA,6-4,6-7(2),7-5,,,02:34:00,,,290,/en/stats/leaderboard?page=serve,,5,67,73,109,66,48,73,64,23,36,80,8,10,17,246,/en/stats/leaderboard?page=serve,5,4,50,58,117,72,42,58,49,29,59,71,10,14.0,17,65,71,109,39,46,117,52,117,226,61,71,117,35,38,109,48,109,226,A,,2,7,False,C. Moya,R. Furlan,M605,F192,ESP,ITA,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS016,R32,01:08:00,,F,2,E113,"6-3,6-4",T. Enqvist,D. Hrbaty,,,SWE,SVK,6-3,6-4,,,,01:08:00,,,281,/en/stats/leaderboard?page=serve,2,5,53,31,59,84,26,31,61,17,28,,0,,10,259,/en/stats/leaderboard?page=serve,2,2,55,30,55,67,20,30,60,15,25,71,5,7.0,9,73,43,59,36,20,55,55,63,114,64,35,55,27,16,59,45,51,114,A,,,,,T. Enqvist,D. Hrbaty,E113,H377,SWE,SVK,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS017,R32,01:46:00,,F,3,G254,"6-4,3-6,6-2",A. Gaudenzi,A. Volkov,,,ITA,RUS,6-4,3-6,6-2,,,01:46:00,,,224,/en/stats/leaderboard?page=serve,7,2,58,57,98,68,39,57,39,16,41,62,8,13,14,210,/en/stats/leaderboard?page=serve,3,4,49,41,84,56,23,41,51,22,43,63,10,16.0,13,56,55,98,46,39,84,52,94,182,54,45,84,44,43,98,48,88,182,A,,,,,A. Gaudenzi,A. Volkov,G254,V037,ITA,RUS,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS018,R32,01:32:00,,F,3,G247,"3-6,6-1,6-2",H. Gumy,J. Burillo,,,ARG,ESP,3-6,6-1,6-2,,,01:32:00,,,278,/en/stats/leaderboard?page=serve,4,3,55,40,73,75,30,40,58,19,33,75,3,4,12,230,/en/stats/leaderboard?page=serve,4,5,45,33,73,73,24,33,45,18,40,20,1,5.0,12,67,49,73,42,31,73,55,80,146,58,42,73,33,24,73,45,66,146,A,,,,,H. Gumy,J. Burillo,G247,B429,ARG,ESP,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS019,R32,01:26:00,,F,2,P338,"7-6(7),7-6(7)",M. Philippoussis,A. Radulescu,,,AUS,GER,7-6(7),7-6(7),,,,01:26:00,7,3,228,/en/stats/leaderboard?page=serve,3,17,61,46,75,87,40,46,66,19,29,0,0,,12,199,/en/stats/leaderboard?page=serve,5,10,49,39,80,79,31,39,66,27,41,0,0,,12,79,59,75,28,22,80,52,81,155,73,58,80,21,16,75,48,74,155,A,,7,5,,M. Philippoussis,A. Radulescu,P338,R284,AUS,GER,,
308,1997,Munich,GP,1997-04-28T00:00:00,1997-05-04T00:00:00,Clay,32,400000,$,MS020,R32,01:05:00,,F,2,G252,"6-3,6-4",M. Goellner,W. Ferreira,,,GER,RSA,6-3,6-4,,,,01:05:00,,,202,/en/stats/leaderboard?page=serve,,5,53,29,55,79,23,29,65,17,26,0,0,,10,252,/en/stats/leaderboard?page=serve,1,3,53,31,58,68,21,31,52,14,27,67,4,6.0,9,73,40,55,40,23,58,56,63,113,60,35,58,27,15,55,44,50,113,A,,,,False,M. Goellner,W. Ferreira,G252,F196,GER,RSA,,
