event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS011,R16,01:48:00,,F,3,C355,"3-6,6-4,6-3",S. Campbell,B. Black,,,USA,ZIM,3-6,6-4,6-3,,,01:48:00,253,/en/stats/leaderboard?page=serve,4,2,60,62,103,61,38,62,56,23,41,73,8,11,14,247,/en/stats/leaderboard?page=serve,4,5,49,38,78,68,26,38,58,23,40,20,1,5,14,59,61,103,37,29,78,50,90,181,63,49,78,41,42,103,50,91,181,A,,,,,,,S. Campbell,B. Black,C355,B397,USA,ZIM,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS012,R16,01:15:00,,F,2,W177,"4-6,2-3",D. Witt,F. Fontang,,,USA,FRA,4-6,2-3,,,,01:15:00,195,/en/stats/leaderboard?page=serve,5,3,32,18,56,56,10,18,47,18,38,70,7,10,8,258,/en/stats/leaderboard?page=serve,1,1,65,41,63,68,28,41,50,11,22,67,4,6,8,50,28,56,38,24,63,44,52,119,62,39,63,50,28,56,56,67,119,A,,,,,,,D. Witt,F. Fontang,W177,F200,USA,FRA,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS013,R16,01:36:00,,F,3,S331,"6-0,3-6,6-4",J. Stoltenberg,M. Norman,,,AUS,SWE,6-0,3-6,6-4,,,01:36:00,223,/en/stats/leaderboard?page=serve,3,5,59,48,81,71,34,48,30,10,33,44,4,9,13,203,/en/stats/leaderboard?page=serve,1,0,68,51,75,49,25,51,46,11,24,30,3,10,12,54,44,81,52,39,75,53,83,156,48,36,75,46,37,81,47,73,156,A,,,,,,,J. Stoltenberg,M. Norman,S331,N250,AUS,SWE,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS014,R16,01:47:00,,F,3,V167,"6-3,4-6,6-3",J. Van Herck,S. Stolle,,,BEL,AUS,6-3,4-6,6-3,,,01:47:00,288,/en/stats/leaderboard?page=serve,2,3,56,48,85,77,37,48,62,23,37,75,3,4,14,268,/en/stats/leaderboard?page=serve,4,8,59,47,79,77,36,47,50,16,32,57,4,7,14,71,60,85,34,27,79,53,87,164,66,52,79,29,25,85,47,77,164,A,,,,,,,J. Van Herck,S. Stolle,V167,S443,BEL,AUS,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS015,R16,01:09:00,,F,2,W035,"1-6,6-4",M. Woodforde,P. Korda,,,AUS,CZE,1-6,6-4,,,,01:09:00,238,/en/stats/leaderboard?page=serve,1,3,70,40,57,65,26,40,35,6,17,57,4,7,9,273,/en/stats/leaderboard?page=serve,4,8,58,30,52,70,21,30,64,14,22,33,1,3,9,56,32,57,33,17,52,45,49,109,67,35,52,44,25,57,55,60,109,A,,,,,,,M. Woodforde,P. Korda,W035,K148,AUS,CZE,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS016,R32,01:04:00,,F,2,B446,"6-3,6-2",J. Bjorkman,M. Zabaleta,,,SWE,ARG,6-3,6-2,,,,01:04:00,277,/en/stats/leaderboard?page=serve,2,3,53,28,53,71,20,28,64,16,25,67,2,3,9,213,/en/stats/leaderboard?page=serve,2,2,68,42,62,60,25,42,35,7,20,64,7,11,8,68,36,53,48,30,62,57,66,115,52,32,62,32,17,53,43,49,115,A,,,,,,,J. Bjorkman,M. Zabaleta,B446,Z073,SWE,ARG,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS017,R32,02:20:00,,F,3,J009,"6-7(5),7-6(7),6-3",L. Jensen,S. Simian,,,USA,FRA,6-7(5),7-6(7),6-3,,,02:20:00,238,/en/stats/leaderboard?page=serve,8,2,57,69,122,72,50,69,40,21,53,78,14,18,16,239,/en/stats/leaderboard?page=serve,7,5,64,71,111,65,46,71,48,19,40,33,3,9,17,58,71,122,41,46,111,50,117,233,59,65,111,42,51,122,50,116,233,A,,7,4,,5,7,L. Jensen,S. Simian,J009,S454,USA,FRA,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS019,R32,01:37:00,,F,2,V161,"7-6(7),6-2",J. Viloca-Puig,G. Schaller,,,ESP,AUT,7-6(7),6-2,,,,01:37:00,283,/en/stats/leaderboard?page=serve,3,4,63,47,75,68,32,47,61,17,28,89,8,9,10,252,/en/stats/leaderboard?page=serve,1,4,72,52,72,62,32,52,45,9,20,57,4,7,10,65,49,75,43,31,72,54,80,147,57,41,72,35,26,75,46,67,147,A,,,,,7,3,J. Viloca-Puig,G. Schaller,V161,S315,ESP,AUT,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS020,R32,01:53:00,,F,3,S545,"3-6,6-3,6-3",S. Sargsian,A. O'Brien,,,ARM,USA,3-6,6-3,6-3,,,01:53:00,285,/en/stats/leaderboard?page=serve,1,4,73,55,75,75,41,55,50,10,20,33,1,3,13,262,/en/stats/leaderboard?page=serve,1,2,63,50,80,64,32,50,63,19,30,60,6,10,14,68,51,75,36,29,80,52,80,155,64,51,80,32,24,75,48,75,155,A,,,,,,,S. Sargsian,A. O'Brien,S545,O099,ARM,USA,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS021,R32,01:10:00,,F,2,F191,"6-3,6-4",D. Flach,N. Pereira,,,USA,VEN,6-3,6-4,,,,01:10:00,260,/en/stats/leaderboard?page=serve,2,1,64,36,56,75,27,36,45,9,20,60,3,5,9,213,/en/stats/leaderboard?page=serve,2,4,63,41,65,56,23,41,42,10,24,50,5,10,10,64,36,56,49,32,65,56,68,121,51,33,65,36,20,56,44,53,121,A,,,,,,,D. Flach,N. Pereira,F191,P218,USA,VEN,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS022,R32,01:17:00,,F,2,C355,"6-4,7-6(7)",S. Campbell,V. Spadea,,,USA,USA,6-4,7-6(7),,,,01:17:00,275,/en/stats/leaderboard?page=serve,,3,66,49,74,65,32,49,60,15,25,50,2,4,11,251,/en/stats/leaderboard?page=serve,3,2,63,40,64,63,25,40,54,13,24,0,0,3,11,64,47,74,41,26,64,53,73,138,59,38,64,36,27,74,47,65,138,A,False,7,4,,,,S. Campbell,V. Spadea,C355,S544,USA,USA,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS023,R32,01:00:00,,F,2,B397,"6-3,6-2",B. Black,M. Ondruska,,,ZIM,RSA,6-3,6-2,,,,01:00:00,274,/en/stats/leaderboard?page=serve,1,1,41,18,44,89,16,18,69,18,26,,0,,8,211,/en/stats/leaderboard?page=serve,3,2,58,29,50,66,19,29,33,7,21,20,1,5,9,77,34,44,48,24,50,62,58,94,52,26,50,23,10,44,38,36,94,A,,,,,,,B. Black,M. Ondruska,B397,O098,ZIM,RSA,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS024,R32,01:49:00,,F,3,F200,"6-3,4-6,6-1",F. Fontang,N. Kulti,,,FRA,SWE,6-3,4-6,6-1,,,01:49:00,244,/en/stats/leaderboard?page=serve,1,5,64,53,83,70,37,53,37,11,30,33,2,6,13,184,/en/stats/leaderboard?page=serve,10,3,46,41,89,66,27,41,33,16,48,50,7,14,13,58,48,83,52,46,89,55,94,172,48,43,89,42,35,83,45,78,172,A,,,,,,,F. Fontang,N. Kulti,F200,K181,FRA,SWE,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS025,R32,01:05:00,,F,2,W177,"6-4,6-2",D. Witt,K. Carlsen,,,USA,DEN,6-4,6-2,,,,01:05:00,286,/en/stats/leaderboard?page=serve,2,7,56,30,54,87,26,30,50,12,24,,0,,9,237,/en/stats/leaderboard?page=serve,1,1,57,29,51,59,17,29,55,12,22,50,3,6,9,70,38,54,43,22,51,57,60,105,57,29,51,30,16,54,43,45,105,A,,,,,,,D. Witt,K. Carlsen,W177,C328,USA,DEN,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS026,R32,02:03:00,,F,3,N250,"6-3,3-6,6-4",M. Norman,G. Raoux,,,SWE,FRA,6-3,3-6,6-4,,,02:03:00,295,/en/stats/leaderboard?page=serve,3,10,51,39,77,90,35,39,55,21,38,67,2,3,14,276,/en/stats/leaderboard?page=serve,1,5,61,62,102,68,42,62,58,23,40,60,3,5,14,73,56,77,36,37,102,52,93,179,64,65,102,27,21,77,48,86,179,A,,,,,,,M. Norman,G. Raoux,N250,R186,SWE,FRA,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS027,R32,01:07:00,,F,2,S331,"6-2,6-4",J. Stoltenberg,E. Sanchez,,,AUS,ESP,6-2,6-4,,,,01:07:00,294,/en/stats/leaderboard?page=serve,3,5,72,31,43,90,28,31,42,5,12,0,0,1,9,240,/en/stats/leaderboard?page=serve,,2,75,51,68,55,28,51,53,9,17,50,4,8,9,77,33,43,46,31,68,58,64,111,54,37,68,23,10,43,42,47,111,A,,,,False,,,J. Stoltenberg,E. Sanchez,S331,S014,AUS,ESP,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS028,R32,00:56:00,,F,2,S443,"6-1,6-4",S. Stolle,S. Lareau,,,AUS,CAN,6-1,6-4,,,,00:56:00,215,/en/stats/leaderboard?page=serve,3,10,57,26,46,96,25,26,55,11,20,0,0,,9,251,/en/stats/leaderboard?page=serve,2,4,72,33,46,61,20,33,54,7,13,50,3,6,8,78,36,46,41,19,46,60,55,92,59,27,46,22,10,46,40,37,92,A,,,,,,,S. Stolle,S. Lareau,S443,L226,AUS,CAN,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS029,R32,01:33:00,,F,2,V167,"7-6(7),6-3",J. Van Herck,R. Delgado,,,BEL,PAR,7-6(7),6-3,,,,01:33:00,287,/en/stats/leaderboard?page=serve,2,5,59,44,75,70,31,44,65,20,31,80,4,5,11,251,/en/stats/leaderboard?page=serve,3,7,44,31,70,77,24,31,46,18,39,71,5,7,10,68,51,75,40,28,70,54,79,145,60,42,70,32,24,75,46,66,145,A,,,,,7,5,J. Van Herck,R. Delgado,V167,D316,BEL,PAR,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS030,R32,01:46:00,,F,3,W035,"6-3,6-7(3),6-1",M. Woodforde,D. van Scheppingen,,,AUS,NED,6-3,6-7(3),6-1,,,01:46:00,264,/en/stats/leaderboard?page=serve,4,4,61,57,94,70,40,57,49,18,37,78,7,9,13,214,/en/stats/leaderboard?page=serve,1,2,61,60,98,60,36,60,39,15,38,36,4,11,15,62,58,94,48,47,98,55,105,192,52,51,98,38,36,94,45,87,192,A,,3,7,,,,M. Woodforde,D. van Scheppingen,W035,S559,AUS,NED,,
499,1997,Coral Springs,GP,1997-05-05T00:00:00,1997-05-11T00:00:00,Clay,32,245000,$,MS031,R32,01:00:00,,F,2,K148,"6-3,6-4",P. Korda,N. Godwin,,,CZE,RSA,6-3,6-4,,,,01:00:00,284,/en/stats/leaderboard?page=serve,5,5,51,29,57,79,23,29,64,18,28,75,3,4,10,245,/en/stats/leaderboard?page=serve,3,2,60,27,45,81,22,27,39,7,18,40,2,5,9,72,41,57,36,16,45,56,57,102,64,29,45,28,16,57,44,45,102,A,,,,,,,P. Korda,N. Godwin,K148,G288,CZE,RSA,,
